de	of
démoulage	unmolding
démouler	unmold
démultiplicateur	multiplier
démultiplication	reduction
démultiplier	multiply
démunir	deprive
démystification	demystification
démystifier	demystify
démythification	demystification
démythifier	demystify
dénasalisation	denasalization
dénasaliser	denasalize
dénatalité	birth rate
dénationalisation	denationalization
dénationaliser	denationalize
dénaturant	denaturing
dénaturation	denaturation
dénaturé	denatured
dénaturer	distort
dénazification	denazification
dénazifier	denazify
dendrologie	dendrology
dénébuler	denebulate
dénégation	denial
déneigement	snow removal
déneiger	clear snow
dengue	dengue fever
déni	denial
déniaiser	deny
dénicher	unearth
dénicheur	scout
dénicotiniser	denicotinize
dénier	denier
dénivelé	height difference
dénivelée	height difference
déniveler	unevenness
dénivellation	difference in height
dénombrable	countable
dénominateur	denominator
dénominatif	denominative
dénomination	denomination
dénommé	named
dénommer	to name
dénonciateur	whistleblower
dénotatif	denotative
dénotation	denotation
dénoter	denote
dénoyauter	pit
dénoyauteuse	pitting machine
denrée	commodity
densifier	densify
densimètre	hydrometer
dentaire	dental
dent-de-lion	lion's tooth
denté	toothed
dentelé	jagged
denteler	to indent
dentelle	lace
dentellerie	lace making
dentellier	lacemaker
dentelure	serration
dentier	denture
dentifrice	toothpaste
dentiste	dentist
dentisterie	dentistry
denture	teeth
dénucléarisation	denuclearization
dénucléariser	denuclearize
dénuement	deprivation
dénutrition	undernutrition
déodorant	deodorant
déontologie	ethics
déontologique	ethical
déontologue	ethics officer
dépailler	to strip
dépanner	troubleshoot
dépanneur	convenience store
dépaqueter	unpack
déparasiter	deparasite
dépareillé	mismatched
dépareiller	mismatch
déparer	departure
déparié	mismatched
départager	decide
département	department
départemental	departmental
départementaliser	departmentalize
départir	leave
départ-usine	ex-factory
dépassionner	dispassionate
dépatouiller	to strip
dépavage	paving
dépaver	demolish
dépaysé	disoriented
dépaysement	change of scenery
dépayser	disorient
dépeçage	butchering
dépecer	cut up
dépeigné	unkempt
dépeigner	depict
dépeindre	depict
dépenaillé	ragged
dépénalisation	decriminalization
dépénaliser	decriminalize
dépensier	spendthrift
déperdition	loss
dépersonnalisation	depersonalization
dépersonnaliser	depersonalize
dépêtrer	to disentangle
dépeuplement	depopulation
déphasage	phase shift
déphasé	out of phase
déphaser	shift
déphaseur	phase shifter
dépiautage	skinning
dépiauter	to skin
dépierrage	stone removal
dépierrer	to remove stones
dépigmentation	depigmentation
dépigmenter	depigment
dépilation	depilation
dépilatoire	depilatory
dépiler	depilate
dépiquer	to strip
dépistable	detectable
dépistage	screening
dépister	screen
dépité	disappointed
dépiter	to spite
déplafonnement	uncapping
déplafonner	uncapping
déplaisir	displeasure
déplanter	unplant
déplâtrage	deplastering
déplâtrer	deplaster
déplétion	depletion
dépliage	unfolding
dépliant	leaflet
déplier	unfold
déplisser	unfold
déploiement	deployment
déplomber	unravel
déplorable	deplorable
déplorer	deplore
déplumer	pluck
dépoitraillé	stripped
dépolarisant	depolarizing
dépolarisation	depolarization
dépolariser	depolarize
dépoli	frosted
dépolir	defrost
dépolissage	frosting
dépolitisation	depoliticization
dépolitiser	depoliticize
dépolluer	depollute
dépollution	depollution
dépolymérisation	depolymerization
dépolymériser	depolymerize
déponent	deponent
dépopulation	depopulation
déportement	deportation
déposant	applicant
dépossession	dispossession
dépotage	unloading
dépoter	unload
dépotoir	dump
dépôt-vente	consignment sale
dépouillement	counting
dépoussiérage	dust removal
dépoussiérant	dust remover
dépoussiérer	dust
dépravation	depravity
dépravé	depraved
dépraver	deprave
dépréciation	depreciation
déprécier	depreciate
déprédateur	predator
déprédation	depredation
déprendre	relax
dépressif	depressed
dépressionnaire	depression
dépressurisation	depressurization
dépressuriser	depressurize
déprimant	depressing
déprimer	depress
déprogrammer	deprogram
déprotéger	unprotect
dépucelage	deflowering
dépuceler	deflower
dépuratif	depurative
députation	deputation
député	deputy
député-maire	deputy mayor
députer	depute
déqualification	deskilling
déqualifier	deskill
déracinement	uprooting
déraillement	derailment
dérailler	derail
dérailleur	derailleur
déraison	unreason
déramer	to skim
dérangé	disturbed
dérangeant	disturbing
dérangement	disturbance
dérapage	skid
déraper	skid
dératé	deranged
dératisation	rodent control
dératiser	to eradicate
derechef	again
déréférencer	dereference
déréglé	unregulated
dérèglement	disruption
déréglementation	deregulation
déréglementer	deregulate
dérégler	to disrupt
dérégulation	deregulation
déremboursement	dereimbursement
déresponsabilisation	disempowerment
déresponsabiliser	disempower
dérider	laugh
dérivable	derivable
dérivatif	derivative
dérivation	derivation
dérivationnel	derivational
dériver	derive
dériveur	dinghy
dermatite	dermatitis
dermatologie	dermatology
dermatologique	dermatological
dermatologiste	dermatologist
dermatose	dermatosis
derme	dermis
dermite	dermatitis
dernièrement	lately
dernier-né	last born
dérobade	evasion
dérocher	unravel
dérogation	exemption
dérogatoire	derogatory
déroger	derogate
dérouillée	thrashing
dérouiller	to remove rust
dérouleur	unwinder
dérouleuse	unwinder
déroutant	confusing
déroutement	diversion
dérouter	confuse
derviche	dervish
désabonnement	unsubscribe
désabonner	unsubscribe
désabusé	disillusioned
désabusement	disillusionment
désabuser	disillusion
désacclimaté	deacclimated
désaccordé	out of tune
désaccorder	detune
désaccoupler	uncouple
désaccoutumance	cessation of habit
désaccoutumer	break the habit
désacralisation	desacralization
désacraliser	desecrate
désaffecté	disused
désaffection	disaffection
désagréablement	unpleasantly
désagrégation	disintegration
désagréger	disintegrate
désagrément	inconvenience
désaimantation	demagnetization
désaimanter	demagnetize
désalinisateur	desalinator
désaliniser	desalinate
désaltérant	thirst-quenching
désambiguïser	disambiguate
désamiantage	asbestos removal
désamorçage	defusing
désamorcer	defuse
désamour	disenchantment
désapparier	unpair
désappointement	disappointment
désappointer	disappoint
désapprendre	unlearn
désapprobateur	disapproving
désapprobation	disapproval
désapprouver	disapprove
désarçonner	unhorse
désargenté	penniless
désargenter	desilver
désarmant	disarming
désarmement	disarmament
désarmer	disarm
désarrimage	undocking
désarrimer	undock
désarticulation	disarticulation
désarticulé	disarticulated
désarticuler	disarticulate
désassorti	unassorted
désastreusement	disastrously
désavantage	disadvantage
désavantager	disadvantage
désavantageusement	disadvantageously
désavantageux	disadvantageous
désaveu	disavowal
désavouer	disavow
désaxé	unhinged
désaxer	unhinge
desceller	unseal
descendeur	descender
déscolarisation	unschooling
déscolarisé	out of school
descriptible	describable
descriptif	description
descriptivisme	descriptivism
descriptiviste	descriptivist
désectorisation	desectorization
désectoriser	desectorize
déségrégation	desegregation
désembourber	unclog
désembourgeoiser	degentrify
désembouteiller	unbottle
désembuage	defogging
désembuer	defog
désemparé	distraught
désemparer	distraught
désemplir	empty
désenchanté	disenchanted
désenchantement	disenchantment
désenchanter	disenchant
désenclavement	opening up
désenclaver	open up
désencombrer	declutter
désencrasser	unclog
désendettement	deleveraging
désendetter	get out of debt
désenfler	deflate
désenfumage	smoke extraction
désenfumer	clear smoke
désengagement	disengagement
désengager	disengage
désengorgement	unclogging
désengorger	unclog
désenivrer	sober
désensabler	de-silt
désensibilisant	desensitizing
désensibilisateur	desensitizer
désensibilisation	desensitization
désensibiliser	desensitize
désensorceler	unbewitch
désentoiler	remove the canvas
désentortiller	untwist
désentraver	unhinder
désenvenimer	de-envenom
désenvoûtement	disenchantment
désenvoûter	disenchant
désépaissir	thin out
déséquilibrant	unbalancing
déséquilibre	imbalance
déséquilibré	imbalance
déséquilibrer	unbalance
déserter	desert
déserteur	deserter
déserticole	desert
désertification	desertification
désertifier	desertify
désescalade	de-escalation
désespérance	despair
désespérant	desperate
désespoir-des-peintres	despair-of-painters
désétatisation	destatization
désétatiser	destatize
déshabillage	undressing
déshabillé	undressed
déshabiller	undress
déshabituer	unaccustom
désherbage	weeding
désherbant	weedkiller
désherber	weed
déshérence	escheat
déshérité	disinherited
déshériter	disinherit
déshumanisation	dehumanization
déshumaniser	dehumanize
déshumidificateur	dehumidifier
déshydratant	desiccant
déshydraté	dehydrated
déshydrater	dehydrate
déshydrogénation	dehydrogenation
déshydrogéner	dehydrogenate
déshypothéquer	disencumber
désillusion	disillusionment
désillusionner	disillusion
désimlocker	unlock
désincarcération	extrication
désincarcérer	extricate
désincarné	disembodied
désincrustant	scrubbing
désincruster	disencrust
désindexation	deindexing
désindexer	deindex
désindustrialisation	deindustrialization
désinence	ending
désinflation	disinflation
désinformation	disinformation
désinformer	misinform
désinhiber	disinhibit
désinsectisation	disinfestation
désinsectiser	disinsect
désinstaller	uninstall
désinstalleur	uninstaller
désintégration	disintegration
désintégrer	disintegrate
désintéressement	selflessness
désintérêt	disinterest
désintermédiation	disintermediation
désintoxication	detoxification
désintoxiquer	detoxify
désinvestir	disinvest
désinvestissement	divestment
désinvolte	casual
désistement	withdrawal
désister	withdraw
désobligeance	derogatory
désobligeant	derogatory
désobliger	disobey
désocialisation	desocialization
désocialiser	desocialize
désodorisant	deodorant
désodoriser	deodorize
désœuvré	idle
désœuvrement	idleness
désolant	desolate
désolé	Sorry
désolidariser	dissociate
désopilant	hilarious
désordonné	messy
désorganisation	disorganization
désorganisé	disorganized
désorganiser	disorganize
désorienter	disorient
désossé	boneless
désosser	bone
désoxydant	deoxidizer
désoxyder	deoxidize
désoxyribonucléique	deoxyribonucleic
despote	despot
despotique	despotic
despotiquement	despotically
despotisme	despotism
desquamation	flaking
desquamer	flake
dessaisir	divest
dessaisissement	divestment
dessalage	desalination
dessalement	desalination
dessaler	desalinate
dessangler	unstrap
dessaouler	sober up
dessaper	to dessipate
dessein	purpose
desseller	unsaddle
desserrage	loosening
desserrement	loosening
desserrer	to loosen
desserte	service
dessertir	dessert
desservir	serve
dessiccatif	desiccant
dessiccation	desiccation
dessiller	unseal
dessin	drawing
dessiné	drawn
dessiner	draw
dessouder	unsolder
dessoûler	sober
dessous-de-bouteille	coaster
dessous-de-bras	underarms
dessous-de-plat	trivet
dessous-de-table	kickback
dessous-de-verre	coaster
dessus-de-lit	bedspread
dessus-de-porte	over-door
déstabilisation	destabilization
déstabiliser	destabilize
déstalinisation	de-Stalinization
destinataire	RECIPIENT
destiner	destin
destituer	remove
destitution	impeachment
déstockage	clearance
déstocker	destock
déstresser	de-stress
destrier	steed
déstructuration	destructuring
désuet	obsolete
désuétude	disuse
désuni	disunited
désunion	disunity
désunir	disunite
désynchronisation	desynchronization
désyndicalisation	deunionization
détachage	stain removal
détaillant	retailer
détailler	detail
détaler	scamper
détartrage	descaling
détartrant	descaler
détartrer	descale
détaxation	tax reduction
détaxe	tax refund
détective	detective
déteindre	rub off
dételage	uncoupling
dételer	unhitch
détendre	relax
détendu	relaxed
détenteur	holder
détention	detention
déterminable	determinable
déterminatif	determinative
déterminisme	determinism
déterministe	determinist
déterré	dug up
déterrer	dig up
détersif	detergent
détersion	cleaning
détestablement	detestably
détestation	hatred
détonant	detonating
détonateur	detonator
détonation	detonation
détoner	detonate
détonner	detonate
détordre	untwist
détortiller	untwist
détournement	diversion
détracteur	detractor
détraqué	unhinged
détraquer	unhinge
détrempe	tempera
détremper	soak
détricotage	unraveling
détricoter	unravel
détritique	detritus
détritus	detritus
détromper	undeceive
détrôner	dethrone
détrousser	rob
deutérium	deuterium
deux-coups	two-shot
deux-deux	two-two
deux-huit	two-eight
deux-mâts	two-masted
deux-points	colon
deux-quatre	two-four
deux-roues	two-wheeler
deux-seize	two-sixteen
deux-temps	two-stroke
deuzio	two
dévaler	slide down
dévaliser	rob
dévaloir	degrade
dévalorisation	devaluation
dévaloriser	devalue
dévaluation	devaluation
dévaluer	devalue
devancement	advancement
devancer	get ahead
devancier	precede
devanture	storefront
dévaser	devastate
déveine	bad luck
développable	developable
développateur	developer
déverbal	deverbal
dévergondage	wantonness
dévergondé	wanton
dévergonder	wanton
dévers	overhang
déversement	spill
déversoir	spillway
dévêtir	undress
déviance	deviance
déviant	deviant
déviationnisme	deviationism
déviationniste	deviationist
dévidage	unwinding
dévider	unwind
dévideur	reel
dévidoir	reel
devineresse	soothsayer
devis	estimate
deviser	to currency
dévissage	unscrewing
de visu	visually
dévitalisation	devitalization
dévitaliser	devitalize
dévoilement	unveiling
dévoisé	devoiced
dévoltage	de-voltage
dévolter	devolve
dévolu	devolved
dévolution	devolution
dévonien	Devonian
dévot	devout
dévotion	devotion
dévoué	devoted
dévouer	dedicate
dévoyer	mislead
dextérité	dexterity
dextre	dexter
dextrine	dextrin
dézinguer	unzip
dézoomer	zoom out
diabète	diabetes
diabétique	diabetic
diablement	devilishly
diablerie	devilry
diablesse	she-devil
diablotin	imp
diaboliquement	diabolically
diabolisation	demonization
diaboliser	demonize
diachronie	diachrony
diachronique	diachronic
diacide	diacid
diaconat	diaconate
diaconesse	deaconess
diacritique	diacritical
diagnostic	diagnosis
diagnostique	diagnostic
diagnostiquer	diagnose
diagonalement	diagonally
diagramme	diagram
dialecte	dialect
dialecticien	dialectician
dialectique	dialectic
dialectiquement	dialectically
dialectologie	dialectology
dialoguer	dialogue
dialoguiste	dialogue writer
dialyse	dialysis
dialysé	dialysis
dialyser	dialyze
dialyseur	dialyzer
diamantaire	diamond dealer
diamantifère	diamondiferous
diamétralement	diametrically
diane	diana
diantre	devil
diapason	tuning fork
diaphane	diaphanous
diaphragme	diaphragm
diaphragmer	diaphragm
diaphyse	shaft
diapo	slide
diaporama	slideshow
diapositive	slide
diapré	diapre
diaprer	diapre
diariste	diarist
diarrhée	diarrhea
diarrhéique	diarrheal
diarthrose	diarthrosis
diastase	diastasis
diastasique	diastatic
diastolique	diastolic
diathermie	diathermy
diatomique	diatomic
diatonique	diatonic
dichotomie	dichotomy
dichotomique	dichotomous
dichromatique	dichromatic
dico	dictionary
dicotylédone	dicotyledonous
dictature	dictatorship
dictionnaire	dictionary
didacticiel	tutorial
didactique	didactic
didactiquement	didactically
didactyle	didactyl
Didon	Dido
Die	die
dièdre	dihedral
diérèse	dieresis
dièse	sharp
diète	diet
diététicien	dietitian
diététique	dietetic
diffamant	defamatory
diffamateur	slanderer
diffamation	defamation
diffamatoire	defamatory
diffamer	defame
différé	deferred
différenciation	differentiation
différencié	differentiated
différentiation	differentiation
différentiel	differential
difformité	deformity
diffracter	diffract
diffus	diffuse
diffuser	broadcast
diffuseur	diffuser
digérer	digest
digeste	digest
digestibilité	digestibility
digestif	digestive
digicode	digital code
digipuncture	acupuncture
digitaline	digitalis
digitaliser	digitize
digitopuncture	acupressure
diglossie	diglossia
dignement	with dignity
dignitaire	dignitary
digramme	digraph
dijonnais	Dijon
dilapidateur	squanderer
dilapidation	squandering
dilapider	squander
dilatabilité	dilatability
dilatable	expandable
dilatateur	dilator
dilatation	expansion
dilater	expand
dilatoire	dilatory
dilemme	dilemma
dilettantisme	dilettantism
diligemment	diligently
diligenter	to diligently
diluant	diluent
diluer	dilute
diluvien	diluvian
dimensionner	dimension
diminué	diminished
diminutif	diminutive
diminution	decrease
dimorphe	dimorphic
dimorphisme	dimorphism
dinanderie	brassware
dinandier	brassware
dînatoire	dinner
dinde	turkey
dindon	turkey
dindonneau	poult
dînette	dinette
dîneur	diner
dingue	crazy
dinguer	crazy
dinguerie	crazy
dinosaure	dinosaur
diocésain	diocesan
diocèse	diocese
Diogène	Diogenes
dionysiaque	Dionysian
dioptrie	diopter
dioptrique	dioptric
dioxine	dioxin
dioxyde	dioxide
diphasé	two-phase
diphtérie	diphtheria
diphtérique	diphtheria
diphtongaison	diphthongization
diphtongue	diphthong
diphtonguer	diphthongize
diplomate	diplomat
diplomatique	diplomatic
diplomatiquement	diplomatically
diplôme	diploma
diplômé	diploma
diplômer	graduate
diplopie	diplopia
dipsomane	dipsomaniac
dipsomanie	dipsomania
diptère	dipteran
diptyque	diptych
directeur	director
directif	directive
directionnel	directional
directoire	board of directors
directrice	director
dirigeable	airship
dirigiste	director
discal	disc
discernable	discernible
disciplinaire	disciplinary
discipliner	discipline
disc-jockey	disc jockey
discobole	discobolus
discographie	discography
discoïde	discoid
discompte	discount
discompteur	discounter
discontinu	discontinuous
discontinuer	discontinue
discontinuité	discontinuity
disconvenir	disagree
discorder	discord
discothécaire	discotheque
discothèque	disco
discoureur	talker
discourir	discourse
discourtois	discourteous
discrédit	discredit
discréditer	discredit
discrétionnaire	discretionary
discriminatoire	discriminatory
discriminer	discriminate
disculpation	exoneration
disculper	exonerate
discursif	discursive
discutable	questionable
discutailler	discuss
disert	talk
diseur	teller
disgrâce	disgrace
disgracié	disgraced
disgracier	disgrace
disgracieux	unsightly
disjoindre	disjoin
disjoint	disjointed
disjoncter	break
disjoncteur	circuit breaker
disjonctif	disjunctive
disjonction	disjunction
disloquer	dislocate
disparité	disparity
dispendieusement	expensively
dispendieux	expensive
dispensaire	dispensary
dispenser	dispense
dispos	ready
dispositif	device
disproportionné	disproportionate
disputé	dispute
disquaire	record store
disqualifier	disqualify
disquette	floppy disk
disruptif	disruptive
dissemblable	dissimilar
dissemblance	dissimilarity
dissémination	dissemination
disséminer	disseminate
dissentiment	dissent
disséquer	dissect
disserte	dissertation
disserter	dissertation
dissidence	dissent
dissimilitude	dissimilarity
dissimulation	concealment
dissiper	dispel
dissocier	dissociate
dissolu	dissolute
dissolubilité	dissolubility
dissoluble	dissolved
dissolvant	solvent
dissoudre	dissolve
dissuasif	deterrent
dissuasion	deterrence
dissyllabe	disyllable
dissyllabique	disyllabic
dissymétrie	dissymmetry
dissymétrique	asymmetrical
distancer	distance
distanciation	distancing
distancier	distance
distendre	distend
distendu	distended
distillat	distillate
distillateur	distiller
distiller	distill
distillerie	distillery
distinguo	distinguish
distique	couplet
distordre	distort
distorsion	distortion
distraire	distract
distrait	distracted
distraitement	distractedly
distrayant	distracting
distributeur	distributer
distributif	distributive
distributionnel	distributional
distributivité	distributiveness
dithyrambe	dithyramb
dithyrambique	dithyrambic
dito	saying
diurèse	diuresis
diurétique	diuretic
diurne	diurnal
divagation	rambling
diverger	diverge
diversifier	diversify
divertissant	entertaining
dividende	dividend
divinateur	divinator
divinatoire	divination
divinement	divinely
diviniser	deify
diviseur	divider
divisibilité	divisibility
divisionnaire	divisional
divorcé	divorce
divorcer	divorce
divulgation	disclosure
divulguer	disclose
dix-huit	eighteen
dix-huitième	eighteenth
dix-neuf	nineteen
dix-neuvième	nineteenth
dix-sept	seventeen
dix-septième	seventeenth
dizain	ten
djeunz	have lunch
djihad	jihad
djihadiste	jihadist
djinn	jinn
DMLA	AMD
Dniepr	Dnieper
docilement	obediently
docilité	docility
docte	learned
doctement	learnedly
docteur	doctor
doctoralement	doctorally
doctorant	doctoral student
doctorat	doctorate
doctoresse	doctor
documentaire	documentary
documentaliste	documentalist
documenter	document
dodécaèdre	dodecahedron
dodécagone	dodecagon
dodécaphonique	dodecaphonic
dodu	plump
dogmatique	dogmatic
dogmatiquement	dogmatically
dogmatiser	dogmatize
dogmatisme	dogmatism
dogme	dogma
dogue	mastiff
doigté	fingering
doigtier	finger cot
doléance	grievance
dolent	doleful
dolichocéphale	dolichocephalic
doline	sinkhole
dolomie	dolomite
domanial	state-owned
domesticité	domesticity
domestiquer	domesticate
domiciliaire	domiciliary
domicilié	domiciled
domicilier	domicile
domien	domin
dominicain	Dominican
dominical	Sunday
Dominique	Dominic
dommageable	damaging
dommages-intérêts	damages
domotique	home automation
domptable	tamable
domptage	taming
dompteur	tamer
donataire	donee
donation-partage	donation-sharing
donjon	dungeon
don Juan	Don Juan
donjuanisme	donjuanism
donnant-donnant	give-and-take
donneur	giver
don Quichotte	Don Quixote
donquichottisme	quixoticism
donzelle	damsel
dopage	doping
dopant	doping
doper	dope
dorade	sea ​​bream
doré	Golden
dorer	brown
doreur	gilder
dorien	dorian
dorique	Doric
dorloter	pamper
dormant	sleeping
dormitif	dormitive
dortoir	dormitory
dorure	gilding
doryphore	Colorado potato beetle
dos-d'âne	speed bump
doser	dose
dosette	pod
doseur	doser
dossard	bib
Dostoïevski	Dostoyevsky
dotation	endowment
doter	endow
douaire	dower
douairière	dowager
douane	customs
douanier	customs officer
doublage	dubbing
doublé	double
double-actif	dual-active
double-blanc	double-white
double-cliquer	double click
double-crème	double cream
double-fenêtre	double window
double peine	double punishment
doubler	double
doublon	duplicate
doublure	lining
douce-amère	bittersweet
douceâtre	sweetish
doucereux	sweet
doucette	sweet
doucettement	gently
Douchanbé	Dushanbe
douche	shower
doucher	shower
douchette	shower
doudoune	puffy jacket
douille	socket
douillet	cozy
douillettement	cozy
douve	moat
Douvres	Dover
doux-amer	bittersweet
doyen	dean
doyenné	deanery
Dr	Dr.
drachme	drachma
draconien	draconian
dragage	dredging
dragée	sugared almond
dragéifier	sugarcoat
drageon	sucker
dragonne	wrist strap
dragonnier	dragon tree
drague	flirt
draguer	to dredge
dragueur	flirtatious
draine	drained
drainer	drain
draisienne	balance bike
draisine	handcar
drakkar	longship
dramatiquement	dramatically
dramatisation	dramatization
dramatiser	dramatize
dramaturge	playwright
dramaturgie	dramaturgy
drame	drama
draper	drape
draperie	drapery
drap-housse	fitted sheet
drapier	draper
drastique	drastic
dravidien	Dravidian
drépanocytose	sickle cell anemia
dresseur	trainer
dressoir	dresser
DRH	HR
dribbler	dribble
dribbleur	dribbler
drille	drill
dring	ring
drisse	halyard
drogué	drug
droguer	drug
droguerie	drugstore
droguet	drug
droguiste	druggist
droit-de-l'hommiste	human rights
droitier	right-handed
droitisation	rightization
droitiser	right
drolatique	funny
drôle	funny
drôlement	funny
drôlerie	funny
drôlesse	funny
dromadaire	dromedary
Drôme	Drome
drop-goal	drop goal
drosophile	Drosophila
druide	druid
druidesse	druidess
druidique	druidic
druidisme	druidism
dryade	dryad
dualisme	dualism
dualiste	dualist
dualité	duality
Dubaï	Dubai
dubitatif	doubtful
dubitativement	doubtfully
dublinois	Dubliner
duc	duke
duché	duchy
duchesse	duchess
ductilité	ductility
duègne	duenna
duelliste	duelist
duettiste	duettist
duffel-coat	duffel coat
dulcinée	dulcine
dum-dum	dumdum
dunette	poop
Dunkerque	Dunkirk
dunkerquois	Dunkirk
duodécimal	duodecimal
duodénal	duodenal
duodénum	duodenum
duplicata	duplicate
duplicateur	duplicator
dupliquer	duplicate
durabilité	sustainability
durablement	sustainably
duratif	durative
durcir	harden
durcissement	hardening
durcisseur	hardener
dure-mère	dura mater
durillon	callus
durite	hose
duveté	downy
duveteux	fluffy
DVD-vidéo	DVD-video
dyarchie	diarchy
dynamique	dynamic
dynamiquement	dynamically
dynamiser	energize
dynamisme	dynamism
dynamitage	blasting
dynamiter	dynamite
dynamiteur	dynamiter
dynamo-électrique	dynamo-electric
dynamographe	dynamograph
dynamomètre	dynamometer
dynastique	dynastic
dysentérique	dysenteric
dysfonctionnement	dysfunction
dysgraphie	dysgraphia
dyslexie	dyslexia
dyslexique	dyslexic
dysménorrhée	dysmenorrhea
dysorthographique	dysorthographic
dyspepsie	dyspepsia
dyspepsique	dyspeptic
dyspnée	dyspnea
dystrophie	dystrophy
dystrophine	dystrophin
eau-de-vie	brandy
eau-forte	etching
eaux-vannes	black water
ébahi	amazed
ébahir	amaze
ébahissement	amazement
ébarbage	trimming
ébarber	trim
ébats	antics
ébaubi	amazed
ébaubir	rough out
ébauche	draft
ébaucher	sketch
ébaudir	to stare
ébénier	ebony
ébéniste	cabinetmaker
ébénisterie	cabinet making
éberluer	bewilder
éblouir	dazzle
éblouissement	glare
ébonite	ebonite
éborgner	to blind
éboueur	garbage collector
ébouillanter	scald
éboulement	landslide
ébouler	collapse
éboulis	scree
ébourgeonner	disbud
ébouriffant	hair-raising
ébouriffer	ruffle
ébranchage	limbing
ébrancher	unplug
ébranchoir	pruner
ébranlement	shaking
ébrécher	chip
ébréchure	chip
ébriété	drunkenness
ébrouement	snorting
ébrouer	snort
ébruitement	noise
ébruiter	spread
écaillage	flaking
écaille	scale
écailler	flake
écailleux	scaly
écaillure	chipping
écale	shell
écaler	peel
écarquiller	widen
écartèlement	quartering
écarteur	spreader
écart-type	standard deviation
ecchymose	bruise
ecclésiastique	ecclesiastical
écervelé	brainless
échafaud	scaffold
échafaudage	scaffolding
échafauder	scaffold
échalas	stakes
échalier	stile
échalote	shallot
échancré	low-cut
échancrer	to indent
échancrure	indentation
échangeable	exchangeable
échangeur	interchange
échangisme	swinging
échangiste	swinger
échantillon	sample
échantillonnage	sampling
échantillonner	sample
échappatoire	loophole
écharde	splinter
écharper	scarf
échasse	stilt
échassier	wader
échauder	scald
échauffement	warm-up
échauffer	warm up
échauffourée	clash
échauguette	watchtower
èche	arrow
échéancier	timeline
échéant	applicable
échelon	step
échelonnement	staggering
échelonner	stagger
écheveau	skein
échevelé	disheveled
écheveler	dishevel
échevin	alderman
échine	spine
échiner	to strain
échiquier	chessboard
échographie	ultrasound
échographier	ultrasound
échographique	ultrasound
échographiste	sonographer
échoir	drying rack
écholocation	echolocation
échoppe	stall
échotier	echo-picker
échouage	stranding
échouement	grounding
échu	expired
écimage	topping
écimer	to top off
éclaboussement	splash
éclabousser	splash
éclaboussure	splash
éclairagiste	lighting engineer
éclaircie	thinning
éclaircir	clear up
éclaircissant	lightening
éclaircissement	clarification
éclairement	illumination
éclaireur	scout
éclampsie	eclampsia
éclatement	bursting
éclateur	spark gap
éclectique	eclectic
éclectisme	eclecticism
éclipser	eclipse
écliptique	ecliptic
éclisse	splint
éclisser	splint
éclopé	crippled
écloserie	hatchery
écluse	lock
éclusée	locked
écluser	lock
éclusier	lock keeper
éco-audit	eco-audit
écobuage	eco-burning
écobuer	to squander
écoconception	ecodesign
écœurant	disgusting
écœurement	disgust
écœurer	sicken
éco-guerrier	eco-warrior
éco-industrie	eco-industry
écolabel	ecolabel
écolier	schoolboy
écolo	eco-friendly
écologie	ecology
écologique	ecological
écologisme	ecology
écologiste	ecologist
écomusée	ecomuseum
éconduire	dismiss
éconocroques	econocroques
économat	commissary
économe	thrifty
économétricien	econometrician
économétrie	econometrics
économétrique	econometric
économie	economy
économiquement	economically
économiste	economist
éco-participation	eco-participation
écopastille	eco-pastille
écope	scoop
écoper	bail
éco-prêt	eco-loan
écoproduit	eco-product
écoquartier	eco-district
écorcer	bark
écorchement	flaying
écorcher	skin
écorcheur	flayer
écorchure	abrasion
écorner	dehorn
écornifler	to scratch
écossais	Scottish
Écosse	Scotland
écosser	shell
écosystème	ecosystem
écot	ecot
écotaxe	ecotax
écotourisme	ecotourism
écotoxique	ecotoxic
écourter	shorten
écouteur	earphone
écoutille	hatch
écouvillonnage	swabbing
écouvillonner	swab
écrabouiller	crush
écrase-merde	shit crusher
écraseur	crusher
écrémage	skimming
écrémer	skim
écrémeuse	cream separator
écrêtage	clipping
écrêter	clip
écrevisse	crayfish
écritoire	writing desk
écrivailler	write
écrivailleur	writer
écrivaillon	scribble
écrivassier	writer
écrou	nut
écrouelles	scrofula
écrouer	to imprison
écroulement	collapse
écru	ecru
ectomorphe	ectomorph
ectoplasme	ectoplasm
écu	shield
écubier	hawse tree
écueil	pitfall
éculé	hackneyed
écumage	skimming
écumant	foaming
écumeur	skimmer
écumeux	frothy
écumoire	skimmer
écureuil	squirrel
écurie	stable
écusson	crest
écuyer	squire
eczéma	eczema
eczémateux	eczematous
edam	Edam
éden	Eden
édénique	Edenic
édenté	toothless
édenter	toothless
édicter	enact
édicule	aedicula
édifiant	uplifting
édile	councilor
Édimbourg	Edinburgh
édit	edit
éditer	edit
éditeur	editor
édition	edition
éditique	desktop publishing
édito	editorial
éditorial	editorial
éditorialiste	editorialist
édredon	quilt
éducatif	educational
édulcorant	sweetener
édulcorer	sweeten
EEE	EEA
effaçable	erasable
effacement	erasure
effaceur	eraser
effarant	appalling
effarement	dismay
effarer	frighten
effaroucher	scare
effectif	effective
efféminé	effeminate
efféminer	effeminate
efférent	efferent
effeuillage	leaf stripping
effeuiller	strip the leaves
effeuilleuse	leaf stripper
efficience	efficiency
effigie	effigy
effilé	tapered
effiler	taper
effilochage	fraying
effilocher	fray
efflanqué	skinny
effleurement	touch
