Mладоженецот	The groom	Mladozhenetsot
дворски	courtly	dvorski
дворскиот	the courtier	dvorskiot
дворци	palaces	dvortsi
дворците	the palaces	dvortsite
дворче	courtyard	dvorche
двосмислени	ambiguous	dvosmisleni
двосмислено	ambiguous	dvosmisleno
двостран	double-sided	dvostran
двострано	bilateral	dvostrano
двоумам	I hesitate.	dvoumam
двоумевме	we hesitated	dvoumevme
двоумејќи	hesitating	dvoumejkji
двоумење	hesitation	dvoumenje
двоумете	hesitate	dvoumete
двоумеше	hesitated	dvoumeshe
двоуми	hesitate	dvoumi
двоумите	you hesitate	dvoumite
двоумиш	you hesitate	dvoumish
де	where	de
деа	dea	dea
деаја	event	deaja
деака	deaka	deaka
деат	they are	deat
дебати	debates	debati
дебел	fat	debel
дебела	fat	debela
дебелата	the fat one	debelata
дебелеа	they got fat	debelea
дебели	fat	debeli
дебелина	obesity	debelina
дебелината	obesity	debelinata
дебелите	the fat ones	debelite
дебело	thick	debelo
Дебирот	The Debir	Debirot
дебнат	lurking	debnat
дебне	lurks	debne
дебнеа	they were lurking	debnea
дебнев	I was lurking.	debnev
дебнееш	you are lurking	debneesh
дебнејќи	lurking	debnejkji
дебнеме	we are lurking	debneme
дебнеш	you lurk	debnesh
дебнеше	lurked	debneshe
дев	virgin	dev
деваат	they are doing	devaat
деваме	we are going	devame
Девар	Brother-in-law	Devar
деваше	was happening	devashe
деведесет	ninety	devedeset
деведесеттата	the ninetieth	devedesettata
деведесетте	the nineties	devedesette
девеесет	ninety	deveeset
девер	brother-in-law	dever
деверот	brother-in-law	deverot
деверската	sister-in-law	deverskata
девет	nine	devet
деветиот	the ninth	devetiot
деветмина	nine people	devetmina
деветмината	the nine	devetminata
деветнаесет	nineteen	devetnaeset
деветнаесетмина	nineteen	devetnaesetmina
деветнаесеттата	the nineteenth	devetnaesettata
деветнаесеттиот	nineteenth	devetnaesettiot
деветстоитни	nine hundredth	devetstoitni
деветстотини	nine hundred	devetstotini
деветта	ninth	devetta
деветтата	the ninth	devettata
деветте	the nine	devette
деветти	ninth	devetti
деветтиот	the ninth	devettiot
деветто	ninth	devetto
деветтото	the ninth	devettoto
Девир	Devir	Devir
Девира	Devira	Devira
девирски	virgin	devirski
девица	virgin	devitsa
девицата	the virgin	devitsata
девице	virgin	devitse
девици	virgins	devitsi
девиците	the virgins	devitsite
Девлат	Devlat	Devlat
Девлатаим	Devlataim	Devlataim
девој	girl	devoj
девојка	girl	devojka
девојката	the girl	devojkata
девојки	girls	devojki
девојките	the girls	devojkite
девојко	girl	devojko
девојче	girl	devojche
девојченцата	the little girl	devojchentsata
девојчето	the girl	devojcheto
девојчинските	the girls'	devojchinskite
девојчиња	girls	devojchinja
Девон	Devon	Devon
девонска	Devonian	devonska
девонски	Devonian	devonski
Девонскиот	Devonian	Devonskiot
Девор	Devor	Devor
Девора	Deborah	Devora
Деворината	The Devorina	Devorinata
Деворо	Devoro	Devoro
Деврат	Devrat	Devrat
девствената	the virgin	devstvenata
девствени	virgin	devstveni
девственик	virgin	devstvenik
девствените	the virgins	devstvenite
девственици	virgins	devstvenitsi
девственост	virginity	devstvenost
девственоста	virginity	devstvenosta
девте	virgin	devte
деда	grandfather	deda
Дедан	Dedan	Dedan
Дедана	Dedana	Dedana
Деданови	Dedanites	Dedanovi
Дедановите	The Dedanites	Dedanovite
дедански	Dedanian	dedanski
дедека	grandfather	dedeka
дедо	grandfather	dedo
дедовина	grandfather	dedovina
дедовските	grandfather's	dedovskite
дедовско	grandfather's	dedovsko
дедото	the grandfather	dedoto
дее	dee	dee
деевите	the deeds	deevite
дееја	they did	deeja
деел	share	deel
дееме	let's go	deeme
деењето	the act	deenjeto
дееше	was happening	deeshe
деж	rain	dezh
дежта	rain	dezhta
деј	day	dej
деја	deja	deja
дејќи	because	dejkji
дејност	activity	dejnost
Дејноста	The activity	Dejnosta
дејска	action	dejska
дејски	active	dejski
дејскиот	the active	dejskiot
дејските	the actions	dejskite
дејства	actions	dejstva
дејствата	the actions	dejstvata
дејствено	effectively	dejstveno
дејствието	the action	dejstvieto
дејствија	actions	dejstvija
дејство	action	dejstvo
дејството	the action	dejstvoto
дејствува	act	dejstvuva
дејствуваа	acted	dejstvuvaa
дејствуваат	act	dejstvuvaat
дејствувај	act	dejstvuvaj
дејствувам	I act.	dejstvuvam
дејствуваме	we act	dejstvuvame
дејствување	action	dejstvuvanje
дејствувањето	the action	dejstvuvanjeto
дејствувате	you act	dejstvuvate
дејствуваш	you act	dejstvuvash
дејствуваше	acted	dejstvuvashe
дејстувате	you act	dejstuvate
дејци	actors	dejtsi
дејците	the actors	dejtsite
дека	that	deka
Декаполис	Decapolis	Dekapolis
декември	December	dekemvri
Декер	Decker	Deker
Декеров	Decker	Dekerov
декија	child	dekija
Декла	Decla	Dekla
Декрет	Decree	Dekret
дел	part	del
дела	works	dela
Делаиеви	Delaiyev	Delaievi
Делаини	Delaney	Delaini
Делај	Share	Delaj
Делаја	Delay	Delaja
делам	I share	delam
делани	divided	delani
делат	share	delat
делата	the works	delata
делба	division	delba
делбата	the division	delbata
деле	share	dele
делеа	they shared	delea
делев	I shared	delev
делегација	delegation	delegatsija
дележ	division	delezh
делеја	they shared	deleja
делејќи	dividing	delejkji
делеле	shared	delele
делени	shared	deleni
деление	division	delenie
деленија	divisions	delenija
делење	division	delenje
делењето	the division	delenjeto
делете	share	delete
делец	fragment	delets
делеше	shared	deleshe
дели	share	deli
делив	divisible	deliv
Делила	Delilah	Delila
делиме	we share	delime
делите	share	delite
делител	divisor	delitel
делиш	you share	delish
делка	piece	delka
делкаа	they were doing	delkaa
делкаат	they carve	delkaat
делкан	carved	delkan
делкани	carved	delkani
делканиот	the carved one	delkaniot
делкачите	the carvers	delkachite
делкаш	you are a craftsman	delkash
делкаше	carved	delkashe
делно	partially	delno
дело	work	delo
делови	parts	delovi
деловите	the parts	delovite
делот	the part	delot
делотворен	effective	delotvoren
делотворна	effective	delotvorna
Делотворната	The effective	Delotvornata
делотворни	effective	delotvorni
делотворно	effectively	delotvorno
делото	the work	deloto
делто	delta	delto
делува	works	deluva
делувања	actions	deluvanja
делување	action	deluvanje
делуваше	worked	deluvashe
делумно	partially	delumno
делумното	the partial	delumnoto
делци	parts	deltsi
делците	the parts	deltsite
делче	particle	delche
делчиња	particles	delchinja
деме	deme	deme
демнат	lurking	demnat
демне	lurking	demne
демнеа	lurked	demnea
демнее	lurking	demnee
демнел	lurking	demnel
демнеш	you are lurking	demnesh
демон	demon	demon
демони	demons	demoni
демоните	the demons	demonite
демонот	the demon	demonot
демонска	demonic	demonska
демонската	demonic	demonskata
демонски	demonic	demonski
демонскиот	the demonic	demonskiot
демонските	the demonic	demonskite
демонско	demonic	demonsko
ден	day	den
дена	days	dena
Денава	Today	Denava
денам	daytime	denam
денар	denar	denar
денарии	denarii	denarii
денариј	denarius	denarij
денарија	denarius	denarija
денгубат	money lost	dengubat
денгубата	the money	dengubata
денгубници	day-losers	dengubnitsi
денденес	nowadays	dendenes
денес	today	denes
денеска	today	deneska
денецот	the day	denetsot
денеш	today	denesh
денешен	today's	deneshen
Денешна	Today's	Deneshna
денешнава	today's	deneshnava
денешниов	today's	deneshniov
денешниот	today's	deneshniot
денешните	today's	deneshnite
денешно	today	deneshno
денешното	today's	deneshnoto
дени	days	deni
дение	day	denie
дението	the day	denieto
денија	Denia	denija
дениот	the day	deniot
дените	the days	denite
Деница	Daylight	Denitsa
деницата	the day	denitsata
Денице	Denice	Denitse
Деницо	Denitsa	Denitso
деничен	daily	denichen
дено	daily	deno
денови	days	denovi
деновиве	these days	denovive
деновите	the days	denovite
деноноќно	around the clock	denonokjno
деност	daily life	denost
денот	the day	denot
денс	dance	dens
денскиот	today's	denskiot
дента	the day	denta
дења	days	denja
дење	during the day	denje
дењето	the day	denjeto
деон	deon	deon
дерат	they are crying	derat
Дерба	Derba	Derba
Дерва	Wood	Derva
Дервија	Dervia	Dervija
дере	bark	dere
дереа	they cried	derea
дерете	yell	derete
дерикожецот	the derrickman	derikozhetsot
Дерконови	Derkonov	Derkonovi
дес	left	des
деса	desa	desa
десата	the country	desata
десе	ten	dese
десен	right	desen
десет	ten	deset
десетари	corporals	desetari
Десетградието	The Decadal	Desetgradieto
десетина	dozen	desetina
десетината	the tenth	desetinata
десетини	tenths	desetini
десетините	the tithes	desetinite
десетиот	the tenth	desetiot
десетици	dozens	desetitsi
десетиците	the tens	desetitsite
десетмина	ten people	desetmina
десетмината	the tenth	desetminata
десетначалници	decapitas	desetnachalnitsi
десетник	corporal	desetnik
десетници	tens	desetnitsi
десето	tenth	deseto
десеток	tithe	desetok
десетокот	the tithe	desetokot
десетострунен	ten-stringed	desetostrunen
десетострунена	ten-stringed	desetostrunena
десетотк	ten	desetotk
десетото	the tenth	desetoto
десетоци	tenths	desetotsi
десетоците	the tithes	desetotsite
десетпати	ten times	desetpati
десетта	tenth	desetta
десеттата	the tenth	desettata
десетте	the ten	desette
десетти	tenth	desetti
десеттина	tenth	desettina
десеттиот	the tenth	desettiot
десетто	the tenth	desetto
Десеттоградието	The Decembrist	Desettogradieto
десеттото	the tenth	desettoto
десна	right	desna
десната	the right	desnata
десниот	the right	desniot
десните	the right-wing	desnite
десница	right wing	desnitsa
десницата	the right wing	desnitsata
десниците	the right-wingers	desnitsite
десно	right	desno
десното	the right	desnoto
деспот	despot	despot
десте	ten	deste
Детален	Detailed	Detalen
детално	in detail	detalno
детаљ	detail	detalj
дете	child	dete
детево	child	detevo
детелот	the woodpecker	detelot
детенце	child	detentse
детенцето	the child	detentseto
детето	the child	deteto
детинското	childish	detinskoto
детинство	childhood	detinstvo
детни	daily	detni
детски	children's	detski
детските	children's	detskite
детското	the child's	detskoto
детство	childhood	detstvo
детството	childhood	detstvoto
Деуел	Deuel	Deuel
Деуелов	Deuelov	Deuelov
Деуелови	Deuels	Deuelovi
Деуеловиот	Deuel's	Deueloviot
Деха	Deha	Dekha
дец	children	dets
деца	children	detsa
децава	these children	detsava
децата	the children	detsata
децот	the child	detsot
децу	children	detsu
дечиња	children	dechinja
дечињата	the children	dechinjata
дечна	right	dechna
деш	dash	desh
деше	happened	deshe
ди	yes	di
диаволос	diavolos	diavolos
дибек	deadlock	dibek
див	wild	div
дива	wild	diva
Диван	Sofa	Divan
дивата	the wild one	divata
дивеч	game	divech
дивечот	the game	divechot
диви	wild	divi
дивина	wilderness	divina
дивинита	divinity	divinita
дивиот	the wild one	diviot
Дивировите	The Divyrs	Divirovite
дивите	the wild ones	divite
Дивла	Wild	Divla
Дивлаим	Divlaim	Divlaim
Дивлаима	Divlaaima	Divlaima
Дивлат	Divlat	Divlat
Дивлатаим	Divlataim	Divlataim
диво	wild	divo
дивови	giants	divovi
дивокози	chamois	divokozi
Дивон	Divonne	Divon
дивонски	Devonian	divonski
дивото	the wild	divoto
Дивриева	Divrieva	Divrieva
диг	dig	dig
дига	lift	diga
дигаат	they lift	digaat
дигај	lift	digaj
дигајќи	lifting	digajkji
дигајте	lift	digajte
дигам	I lift.	digam
дигаме	we lift	digame
дигате	lift	digate
дигаш	you lift	digash
дигаше	was lifting	digashe
дигна	got up	digna
дигнаа	they lifted	dignaa
дигнав	I lifted	dignav
дигнавте	you lifted	dignavte
дигнал	started	dignal
дигнала	lifted	dignala
дигнале	they lifted	dignale
дигнам	I lift	dignam
дигнат	risen	dignat
дигнати	lifted	dignati
дигне	get up	digne
дигнеме	let's get up	digneme
дигнете	lift up	dignete
дигнеш	you lift	dignesh
дигнеше	rose	digneshe
дигни	lift	digni
Дидимус	Didymus	Didimus
дидрахма	didrachma	didrakhma
дидрахми	didrachms	didrakhmi
дие	child	die
диев	god	diev
диелов	part	dielov
дижвее	live	dizhvee
диз	diesel	diz
Дизав	I designed	Dizav
дизвикаа	they shouted	dizvikaa
дизентерија	dysentery	dizenterija
диите	the days	diite
дија	dia	dija
дијадема	diadem	dijadema
дијамант	diamond	dijamant
дијамантски	diamond	dijamantski
дијаспора	diaspora	dijaspora
дикел	dickel	dikel
Дикла	Dikla	Dikla
дил	deal	dil
Дилан	Dylan	Dilan
дилни	heart	dilni
дилници	dills	dilnitsi
дим	smoke	dim
Димас	Dimas	Dimas
димат	smoke	dimat
диме	smoke	dime
Димензии	Dimensions	Dimenzii
Димензиите	Dimensions	Dimenziite
димеше	it was smoking	dimeshe
дими	smoke	dimi
Димитри	Dimitri	Dimitri
Димитриј	Dimitri	Dimitrij
Димитрија	Dimitrija	Dimitrija
Димлаимова	Dimlaimova	Dimlaimova
Димна	Smoke	Dimna
димник	chimney	dimnik
Димон	Dimon	Dimon
Димона	Dimona	Dimona
Димонските	The Dimons	Dimonskite
димот	the smoke	dimot
дин	din	din
дина	dune	dina
динарии	dinars	dinarii
динариј	denarius	dinarij
динарија	dinar	dinarija
дината	the dune	dinata
дине	dinner	dine
Динејците	The Dineans	Dinejtsite
дини	dunes	dini
Динини	Dinini	Dinini
дините	the dunes	dinite
диното	the dino	dinoto
Динхава	Dinhava	Dinkhava
дињи	melons	dinji
дињите	the melons	dinjite
Дионисиј	Dionysius	Dionisij
Диос	Dios	Dios
Диоскури	Dioscuri	Dioskuri
Диоскурите	The Dioscuri	Dioskurite
Диотреф	Diotrephes	Diotref
дирек	direct	direk
дирека	direct	direka
директно	directly	direktno
диреци	drivers	diretsi
диреците	the directs	diretsite
дири	search	diri
дис	breath	dis
Дисан	Disan	Disan
Дисанови	Disans	Disanovi
дискретни	discreet	diskretni
дискриминација	discrimination	diskriminatsija
Дисон	Dyson	Dison
Дисонови	Dysons	Disonovi
Дисра	Disra	Disra
дисциплина	discipline	distsiplina
дисциплинира	discipline	distsiplinira
дисциплинирам	I discipline	distsipliniram
дит	child	dit
дите	the child	dite
дителите	the children	ditelite
дици	children	ditsi
диш	breathe	dish
Дишан	Duchamp	Dishan
дишат	breathe	dishat
дише	breathes	dishe
дишејќи	breathing	dishejkji
дишење	breathing	dishenje
дишењето	breathing	dishenjeto
дишеше	was breathing	disheshe
диши	breathe	dishi
дишките	the respiratory system	dishkite
дишно	respiratory	dishno
Дишон	Dishon	Dishon
Дишонови	Dishonov	Dishonovi
дишта	breath	dishta
диштата	the breath	dishtata
дла	chisel	dla
длабени	carved	dlabeni
длаби	deep	dlabi
длабината	the depth	dlabinata
длабини	depths	dlabini
длабините	the depths	dlabinite
длабнатините	the depths	dlabnatinite
длабнатинки	indentations	dlabnatinki
длабок	deep	dlabok
длабока	deep	dlaboka
длабоката	the deep	dlabokata
длабоки	deep	dlaboki
длабокиот	the deep	dlabokiot
длабоките	the deep ones	dlabokite
длабоко	deep	dlaboko
длабокото	the deep	dlabokoto
длабочина	depth	dlabochina
длабочината	the depth	dlabochinata
длабочини	depths	dlabochini
длабочините	the depths	dlabochinite
длабочино	in depth	dlabochino
длабочните	the deep ones	dlabochnite
длан	palm	dlan
дланка	palm	dlanka
дланката	the palm	dlankata
дланки	palms	dlanki
дланките	the palms	dlankite
дланот	the palm	dlanot
длето	chisel	dleto
дна	bottom	dna
дната	the bottom	dnata
днев	daily	dnev
дневна	daily	dnevna
дневната	the living room	dnevnata
дневни	daily	dnevni
дневниот	the daily	dnevniot
дневните	daily	dnevnite
дневница	daily allowance	dnevnitsa
дневницата	the daily wage	dnevnitsata
дневно	daily	dnevno
дни	days	dni
дните	the days	dnite
дно	bottom	dno
дноста	the quality	dnosta
дното	bottom	dnoto
до	to	do
доа	doa	doa
доаѓа	is coming	doagja
доаѓаа	they were coming	doagjaa
доаѓааат	they are coming	doagjaaat
доаѓаат	they are coming	doagjaat
доаѓавте	you were coming	doagjavte
доаѓај	come	doagjaj
доаѓајки	coming	doagjajki
доаѓајќи	coming	doagjajkji
доаѓајте	come	doagjajte
доаѓал	was coming	doagjal
доаѓала	was coming	doagjala
доаѓале	they were coming	doagjale
доаѓало	was coming	doagjalo
доаѓам	I am coming	doagjam
доаѓаме	we are coming	doagjame
доаѓање	arrival	doagjanje
доаѓањето	the arrival	doagjanjeto
доаѓате	you are coming	doagjate
доаѓаш	you are coming	doagjash
доаѓаше	was coming	doagjashe
доб	age	dob
доба	age	doba
добар	good	dobar
добата	the age	dobata
добдро	hello	dobdro
добереш	you choose	doberesh
доберок	good harvest	doberok
доберокот	the harvest	doberokot
доберување	selection	doberuvanje
доберувач	selector	doberuvach
доби	received	dobi
добив	I got	dobiv
добива	gets	dobiva
добиваа	they received	dobivaa
добиваат	they receive	dobivaat
добивав	I was getting	dobivav
добивавте	you were getting	dobivavte
добивај	get	dobivaj
добивајќи	receiving	dobivajkji
добивам	I get	dobivam
добиваме	we get	dobivame
добивање	receiving	dobivanje
добивањето	receiving	dobivanjeto
добивате	you get	dobivate
добиваш	you get	dobivash
добиваше	was getting	dobivashe
добивка	profit	dobivka
добивме	we got	dobivme
добивте	you got	dobivte
добие	get	dobie
добиев	I received	dobiev
добиевте	you received	dobievte
добиеле	received	dobiele
добиеме	we get	dobieme
добиен	received	dobien
добиена	received	dobiena
Добиената	The resulting	Dobienata
добиените	the obtained	dobienite
добиено	received	dobieno
добиеното	the result	dobienoto
добиете	get	dobiete
добието	received	dobieto
добиеш	you get	dobiesh
добија	they got	dobija
добијам	I get	dobijam
добијат	receive	dobijat
добил	received	dobil
добила	she got	dobila
добиле	received	dobile
добиоток	profit	dobiotok
добиток	livestock	dobitok
добитокот	the cattle	dobitokot
добици	profits	dobitsi
добиче	little boy	dobiche
добичето	the beast	dobicheto
добичиња	cattle	dobichinja
доблести	virtues	doblesti
добли	double	dobli
доближам	I come closer.	doblizham
доближат	come closer	doblizhat
доближени	closer	doblizheni
доближеше	came closer	doblizheshe
доближи	come closer	doblizhi
доближивте	you approached	doblizhivte
доближија	they came closer	doblizhija
доближил	approached	doblizhil
доближиле	approached	doblizhile
доближиме	let's get closer	doblizhime
доближу	closer	doblizhu
доближува	approaches	doblizhuva
доближуваат	they are getting closer	doblizhuvaat
доближувавме	we were getting closer	doblizhuvavme
доближувај	move closer	doblizhuvaj
доближувајќи	approaching	doblizhuvajkji
доближувајте	get closer	doblizhuvajte
доближуваме	we are getting closer	doblizhuvame
доближуваше	was getting closer	doblizhuvashe
добороволно	voluntarily	doborovolno
доборокот	the battle	doborokot
доботокот	the profit	dobotokot
добра	good	dobra
добрата	the good	dobrata
добредојде	welcome	dobredojde
добри	good	dobri
добрина	kindness	dobrina
добрината	kindness	dobrinata
добрини	good things	dobrini
добрините	the good things	dobrinite
добриот	the good one	dobriot
добрите	the good ones	dobrite
добро	good	dobro
доброволен	voluntary	dobrovolen
доброволечките	the volunteers	dobrovolechkite
доброволна	voluntary	dobrovolna
доброволни	voluntary	dobrovolni
доброволните	the volunteers	dobrovolnite
доброволно	voluntarily	dobrovolno
доброволци	volunteers	dobrovoltsi
доброволците	the volunteers	dobrovoltsite
добродетел	benefactor	dobrodetel
добродетели	virtues	dobrodeteli
добродетелна	virtuous	dobrodetelna
добродетелната	the virtuous	dobrodetelnata
добродетелни	virtuous	dobrodetelni
добродетелства	virtues	dobrodetelstva
добродетелството	charity	dobrodetelstvoto
добродетелта	virtue	dobrodetelta
Добродија	Kindness	Dobrodija
добродушност	good-naturedness	dobrodushnost
доброени	good-natured	dobroeni
доброљубив	benevolent	dobroljubiv
добронамерни	well-intentioned	dobronamerni
доброречив	well-spoken	dobrorechiv
доброса	kindness	dobrosa
добросрдечност	kindness	dobrosrdechnost
доброта	kindness	dobrota
добротата	kindness	dobrotata
добротвор	benefactor	dobrotvor
добротворецот	the benefactor	dobrotvoretsot
добротвори	charity	dobrotvori
Добротворната	The charity	Dobrotvornata
добротворства	charities	dobrotvorstva
добротворство	charity	dobrotvorstvo
добротворството	charity	dobrotvorstvoto
добротворците	the benefactors	dobrotvortsite
доброто	the good	dobroto
доброчестивост	piety	dobrochestivost
доброчинствата	the charities	dobrochinstvata
доброчинството	charity	dobrochinstvoto
дов	here	dov
дова	prayer	dova
довата	the prayer	dovata
довде	this way	dovde
дове	here	dove
довеа	they brought	dovea
доведам	bring	dovedam
доведат	bring	dovedat
доведе	led	dovede
доведев	I brought	dovedev
доведеме	let's bring	dovedeme
доведен	brought	doveden
доведена	brought	dovedena
доведени	brought	dovedeni
доведено	brought	dovedeno
доведете	bring	dovedete
доведеш	bring	dovedesh
доведи	bring	dovedi
доведоа	they brought	dovedoa
доведов	I brought	dovedov
доведовме	we brought	dovedovme
доведовте	you brought	dovedovte
доведува	brings	doveduva
доведуваа	they brought	doveduvaa
доведуваат	bring	doveduvaat
доведувајќи	bringing	doveduvajkji
доведувајте	bring	doveduvajte
доведувам	I bring	doveduvam
доведувате	you bring	doveduvate
доведуваше	brought	doveduvashe
довеземе	let's bring	dovezeme
довезуваа	they were bringing	dovezuvaa
довезуваше	was bringing	dovezuvashe
довек	forever	dovek
довека	forever	doveka
довел	brought	dovel
довеле	brought	dovele
довело	led	dovelo
доверам	I trust	doveram
доверат	trust	doverat
доверба	trust	doverba
довербата	trust	doverbata
доверен	trusted	doveren
доверена	entrusted	doverena
доверени	entrusted	dovereni
довереник	trustee	doverenik
доверените	the trusted ones	doverenite
доверено	entrusted	dovereno
доверете	trust	doverete
довери	trust	doveri
доверив	I entrusted	doveriv
доверија	they trusted	doverija
доверил	entrusted	doveril
довериме	let's trust	doverime
доверува	trusts	doveruva
доверуваа	they trusted	doveruvaa
доверувајќи	entrusting	doveruvajkji
доверувајте	trust	doveruvajte
доверувам	I trust	doveruvam
доверуваше	trusted	doveruvashe
дови	hello	dovi
довикна	shouted	dovikna
довикне	shout	dovikne
довикува	shouts	dovikuva
довикуваа	they shouted	dovikuvaa
довикуваат	they call out	dovikuvaat
довикувате	you call out	dovikuvate
довикуваше	shouted	dovikuvashe
довиот	the dove	doviot
довите	the prayers	dovite
довлекоа	they dragged	dovlekoa
довлече	dragged	dovleche
довлечкаат	drag	dovlechkaat
довме	we came	dovme
довни	late	dovni
дово	this way	dovo
довозот	the import	dovozot
доволен	satisfied	dovolen
доволна	satisfied	dovolna
доволни	enough	dovolni
доволно	enough	dovolno
довр	complete	dovr
довратника	the doorpost	dovratnika
довратникот	the doorpost	dovratnikot
довратници	door frames	dovratnitsi
довратниците	the doorposts	dovratnitsite
доврен	finished	dovren
довршам	I finish.	dovrsham
довршат	finish	dovrshat
довршен	completed	dovrshen
довршени	completed	dovrsheni
довршете	finish	dovrshete
доврши	finish	dovrshi
довршија	they finished	dovrshija
довршиле	have finished	dovrshile
довршите	finish	dovrshite
Довршителот	The Finisher	Dovrshitelot
довршиш	finish	dovrshish
довршува	completes	dovrshuva
довршуваат	they finish	dovrshuvaat
довршувајќи	completing	dovrshuvajkji
довршување	completion	dovrshuvanje
довршуват	finish	dovrshuvat
довски	Dovish	dovski
довте	you came	dovte
догледа	see you later	dogleda
догми	dogmas	dogmi
дого	long time	dogo
договараа	they negotiated	dogovaraa
договараат	negotiate	dogovaraat
договарала	negotiated	dogovarala
договарањата	the negotiations	dogovaranjata
договараш	you negotiate	dogovarash
договараше	negotiated	dogovarashe
договор	agreement	dogovor
договораат	agree	dogovoraat
договорат	agree	dogovorat
договорени	agreed	dogovoreni
договорениот	the agreed upon	dogovoreniot
договори	contracts	dogovori
договоривме	we agreed	dogovorivme
договоривте	you agreed	dogovorivte
договорија	agreed	dogovorija
договорил	agreed	dogovoril
договориле	agreed	dogovorile
договорите	the agreements	dogovorite
договоров	I agreed.	dogovorov
договорот	the agreement	dogovorot
Договорувајте	Negotiate	Dogovoruvajte
догодина	next year	dogodina
догоре	up	dogore
догорена	burnt out	dogorena
доградба	extension	dogradba
догради	add-ons	dogradi
доградиме	let's build on	dogradime
додава	adds	dodava
додаваа	they added	dodavaa
додаваат	add	dodavaat
додавај	add	dodavaj
додавајќи	adding	dodavajkji
додавајте	add	dodavajte
додавам	I add	dodavam
додавате	you add	dodavate
Додавах	I was adding.	Dodavakh
додаваш	you add	dodavash
додаваше	added	dodavashe
Додавовиот	The Dodav's	Dodavoviot
додадам	I add	dodadam
додадат	add	dodadat
додаде	added	dodade
додадев	I added	dodadev
додаден	added	dodaden
додадено	added	dodadeno
додадете	add	dodadete
додадоа	they added	dodadoa
додадовме	we added	dodadovme
додај	add	dodaj
додајте	add	dodajte
Доданаим	Dodanaim	Dodanaim
Доданим	Added	Dodanim
додатната	the additional	dodatnata
додворувале	they were courting	dodvoruvale
додева	annoying	dodeva
додеваа	they were bored	dodevaa
додевав	I was bored.	dodevav
додевај	bother	dodevaj
додеваме	we are bored	dodevame
додевате	you are annoying	dodevate
додеваш	you are annoying	dodevash
додеваше	it was annoying	dodevashe
додека	while	dodeka
доделен	assigned	dodelen
доделена	assigned	dodelena
доделени	assigned	dodeleni
доделено	assigned	dodeleno
доделете	assign	dodelete
додели	assign	dodeli
доделив	assignable	dodeliv
доделија	awarded	dodelija
доделил	awarded	dodelil
доделиш	you assign	dodelish
доделува	assigns	dodeluva
доделуваат	assign	dodeluvaat
доделувајќи	granting	dodeluvajkji
Додиев	Dodiev	Dodiev
додје	come here	dodje
Додо	Dodo	Dodo
Додов	I came.	Dodov
Додовиот	The Dodo	Dodoviot
додолу	down	dodolu
Додонов	Dodonov	Dodonov
додржаа	they held	dodrzhaa
додржам	I keep	dodrzham
додржат	keep	dodrzhat
додржи	hold on	dodrzhi
додржите	hold on	dodrzhite
Доег	Done.	Doeg
доејќи	breastfeeding	doejkji
доеле	breastfed	doele
доен	breastfed	doen
доенче	infant	doenche
доенчето	the infant	doencheto
доенчиња	infants	doenchinja
доенчињата	infants	doenchinjata
доење	breastfeeding	doenje
доеше	breastfed	doeshe
дож	doge	dozh
дожд	rain	dozhd
дождалецот	the rainmaker	dozhdaletsot
дождат	it rains	dozhdat
дождете	rain	dozhdete
дождец	raindrop	dozhdets
дожди	rains	dozhdi
дождлив	rainy	dozhdliv
дождовен	rainy	dozhdoven
дождови	rains	dozhdovi
дождовите	the rains	dozhdovite
дождовни	rainy	dozhdovni
дождовникот	the raindrop	dozhdovnikot
дождовно	rainy	dozhdovno
дождот	the rain	dozhdot
доживеа	experienced	dozhivea
доживеав	I experienced	dozhiveav
доживеавме	we experienced	dozhiveavme
доживеаја	experienced	dozhiveaja
доживеал	experienced	dozhiveal
доживеале	experienced	dozhiveale
доживеам	I experience	dozhiveam
доживеат	experience	dozhiveat
доживее	experience	dozhivee
доживееме	let's experience	dozhiveeme
доживува	experiences	dozhivuva
доживуваме	we experience	dozhivuvame
доживување	experience	dozhivuvanje
доживувате	you experience	dozhivuvate
дожневајте	rain	dozhnevajte
дожност	duty	dozhnost
доз	dose	doz
дозво	permission	dozvo
дозвола	permission	dozvola
дозволам	I allow	dozvolam
дозволат	allow	dozvolat
дозволено	allowed	dozvoleno
дозволете	allow	dozvolete
дозволи	permits	dozvoli
дозволив	I allowed	dozvoliv
дозволивме	we allowed	dozvolivme
дозволивте	you allowed	dozvolivte
дозволија	allowed	dozvolija
дозволил	allowed	dozvolil
дозволите	permits	dozvolite
дозволиш	allow	dozvolish
дозволува	allows	dozvoluva
дозволуваа	allowed	dozvoluvaa
дозволуваат	allow	dozvoluvaat
дозволував	I allowed	dozvoluvav
дозволувај	allow	dozvoluvaj
дозволувајќи	allowing	dozvoluvajkji
дозволувајте	allow	dozvoluvajte
дозволувам	I allow	dozvoluvam
дозволувате	you allow	dozvoluvate
дозволуваш	you allow	dozvoluvash
дозволуваше	allowed	dozvoluvashe
доземи	land	dozemi
доземја	down to earth	dozemja
дозна	found out	dozna
дознаа	they found out	doznaa
дознаам	I find out	doznaam
дознаат	find out	doznaat
дознав	I found out	doznav
дознава	finds out	doznava
дознаваат	they find out	doznavaat
дознаваме	we find out	doznavame
дознавана	learned	doznavana
дознавме	we found out	doznavme
дознавте	you found out	doznavte
дознае	find out	doznae
дознаев	I found out	doznaev
