-Abarīmas	-Abarimas
audzināts	raised
audzini	nurture
audziniet	raise
audzis	grown up
audžu	foster
aug	grows
aug-ļiem	fruit
aug-šāmcelšanās	resurrection
aug-stais	tall
aug-šup	up-down
aug—arī	grows—also
auga	plant
augat	grow up
augdami	growing up
augdams	growing
augi	plants
augiem	plants
augli	fruit
auglī	in the fruit
augļi	fruit
auglība	fertility
augļiem	fruits
auglīga	fertile
auglīgā	fertile
auglīgais	fertile
auglīgajā	fertile
auglīgajiem	fertile
auglīgam	fruitful
auglīgas	fertile
auglīgās	fertile
auglīgi	fruitfully
auglīgo	fertile
auglīgos	fruitful
auglīgs	fertile
auglīgu	fruitful
auglīgus	fertile
auglis	fruit
augļojas	bears fruit
augļojās	profited
augļojies	fruitful
augļojieties	bear fruit
augļošanai	for fruition
augļošanu	usury
augļotāju	usurer
augļoties	to bear fruit
augļu	fruit
augļus	fruits
augoņa	growth
augoni	plants
augoņi	tumors
augoņiem	for the plants
augonis	fruit
augoņu	aphids
augoņus	tumors
augoša	growing
augošā	growing
augošajiem	growing
augošie	growing
augot	growing
augs	plant
Augš-Ēģiptes	Upper Egypt
augš-galā	top-end
augšā	up
augšā—pastarā	above—past
augšām	up
augšām-celšanā	in the resurrection
augšām-celšanās	resurrection
augšāmcēla	resurrected
augšāmcēlās	resurrected
augšāmcēlies	resurrected
auģšāmcēlies	resurrected
augšāmceļoties	resurrecting
augšāmcelšamos	resurrected
augšāmcelšanā	in the resurrection
augšāmcelšanās	resurrection
augšāmcēlšanās	resurrection
augšāmcelšanos	resurrection
augšāmcelsies	will rise again
augšāmcelšos	I will resurrect.
augšāmcelties	to resurrect
augšāmcēlušies	resurrected
augšāmcēlušos	resurrected
augšanai	for growth
augšanas	growth
augšas	top
Augšēģiptē	In Upper Egypt
Augšēģipti	Upper Egypt
augšējā	upper
augšējie	upper
augšējiem	upper
augšējos	upper
augšgalā	at the top
augšgalos	at the top
augšgals	top
augšgalu	top
augšienes	upstream
augšistabā	upstairs
augšistabai	upstairs
augšistabas	upper rooms
augšistabu	upstairs
augsmas	growth
augsmes	growth
augsnas	soils
augsne	soil
augsne—vai	soil—or
augšpēdu	upper foot
augšpus	upwards
augst-prātību	arrogance
augsta	high
augstā	high
augstā-kās	highest
augstais	high
augstajā	in the high
augstajai	for the high
augstajam	high
augstajām	high
augstajiem	for the high ones
augstajos	in the highlands
augstākā	highest
augstāka-jiem	higher-ups
augstākai	higher
augstākais	highest
augstākais—viens	the highest—one
augstākajā	in the highest
augstākajam	to the highest
augstākajiem	to the highest
augstākajos	in the highest
augstākām	higher
augstākas	higher
augstāki	higher
augstākie	highest
augstākiem	higher
augstāko	highest
augstākos	higher
augstāku	higher
augstam	high
augstām	high
augstas	high
augstās	high
augštelpā	upstairs
augštelpas	upper rooms
augštelpu	upper room
augsti	high
augstība	highness
augstībā	in height
augstības	high-rise
augstie	high
augstiem	high
augstiene	highland
augstienē	in the highlands
augstienēm	highlands
augstienes	highlands
augstienēs	in the highlands
augstieni	highlands
augstieņu	highlander
augsto	high
augstos	high
augstprā-tību	arrogance
augstprā-tīgā	high-minded
augstprāšiem	high-minded
augstprātība	arrogance
augstprātībā	in arrogance
augstprātībai	arrogance
augstprātības	arrogance
augstprātību	arrogance
augstprātīgā	arrogant
augstprātīgas	arrogant
augstprātīgās	arrogant
augstprātīgi	arrogantly
augstprātīgiem	arrogant
augstprātīgs	arrogant
augsts	high
augstsirdība	generosity
augstsirdībai	for generosity
augstsirdīgi	generously
augstsirdīgu	generous
augstu	high
augstuma	height
augstumam	height
augstumi	heights
augstumiem	heights
augstumos	in the heights
augstums	height
augstums—pusotras	height—one and a half
augstumu	height
augstus	high
augstvērtīga	high-quality
augstvērtīgi	high-quality
augstvērtīgiem	high-value
augšu—un	up—and
augšupceļu	uphill
augt	to grow
augtin	grow
augtu	would grow
augu	plant
auguma	tall
augumā	in height
augumam	height
augumi	heights
augumiem	tall
augums	height
augumu	height
augumus	heights
augus	plants
auguši	grown
augušie	grown-ups
Augusta	August
Augusts	August
augušu	grown up
auka	victim
aukā	in sacrifice
aukas	sacrifices
aukla	string
auklai	for the string
auklām	for strings
auklas	cords
aukle	nanny
auklējušas	babysitter
auklējusi	nanny
auklēs	nannies
aukli	babysitters
auklu	string
aukslējām	palate
auksta	cold
aukstā	cold
aukstās	cold
aukstie	cold
auksts	cold
aukstu	cold
aukstuma	cold
aukstumā	in the cold
aukstums	cold
auku	auk
auldveidīgi	old-fashioned
aulibas	aulibas
auļoja	galloped
Auļojiet	Gallop
auļojot	galloping
auļos	in the halls
auna	ram
aunam	ram
aunēnu	lamb
auni	rams
auniem	rams
auns	ram
aunu	ram
aunus	rams
aunus—tāds	rams—such
ausa	ear
aušanā	weaving
ausekļa	auricle
ausekli	ear
auseklis	earwig
ausi	ear
ausī	in the ear
ausij	ear
ausim	ear
ausīm	ears
ausis	ears
ausīs	in the ears
auskariem	earrings
auskarus	earrings
ausma	dawn
ausmā	at dawn
ausmai	dawn
ausmas	dawn
ausmu	dawn
auss	ear
aust	weave
austa	woven
austā	woven
austam	woven
austām	woven
austas	woven
austi	woven
austiem	woven
austošai	weaving
austošās	weaving
austot	weaving
austreņa	oyster
austriņa	oyster
austriņam	oyster
austrum-nieku	east-nothing
austruma	eastern
austrumiem	east
Austrumjardānas	East Jordan
austrumnieku	oriental
austrumos	in the east
austrumu	eastern
Austrumvārtu	East Gate
austs	woven
austu	woven
ausu	ear
aususi	ears
autiem	for clothes
autiņos	in diapers
autos	in cars
auts	out
autu	to leave
autus	cloths
auž	weave
Avas	Avas
Avenas	Avens
avi	sheep
avieši	raspberries
avij	sheep
avīm	sheep
Avima	Avima
avis	sheep
Avita	Avita
avju	sheep
avod	avod
avoksnainu	avoxine
avoriem	avors
avota	source
avotam	source
avoti	sources
avotiem	sources
avotos	in sources
avots	source
avotu	source
avotus	sources
avs	sheep
āža	goat
azaidam	azaidam
azaidu	azaide
Azana	Azan
Azareēla	Azarel
Azareēls	Azarel
Azarja	Azariah
Azarjas	Azariah
Azarju	Azaryu
Azas	Aza
Azasjam	Azasyam
Azasjas	Azasia
Azazēla	Azazel
Azazēlam	For Azazel
Azazja	Azazya
Azbuka	Alphabet
Azdotā	In Azdotha
Azeku	Azek
Azela	Azela
Azgada	Azgada
Azgads	Azgad
āzi	goat
āži	goat
āžiem	goats
Āzija	Asia
Āzijā	In Asia
Āzijas	Asian
Azim	Azim
Āzim	For the goat
Azis	Aziz
āzis	goat
āzīšus	donkeys
āzīti	goats
Azīza	Aziza
Aznot-Tāboru	Aznot-Tabor
Azors	Azores
Azoru	Azores
Azotā	In nitrogen
azotē	in the air
azotes	nitrogen
azoti	nitrogen
Azriēls	Azriel
Azrikāms	Azrikam
Azs	Az
Azu	Azoo
āžu	goat
Azuba	Azuba
Azubas	Azubas
Azurs	Azure
Azuru	Azure
āžus	goats
b	b
Bā-belē	Babel
Baal	Baal
Baāl	Baal
Baāl-Berit	Baal-Berit
Baal-Berīta	Baal-Berit
Baal-Berītu	Baal-Berith
Baal-Cefonai	Baal-Zephon
Baāl-Cefonai	Baal-Zephon
Baal-Chanans	Baal-Hanan
Baal-Gadai	Baal Gaddai
Baāl-Gadai	Baal-Gadai
Baal-Gadas	Baal-Gad
Baāl-Gadas	Baal-Gada
Baal-Hacorā	Baal-Hazor
Baāl-Hacorā	Baal-Hazor
Baal-Hamonā	In Baal-Hamon
Baāl-Hamonā	In Baal-Hamon
Baal-Hanans	Baal-Hanan
Baāl-Hanans	Baal-Hanan
Baal-Hermona	Baal-Hermon
Baāl-Hermona	Baal-Hermon
Baal-Hermonam	Baal-Hermon
Baāl-Hermonam	Baal-Hermon
Baal-Megonu	Baal-Megon
Baāl-Megonu	Baal-Megon
Baal-Meonai	Baal Meonai
Baāl-Meonai	Baal-Meonai
Baal-Peora	Baal-Peor
Baāl-Peora	Baal-Peor
Baal-Peoram	Baal Peoram
Baāl-Peoram	Baal-Peoram
Baal-Peracima	Baal-Perazim
Bāal-Peracima	Baal-Perazim
Baal-Peracimai	Baal-Perazim
Baāl-Peracimai	Baal-Perazim
Baāl-Peracimas	Baal-Perazim
Baal-Peracimu	Baal-Perazim
Baal-Šališas	Baal-Shalishah
Baāl-Šališas	Baal-Shalishah
Baal-Tamāras	Baal-Tamar
Baāl-Tamāras	Baal-Tamar
Baal-Zebubu	Baal-Zebubu
Baāl-Zebubu	Baal-Zebubu
Baala	Baal
Baāla	Baal
Baalai	Baal
Baālai	Baal
Baalam	Baal
Baālam	Baal
Baalam-Peoram	Baal-Peor
Baālam-Peoram	Baal-Peor
Baalas	Baal
Baālas	Baal
Baalat-Beērai	Baalath-beer
Baālat-Beērai	Baalath-beer
Baalata	Baalath
Baālata	Baalath
Baalatu	Baalath
Baālatu	Baalath
baaliem	Baalim
baāliem	for the poor
Baāliss	Baalis
Baālmeonu	Baalmeon
Baals	Baal
Baāls	Baal
Baalu	Baal
Baālu	Baal
baalus	bad
Baāna	Baan
Baānam	For Baan
Baānas	Baanas
Baānu	Baanu
Baāra	Bar
Baāru	Bar
Baāseja	Baaseya
Bābele	Babylon
Bābelē	In Babylon
Bābelei	To Babylon
Bābeles	Babylon
Bābeli	Babylon
Babilona	Babylon
Babilonā	In Babylon
Babilonas	Babylonian
babilonieši	Babylonians
babiloniešiem	Babylonians
babiloniešu	Babylonian
babiloniešus	Babylonians
Babilonijā	In Babylonia
Babilonijas	Babylonian
Babilonu	Babylon
Bachurimai	Bachurimai
Baclita	Baclite
Bacluta	Baclut
bada	hunger
badā	hungry
badadzeguzi	hungry crows
badam	hunger
badāt	to starve
badīja	starved
badījās	starved
badījis	starved
badīt	to starve
badītājs	hungry
badodamies	starving
badotos	I would starve.
bads	hunger
badu	hunger
Baeša	Baesh
Baešam	Baesh
Baešas	Baesh
Baešu	Baeshu
Baēšu	Baeshu
bāfi	buff
bafos	in the buff
bagāta	rich
bagātā	rich
bagātais	rich
bagātajā	in the rich
bagātajam	for the rich
bagātajiem	for the rich
bagātāki	richer
bagātākie	the richest
bagātākos	the richest
bagātāks	richer
bagātam	rich
bagātām	rich
bagātas	rich
bagātās	rich
bagāti	rich
bagatība	wealth
bagātība	wealth
bagātībā	in wealth
bagātībai	for wealth
bagātībām	wealth
bagatības	wealth
bagātības	wealth
bagātībās	in wealth
bagatību	wealth
bagātību	wealth
bagātie	the rich
bagātiem	for the rich
bagatīgā	rich
bagātīga	abundant
bagātīgā	rich
bagātīgāk	richer
bagātīgāki	richer
bagatīgi	richly
bagātīgi	abundantly
bagātīgo	the rich
bagātīgu	rich
bagātnieka	rich man
bagātniekam	to the rich man
bagātnieki	rich people
bagātniekiem	for the rich
bagātnieks	rich man
bagāto	the rich
bagātos	the rich
bagāts	rich
bagātu	rich
bagātur	rich
bagātus	rich
Bahunmā	In Bahunma
Bahurimā	In Bahurim
Bahurimai	Bahurimai
Bahurimas	Bahurim
baidās	afraid
baidāties	to be afraid
baidīdamies	afraid
baidieties	be afraid
baidījās	was afraid
baidījos	I was afraid.
Baidīšanās	Fear
baidītos	would be afraid
baidos	I'm afraid.
baiga	scary
baigais	terrible
baigākajā	most terrible
baigam	finally
baigas	terrible
baigās	scary
baigi	very much
baigs	finished
baigu	terrible
baigus	finished
bail	afraid
bailēm	fear
bailes	fear
bailēs	in fear
bailība	fear
bailības	fears
bailību	fear
bailīga	fearful
bailīgajiem	for the fearful
bailīgas	fearful
bailīgi	fearfully
bailīgos	the fearful
bailīgu	fearful
bailīguma	fearfulness
baiļojas	afraid
baiļojās	was afraid
baiļojies	afraid
baiļojos	I am afraid.
baiļosies	will be afraid
baiļoties	to be afraid
baiļu	fear
baisma	fear
baismīga	scary
baismīgā	scary
baismīgo	the terrible
baismīgu	scary
baismu	fear
Baita	Byte
bajota	food
bajoti	bayots
bājra	bajra
bajrotu	Bayreuth
Bakbakars	Buckbakar
Bakbuka	Buckbook
Bakbukja	Bakbukya
bāla	pale
Balaama	Balaam
Baladana	Baladan
bālais	pale
Balak	Balak
Balaka	Balak
Balakam	To Balak
Balaks	Balak
Balaku	Balak
balamutēm	for the deaf
balandas	ballads
bālas	pale
bāliem	pale
balinājuši	bleached
balināt	whiten
balinātājs	bleach
baļķi	logs
baļķiem	logs
baļķim	log
baļķis	log
baļķu	log
baļķus	logs
balode	pigeon
balodes	pigeons
balodi	pigeons
balodim	pigeon
balodis	pigeon
balodīte	dove
balodītis	pigeon
baloti	ballots
baloto	ballot
balots	ballot
baloža	pigeon
baloži	pigeons
baložiem	pigeons
baložu	pigeon
baložus	pigeons
bāls	pale
balsi	voice
balsī	in voice
balsij	voice
balsīm	voices
balsis	voices
balsīs	in voices
balss	voice
balstās	based
balsti	supports
balstīdamies	leaning on
balstiem	supports
balstījās	relied
balstīsies	will rely on
balstīties	to lean on
balstoties	based on
balsts	support
balstu	support
balstus	supports
balsu	voice
balta	white
baltā	white
baltakā	whiter
baltāki	whiter
baltāks	whiter
baltām	white
baltas	white
baltās	white
balti	white
baltiem	whites
baltmaizi	white bread
balto	white
baltos	white
balts	white
baltu	white
baltumā	in white
baltums	whiteness
baltumu	whiteness
baltus	white
bālumā	pale
balva	prize
balvai	for the prize
balvai—Dieva	for the prize—God's
balvām	for prizes
balvu	prize
balzama	balm
balzamēšanai	for embalming
balzamiem	balms
balzāmiem	balms
balzamu	balm
Bāmā	In Bama
Bamaba	Bambaba
Bamabam	Bambam
Bamabu	Bamabu
Bamot-Baāla	Bamoth-Baal
Bāmotas	Bamoths
Bāmotu	Shame on you
bangainās	wavy
bangainiem	wavy
bangām	waves
bangas	waves
bango	bang
bangoja	waved
bangojās	waved
bangu	bang
Banija	Bania
Banijs	Bunny
bāpa	bapa
bapoti	bapot
bapoto	bapot
bāpus	bapus
bar-dzības	harshness
bara	flock
barā	in a flock
bāra	bar
Baraba	Barabbas
bārabērna	orphan
bārabērns	orphan
bārabērnu	orphan
bārabērnus	orphans
Barabu	Barabbas
Barachēla	Barachela
Baradu	Barad
Barahēla	Barahela
Barahija	Barachiah
Barak	Barak
Baraka	Barrack
Barakam	For Barak
Barakija	Barakiya
Baraks	Barrack
Baraku	Barracks
bārās	in bars
barbara	barbara
barbariem	barbarians
bārda	beard
bārdā	in the beard
bārdām	beards
bārdas	beards
bārdās	in beards
bārdu	beard
bardzī-bas	harshness
bardzība	severity
bardzībā	in severity
bardzībai	for severity
bardzības	severity
bardzibu	cruelty
bardzību	severity
bāreņa	orphan
bāreni	orphans
bāreņiem	orphans
bārenim	orphan
bārenis	orphan
bārenīti	orphan
bāreņos	orphans
bāreņu	orphan
bāreņus	orphans
barga	harsh
bargā	harsh
bargajām	harsh
bargajās	in the harsh
bargāk	more severely
bargākā	the harshest
bargāki	more severe
bargāko	the harshest
bargāku	harsher
bargam	harsh
bargām	harsh
bargas	harsh
bargās	harsh
bargi	harshly
bargo	harsh
bargos	harsh
bargs	harsh
bargu	harsh
barguma	severity
bargumā	in severity
bargumam	harshness
bargums	severity
bargumu	harshness
bargus	harsh
bari	flocks
bāri	bars
Bariachs	Bariach
Bariahs	Bariah
Bariba	Bariba
barība	food
barībai	for food
barības	feed
barību	food
bariem	flocks
bāriem	bars
bārim	for the bar
bāriņi	barren
bāriņiem	orphans
bāriņu	orphan
bāriņus	orphans
Barjēsus	Barjesus
Barjēzu	Bariès
Barkosa	Barcos
Barnaba	Barnabas
Barnabam	Barnabas
Barnabas	Barnabas
Barnabu	Barnabas
Barnabu—kas	Barnabas—who
baro	feeds
baŗo	feed
barodami	feeding
barojamie	fed
barojams	nutritious
barojās	fed
barojāt	fed
barojušas	fed
barojuši	fed
barokli	baroque
barokļus	baroque
baros	in herds
bāros	in bars
barota	fed
baroti	fed
barotie	fed
barotiem	fed
baroto	fed
barotos	would feed
barots	fed
barotu	feed
barotus	fed
bars	flock
Barsaba	Barsabbas
Barsabu	Barsab
bāršanās	quarrel
bāršanos	quarrel
bāršanu	barrenness
bārsies	will bark
Barsilaia	Barzillai
Barsilaja	Barzillai
Barsilajam	To Barzillai
Barsilajs	Barzillai
Barsilaju	Barzillai
Bartimejs	Bartimaeus
Bartolomejs	Bartholomew
Bartolomeju	Bartholomew
baru	swarm
Baruch	Baruch
Barucha	Baruch
Bārucha	Baruch
Barucham	To Baruch
Baruchs	Baruch
Bāruchs	Baruch
Baruchu	Baruch
Baruh	Baruch
Baruha	Baruch
Bāruha	Baruch
Baruham	To Baruch
Baruhs	Baruch
Bāruhs	Baruch
Baruhu	Baruch
barus	herds
bārus	bars
Barzillaja	Barzillai
Barzillajam	For Barzillai
Barzillajs	Barzillai
Barzillaju	Barzillai
bas	bass
basām	barefoot
Basana	Bashan
Basanā	In Bashan
Basanas	Bashan
Basans	Bashan
Basanu	Bashan
baskāju	barefoot
Basmate	Basmati
Basmates	Basmati
Basmati	Basmati
Bat-Šuas	Bat-Shua
bata	shoe
batas	baht
bati	bath
batiem	baht
Batrabima	Batrabima
bats	bat
Batseba	Bathsheba
Batsebai	Bathsheba
Batsebas	Bathsheba
Batsebu	Bathsheba
batu	shoe
batus	shoes
bauda	pleasure
baudas	pleasures
baudās	in pleasure
baudi	enjoy
baudī-dami	enjoying
baudīdami	enjoying
baudiet	enjoy
baudīja	enjoyed
baudījāt	enjoyed
baudījis	enjoyed
baudījs	enjoyer
baudījuši	enjoyed
baudījušī	enjoyed
baudīs	will enjoy
baudīšanai	for enjoyment
baudīšanas	enjoyment
baudīsit	will enjoy
baudīšu	I will enjoy
baudīt	enjoy
baudītājiem	for the enjoyers
baudītāju	enjoyer
baudītu	would enjoy
baudkāre	lust
baudkārē	in pleasure
baudkārīgie	the greedy
baudu	pleasure
baumām	rumors
baumas	rumor
baūnes	baboons
baus-lības	commandments
baus-lību	commandment
bauš-ļus	commandments
bausibu	bausibu
baušja	baušia
baušļa	commandment
bausli	commandment
baušļi	commandments
Bauslibā	In the Law
bauslība	law
bauslībā	in the law
bauslībai	to the law
bauslības	law
bauslību	law
baušļiem	commandments
bauslim	commandment
bauslis	commandment
baušļos	in the commandments
baušļu	commandments
bausļus	commandments
baušlus	commandments
baušļus	commandments
Bavajs	Bavai
Bāz	Base
bāžamas	push-in
bāžami	push-in
bažas	concerns
bažās	worried
baznīca	church
baznīcā	in church
Baznīcai	For the church
baznīcām	churches
baznīcas	churches
baznīcu	church
bažu	concern
bazūne	trumpet
bazūnei	trumpet
bazūnēja	trumpeted
bazūnējiet	trumpet
bazūnēm	trumpets
bazūnes	trumpets
bazūnēs	in trumpets
bazūnēt	to trumpet
bazūnētāju	trumpeter
bazūni	trumpets
bazūņu	trumpet
Bcltsacaru	Bcltsacaru
Bcnjamīns	Benjamin
Bd	Bd
Be	Be
Be-Eštera	Be-Esther
Be-Hadads	Be-Hadad
Bealja	Bealja
Bealota	Bealoth
Bealotā	In Bealot
beāmu	beam
Bebaja	Bebay
Bebajs	Baby
Becaja	Becaja
Becajs	Becaj
Becaleēls	Bezalel
Becaleēlu	Bezalel
Becera	Becerra
Becers	Becer
Beceru	Becerru
Bechera	Becher
becheriešu	Becherian
Bechers	Becher
Bechorata	Bechorat
bēda	sorrow
Bedada	Bedada
bēdājas	sad
bēdājās	was sad
bēdam	sorrow
bēdām	sorrow
Bedans	Bedan
bēdas	sorrow
bēdās	in sorrow
bēdāsies	will be sad
bēdāties	to grieve
bedelijs	bedellium
bēdīga	sad
bēdīgā	sad
bēdīgajiem	for the sad
bēdīgas	sad
bēdīgi	sadly
bēdīgiem	sad
bēdīgo	sad
bēdīgos	the sad ones
bēdīgs	sad
bēdīgu	sad
bedīs	in the pit
Bedja	Bedja
bedre	pit
bedrē	in the hole
bedrei	pit
bedrēm	pits
bedres	pits
bedrēs	in the pits
bedri	pit
bēdu	sorrow
beduīnu	Bedouin
bēdz	run away
bēdzējam	to run away
bēdziet	run away
bēdzis	escaped
Beēljada	Beeljad
Beer	Beer
Beēra	Beer
Beērā	Beer
Beērija	Beeria
Beērot-Benei-Jaākanas	Beeroth-Benei-Jaakan
Beērota	Beirut
Beērotā	Beirut
Beerotas	Beeroth
Beērotas	Beirut
beērotieša	Beiruti
beērotieši	Beirutis
Beēru	Beersheba
bēfu	beef
bēg	flee
bēga	fled
bēgāt	to flee
bēgdami	fleeing
bēgdams	fleeing
bēgi	run away
bēgļa	refugee
bēgli	refugees
bēgļi	refugees
bēgļiem	refugees
bēglis	refugee
bēgļus	refugees
bēgot	fleeing
bēgp	escape
bēgs	flee
bēgšana	escape
bēgšanu	escape
bēgsi	you will run away
bēgsim	let's run away
bēgsit	will run away
bēgšus	runaway
bēgt	to flee
bēgtu	would flee
bēgu	flee
bēgulis	fugitive
bēguļoja	fled
bēguļojošo	fugitive
bēguļos	fugitives
bēguļošanas	fugitive
bēgusi	escaped
bēguši	runaways
behemots	behemoth
Behemotu	Behemoth
Behera	Becher
beheriešu	Becherian
Behers	Becher
Behorata	Behorat
beidz	finish
beidza	finished
beidzamā	final
beidzamais	last
beidzamajā	in the end
beidzamajam	to the last
beidzamajiem	final
beidzamam	finally
beidzamās	final
beidzamie	the last ones
beidzamo	final
beidzas	ends
beidzās	ended
beidzies	over
beidzis	finished
beidzot	finally
beigas	end
beigs	end
beigsies	will end
beigt	to end
beigta	dead
beigtais	deceased
beigtam	dead
beigti	dead
beigtos	would end
beigts	dead
beigtu	would end
beigu	end
beigušās	ended
beigusi	finished
beiguši	graduated
beigusies	finished
beigušies	finished
Beit-Cūras	Beit Zur
Beit-Ješimotas	Beit Yeshimoth
Bekers	Becker
Bela	Bela
Belam	To Bel
Belas	Bela
Belcebula	Beelzebub
Belcebuls	Beelzebub
Belcebulu	Beelzebub
Beliāl	Belial
Beliāla	Belial
Beliālu	Belial
Beliaru	Beliar
Bels	Bell
Belsacar	Belshazzar
Belsacara	Belshazzar
Belsacars	Belshazzar
Beltsacar	Belteshazzar
Beltsacars	Belteshazzar
Beltsacaru	Belteshazzar
Belu	Belu
bēmienij	for the behemoth
Ben-Abinadabs	Ben-Abinadab
Ben-Ammi	Ben-Ammi
Ben-Dekers	Ben-Decker
Ben-Gebers	Ben-Geber
Ben-Hadada	Ben-Hadad
Ben-Hadadam	Ben-Hadad
Ben-Hadads	Ben-Hadad
Ben-Hadadu	Ben-Hadad
Ben-Haīlu	Ben-Hail
Ben-Hanans	Ben-Hanan
Ben-Heseds	Ben-Hesed
Ben-Hinoma	Ben-Hinnom
Ben-Hinomas	Ben-Hinnom
Ben-Hūrs	Ben-Hur
Ben-Zohets	Ben-Zohet
Benaja	Benaiah
Benajam	Benaiah
Benajas	Benaiah
Benaju	Benayu
bendi	executioner
Bene-Jagakanā	In Bene-Yagakan
Bene-Jagakanas	Bene-Yagakan
Benei-Beraka	Bnei Berak
Benhadada	Benhadad
bēni	attic
Benīnus	Benin
Benja-miņam	Benja-min
Benjamīn	Benjamin
Benjamina	Benjamin
Benjamiņa	Benjamin
Benjamiņā	In Benjamin
Benjamīna	Benjamin
Benjamīnā	In Benjamin
Benjamiņam	For Benjamin
Benjamīnam	For Benjamin
benjamīnieša	Benjamin
benjamīniešiem	Benjaminites
benjamīnietis	Benjamin
Benjamins	Benjamin
Benjamiņš	Benjamin
Benjamīns	Benjamin
Benjamiņu	Benjamin
Benjamīnu	Benjamin
Benoni	Benoni
Beonā	In Beona
Beora	Beor
Beoras	Beoras
ber	ber
Bēr-Elimai	Beer-Elyma
bēr-niem	for children
bēra	funeral
Beracha	Berachah
Beraha	Berachah
Berahas	Berachah
Beraja	Beraya
Berakja	Berakya
Berechja	Berechya
Berechjas	Berechjas
Bereds	Bered
Berehja	Berekhya
Berehjas	Berechya
bērēm	funeral
Berenīke	Berenice
bēres	funeral
Berija	Beria
Bērija	Beria
Berijam	Barry
Berijas	Beria
Berijs	Berry
berilija	beryllium
berillija	beryllium
berills	beryl
berils	beryl
Berima	Berim​
bērna	child's
bērnam	for a child
bērni	children
bērni—un	children—and
bērnības	childhood
berniem	for children
bērniem—Saula	for children—Saul
Bernike	Bernice
Bernīke	Bernice
bērniņ	baby
bērniņi	little children
bērniņš	baby
bērniņu	baby
bērniņus	children
bērņinus	children
bērnis	child
bērnišķīgs	childish
bērnos	in children
bērns	child
bērnubērni	grandchildren
bērnubērnus	children's children
bērnus	children
bērnus—četrus	children—four
Berojā	In Beroea
berojietis	Beroean
Beroju	Beroean
Berotajas	Berotaya
Berotu	Berotui
Bēršeba	Beersheba
Bēršebā	Beersheba
Bēršebai	Beersheba
Bēršebai—pavisam	Beersheba—at all
Bēršebas	Beersheba
Bēršebu	Beersheba
Bērtuli	Bertuli
Bērtulis	Bertulis
bēru	funeral
berzdami	rubbing
beržot	to rub
Besaja	Besaya
Besodjas	Besodya
Besora	Besora
bet	but
Bet-Anatas	Beth Anath
Bet-Anota	Beth-Anoth
Bet-Araba	Beth-Arab
Bet-Arabai	Beth-Arabah
Bet-Arbela	Beth Arbel
Bet-Arbelu	Beth Arbel
Bet-Asmavetas	Beth Azmaveth
Bet-Avenā	In Beth-aven
Bet-Avenai	Beth-aven
Bet-Avenas	Beth-Aven
Bet-Avēnas	Beth-aven
Bēt-Avenas	Beth Aven
Bet-Avenu	Beth Aven
Bet-Baāl-Meona	Beth-Baal-Meon
Bet-Bārai	Beth-Barai
Bet-Birejā	In Beth-Birrea
Bet-Cūra	Beth-Zur
Bet-Cūras	Beth-Zur
Bet-Cūru	Beth-Zur
Bet-Dagona	Beth-Dagon
Bet-Dagonu	Beth-Dagon
Bet-Diblataimu	Beth-diblathaim
Bet-Ēdenā	In Beth-Eden
Bet-Eked-Haroimā	At Beth-eked-haroim
Bet-Ekedas	Beth-Ekedah
Bet-Emckas	Bet Emtzka
Bet-Emekas	Beth Emek
Bet-Gaderas	Beth Gader
Bet-Gamulu	Beth-Gamulu
Bēt-Gilgalas	Beth-Gilgal
Bet-ha-Ješimona	Beth-ha-Jeshimon
Bet-ha-Sitai	Beth-ha-Sita
Bet-Haecelas	Beth-hazel
Bet-Hananā	In Beth-Hanan
Bet-Harāna	Beth-Haran
Bet-Haranu	Beth-Haran
Bet-Hogla	Beth Hoglah
Bet-Hoglas	Beth Hoglah
Bet-Hoglu	Beth Hoglu
Bet-Horonai	Beth-horon
Bet-Horonas	Beth Horon
Bet-Horonu	Beth Horon
Bet-Ješimona	Beth-Jeshimon
Bet-Ješimotas	Beth Jeshimoth
Bet-Karai	Beth-Karai
Bet-Keremā	In Beth Kerem
Bet-Keremas	Beth Kerem
Bet-Leafrā	In Beth-Leaphrah
Bet-Lebaota	Beth-Lebaoth
Bet-Maachai	Beth-Maachai
Bet-Maāchas	Beth-maachah
Bet-Maāchu	Beth Maacah
Bet-Maahai	Beth-Maacah
Bet-Maāhas	Beth Maachah
Bet-Maāhu	Beth Maacah
Bet-Markabota	Beth-Marcaboth
Bet-Markobotā	In Beth-Marcoboth
Bet-Meonu	Beth Meon
Bet-Millas	Beth Millah
Bet-Nimra	Beth Nimrah
Bet-Nimru	Beth Nimru
Bet-Paceca	Beth-Pazetta
Bet-Peleta	Beth-Pelet
Bet-Peletā	Beth-Pelet
Bet-Peora	Beth-Peorah
Bet-Peorai	Beth-Peorah
Bet-Peoram	Beth-Peoram
Bet-Rafu	Beth-Raph
Bet-Rechabas	Beth-Rechab
Bet-Rehaba	Beth-Rehab
Bet-Rehobas	Beth-Rehob
Bet-Šcmešu	Beth-Shemesh
Bet-Šeana	Beth Shean
Bet-Šeanā	In Beth-shean
Bet-Šeanas	Beth-Shean
Bet-Šemeša	Beth Shemesh
Bet-Šemešā	In Beth Shemesh
Bet-Šemešai	To Beth Shemesh
Bet-Šemešas	Beth Shemesh
Bet-Semešu	Beth Shemesh
Bet-Šemešu	Beth Shemesh
Bet-Sitai	Beth Shittah
Bet-Tapua	Beth-Tappuah
bet—	but—
