⼀事,yī shì,A thing
抬起頭來,tái qǐ tóu lái,Looked up
抬頭,tái tóu,look up
抹,mǒ,wipe
抹去,mǒ qù,erase
拆毀,chāi huǐ,demolition
拉,lā,Pull
拋到,pāo dào,Thrown to
拍⼿,pāi shǒu,Clap your hands
拍拍⼿,pāi pāi shǒu,Clap your hands
拒絕,jù jué,Refuse
拖,tuō,drag
拜,bài,worship
拯救,zhěng jiù,save
拿,ná,take
拿掉,ná diào,Removed
拿走,ná zǒu,Take away
指引,zhǐ yǐn,Guidance
指教,zhǐ jiào,Advise
按,àn,press
挑,tiāo,pick
挑動,tiǎo dòng,provoke
挪,nuó,move
挪移,nuó yí,Diverted
挪開,nuó kāi,Move away
捆,kǔn,bundle
捆綁,kǔn bǎng,Tied up
捨,shě,Homes
捨命,shě mìng,Lay down their lives
捨棄,shě qì,give up
捲起,juǎn qǐ,Rolled up
掉,diào,Out
掌,zhǎng,Palm
掌控,zhǎng kòng,Control
掌握,zhǎng wò,grasp
掌權,zhǎng quán,In power
掌管,zhǎng guǎn,In charge
掙扎,zhēng zhá,struggle
掛,guà,hang
掛慮,guà lǜ,Worried
接,jiē,Then
接納,jiē nà,Accepted
接續,jiē xù,Continued
推開,tuī kāi,Push open
掩,yǎn,Cover it
揀選,jiǎn xuǎn,Picking up
描述,miáo shù,description
提升,tí shēng,Ascension
揚聲,yáng shēng,Loudness
揚起,yáng qǐ,Raised
換,huàn,change
換來,huàn lái,In exchange for
握,wò,grip
握住,wò zhù,hold
揭,jiē,Expose
揭去,jiē qù,To expose
揭開,jiē kāi,Opened
揮,huī,Swing
揮別,huī bié,Farewell
損,sǔn,damage
搖,yáo,shake
搖動,yáo dòng,shake
搖著,yáo zhe,Shaking
搶救,qiǎng jiù,rescue
摩,mó,Mo
摸,mō,touch
摸不著,mō bù zháo,Not touching
撇下,piē xià,Left behind
撇棄,piē qì,abandon
撒,sā,spread
撕裂,sī liè,Tearing
擁抱,yǒng bào,embrace
擁抱著,yǒng bào zhe,Hugged
擁有,yǒng yǒu,have
擄,lǔ,Captive
擄獲,lǔ huò,Capture
擊敗,jí bài,beat
擊毀,jí huǐ,wreck
擊⿎,jī gǔ,Hit it
擋,dǎng,block
擔,dān,Bear
擔⼦,dān zi,The burden
擔當,dān dāng,To play
擘,bāi,break
擱,gē,put
擴張,kuò zhāng,expansion
擺,bǎi,put
擺在,bǎi zài,Put in
擺設,bǎi shè,Furnishings
攏,lǒng,Together
攔,lán,bar
攔阻,lán zǔ,block
⽀派,zhī pài,Basking
收割,shōu gē,Harvest
收取,shōu qǔ,Charged
改,gǎi,change
改為,gǎi wèi,Changed to
改變,gǎi biàn,change
攻,gōng,attack
攻掠,gōng lüè,Attack
攻擊,gōng jí,attack
放下,fàng xià,lay down
放光芒,fàng guāng máng,Put the light
放在,fàng zài,Put on
放⼿,fàng shǒu,Put on hands
放棄,fàng qì,give up
放開,fàng kāi,open
政權,zhèng quán,regime
故事,gù shì,story
故鄉,gù xiāng,home
效⼒,xiào lì,Effectiveness
救,jiù,save
救主,jiù zhǔ,Savior
救⼈,jiù rén,Save people
救贖,jiù shú,Salvation
教導,jiào dǎo,teach
教會,jiào huì,church
敞,chang,open
敞開,chǎng kāi,Open
散,sàn,Scattered
敬奉,jìng fèng,Respect
敬拜,jìng bài,Worship
敬畏,jìng wèi,Awe
整個,zhěng gè,entire
斯,sī,Sri Lanka
新,xīn,new
新天地,xīn tiān dì,New world
新婦,xīn fù,New woman
新歌,xīn gē,New song
新⽣,xīn shēng,New
新的,xīn de,new
新郎,xīn láng,bridegroom
新酒,xīn jiǔ,New wine
新鮮,xīn xiān,fresh
斷開,duàn kāi,disconnect
⽅向,fāng xiàng,Direction
施,shī,Application
施展,shī zhǎn,Cast
施恩,shī ēn,Mercy
施⾏,shī xíng,To act on
旁,páng,beside
旁邊,páng biān,next to
旅程,lǚ chéng,journey
旈,liú,pearls
旋,xuán,Spin
旋律,xuán lǜ,melody
旌旗,jīng qí,Flags
族群,zú qún,Ethnicity
既,jì,Both
既有,jì yǒu,Both
⽇夜,rì yè,Day night
⽇⼦,rì zi,The date
⽇常,rì cháng,Daytime
⽇復⼀⽇,rì fù yī rì,Day day day
⽇期,rì qí,Date
旨意,zhǐ yì,The will
早已,zǎo yǐ,Long ago
早晨,zǎo chen,in the morning
旱,hàn,drought
旱地,hàn dì,dry land
旺,wàng,Wang
明亮,míng liàng,Bright
明光,míng guāng,Bright light
明天,míng tiān,tomorrow
明⽩,míng bái,Bright and white
明瞭,míng liǎo,Clearly
昔,xī,Xi
昕,xīn,Xin
星,xīng,star
星宿,xīng sù,Stars
星星,xīng xīng,star
映,yìng,reflect
春,chūn,spring
春天,chūn tiān,spring
春雨,chūn yǔ,Spring rain
春風,chūn fēng,spring breeze
昨⽇,zuó rì,Yesterday
昨⽇今⽇,zuó rì jīn rì,Yesterday day
是以,shì yǐ,Is to
是否,shì fǒu,whether
是好,shì hǎo,Is good
是永,shì yǒng,Is forever
是誰,shì shuí,who is it
時代,shí dài,era
時候,shí hou,time
時刻,shí kè,time
時常,shí cháng,often
時間,shí jiān,time
晝夜,zhòu yè,day and night
晝夜不息,zhòu yè bù xī,Day and night
晨光,chén guāng,Dawn
晨星,chén xīng,Morning Star
晨曦,chén xī,Dawn
普,pǔ,general
普照,pǔ zhào,Shine
景仰,jǐng yǎng,Admire
智,zhì,wisdom
智慧,zhì huì,wisdom
暖房,nuǎn fáng,greenhouse
暗中,àn zhōng,Secretly
暗夜,àn yè,Night
暫時,zhàn shí,temporarily
暴雨,bào yǔ,rainstorm
暴風,bào fēng,storm
暴風雨,bào fēng yǔ,storm
曉,xiǎo,dawn
曉得,xiǎo de,know
曠野,kuàng yě,The wilderness
更,gèng,more
更像,gèng xiàng,More like
更加,gèng jiā,more
更多,gèng duō,More
更⼤,gèng dà,Bigger
更好,gèng hǎo,better
更少,gèng shǎo,less
更新,gēng xīn,Update
更有,gèng yǒu,More
更深,gēng shēn,Deeper
更美,gèng měi,More beautiful
更⾼,gèng gāo,Higher
書,shū,book
曾,céng,Once
曾經,céng jīng,once
最,zuì,most
最佳,zuì jiā,optimal
最妙,zuì miào,The most wonderful
最後,zuì hòu ,At last
最愛,zuì 'ài,Favorite
最深,zuì shēn ,The deepest
最終,zuì zhōng ,finally
最美,zuì měi ,The most beautiful
最⾼,zuì gāo,The highest
⽉,yuè,moon
⽉亮,yuè liàng,moonlight
有了,yǒu le,There is
有⼈,yǒu rén,Have people
有份,yǒu fèn,Have copies
有位,yǒu wèi,One
有何,yǒu hé,What
有個,yǒu gè,is having a
有利,yǒu lì,favorable
有⼒,yǒu lì,Have the power
有情,yǒu qíng ,Affectionate
有意義,yǒu yì yì ,Significant
有能,yǒu néng,Can have
有餘,yǒu yú,More than
朋友,péng yǒu,friend
服,fú,clothes
朝,cháo,towards
朝著,cháo zhe,Towards
朝陽,zhāo yáng ,Chaoyang
期待,qí dài ,look forward to
未來,wèi lái ,future
未曾,wèi céng ,Never ever
末,mò,end
末世,mò shì ,The end of the world
末⽇,mò rì,The last day
束,shù,bundle
杯,bēi,cup
東,dōng,east
果⼦,guǒ zi,Fruit
枝,zhī,branch
枝⼦,zhī zi,Branch
枯乾,kū gān ,Withered
枯骨,kū gǔ ,Bones
枷鎖,jiā suǒ,shackles
柄,bǐng,handle
柔和,róu hé,soft
根,gēn,root
根基,gēn jī,Foundation
根據,gēn jù,according to
根源,gēn yuán ,source
格外,gé wài ,particularly
栽在,zāi zài,Planted in
桑⽥,sāng tián,Mulberry
梅,méi,plum
條件,tiáo jiàn ,condition
棒,bàng,Baton
棚,péng,shed
森,sēn,Sen
森林,sēn lín ,forest
植,zhí,plant
業,yè,industry
極,jí,pole
極⼤,jí dà,Extremely large
榮,róng,Wing
榮光,róng guāng ,Glory
榮美,róng měi,Glory
榮耀,róng yào,glory
榮華,róng huá,Ronghua
樂意,lè yì,willing
樂歌,yuè gē,Music
標竿,biāo gān,Standard pole
模,mó,mold
樣式,yàng shì,style
樹,shù,tree
橄欖,gǎn lǎn,Olives
橄欖樹,gǎn lǎn shù,olive tree
權,quán,right
權位,quán wèi,Right
權勢,quán shì,Power
權柄,quán bǐng ,authority
權能,quán néng ,power
⽋缺,qiàn quē,Missing
欣,xīn,Welcome
款待,kuǎn dài,Hospitality
歇息,xiē xi,Rest
歌,gē,song
歌唱,gē chàng ,singing
歌聲,gē shēng ,singing
歌頌,gē sòng ,Praise
歡,huan,Huan
歡呼,huān hū,cheer
歡呼聲,huān hū shēng ,Cheers
歡唱,huan chàng,Singing
歡喜,huān xǐ,joy
歡愉,huān yú,Happy
歡暢,huān chàng ,Happy
歡樂,huān lè,joy
歡欣,huān xīn,Happy
歡笑,huān xiào,Laughter
歡聚,huān jù,Gather together
歡聲,huān shēng ,Cheers
歡迎,huān yíng,welcome
⽌不住,zhǐ bù zhù,Can not stop
⽌息,zhǐ xi,Interest rate
正,zhèng,positive
正午,zhèng wǔ,noon
正在,zhèng zài,Is on
正當,zhèng dàng,Justified
正直,zhèng zhí,Upright
正義,zhèng yì,justice
正著,zhèng zháo,Being right
此刻,cǐ kè,now
此時此刻,cǐ shí cǐ kè,At this moment
此⽣,cǐ shēng,This happens
步伐,bù fá,pace
歷,lì,calendar
歷代,lì dài,History
歷史,lì shǐ ,history
歸,guī,Go back
歸向,guī xiàng ,Return to
歸於,guī wū,Attribution
死,sǐ,dead
死亡,sǐ wáng ,death
死⼈,sǐ rén,Dead
死別,sǐ bié ,Death
死去,sǐ qù ,Die
殘忍,cán rěn,cruel
殿,diàn,temple
殿中,diàn zhōng ,The temple
殿宇,diàn yǔ,Temple
毀壞,huǐ huài ,destruction
⺟,mǔ,mother
每,měi,each
每⼀,měi yī,Each one
每⼀個,měi yī gè,Each one
每個,měi gè,Each one
每個⼈,měi gè rén,Everyone
每句話,měi jù huà,Every sentence
每天,měi tiān ,every day
每張,měi zhāng,Each one
每⽇,měi rì,Every day
每次,měi cì,Each
每當,měi dāng,whenever
每逢,měi féng,Every time
每顆,měi kē,Each one
每⾸歌,měi shǒu gē,Every song
毒,dú,poison
比,bǐ,ratio
毫,háo,Cents
毫無,háo wú,Nothing
⺠,mín,people
氣⼒,qì lì,Gas force
氣息,qì xí,breath
氣餒,qìn ěi ,be discouraged
⽔,shuǐ,Water
⽔果,shuǐ guǒ,Fruit
⽔流,shuǐ liú,Water flow
⽔深,shuǐ shēn,Deep water
⽔⾯,shuǐ miàn,Water
⽔⾯上,shuǐ miàn shàng,On the water
永,yǒng,Forever
永不,yǒng bù,Never
永世,yǒng shì,forever
永久,yǒng jiǔ,permanent
永住,yǒng zhù,Live forever
永恆,yǒng héng ,eternal
永樂,yǒng lè,Yongle
永永遠遠,yǒng yǒng yuǎn yuǎn,forever
永⽣,yǒng shēng,Forever
永福,yǒng fú,Yongfu
永遠,yǒng yuǎn,forever and always
永長,yǒng zhǎng ,Forever long
求救,qiú jiù ,Help
求教,qiú jiào ,Neighborhoods
江,jiāng,River
江河,jiāng hé,Rivers
污穢,wū huì ,filthy
汪洋,wāng yáng,Wang Yang
決,jué,Decision
決定,jué dìng ,Decision
決⼼,jué xīn,Resolutions
沈睡,chén shuì,Sleeping
沈默,chén mò,silence
沒藥,mò yào,Myrrh
沙,shā,sand
沮喪,jǔ sàng ,Frustrated
河,hé,River
河中,hé zhōng ,The river
河流,hé liú ,river
油,yóu,oil
治理,zhì lǐ,Governance
沾,zhān,Sticky
泉,quán,spring
泉源,quán yuán,source
泏,zhú,zhu
法,fǎ,law
法度,fǎ dù ,Program
泛,fàn,pan-
波,bō,wave
波濤,bō tāo ,Waves
波濤洶湧,bō tāo xiōng yǒng ,The waves are raging
泥,ní,mud
泥⼟,ní tǔ,Mud
注,zhù,Note
注⽬,zhù mù,Note
注視,zhù shì ,Watching
注視著,zhù shì zhe,Watching
洋,yáng,foreign
洗,xǐ,wash
洗淨,xǐ jìng,Wash
洗清,xǐ qīng,Wash out
洪,hóng,flood
洪⽔,hóng shuǐ,Flood water
洪流,hóng liú,Torrent
活出,huó chū,Live
活命,huó mìng ,Live
活在,huó zài,live in
活⽔,huó shuǐ,Live water
活泉,huó quán,Live spring
活祭,huó jì,Live sacrifice
活著,huó zhe,Alive
活過來,huó guò lái,Live over
流,liú,flow
流下,liú xià,Shed
流出,liú chū ,Outflow
流到,liú dào,Flow to
流向,liú xiàng ,Flow
流淚,liú lèi ,Tears
流當,liú dāng,Flow when
流著,liú zhe,Flowing
流⾎,liú xuè,Flow
浩瀚,hào hàn ,Vast
浪,làng,wave
浪潮,làng cháo ,wave
海⽔,hǎi shuǐ,Sea water
海洋,hǎi yáng ,ocean
海浪,hǎi làng ,Waves
海邊,hǎi biān ,seaside
浸透,jìn tòu,Soaked
消失,xiāo shī,disappear
消散,xiāo sàn,dissipate
消除,xiāo chú,eliminate
淌,tǎng,drip
淚,lèi,tears
淚⽔,lèi shuǐ,Tears of water
淨,jìng,net
深,shēn,deep
深信,shēn xìn,Convinced
深刻,shēn kè,profound
深愛,shēn ài,Love
深愛著,shē n àizhe,Deep love
深海,shēn hǎi,deep sea
深深,shēn shēn,deeply
深淵,shēn yuān,abyss
深知,shēn zhī,Know well
深處,shēn chù,deep
深⾕,shēn gǔ,Deep
混亂,hǔn luàn ,confusion
淹沒,yān mò,Submerged
清,qīng,clear
清晨,qīng chén ,early morning
清潔,qīng jié,clean
清香,qīng xiāng ,Fragrance
渡,dù,Crossing
渡過,dù guò ,Through
渣滓,zhā zǐ,dross
測,cè,Measurement
測度,cè duó ,measure
渴,kě,thirsty
渴想,kě xiǎng ,Thirsty
渴慕,kě mù,Thirsty
渴望,kě wàng ,desire
渴求,kě qiú ,Craving
湧,yǒng,Chung
湧上來,yǒng shàng lái,Came up
湧出,yǒng chū,Gush out
湧出來,yǒng chū lái,Gush out
源,yuán,source
源頭,yuán tóu,source
準,zhǔn,quasi-
溢,yì,overflow
溢滿,yì mǎn,Overflowing
溪⽔,xī shuǐ,Stream water
溫暖,wēn nuǎn ,warm
溫柔,wēn róu ,tender
溫順,wēn shùn ,docile
溶化,róng huà,melt
滄海,cāng hǎi,sea
滋味,zī wèi ,taste
滋潤,zī rùn ,Moisturizing
滲透,shèn tòu,penetration
滴落,dī luò,Drip
滾,gǔn,roll
滾滾,gǔn gǔn ,Rolling
滿了,mǎn le,full
滿⼼,mǎn xīn,Full of confidence
滿有,mǎn yǒu,Full of
滿滿,mǎn mǎn,Full
滿⾜,mǎn zú,Full of
漸漸,jiàn jiàn ,gradually
潔,jié,clean
潔淨,jié jìng ,Clean
潔⽩,jié bái,Clean and white
潮,cháo,tide
潮⽔,cháo shuǐ,Tide of water
潸然,shān rán,Tears
澆,jiāo,Poured
澆灌,jiāo guàn ,water
澎湃,péng pài,Surging
激動,jī dòng ,excitement
激勵,jī lì,excitation
灌,guàn,Irrigation
火,huǒ,fire
火光,huǒ guāng ,Fire
火炭,huǒ tàn,Charcoal
火焰,huǒ yàn,flame
火燄,huǒ yàn,flame
火燒,huǒ shāo ,Fire
火⾞,huǒ chē,Fire
灰塵,huī chén ,dust
灰暗,huī 'àn,gray
灰燼,huī jìn,ash
災難,zāi nàn ,disaster
為⼀,wèi yī,For one
為主,wéi zhǔ,Mainly
為了,wèi le,in order to
為你,wèi nǐ,For you
為善,wéi shàn,Good for
為⼰,wèi jǐ,For yourself
為⽗,wèi fù,father
為著,wèi zhe,For
烈,liè,strong
烈⽇,liè rì,Sunny day
烈火,liè huǒ ,Fire
烙印,lào yìn,brand
焚,fén,burn
焚燒,fén shāo ,Incineration
無,wú,no
無事,wú shì ,nothing
無⼈,wú rén,No one
無價,wú jià,priceless
無⼒,wú lì,No power
無名,wú míng ,nameless
無始無終,wú shǐ wú zhōng,No beginning or end
無形,wú xíng ,invisible
無⽌盡,wú zhǐ jǐn,No exhaustive
無比,wú bǐ ,Incomparable
無法,wú fǎ ,Can not
無瑕,wú xiá ,Flawless
無盡,wú jìn ,Endless
無私,wú sī ,Selfless
無窮,wú qióng ,endless
無窮盡,wú qióng jìn,Infinite
無能,wú néng ,inability
無論,wú lùn ,regardless
無限,wú xiàn ,unlimited
焦點,jiāo diǎn ,focus
煉,liàn,Refining
煙,yān,smoke
煙火,yān huǒ ,Fireworks
照亮,zhào liàng,illuminate
照耀,zhào yào,Shine
照著,zhào zhe,According to
照顧,zhào gù,Take care of
煩,fán,bother
煩惱,fán nǎo,upset
熄,xī,Extinguished
熄滅,xí miè ,Off
熊熊,xióng xióng ,raging
熱切,rè qiè ,Eagerly
熱⼼,rè xīn,Heat
熱情,rè qíng ,enthusiasm
熱情奔放,rè qíng bēn fàng ,Passionate
燃燒,rán shāo ,combustion
燈,dēng,light
燈臺,dēng tái,The lampstand
燒,shāo,burn
營壘,yíng lěi,camp
爛,làn,rotten
爭,zhēng,Fight
爲,wéi,for
⽗⼦,fù zi,father
⽗親,fù qīn,father
牆,qiáng,wall
牆垣,qiáng yuán,wall
牢,láo,prison
牧⼈,mù rén,Shepherd
牧⽺⼈,mù yáng rén,Animal husbandry
牧者,mù zhě,Pastor
特殊,tè shū ,special
牽,qiān,Pull
牽引,qiān yǐn,Traction
牽著,qiān zhe,Hold on
犧牲,xī shēng ,sacrifice
犯,fàn,Guilty
犯罪,fàn zuì,crime
狂熱,kuáng rè,fanaticism
狂風,kuáng fēng,The wind
狂風暴雨,kuáng fēng bào yǔ,Stormy
猶原,yóu yuán ,Utah
猶⼤,yóu dà,Still
猶如,yóu rú,Like it
猶豫,yóu yù,Hesitate
獅,shī,lion
獅吼,shī hǒu,Lion roar
獅⼦,shī zi,Lion
獎賞,jiǎng shǎng,Reward
獨,dú,alone
獨⼀無⼆,dú yī wú èr,Unique
獨有,dú yǒu,Unique
獨獨,dú dú,Alone
獨⽣,dú shēng,Originally
獨⽣⼦,dú shēng zi,The only child
獨⾃,dú zì,Alone
獨⾏,dú xíng,Alone
獻上,xiàn shàng,Offer
獻給,xiàn gěi,Dedicated to
⽟蘭花,yù lán huā ,Magnolia
玩,wán,play
玫,méi,rose
玫瑰,méi guī ,rose
玻璃,bō lí,glass
珍寶,zhēn bǎo,treasure
珍惜,zhēn xī,Cherish
珍貴,zhēng uì,precious
珠寶,zhū bǎo ,Jewelry
珥,ěr,Er
班,bān,class
現今,xiàn jīn,now
現在,xiàn zài,just now
現實,xiàn shí,reality
理由,lǐ yóu ,reason
瑞,ruì,Rui
環境,huán jìng,surroundings
環抱,huán bào,Surrounded by
環繞,huán rào,surround
環繞著,huá n ràozhe,Surrounded by
⽢,gān,sweet
⽢⼼,gān xīn,Willingly
⽢甜,gān tián,Sweet
⽢願,gān yuàn,Wish to
甚,shén,very
甚多,shén duō,Much more
甚⾄,shén zhì,Even to
甜,tián,sweet
甜美,tián měi,sweet
甜蜜,tián mì,sweet
⽣命,shēng mìng,Be killed
⽣於,shēng wū,Come on
⽣氣,shēng qì,Be angry
⽣活,shēng huó,To live
產,chǎn,Production
產業,chǎn yè,industry
甦醒,sū xǐng ,wake
⽤⼒,yòng lì,Use force
⽤⼼,yòng xīn,Use
⽤盡,yòng jìn,Exhausted
⽥,tián,field
⽥中,tián zhōng,In the middle
⽥野,tián yě,field
由,yóu,by
申冤,shēn yuān,Injustice
男⼈,nán rén,Men
男女老幼,nán nǚ lǎo yòu,Young and old
界限,jiè xiàn ,limit
畏寒,wèi hán,Chills
畏懼,wèi jù,fear
留存,liú cún ,Retained
留⼼,liú xīn,Stay tuned
略,lüè,slightly
異,yì,different
異鄉,yì xiāng ,foreign land
當中,dāng zhōng ,among
當作,dàng zuò,As
當年,dāng nián,then
當⼼,dāng xīn,Be careful
當⽇,dāng rì,Day
疑,yí,suspect
疑惑,yí huò ,doubt
疑雲,yí yún ,Doubtful
疲乏,pí fá ,Tired
疲憊,pí bèi ,exhausted
疼,téng,pain
疾病,jí bìng ,disease
疾風,jí fēng ,blast
病,bìng,disease
痊癒,quán yù,get well
痛苦,tòng kǔ,pain
瘸腿,qué tuǐ,Lame leg
登,dēng,Boarding
登上,dēng shàng,Boarded
發,fā,hair
發光,fā guāng ,Glowing
發出,fā chū,issue
發出來,fā chū lái,Sent out
發怒,fā nù,Angry
發⽩,fā bái,Made white
發聲,fā shēng ,Sound
發芽,fā yá,germination
⽩,bái,White
⽩天,bái tiān,White day
⽩雲,bái yún,White clouds
百合,bǎi hé,lily
百合花,bǎi hé huā,lily
百姓,bǎi xìng ,People
的⼼,de xīn,Of the heart
的是,de shì,Is the one
皆,jiē,all
皎潔,jiǎo jié,Bright and clean
⽪袋,pí dài,Bag
盛,shèng,Sheng
盞,zhǎn,Light
盡,jǐn,To do so
盡全⼒,jìn quán lì,Make every effort
盡全⼼,jìn quán xīn,Do the best
盡⼒,jǐn lì,Make every effort
盡⼼,jǐn xīn,Do the best
盡⼼盡⼒,jǐn xīn jìn lì,Make every effort to do it
盡情,jìn qíng ,Enjoy
盡意,jìn yì,To do so
盡頭,jìn tóu,At the end
監牢,jiān láo,Prison
監獄,jiān yù,prison
⽬,mù,Purpose
⽬不轉睛,mù bù zhuǎn jīng,Do not touch
⽬光,mù guāng,Eyelight
⽬的,mù dì,Purpose
直到,zhí dào ,until
相,xiāng,phase
相信,xiāng xìn,Believe
相待,xiāng dài,Treat each other
相愛,xiāng 'ài,Love
相應,xiāng yìng,corresponding
相比,xiāng bǐ,compared to
相聚,xiāng jù,Meet together
相親,xiāng qīn,Blind date
相連,xiāng lián,Connected
相遇,xiāng yù,Meet
盼望,pàn wàng ,Hope
盾牌,dùn pái,Shield
省,shěng,province
省察,xǐng chá,Inspection
看做,kàn zuò,As seen
看到,kàn dào,see
看守,kān shǒu ,guard
看得,kàn de,See it
看清,kàn qīng,See clearly
看看,kàn kàn,Look at it
看⾒,kàn jiàn,Look at
看過,kàng uò,Seen
看重,kàn zhòng ,value
看顧,kàn gù,Look after
真,zhēn,true
真光,zhēn guāng ,True light
真切,zhēn qiè,True
真好,zhēn hǎo,that's nice
真實,zhēn shí,real
真愛,zhēn 'ài,Love
真摯,zhēn zhì,sincere
真是,zhēn shi,Really
真正,zhēn zhèng ,real
真理,zhēn lǐ,truth
真的,zhēn de,Really
真神,zhēn shén ,True gods
真美,zhēn měi,gorgeous
真誠,zhēn chéng ,sincere
眠,mián,sleep
眼,yǎn,eye
眼中,yǎn zhōng ,Eyes
眼光,yǎn guāng ,vision
眼前,yǎn qián ,In front of us
眼淚,yǎn lèi ,Tears
眼界,yǎn jiè ,Vision
眼⽬,yǎn mù,Eyes
眼看,yǎn kàn ,Seeing
眼睛,yǎn jīng ,eye
眼⾒,yǎn jiàn,Eyes
眾,zhòng,Public
眾⼈,zhòng rén,All the people
着,zhe,With
睜眼,zhēng yǎn,Eyes open
睜開,zhēng kāi,Open it
睡,shuì,sleep
睡著,shuì zhe,sleep
睡醒,shuì xǐng,wake
瞎眼,xiā yǎn,Blind
瞭解,liǎo jiě,To understanding
瞻仰,zhān yǎng ,Pay attention to
矣,yǐ,Carry on
知,zhī,know
知曉,zhī xiǎo ,Know
知的,zhī de,Know
知道,zhī dào ,know
⽯,shí,stone
⽯洞,shí dòng,Hole
⽯頭,shí tou,Head
破⼝,pò kǒu,Broken mouth
破曉,pò xiǎo ,breaking Dawn
破碎,pò suì ,broken
破除,pò chú ,get rid of
確實,què shí,indeed
磐,pán,Pan
磐⽯,pán shí,Pan
磨,mó,mill
⽰,shì,Show
祂,tā,He
祈求,qí qiú ,pray
祈禱,qí dǎo ,prayer
祝,zhù,wish
祝福,zhù fú,blessing
神,shén,God
神像,shén xiàng ,Gods
神⼦,shén zi,The gods
神所,shén suǒ,God
神聖,shén shèng ,sacred
神蹟,shén jī,miracle
祢,mí,You
祭,jì,Sacrifice
祭司,jì sī,priest
祭壇,jì tán ,altar
禁閉,jìn bì,Confined
福份,fú fèn,Blessing
福氣,fú qi,Blessing
福⾳,fú yīn,Blessing sound
禧,xǐ,Jubilee
禮拜,lǐ bài ,worship
禰,mí,You
禱告,dǎo gào,prayer
秀美,xiù měi ,Beautiful
秋冬,qiū dōng ,Autumn And Winter
秋雨,qiū yǔ,autumn rain
秩序,zhì xù,order
移,yí,shift
稀奇,xī qí ,Curious
種⼦,zhǒng zi,Species
稱為,chēng wèi,Called
稱讚,chēng zàn,praise
稱頌,chēng sòng,praise
穌,sū,Jesus
穩,wěn,stable
穹蒼,qióng cāng,The sky
空,kōng,air
穿戴,chuān dài,Wear
穿梭,chuān suō,shuttle
穿越,chuān yuè,Through
穿過,chuāng uò,Through
突破,tú pò ,breakthrough
窪,wā,depression
站在,zhàn zài,Standing
站立,zhàn lì,Stand up
站起來,zhà n qǐlái ,stand up
竟,jìng,actually
竟把,jìng bǎ,Actually put it
竟是,jìng shì,Was actually
竟被,jìng bèi,Was actually
童,tóng,child
竭⼒,jié lì,Exhausted
競賽,jìng sài,competition
笑臉,xiào liǎn ,Smiling face
笑顏,xiào yán,Smile
第⼀,dì yī,The first one
等候,děng hòu,waiting
等到,děng dào,wait until
等地,děng dì,Other places
等待,děng dài,wait
筒,tǒng,cylinder
答案,dá 'àn ,answer
筵宴,yán yàn,A feast
箴⾔,zhēn yán,The word
節奏,jié zòu,Rhythm
篤信,dǔ xìn ,Believe in
籠罩,lóng zhào,Enveloped
米,mǐ,Meter
精,jīng,fine
精兵,jīng bīng ,Elite troops
糞⼟,fèn tǔ,Feces
糧,liáng,grain
紀念,jìn iàn ,commemorate
約,yuē,approximately
納,nà,Satisfied
累,lèi,tired
細,xì,fine
細察,xì chá,Scrutiny
終,zhōng,end
終於,zhōng wū,at last
終點,zhōng diǎn,end
組曲,zǔqǔ ,suite
結,jié,Knot
結實,jiē shi,solid
結尾,jié wěi,end
結局,jié jú,ending
結果,jié guǒ ,result
絕不,jué bù,no way
絕不放棄,jué bù fàng qì,Never give up
絕不會,jué bù huì,Never will
絕對,jué duì ,absolute
絕望,jué wàng ,despair
給予,jǐ yǔ,give
給與,gěi yǔ,Give it
統治,tǒng zhì,rule
統管,tǒng guǎn ,Management
綑綁,kǔn bǎng ,Tied up
經歷,jīng lì,experience
經過,jīng guò,after
網,wǎng,network
綻放,zhàn fàng ,Blooming
緊,jǐn,tight
緊緊,jǐn jǐn,tightly
緊靠,jǐn kào,Close to
編織,biān zhī,Weave
縱使,zòng shǐ,Even though
縱然,zòng rán,Even though
總,zǒng,total
總是,zǒng shì,always
繁忙,fán máng ,busy
繫,xì,system
繼續,jì xù,carry on
纏,chán,Wrapped
缺乏,quē fá,lack of
罪,zuì,crime
罪⼈,zuì rén,Guilty
罪孽,zuì niè ,Iniquity
罪惡,zuì 'è,sin
羅⾺,luó mǎ,Rome
⽺,yáng,sheep
⽺⽑,yáng máo,wool
⽺羔,yáng gāo,Lamb
美善,měi shàn,Good
美好,měi hǎo ,Beautiful
美妙,měi miào ,wonderful
美祢,měi mí,Beauty you
美酒,měi jiǔ ,Wine
美麗,měi lì,beautiful
羔⽺,gāo yáng,Lamb
羞愧,xiū kuì ,ashamed
羞辱,xiū rù,humiliation
群,qún,group
群⼭,qún shān,Group
群起,qún qǐ,Group up
義⼈,yì rén,Righteousness
義哉,yì zāi ,Righteousness
翅膀,chì bǎng ,wing
翱翔,áo xiáng ,soar
翻轉,fān zhuǎn ,Flip over
翻騰,fān téng ,Somersault
耀,yào,Yao
老,lǎo,old
老年⼈,lǎo nián rén,Old age
考驗,kǎo yàn,test
者,zhě,By
⽽不,ér bù,Not at all
⽽今,ér jīn,Today
⽽來,ér lái,Come on
耕種,gēng zhòng ,Farming
耳,ěr,ear
耳朵,ěr duo,ear
耶,yē,Yay
耶和華,yē hé huá ,Jehovah
耶稣,yē sū ,Jesus
耶穌,yē sū ,Jesus
耶穌基督,yē sū jī dū ,Jesus Christ
