⼀事	yī shì
洗淨	xǐ jìng
洗清	xǐ qīng
洪	hóng
洪⽔	hóng shuǐ
洪流	hóng liú
活出	huó chū
活命	huó mìng 
活在	huó zài
活⽔	huó shuǐ
活泉	huó quán
活祭	huó jì
活著	huó zhe
活過來	huó guò lái
流	liú
流下	liú xià
流出	liú chū 
流到	liú dào
流向	liú xiàng 
流淚	liú lèi 
流當	liú dāng
流著	liú zhe
流⾎	liú xuè
浩瀚	hào hàn 
浪	làng
浪潮	làng cháo 
海⽔	hǎi shuǐ
海洋	hǎi yáng 
海浪	hǎi làng 
海邊	hǎi biān 
浸透	jìn tòu
消失	xiāo shī
消散	xiāo sàn
消除	xiāo chú
淌	tǎng
淚	lèi
淚⽔	lèi shuǐ
淨	jìng
深	shēn
深信	shēn xìn
深刻	shēn kè
深愛	shēn ài
深愛著	shē n àizhe
深海	shēn hǎi
深深	shēn shēn
深淵	shēn yuān
深知	shēn zhī
深處	shēn chù
深⾕	shēn gǔ
混亂	hǔn luàn 
淹沒	yān mò
清	qīng
清晨	qīng chén 
清潔	qīng jié
清香	qīng xiāng 
渡	dù
渡過	dù guò 
渣滓	zhā zǐ
測	cè
測度	cè duó 
渴	kě
渴想	kě xiǎng 
渴慕	kě mù
渴望	kě wàng 
渴求	kě qiú 
湧	yǒng
湧上來	yǒng shàng lái
湧出	yǒng chū
湧出來	yǒng chū lái
源	yuán
源頭	yuán tóu
準	zhǔn
溢	yì
溢滿	yì mǎn
溪⽔	xī shuǐ
溫暖	wēn nuǎn 
溫柔	wēn róu 
溫順	wēn shùn 
溶化	róng huà
滄海	cāng hǎi
滋味	zī wèi 
滋潤	zī rùn 
滲透	shèn tòu
滴落	dī luò
滾	gǔn
滾滾	gǔn gǔn 
滿了	mǎn le
滿⼼	mǎn xīn
滿有	mǎn yǒu
滿滿	mǎn mǎn
滿⾜	mǎn zú
漸漸	jiàn jiàn 
潔	jié
潔淨	jié jìng 
潔⽩	jié bái
潮	cháo
潮⽔	cháo shuǐ
潸然	shān rán
澆	jiāo
澆灌	jiāo guàn 
澎湃	péng pài
激動	jī dòng 
激勵	jī lì
灌	guàn
火	huǒ
火光	huǒ guāng 
火炭	huǒ tàn
火焰	huǒ yàn
火燄	huǒ yàn
火燒	huǒ shāo 
火⾞	huǒ chē
灰塵	huī chén 
灰暗	huī 'àn
灰燼	huī jìn
災難	zāi nàn 
為⼀	wèi yī
為主	wéi zhǔ
為了	wèi le
為你	wèi nǐ
為善	wéi shàn
為⼰	wèi jǐ
為⽗	wèi fù
為著	wèi zhe
烈	liè
烈⽇	liè rì
烈火	liè huǒ 
烙印	lào yìn
焚	fén
焚燒	fén shāo 
無	wú
無事	wú shì 
無⼈	wú rén
無價	wú jià
無⼒	wú lì
無名	wú míng 
無始無終	wú shǐ wú zhōng
無形	wú xíng 
無⽌盡	wú zhǐ jǐn
無比	wú bǐ 
無法	wú fǎ 
無瑕	wú xiá 
無盡	wú jìn 
無私	wú sī 
無窮	wú qióng 
無窮盡	wú qióng jìn
無能	wú néng 
無論	wú lùn 
無限	wú xiàn 
焦點	jiāo diǎn 
煉	liàn
煙	yān
煙火	yān huǒ 
照亮	zhào liàng
照耀	zhào yào
照著	zhào zhe
照顧	zhào gù
煩	fán
煩惱	fán nǎo
熄	xī
熄滅	xí miè 
熊熊	xióng xióng 
熱切	rè qiè 
熱⼼	rè xīn
熱情	rè qíng 
熱情奔放	rè qíng bēn fàng 
燃燒	rán shāo 
燈	dēng
燈臺	dēng tái
燒	shāo
營壘	yíng lěi
爛	làn
爭	zhēng
爲	wéi
⽗⼦	fù zi
⽗親	fù qīn
牆	qiáng
牆垣	qiáng yuán
牢	láo
牧⼈	mù rén
牧⽺⼈	mù yáng rén
牧者	mù zhě
特殊	tè shū 
牽	qiān
牽引	qiān yǐn
牽著	qiān zhe
犧牲	xī shēng 
犯	fàn
犯罪	fàn zuì
狂熱	kuáng rè
狂風	kuáng fēng
狂風暴雨	kuáng fēng bào yǔ
猶原	yóu yuán 
猶⼤	yóu dà
猶如	yóu rú
猶豫	yóu yù
獅	shī
獅吼	shī hǒu
獅⼦	shī zi
獎賞	jiǎng shǎng
獨	dú
獨⼀無⼆	dú yī wú èr
獨有	dú yǒu
獨獨	dú dú
獨⽣	dú shēng
獨⽣⼦	dú shēng zi
獨⾃	dú zì
獨⾏	dú xíng
獻上	xiàn shàng
獻給	xiàn gěi
⽟蘭花	yù lán huā 
玩	wán
玫	méi
玫瑰	méi guī 
玻璃	bō lí
珍寶	zhēn bǎo
珍惜	zhēn xī
珍貴	zhēng uì
珠寶	zhū bǎo 
珥	ěr
班	bān
現今	xiàn jīn
現在	xiàn zài
現實	xiàn shí
理由	lǐ yóu 
瑞	ruì
環境	huán jìng
環抱	huán bào
環繞	huán rào
環繞著	huá n ràozhe
⽢	gān
⽢⼼	gān xīn
⽢甜	gān tián
⽢願	gān yuàn
甚	shén
甚多	shén duō
甚⾄	shén zhì
甜	tián
甜美	tián měi
甜蜜	tián mì
⽣命	shēng mìng
⽣於	shēng wū
⽣氣	shēng qì
⽣活	shēng huó
產	chǎn
產業	chǎn yè
甦醒	sū xǐng 
⽤⼒	yòng lì
⽤⼼	yòng xīn
⽤盡	yòng jìn
⽥	tián
⽥中	tián zhōng
⽥野	tián yě
由	yóu
申冤	shēn yuān
男⼈	nán rén
男女老幼	nán nǚ lǎo yòu
界限	jiè xiàn 
畏寒	wèi hán
畏懼	wèi jù
留存	liú cún 
留⼼	liú xīn
略	lüè
異	yì
異鄉	yì xiāng 
當中	dāng zhōng 
當作	dàng zuò
當年	dāng nián
當⼼	dāng xīn
當⽇	dāng rì
疑	yí
疑惑	yí huò 
疑雲	yí yún 
疲乏	pí fá 
疲憊	pí bèi 
疼	téng
疾病	jí bìng 
疾風	jí fēng 
病	bìng
痊癒	quán yù
痛苦	tòng kǔ
瘸腿	qué tuǐ
登	dēng
登上	dēng shàng
發	fā
發光	fā guāng 
發出	fā chū
發出來	fā chū lái
發怒	fā nù
發⽩	fā bái
發聲	fā shēng 
發芽	fā yá
⽩	bái
⽩天	bái tiān
⽩雲	bái yún
百合	bǎi hé
百合花	bǎi hé huā
百姓	bǎi xìng 
的⼼	de xīn
的是	de shì
皆	jiē
皎潔	jiǎo jié
⽪袋	pí dài
盛	shèng
盞	zhǎn
盡	jǐn
盡全⼒	jìn quán lì
盡全⼼	jìn quán xīn
盡⼒	jǐn lì
盡⼼	jǐn xīn
盡⼼盡⼒	jǐn xīn jìn lì
盡情	jìn qíng 
盡意	jìn yì
盡頭	jìn tóu
監牢	jiān láo
監獄	jiān yù
⽬	mù
⽬不轉睛	mù bù zhuǎn jīng
⽬光	mù guāng
⽬的	mù dì
直到	zhí dào 
相	xiāng
相信	xiāng xìn
相待	xiāng dài
相愛	xiāng 'ài
相應	xiāng yìng
相比	xiāng bǐ
相聚	xiāng jù
相親	xiāng qīn
相連	xiāng lián
相遇	xiāng yù
盼望	pàn wàng 
盾牌	dùn pái
省	shěng
省察	xǐng chá
看做	kàn zuò
看到	kàn dào
看守	kān shǒu 
看得	kàn de
看清	kàn qīng
看看	kàn kàn
看⾒	kàn jiàn
看過	kàng uò
看重	kàn zhòng 
看顧	kàn gù
真	zhēn
真光	zhēng uāng 
真切	zhēn qiè
真好	zhēn hǎo
真實	zhēn shí
真愛	zhēn 'ài
真摯	zhēn zhì
真是	zhēn shi
真正	zhēn zhèng 
真理	zhēn lǐ
真的	zhēn de
真神	zhēn shén 
真美	zhēn měi
真誠	zhēn chéng 
眠	mián
眼	yǎn
眼中	yǎn zhōng 
眼光	yǎn guāng 
眼前	yǎn qián 
眼淚	yǎn lèi 
眼界	yǎn jiè 
眼⽬	yǎn mù
眼看	yǎn kàn 
眼睛	yǎn jīng 
眼⾒	yǎn jiàn
眾	zhòng
眾⼈	zhòng rén
着	zhe
睜眼	zhēng yǎn
睜開	zhēng kāi
睡	shuì
睡著	shuì zhe
睡醒	shuì xǐng
瞎眼	xiā yǎn
瞭解	liǎo jiě
瞻仰	zhān yǎng 
矣	yǐ
知	zhī
知曉	zhī xiǎo 
知的	zhī de
知道	zhī dào 
⽯	shí
⽯洞	shí dòng
⽯頭	shí tou
破⼝	pò kǒu
破曉	pò xiǎo 
破碎	pò suì 
破除	pò chú 
確實	què shí
磐	pán
磐⽯	pán shí
磨	mó
⽰	shì
祂	tā
祈求	qí qiú 
祈禱	qí dǎo 
祝	zhù
祝福	zhù fú
神	shén
神像	shén xiàng 
神⼦	shén zi
神所	shén suǒ
神聖	shén shèng 
神蹟	shén jī
祢	mí
祭	jì
祭司	jì sī
祭壇	jì tán 
禁閉	jìn bì
福份	fú fèn
福氣	fú qi
福⾳	fú yīn
禧	xǐ
禮拜	lǐ bài 
禰	mí
禱告	dǎo gào
秀美	xiù měi 
秋冬	qiū dōng 
秋雨	qiū yǔ
秩序	zhì xù
移	yí
稀奇	xī qí 
種⼦	zhǒng zi
稱為	chēng wèi
稱讚	chēng zàn
稱頌	chēng sòng
穌	sū
穩	wěn
穹蒼	qióng cāng
空	kōng
穿戴	chuān dài
穿梭	chuān suō
穿越	chuān yuè
穿過	chuāng uò
突破	tú pò 
窪	wā
站在	zhàn zài
站立	zhàn lì
站起來	zhà n qǐlái 
竟	jìng
竟把	jìng bǎ
竟是	jìng shì
竟被	jìng bèi
童	tóng
竭⼒	jié lì
競賽	jìng sài
笑臉	xiào liǎn 
笑顏	xiào yán
第⼀	dì yī
等候	děng hòu
等到	děng dào
等地	děng dì
等待	děng dài
筒	tǒng
答案	dá 'àn 
筵宴	yán yàn
箴⾔	zhēn yán
節奏	jié zòu
篤信	dǔ xìn 
籠罩	lóng zhào
米	mǐ
精	jīng
精兵	jīng bīng 
糞⼟	fèn tǔ
糧	liáng
紀念	jìn iàn 
約	yuē
納	nà
累	lèi
細	xì
細察	xì chá
終	zhōng
終於	zhōng wū
終點	zhōng diǎn
組曲	zǔqǔ 
結	jié
結實	jiē shi
結尾	jié wěi
結局	jié jú
結果	jié guǒ 
絕不	jué bù
絕不放棄	jué bù fàng qì
絕不會	jué bù huì
絕對	jué duì 
絕望	jué wàng 
給予	jǐ yǔ
給與	gěi yǔ
統治	tǒng zhì
統管	tǒng guǎn 
綑綁	kǔn bǎng 
經歷	jīng lì
經過	jīng guò
網	wǎng
綻放	zhàn fàng 
緊	jǐn
緊緊	jǐn jǐn
緊靠	jǐn kào
編織	biān zhī
縱使	zòng shǐ
縱然	zòng rán
總	zǒng
總是	zǒng shì
繁忙	fán máng 
繫	xì
繼續	jì xù
纏	chán
缺乏	quē fá
罪	zuì
罪⼈	zuì rén
罪孽	zuì niè 
罪惡	zuì 'è
羅⾺	luó mǎ
⽺	yáng
⽺⽑	yáng máo
⽺羔	yáng gāo
美善	měi shàn
美好	měi hǎo 
美妙	měi miào 
美祢	měi mí
美酒	měi jiǔ 
美麗	měi lì
羔⽺	gāo yáng
羞愧	xiū kuì 
羞辱	xiū rù
群	qún
群⼭	qún shān
群起	qún qǐ
義⼈	yì rén
義哉	yì zāi 
翅膀	chì bǎng 
翱翔	áo xiáng 
翻轉	fān zhuǎn 
翻騰	fān téng 
耀	yào
老	lǎo
老年⼈	lǎo nián rén
考驗	kǎo yàn
者	zhě
⽽不	ér bù
⽽今	ér jīn
⽽來	ér lái
耕種	gēng zhòng 
耳	ěr
耳朵	ěr duo
耶	yē
耶和華	yē hé huá 
耶稣	yē sū 
耶穌	yē sū 
耶穌基督	yē sū jī dū 
耶路撒冷	yē lù sā lěng 
耹	qín
聆聽	líng tīng
聖	shèng
聖名	shèng míng
聖⼦	shèng zi
聖⼭	shèng shān
聖徒	shèng tú
聖殿	shèng diàn
聖⺟	shèng mǔ
聖潔	shèng jié
聖火	shèng huǒ
聖者	shèng zhě
聖靈	shèng líng
聚	jù
聚集	jù jí 
聲	shēng
聲⾳	shēng yīn
聲響	shēng xiǎng
聽到	tīng dào
聽得	tīng dé
聽從	tīng cóng 
聽我	tīng wǒ
聽眾	tīng zhòng 
聽⾒	tīng jiàn
聽過	tīng guò
⾁⾝	ròu shēn
⾁體	ròu tǐ
肩膀	jiān bǎng 
肩負	jiān fù
背	bèi
背上	bèi shàng
背後	bèi hòu
背負	bèi fù
背起	bèi qǐ
胸懷	xiōng huái
能不能	néng bù néng 
能⼒	néng lì
能夠	néng gòu
能⼿	néng shǒu
能有	néng yǒu
能為	néng wéi
能看	néng kàn
能⾒	néng jiàn
脫去	tuō qù
脫落	tuō luò 
脫離	tuō lí
腦海	nǎo hǎi 
腰	yāo
腳	jiǎo
腳下	jiǎo xià
腳凳	jiǎo dèng
腳步	jiǎo bù
腳步聲	jiǎo bù shēng 
腹	fù
膏	gāo
膏油	gāo yóu
膚⾊	fū sè
臂	bì
臉	liǎn
臉上	liǎn shàng
臉孔	liǎn kǒng
臨到	lín dào 
臨近	lín jìn 
⾃卑	zì bēi
⾃在	zì zài
⾃⼰	zì jǐ
⾃有	zì yǒu
⾃由	zì yóu
⾄	zhì
⾄今	zhì jīn
⾄寶	zhì bǎo
⾄尊	zhì zūn
⾄聖	zhì shèng
⾄⾼	zhì gāo
興衰	xīng shuāi 
興起	xīng qǐ
舉	jǔ
舉⼿	jǔ shǒu
舉⽬	jǔ mù
舉起	jǔ qǐ
舉起來	jǔ qǐ lái 
舉起⼿來	jǔ qǐ shǒu lái
舊事	jiù shì
舊的	jiù de
舌頭	shé tou
舞動	wǔ dòng 
舞蹈	wǔ dǎo 
良	liáng
良善	liáng shàn
艱困	jiān kùn
艱苦	jiān kǔ
艱難	jiān nán
花園	huā yuán 
花朵	huā duǒ 
花蕊	huā ruǐ
若	ruò
若是	ruò shì
苦	kǔ
苦楚	kǔ chǔ 
苦痛	kǔ tòng 
苦難	kǔn àn
茲	zī
草原	cǎo yuán 
荒漠	huāng mò
莊稼	zhuāng jia
莫	mò
菁	jīng
華⼈	huá rén
萬	wàn
萬世	wàn shì 
萬事	wàn shì
萬⼈	wàn rén
萬代	wàn dài 
萬名	wàn míng
萬國	wàng uó
萬有	wàn yǒu
萬物	wàn wù
萬福	wàn fú
萬邦	wàn bāng
落	luò
落下	luò xià
葉	yè
著迷	zháo mí
葛	gé
葡萄園	pú táo yuán 
葡萄樹	pú táo shù 
蒙	méng
蒙恩	méng ēn
蓮	lián
蔣	jiǎng
蔭	yīn
蔭庇	yīn bì
藉著	jí zhe
藍天	lán tiān 
藏	cáng
處境	chǔ jìng 
處所	chù suǒ
處死	chǔ sǐ
虛假	xū jiǎ 
虛名	xū míng 
虛空	xū kōng 
號	hào
號⾓	hào jiǎo
號⾓聲	hào jiǎo shēng
蜜	mì
融化	róng huà
蟲	chóng
蠶	cán
⾎	xuè
⾎氣	xuè qì
⾏事	xíng shì
⾏動	xíng dòng
⾏號	xíng hào
⾏走	xíng zǒu
⾏路	xíng lù
⾏蹤	xíng zōng
街	jiē
衣	yī
衣裳	yī shang
衷⼼	zhōng xīn
被殺	bèi shā
袮	mí
裂	liè
裏	lǐ
裏⾯	lǐ miàn
裝不下	zhuān g bùxià
裡⾯	li miàn
⻄	xi
要有	yào yǒu
覆蓋	fù gài 
⾒	jiàn
⾒證	jiàn zhèng
親	qīn
親吻	qīn wěn
親嘴	qīn zuǐ
親密	qīn mì
親愛	qīn 'ài
親愛的	qīn 'ài de
親眼看⾒	qīn yǎnkàn jiàn 
親⾝經歷	qīn shēn jīng lì
親近	qīn jìn 
觀看	guān kàn
⾓⽯	jiǎo shí
⾓落	jiǎo luò
觸	chù
觸動	chù dòng 
觸摸	chù mō
觸碰	chù pèng
⾔	yán
⾔語	yán yǔ
計劃	jì huá 
計畫	jì huà
討	tǎo
記念	jìn iàn 
記號	jì hào 
記載	jì zǎi 
設立	shè lì
許多	xǔ duō 
訴說	sù shuō 
証	zhèng
詛	zǔ
詞曲	cí qǔ
試	shì
試探	shì tàn
試煉	shì liàn
詩歌	shī gē
話	huà
話語	huà yǔ
該做	gāi zuò
該說	gāi shuō
誇	kuā
認	rèn
認罪	rèn zuì
認識	rèn shi
誓	shì
誓⾔	shì yán
語	yǔ
語⾔	yǔ yán
誠信	chéng xìn
誠哉	chéng zāi
誠實	chéng shí
誠⼼	chéng xīn
誠然	chéng rán
說	shuō
說來	shuō lái
說的	shuō de
説	shuō
誰	shuí
誰在	shuí zài
誰是	shuí shì
誰能	shuí néng
誼	yì
談論著	tán lùn zhù
請	qǐng
請聽	qǐng tīng
諸	zhū
謙卑	qiān bēi
謙恭	qiāng ōng
謝謝	xiè xiè 
謳	ōu
警醒	jǐng xǐng
護庇	hù bì
變化	biàn huà
變換	biàn huàn
變更	biàn gēng
變為	biàn wèi
讚	zàn
讚嘆	zàn tàn 
讚美	zàn měi 
⾕中	gǔ zhōng
⾕底	gǔ dǐ
豐富	fēng fù
豐收	fēng shōu
豐沛	fēng pèi
豐盛	fēng shèng 
豐饒	fēng ráo
財富	cái fù
貧窮	pín qióng 
貴重	guì zhòng 
買	mǎi
貼近	tiē jìn 
賜福	cì fú
賜給	cì gěi
賞	shǎng
賞賜	shǎng cì
賺取	zhuàn qǔ
贏得	yíng dé
贖	shú
贖回	shú huí
赦免	shè miǎn 
赦罪	shè zuì
走上	zǒu shàng
走出	zǒu chū 
走到	zǒu dào
走動	zǒu dòng 
走在	zǒu zài
走路	zǒu lù
走進	zǒu jìn
走過	zǒu guò 
起了	qǐ le 
起來	qǐ lái 
起初	qǐ chū 
起始	qǐ shǐ
起死回⽣	qǐ sǐ huí shēng
超	chāo
超乎	chāo hu
超越	chāo yuè
超過	chāo guò
越過	yuè guò 
跌倒	dié dǎo 
跑	pǎo
跟	gēn
跟前	gēn qián 
跟著	gēn zhe
跟隨	gēn suí
跨過	kuà guò 
跪下	guì xià
跪拜	guì bài 
路途	lù tú
跳舞	tiào wǔ
跳跳	tiào tiào
跳躍	tiào yuè
跳進	tiào jìn
踏	tà
踐踏	jiàn tà
躥	cuān
⾝	shēn
⾝上	shēn shang
⾝為	shēn wèi
⾝軀	shēn qū
⾝邊	shēn biān
⾝體	shēn tǐ
躲藏	duǒ cáng 
躲避	duǒ bì
躺臥	tǎng wò
⾞	chē
軍	jūn
軍隊	jūn duì 
軛	è
軟弱	ruǎn ruò
載	zài
輕	qīng
輕易	qīng yì
輕聲	qīng shēng 
輕輕	qīng qīng
輝煌	huī huáng 
轉	zhuǎn
轉到	zhuǎn dào
轉化	zhuǎn huà
轉向	zhuǎn xiàng 
轉為	zhuǎn wèi
轉眼之間	zhuǎn yǎn zhī jiān
轉變	zhuǎn biàn
辦	bàn
迎接	yíng jiē
迎著	yíng zhe
返	fǎn
迫切	pò qiè 
述說	shù shuō 
迷失	mí shī 
追求	zhuī qiú
追隨	zhuī suí
逃	táo
逃跑	táo pǎo 
逃離	táo lí
透過	tòu guò 
逐	zhú
途	tú
逗	dòu
這	zhè
這⼀	zhè yī
這⼀個	zhè yī gè
這些	zhè xiē 
這個	zhè ge
這塊	zhè kuài
這是	zhè shì
這樣	zhè yàng 
這裡	zhè lǐ
造出	zào chū
造成	zào chéng 
造物主	zào wù zhǔ 
連	lián
連合	lián hé
連結	lián jié
週⼀	zhōu yī
週三	zhōu sān
週⼆	zhōu èr
週五	zhōu wǔ
週六	zhōu liù
週四	zhōu sì
進	jìn
進來	jìn lái
進入	jìn rù
逼迫	bī pò
遇	yù
遇⾒	yù jiàn
運⾏	yùn xíng
遍地	biàn dì
遍照	biàn zhào
過去	guò qù
過於	guò wū
過程	guò chéng 
過錯	guò cuò 
道修	dào xiū
道成	dào chéng
道路	dào lù
遠	yuǎn
遠⼼	yuǎn xīn
遠⽅	yuǎn fāng
遠比	yuǎn bǐ
遠處	yuǎn chù
遠超過	yuǎn chāo guò
遠離	yuǎn lí
遭	zāo
遭受	zāo shòu 
遭遇	zāo yù
遮蓋	zhē gài 
遵守	zūn shǒu 
遵⾏	zūn xíng
選	xuǎn
選擇	xuǎn zé
遺忘	yí wàng 
避難所	bìn àn suǒ
邀請	yāo qǐng 
邁開	mài kāi
還	hái
還在	hái zài
還怕	hái pà
還是	hái shì
還有	hái yǒu
還沒有	hái méi yǒu
還要	hái yào
那	nà
那⼀	nà yī
那些	nà xiē 
那位	nà wèi
那天	nèi tiān 
那裡	nà lǐ 
邦	bāng
邵	shào
部	bù
都	dōu
都不	dōu bù
都不能	dōu bù néng 
都來	dōu lái
都可	dōu kě
都因	dōu yīn
都在	dōu zài
都是	dōu shì
都能	dōu néng
都要	dōu yào
配向	pèi xiàng 
酒	jiǔ
醒	xǐng
醞釀	yùn niàng 
醫	yī
醫治	yī zhì 
釋放	shì fàng 
⾥	lǐ
重	zhòng
重修	chóng xiū
重擔	zhòng dàn
重新	chóng xīn
重⽣	zhòng shēng
重要	zhòng yào
野	yě
⾦	jīn
⾦銀	jīn yín
釘	dīng
釘在	dīng zài
釘死	dīng sǐ
釘痕	dīng hén
鈴⿎	líng gǔ
鉤	gōu
銀錢	yín qián 
銅	tóng
錄	lù
錢財	qián cái
錫	xī
錯失	cuò shī
鎖	suǒ
鎖鏈	suǒ liàn 
鏈	liàn
鑒察	jiàn chá
鑰匙	yào shi
長老	zhǎng lǎo
⾨前	mén qián
⾨徒	mén tú
閃亮	shǎn liàng
閃耀	shǎn yào
閃電	shǎn diàn 
開⼝	kāi kǒu
開啟	kāi qǐ
開始	kāi shǐ
開⾨	kāi mén
關鍵	guān jiàn
阮	ruǎn
阻	zǔ
阻擋	zǔ dǎng 
阻攔	zǔ lán 
阻礙	zǔ'ài 
阿	ā
阿們	ā men
阿拉	ā lā 
阿爸	ā bà
陋	lòu
降下	jiàng xià
降下來	jiàn g xiàlái
降世	jiàng shì
降伏	xiáng fú
降服	xiáng fú
降⽣	jiàng shēng
降臨	jiàng lín
限	xiàn
限制	xiàn zhì
院	yuàn
陣營	zhèn yíng 
除	chú
除去	chù qú
除掉	chú diào
陪伴	péi bàn 
陰間	yīn jiān 
陳	chén
陶匠	táo jiang
陶醉在	táo zuì zài
陷	xiàn
陷落	xiàn luò
陽光	yáng guāng 
隆	lóng
隆隆	lóng lóng 
隔	gé
隔斷	gé duàn 
隔絕	gé jué 
隨	suí
隨時	suí shí 
隨著	suí zhe
隨風	suí fēng
險阻	xiǎn zǔ
隱密	yǐn mì
隱藏	yǐn cáng 
雀	què
雅	yā
雖	suī
雖有	suī yǒu
雖然	suī rán 
雙	shuāng
雙⼿	shuāng shǒu
雙眼	shuāng yǎn
雙臂	shuāng bì
離去	lí qù
離開	lí kāi 
雨	yǔ
雨絲	yǔ sī 
雪⽩	xuě bái
雲	yún
雲彩	yún cai
雲端	yún duān
雷	léi
雷聲	léi shēng
雷鳴	léi míng 
需要	xū yào 
震動	zhèn dòng 
震天	zhèn tiān
震撼	zhèn hàn
霜雪	shuāng xuě
露	lù
靈魂	líng hún
青年	qīng nián 
青翠	qīng cuì
青草	qīng cǎo
靜風	jìng fēng
非	fēi
靠在	kào zài
靠⾃⼰	kào zì jǐ
靠著	kào zhe
靠近	kào jìn 
⾯	miàn
⾯前	miàn qián
⾯對	miàn duì
⾯對⾯	miàn duì miàn
鞭	biān
⾳	yīn
⾳樂	yīn yuè
韻	yùn
響	xiǎng
響徹	xiǎng chè
響徹雲霄	xiǎn g chè yúnxiāo 
響應	xiǎng yìng
響聲	xiǎng shēng 
響起	xiǎng qǐ
響起來	xiǎn g qǐlái
頂上	dǐng shàng 
項	xiàng
順從	shùn cóng 
順服	shùn fú
頌	sòng
頌揚	sòng yáng
頌讚	sòng zàn
預備	yù bèi 
預⾔	yù yán
領受	lǐng shòu
領會	lǐng huì
頭髮	tóu fà
願主	yuàn zhǔ
願意	yuàn yì
顧念	gùn iàn 
顫抖	chàn dǒu
顯出	xiǎn chū
顯得	xiǎn de
顯明	xiǎn míng 
顯現	xiǎn xiàn
風吹	fēng chuī 
風暴	fēng bào
風浪	fēng làng
風采	fēng cǎi
風雨	fēng yǔ
⾶到	fēi dào
⾶翔	fēi xiáng
⾶起來	fēi qǐ lái 
⾶越	fēi yuè
⾶躍	fēi yuè
飢渴	jī kě
飢荒	jī huang
飲	yǐn
飼	sì
養	yǎng
饑渴	jī kě
⾸先	shǒu xiān
⾸歌	shǒu gē
香	xiāng
香味	xiāng wèi
香氣	xiāng qì
馨香	xīn xiāng 
⾺	mǎ
⾺拉	mǎ lā
駕著	jià zhe
駕駛	jià shǐ
騰	téng
驗	yàn
驚	jīng
驚嘆	jīng tàn
驚奇	jīng qí
驚惶	jīng huáng 
骸骨	hái gǔ
體會	tǐ huì 
⾼	gāo
⾼低	gāo dī
⾼唱	gāo chàng
⾼喊	gāo hǎn
⾼⼭	gāo shān
⾼崗	gāo gǎng
⾼昂	gāo áng
⾼歌	gāo gē
⾼深	gāo shēn
⾼空	gāo kōng
⾼聲	gāo shēng
⾼臺	gāo tái
⾼舉	gāo jǔ
