"a.c.","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>a.c.</b><br>See <a href=""entry://alternating current"">alternating current</a>"
"apochromatic lens","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apochromatic lens</b><br>See <a href=""entry://achromatic lens"">achromatic lens</a>"
"apocynthion","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apocynthion</b><br>The point in the orbit around the moon of a satellite launched from the earth that is furthest from the moon. For a satellite launched from the moon the equivalent point is the <i>apolune</i> . Compare <a href=""entry://pericynthion"">pericynthion</a>"
"apogee","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apogee</b><br>The point in the orbit of the moon, or an artificial earth satellite, at which it is furthest from the earth. At apogee the moon is 406 700 km from the earth, some 42 000 km further away than at <i>perigee</i> , the nearest point to the earth"
"apolune","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apolune</b><br>See <a href=""entry://apocynthion"">apocynthion</a>"
"apparent expansivity","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apparent expansivity</b><br>See <a href=""entry://expansivity"">expansivity</a>"
"Appleton layer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Appleton layer</b><br>See <a href=""entry://earth's atmosphere"">earth's atmosphere</a>"
"applications software","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>applications software</b><br>Computer programs, or collections of programs, designed to meet the needs of the users of computer systems by directly contributing to the performance of specific roles. Examples include a word-processing or spreadsheet program, or a company's payroll package. In contrast, <i>systems software</i> , such as an operating system, are the group of programs required for effective use of a computer system"
"approximation technique","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>approximation technique</b><br>A method used to solve a problem in mathematics, or its physical applications, that does not give an exact solution but that enables an approximate solution to be found"
"apsides","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>apsides</b><br>The two points in an astronomical orbit that lie closest to (<i>periapsis</i> ) and farthest from (<i>apoapsis</i> ) the centre of gravitational attraction. The <i>line of apsides</i> is the straight line that joins the two apsides. If the orbit is elliptical the line of apsides is the major axis of the ellipse"
"aqueous","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aqueous</b><br>Describing a solution in water"
"arc lamp","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arc lamp</b><br>See <a href=""entry://electric lighting"">electric lighting</a>"
"arccos","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arccos</b>, <i>arcsin, arctan</i>
<br>See <a href=""entry://inverse functions"">inverse functions</a>"
"Archimedes of Syracuse","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Archimedes of Syracuse</b><br><i>(287&ndash;212 BC)</i>
<br> Greek mathematician who spent most of his life at his birthplace working on levers and other aspects of mechanics. In hydrostatics he devised a pump (the <i>Archimedian screw</i> ) and formulated <a href=""entry://Archimedes' principle"">Archimedes' principle</a>. His method of successive approximations allowed him to determine the value of π</img> to a good approximation. He was killed by a soldier in the Roman siege of Syracuse"
"Archimedes' principle","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Archimedes' principle</b><br>The weight of the liquid displaced by a floating body is equal to the weight of the body. The principle was not in fact stated by Archimedes, though it has some connection with his discoveries. The principle is often stated in the form: when a body is (partially or totally) immersed in a fluid, the upthrust on the body is equal to the weight of fluid displaced"
"arcosh","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arcosh</b>, <i>arsinh, artanh</i>
<br>See <a href=""entry://inverse functions"">inverse functions</a>"
"Argand diagram","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Argand diagram</b><br>See <a href=""entry://complex number"">complex number</a>"
"argument","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>argument</b><br><b>1</b> A sequence of logical propositions based on a set of premisses and leading to a conclusion.
<br><b>2</b> See <a href=""entry://complex number"">complex number</a>."
"arithmetic average","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arithmetic average</b><i>(arithmetic mean)</i>
<br>See <a href=""entry://average"">average</a>"
"arithmetic series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arithmetic series</b><i>(arithmetic progression)</i>
<br>A series or progression of numbers in which there is a common difference between terms, e.g. 3, 9, 15, 21,… is an arithmetic series with a common difference of 6. The general formula for the <i>n</i>th term is <div class=""equ"">[<i>a</i>+(<i>n</i> - 1)<i>d</i>]</div>and the sum of <i>n</i> terms is <div class=""equ""><i>n</i>[2<i>a</i>+ (<i>n</i> - 1)<i>d</i>]/2.</div> Compare <a href=""entry://geometric series"">geometric series</a>"
"arithmetic/logic unit","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>arithmetic/logic unit</b><br>See <a href=""entry://ALU"">ALU</a>"
"armature","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>armature</b><br>Any moving part in an electrical machine in which a voltage is induced by a magnetic field, especially the rotating coils in an electric motor or generator and the ferromagnetic bar attracted by an electromagnet in a <a href=""entry://relay"">relay</a>"
"artificial intelligence","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>artificial intelligence</b>(AI)
<br>A field of computing concerned with the production of programs that perform tasks requiring intelligence when done by people. These tasks include playing games, such as chess or draughts, forming plans, understanding speech and natural languages, interpreting images, reasoning, and learning"
"ASCII","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>ASCII</b>(pronounced asky)
<br>American standard code for information interchange: a standard scheme for encoding the letters A&mdash;Z, a&mdash;z, digits 0&ndash;9, punctuation marks, and other special and control characters in binary form. Originally developed in the US, it is widely used in many computers and for interchanging information between computers. Characters are encoded as strings of seven <a href=""entry://bit"">bits</a>, providing 2<sup class=""expo"">7</sup> or 128 different bit patterns. International 8-bit codes that are extensions of ASCII have been published by the International Standards Organization; these allow the accented Roman letters used in European languages, as well as Cyrillic, Arabic, Greek, and Hebrew characters, to be encoded"
"associative law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>associative law</b><br>The mathematical law stating that the value of an expression is independent of the grouping of the numbers, symbols, or terms in the expression. The <i>associative law for addition</i> states that numbers may be added in any order, e.g. (<i>x</i> + <i>y</i>) + <i>z</i> = (<i>x</i> + <i>z</i>) + <i>y</i>. The <i>associative law for multiplication</i> states that numbers can be multiplied in any order, e.g. <i>x</i>(<i>yz</i>) = (<i>xy</i>)<i>z</i>. Subtraction and division are not associative.Compare <a href=""entry://commutative law"">commutative law</a>; <a href=""entry://distributive law"">distributive law</a>"
"astatic galvanometer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astatic galvanometer</b><br>A sensitive form of moving-magnet <a href=""entry://galvanometer"">galvanometer</a> in which any effects of the earth's magnetic field are cancelled out. Two small oppositely directed magnets are suspended at the centres of two oppositely wound coils. As its resultant moment on the magnets is zero, the earth's field has no effect and the only restoring torque on the magnets is that provided by the suspending fibre. This makes a sensitive but delicate instrument"
"astatine","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astatine</b><br>Symbol At. A radioactive halogen element; a.n. 85; r.a.m. 211; m.p. 302°C; b.p. 337°C. It occurs naturally by radioactive decay from uranium and thorium isotopes. Astatine forms at least 20 isotopes, the most stable astatine&ndash;210 has a half-life of 8.3 hours. It can also be produced by alpha bombardment of bismuth&ndash;200. Astatine is stated to be more metallic than iodine; at least 5 oxidation states are known in aqueous solutions. It will form interhalogen compounds, such as Atl and AtCl. The existence of At<sub class=""ind"">2</sub> has not yet been established. The element was synthesized by nuclear bombardment in 1940 by D. R. Corson, K. R. MacKenzie, and E. Segrè at the University of California"
"asteroids","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asteroids</b><i>(minor planets; planetoids)</i>
<br>A number of small bodies that revolve around the sun between the orbits of Mars and Jupiter in a zone between 1.7 and 4.0 astronomical units from the sun (the <i>asteroid belt</i> ). The size of the bodies varies from the largest, Ceres (with a diameter of 933km), to objects less than 1km in diameter. It is estimated that there are about 10 bodies with diameters in excess of 250 km and some 120 bodies with diameters over 130 km"
"asthenosphere","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asthenosphere</b><br>A layer of the earth's mantle (see <a href=""entry://earth"">earth</a>) that underlies the lithosphere at a depth of about 70km. The velocity of <a href=""entry://seismic waves"">seismic waves</a> is considerably reduced in the asthenosphere and it is thought to be a zone of partial melting. It extends to a depth of about 250 km where rocks are solid"
"astigmatism","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astigmatism</b><br>A lens defect in which when rays in one plane are in focus those in another plane are not. In lenses and mirrors it occurs with objects not on the axis and is best controlled by reducing the <a href=""entry://aperture"">aperture</a> to restrict the use of the lens or mirror to its central portion. The eye can also suffer from astigmatism, usually when the cornea is not spherical. It is corrected by using an <a href=""entry://anastigmatic lens"">anastigmatic lens</a>"
"Aston, Francis William","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Aston, Francis William</b><br><i>(1877&ndash;1945)</i>
<br> British chemist and physicist, who until 1910 worked at Mason College (later Birmingham University) and then with J. J. <a href=""entry://Thomson"">Thomson</a> at Cambridge University. In 1919 Aston designed the mass spectrograph (see <a href=""entry://mass spectrum"">mass spectrum</a>), for which he was awarded the Nobel Prize for chemistry in 1922. With it he discovered the <a href=""entry://isotope"">isotopes</a> of neon, and was thus able to explain nonintegral atomic weights"
"astrometry","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astrometry</b><br>The branch of astronomy concerned with the measurement of the positions of the celestial bodies on the <a href=""entry://celestial sphere"">celestial sphere</a>"
"astronomical telescope","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astronomical telescope</b><br>See <a href=""entry://telescope"">telescope</a>"
"astronomical unit","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astronomical unit</b>(AU)
<br>The mean distance between the sun and the earth. It is equal to 149 597 870 km (499 light seconds)"
"astronomy","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astronomy</b><br>The study of the universe beyond the earth's atmosphere.The main branches are <a href=""entry://astrometry"">astrometry</a>, <a href=""entry://celestial mechanics"">celestial mechanics</a>, and <a href=""entry://astrophysics"">astrophysics</a>"
"astrophysics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>astrophysics</b><br>The study of the physical and chemical processes involving astronomical phenomena. Astrophysics deals with stellar structure and evolution (including the generation and transport of energy within stars), the properties of the interstellar medium and its interactions with stellar systems, and the structure and dynamics of systems of stars (such as <a href=""entry://cluster"">clusters</a> and <a href=""entry://galaxie"">galaxies</a>), and of systems of galaxies. See also <a href=""entry://cosmology"">cosmology</a>"
"asymmetric atom","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asymmetric atom</b><br>See <a href=""entry://optical activity"">optical activity</a>"
"asymptote","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asymptote</b><br>A line that a curve approaches but only touches at infinity"
"asymptotic freedom","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asymptotic freedom</b><br>The consequence of certain <a href=""entry://gauge theory"">gauge theories</a>, particularly <a href=""entry://quantum chromodynamics"">quantum chromodynamics</a>, that the forces between such particles as quarks become weaker at shorter distances (i.e. higher energies) and vanish as the distance between particles tends to zero. Only nonAbelian gauge theories with unbroken gauge symmetries can have asymptotic freedom (see <a href=""entry://group theory"">group theory</a>). In contrast, <a href=""entry://quantum electrodynamics"">quantum electrodynamics</a> implies that the interaction between particles decreases as a result of dielectric screening; asymptotic freedom for quarks implies that antiscreening occurs. Physically, asymptotic freedom postulates that the <a href=""entry://vacuum state"">vacuum state</a> for gluons is a medium that has colour paramagnetism, i.e. the vacuum antiscreen colour charges.
<br>Asymptotic freedom explains the successes of the <a href=""entry://parton"">parton</a> model of pointlike objects inside hadrons and enables systematic corrections to the parton model to be calculated using perturbation theory. That the interaction between quarks increases as the distance between them increases has given rise to the hypothesis of <a href=""entry://quark confinement"">quark confinement</a>. It appears that if a theory requires the presence of Higgs bosons, asymptotic freedom is destroyed. Thus, <a href=""entry://electroweak theory"">electroweak theory</a> does not have asymptotic freedom"
"asymptotic series","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>asymptotic series</b><br>A series formed by the expansion of a function in the form <i>a</i><sub class=""ind"">o</sub> + <i>a</i><sub class=""ind"">1</sub>/<i>x</i> + <i>a</i><sub class=""ind"">2</sub>/<i>x</i><sup class=""expo"">2</sup> + … + <i>a</i><sub class=""ind"">n</sub>/<i>x</i><sup class=""expo"">n</sup> + …, such that the error resulting from terminating the series at the term <i>a</i><sub class=""ind""><i>n</i></sub>/<i>x</i><sup class=""expo""><i>n</i></sup> tends to zero more rapidly than 1/<i>x</i><sup class=""expo"">n</sup> as <i>x</i> tends to infinity. An asymptotic series expansion is not necessarily a <a href=""entry://convergent series"">convergent series</a>"
"atmolysis","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atmolysis</b><br>The separation of a mixture of gases by means of their different rates of diffusion. Usually, separation is effected by allowing the gases to diffuse through the walls of a porous partition or membrane"
"atmosphere","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atmosphere</b><br><b>1</b> (atm.) A unit of pressure equal to 101 325 pascals. This is equal to 760.0 mmHg. The actual <a href=""entry://atmospheric pressure"">atmospheric pressure</a> fluctuates around this value. The unit is usually used for expressing pressures well in excess of standard atmospheric pressure, e.g. in high-pressure chemical processes.
<br><b>2</b> See <a href=""entry://earth's atmosphere"">earth's atmosphere</a>."
"atmospheric pressure","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atmospheric pressure</b><br>The pressure exerted by the weight of the air above it at any point on the earth's surface. At sea level the atmosphere will support a column of mercury about 760mm high. This decreases with increasing altitude. The standard value for the atmospheric pressure at sea level in SI units is 101 325 pascals"
"atom","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atom</b><br>The smallest part of an element that can exist. Atoms consist of a small dense nucleus of protons and neutrons surrounded by moving electrons. The number of electrons equals the number of protons so the overall charge is zero. The electrons may be thought of as moving in circular or elliptical orbits (see <a href=""entry://Bohr theory"">Bohr theory</a>) or, more accurately, in regions of space around the nucleus (see <a href=""entry://orbital"">orbital</a>).
<br>The <i>electronic structure</i> of an atom refers to the way in which the electrons are arranged about the nucleus, and in particular the <a href=""entry://energy level"">energy levels</a> that they occupy. Each electron can be characterized by a set of four quantum numbers, as follows:
<blockquote class=""blk"">(1)&nbsp;The <i>principal quantum number <span class=""italic"">n</i></span> gives the main energy level and has values 1, 2, 3, etc. (the higher the number, the further the electron from the nucleus). Traditionally, these levels, or the orbits corresponding to them, are referred to as <i>shells</i> and given letters K, L, M, etc. The K-shell is the one nearest the nucleus.
<br> (2)&nbsp;The <i>orbital quantum number <span class=""italic"">l</i></span> , which governs the angular momentum of the electron. The possible values of <i>l</i> are (<i>n</i> - 1), (<i>n</i> - 2), …, 1, 0. Thus, in the first shell (<i>n</i> = 1) the electrons can only have angular momentum zero (<i>l</i> = 0). In the second shell (<i>n</i> = 2), the values of <i>l</i> can be 1 or 0, giving rise to two subshells of slightly different energy. In the third shell (<i>n</i> = 3) there are three subshells, with <i>l</i> = 2, 1, or 0. The subshells are denoted by letters <i>s</i> (<i>l</i> = 0), <i>p</i> (<i>l</i> = 1), <i>d</i> (<i>l</i> = 2), <i>f</i> (<i>l</i> = 3). The orbital quantum number is sometimes called the <i>azimuthal quantum number</i> .
<br>(3)&nbsp;The <i>magnetic quantum number <span class=""italic"">m</i></span> , which governs the energies of electrons in an external magnetic field. This can take values of +<i>l</i>, +(<i>l</i> - 1), …, 1, 0, -1, …, -(<i>l</i> - 1), -<i>l</i>. In an s-subshell (i.e. <i>l</i> = 0) the value of <i>m</i> = 0. In a <i>p</i>-subshell (<i>l</i> = 1), <i>m</i> can have values +1, 0, and -1; i.e. there are three <i>p</i>-orbitals in the <i>p</i>-subshell, usually designated <i>p</i><sub class=""ind""><i>x</i></sub>, <i>p</i><sub class=""ind""><i>y</i></sub>, and <i>p</i><sub class=""ind""><i>z</i></sub>. Under normal circumstances, these all have the same energy level.
<br> (4)&nbsp;The <i>spin quantum number <span class=""italic"">m</i><sub class=""ind"">s</sub></span> , which gives the spin of the individual electrons and can have the values +1/2 or -1/2.
<br></blockquote>
<br>According to the <a href=""entry://Pauli exclusion principle"">Pauli exclusion principle</a>, no two electrons in the atom can have the same set of quantum numbers. The numbers define the <i>quantum state</i> of the electron, and explain how the electronic structures of atoms occur.
<center class=""pic"">
<table border=""1"" cellpadding=""2"" class=""tbl2""> ATOMIC THEORY
<tr><td>c.430 BC</td><td>Greek natural philosopher Empedocles (d. c.430 BC) proposes that all matter consists of four elements: earth, air, fire, and water.</td></tr>
<tr><td>c.400 BC</td><td>Greek natural philosopher Democritus of Abdera (c.460&ndash;370 BC) proposes that all matter consists of atoms.</td></tr>
<tr><td>306 BC</td><td>Greek philosopher Epicurus (c.342&ndash;270 BC) champions Democritus’ atomic theory.</td></tr>
<tr><td>1649</td><td>French philosopher Pierre Gassendi (1592&ndash;1655) proposes an atomic theory (having read Epicurus).</td></tr>
<tr><td>1803</td><td>John Dalton proposes Dalton's atomic theory.</td></tr>
<tr><td>1897</td><td>J. J. Thomson discovers the electron.</td></tr>
<tr><td>1904</td><td>J. J. Thomson proposes his ‘plum pudding’ model of the atom, with electrons embedded in a nucleus of positive charges. Japanese physicist Hantaro Nagaoka (1865&ndash;1950) proposes a ‘Saturn’ model of the atom with a central nucleus having a ring of many electrons.</td></tr>
<tr><td>1911</td><td>Ernest Rutherford discovers the atomic nucleus.</td></tr>
<tr><td>1913</td><td>Niels Bohr proposes model of the atom with a central nucleus surrounded by orbiting electrons. British physicist Henry Moseley (1887&ndash;1915) equates the positive charge on the nucleus with its atomic number. Frederick Soddy discovers isotopes.</td></tr>
<tr><td>1916</td><td>German physicist Arnold Sommerfield (1868&ndash;1951) modifies Bohr's model of the atom specifying elliptical orbits for the electrons.</td></tr>
<tr><td>1919</td><td>Ernest Rutherford discovers the proton.</td></tr>
<tr><td>1920</td><td>Ernest Rutherford postulates the existence of the neutron.</td></tr>
<tr><td>1926</td><td>Erwin SchrÖdinger proposes a wave-mechanical model of the atom (with electrons represented as wave trains).</td></tr>
<tr><td>1932</td><td>James Chadwick discovers the neutron. Werner Heisenberg proposes a model of the atomic nucleus in which protons and neutrons exchange electrons to achieve stability.</td></tr>
<tr><td>1939</td><td>Niels Bohr proposes a ‘liquid drop’ model of the atomic nucleus.</td></tr>
<tr><td>1948</td><td>German-born US physicist Marie Goeppert-Meyer (1906&ndash;72) and German physicist Hans Jensen (1907&ndash;73) independently propose the ‘shell’ structure of the nucleus.</td></tr>
<tr><td>1950</td><td>US physicist Leo Rainwater (1917&ndash;86) combines the ‘liquid-drop’ and ‘shell’ models of the nucleus into a single theory.</td></tr></table></center>"
"atomic bomb","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic bomb</b>
<br>See <a href=""entry://nuclear weapons"">nuclear weapons</a>"
"atomic clock","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic clock</b><br>An apparatus for measuring or standardizing time that is based on periodic phenomena within atoms or molecules. See <a href=""entry://ammonia clock"">ammonia clock</a>; <a href=""entry://caesium clock"">caesium clock</a>"
"atomic energy","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic energy</b><br>See <a href=""entry://nuclear energy"">nuclear energy</a>"
"atomic force microscope","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic force microscope</b>(AFM)
<br>A type of microscope in which a small probe, consisting of a tiny chip of diamond, is held on a spring-loaded cantilever in contact with the surface of the sample. The probe is moved slowly across the surface and the tracking force between the tip and the surface is monitored. The probe is raised and lowered so as to keep this force constant, and a profile of the surface is produced. Scanning the probe over the sample gives a computer-generated contour map of the surface. The instrument is similar to the <a href=""entry://scanning tunnelling microscope"">scanning tunnelling microscope</a>, but uses mechanical forces rather than electrical signals. It can resolve individual molecules and, unlike the scanning tunnelling microscope, can be used with nonconducting samples, such as biological specimens"
"atomic mass unit","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic mass unit</b>(a.m.u.)
<br>A unit of mass used to express <a href=""entry://relative atomic masses"">relative atomic masses</a>. It is 1/12 of the mass of an atom of the isotope carbon&ndash;12 and is equal to 1.66033×10<sup class=""expo"">-27</sup>kg. This unit superseded both the physical and chemical mass units based on oxygen&ndash;16 and is sometimes called the <i>unified mass unit</i> or the <i>dalton</i>"
"atomic number","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic number</b><i>(proton number)</i>
<br>Symbol <i>Z</i>. The number of protons in the nucleus of an atom. The atomic number is equal to the number of electrons orbiting the nucleus in a neutral atom"
"atomic orbital","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic orbital</b><br>See <a href=""entry://orbital"">orbital</a>"
"atomic pile","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic pile</b><br>An early form of <a href=""entry://nuclear reactor"">nuclear reactor</a> using graphite as a <a href=""entry://moderator"">moderator</a>"
"atomic volume","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic volume</b><br>The relative atomic mass of an element divided by its density"
"atomic weight","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atomic weight</b><br>See <a href=""entry://relative atomic mass"">relative atomic mass</a>"
"attenuation","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>attenuation</b><br><b>1</b> A loss of intensity suffered by sound, radiation, etc., as it passes through a medium. It may be caused by absorption or scattering.
<br><b>2</b> The drop in voltage or current experienced by a signal as it passes through a circuit."
"atto-","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>atto-</b><br>Symbol a. A prefix used in the metric system to denote 10<sup class=""expo"">-18</sup>. For example, 10<sup class=""expo"">-18</sup> second = 1 attosecond (as)"
"attractor","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>attractor</b><br>The set of points in <a href=""entry://phase space"">phase space</a> to which the representative point of a dissipative system (i.e. one with internal friction) tends as the system evolves. The attractor can be: a single point; a closed curve (a <i>limit cycle</i> ), which describes a system with periodic behaviour; or a <a href=""entry://fractal"">fractal</a> (or <i>strange attractor</i> ), in which case the system exhibits <a href=""entry://chaos"">chaos</a>"
"AU","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>AU</b><br>See <a href=""entry://astronomical unit"">astronomical unit</a>"
"audibility","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>audibility</b><br>The limits of audibility of the human ear are between about 20 hertz (a low rumble) and 20000 hertz (a shrill whistle). With increased age the upper limit falls quite considerably"
"audiofrequency","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>audiofrequency</b><br>A frequency that is audible to the human ear. See <a href=""entry://audibility"">audibility</a>"
"audiometer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>audiometer</b><br>An instrument that generates a sound of known frequency and intensity in order to measure an individual's hearing ability"
"Auger effect","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Auger effect</b><br>The ejection of an electron from an atom without the emission of an X- or gamma-ray photon, as a result of the de-excitation of an excited electron within the atom. This type of transition occurs in the X-ray region of the emission spectrum. The kinetic energy of the ejected electron, called an <i>Auger electron</i> , is equal to the energy of the corresponding X-ray photon minus the binding energy of the Auger electron. The effect was discovered by Pierre Auger (1899&ndash;1994) in 1925"
"aurora","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>aurora</b><br>The luminous phenomena seen in the night sky in high latitudes, occurring most frequently near the earth's geomagnetic poles. The displays of aurora appear as coloured arcs, rays, bands, streamers, and curtains, usually green or red. The aurora is caused by the interaction of the atoms (mainly atomic oxygen) and molecules in the upper atmosphere (above about 100 km) with charged particles streaming from the sun, attracted to the auroral regions by the earth's magnetic field. The aurora is known as the <i>aurora borealis</i> (or northern lights) in the northern hemisphere and as the <i>aurora australis</i> (or southern lights) in the southern hemisphere"
"austenite","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>austenite</b><br>See <a href=""entry://steel"">steel</a>"
"autoclave","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>autoclave</b><br>A strong steel vessel used for carrying out chemical reactions, sterilizations, etc., at high temperature and pressure"
"autoradiography","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>autoradiography</b><br>An experimental technique in which a radioactive specimen is placed in contact with (or close to) a photographic plate, so as to produce a record of the distribution of radioactivity in the specimen. The film is darkened by the ionizing radiation from radioactive parts of the sample. Autoradiography has a number of applications, particularly in the study of living tissues and cells"
"autotransformer","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>autotransformer</b><br>A <a href=""entry://transformer"">transformer</a> that has a single winding, which is tapped at different points to provide both the primary and secondary circuits"
"avalanche","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>avalanche</b><br>A shower of ionized particles created by a single <a href=""entry://ionization"">ionization</a> as a result of secondary ionizations caused by the original electron and ion being accelerated in an electric field. Each ionization leads to the formation of more electrons and ions, which themselves cause further ionizations. Such avalanches occur in a <a href=""entry://Geiger counter"">Geiger counter</a>"
"average","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>average</b><i>(mean)</i>
<br><b>1</b> The <i>arithmetic average</i> of a set of n numbers is the sum of the numbers divided by<i>n</i>.
<br><b>2</b> The <i>geometric average</i> of a set of <i>n</i> numbers is the <i>n</i>th root of their product. See also <a href=""entry://root-mean-square value"">root-mean-square value</a>."
"avionics","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>avionics</b><br>The study and development of electronic circuits and devices as used in either aeronautics or astronautics. Avionics has become of great importance since the advent of the space age"
"Avogadro constant","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Avogadro constant</b><br>Symbol <i>N</i><sub class=""ind"">A</sub> or <i>L</i>. The number of atoms or molecules in one <a href=""entry://mole"">mole</a> of substance. It has the value 6.0221367(36) × 10<sup class=""expo"">23.</sup> Formerly it was called <i>Avogadro's number</i>"
"Avogadro's law","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Avogadro's law</b><br>Equal volumes of all gases contain equal numbers of molecules at the same pressure and temperature. The law, often called <i>Avogadro's hypothesis</i> , is true only for ideal gases. It was first proposed in 1811 by Amadeo Avogadro"
"Avogadro, Amedeo","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>Avogadro, Amedeo</b><br><i>(1776&ndash;1856)</i>
<br> Italian chemist and physicist. In 1811 he published his hypothesis (see <a href=""entry://Avogadro's law"">Avogadro's law</a>), which provided a method of calculating molecular weights from vapour densities. The importance of the work remained unrecognized, however, until championed by Stanislao Cannizzaro (1826&ndash;1910) in 1860"
"axial vector","<link rel=""stylesheet"" type=""text/css"" href=""style.css""/>
<b>axial vector</b><i>(pseudo-vector)</i>
<br>A <a href=""entry://vector"">vector</a> that does not reverse its sign when the coordinate system is changed to a new system by a reflection in the origin (i.e. <div class=""equ""><i>x</i>'<sub class=""ind"">i</sub> = -<i>x</i><sub class=""ind"">i</sub></div>). An example of an axial vector is the <a href=""entry://vector product"">vector product</a> of two <a href=""entry://polar vector"">polar vectors</a>, such as L = r × <i>p</i>, where L is the <a href=""entry://angular momentum"">angular momentum</a> of a particle, r is its position vector, and p is its momentum vector. Compare <a href=""entry://pseudo-scalar"">pseudo-scalar</a>"
