e	and
séptuplo	sevenfold
separem-no	separate it
separe-os	separate them
separe-o	separate it
separe-as	separate them
separava-se	separated
separarmo-nos	separate ourselves
separarias	would separate
separar-vos-ei	I will separate you
separámos	we separated
separamos	we separate
separai	separate
separadas 	separated 
sento-me	I sit down
sentíssemos	we felt
sentir-se-á	will feel
sentir-nos	feel ourselves
sentenciaram	sentenced
sentenciará	will sentence
sentenciadas	sentenced
senteime	I sat down
sentava-se	sat
sentar-nos	sit down
sentámos-nos	we sat down
sentai-vos	sit down
sensibilizada	sensitized
senha	password
sendo-vos	being you
sendo-o	being it
sendo-me	being me
sempre 	always 
semimorto	half dead
semicerrados	half-closed
semi-deuses	demigods
semi-círculo	semicircle
sementinha	seed
semelhando	resembling
semeio	I sow
semeáveis	seedable
semeavas	you sowed
semeastes	you sowed
semearmos	we sow
semeá-la	sow it
semanais	weekly
sem-fim	endless
selos 	stamps 
seleto	select
seletas	select
selemos	let us seal
selei-o	I sealed it
selecionem	select
selecionasse	selected
selecionando	selecting
seleciona	select
selassem	sealed
selasse	sealed
selarmos	we seal
selarem	seal
selaram-no	they sealed it
selaram-na	they sealed it
selará	will seal
selando-as	sealing them
selando-a	sealing it
selam	seal
selá-la	seal it
sela-as	seal them
seiscentos 	six hundred 
seirim	I know
segurou-a	held her
seguro-vos	I assure you
segurem	hold on
segurei-o	I held him
segure-os	hold them
segure-a	hold it
segurasse	held
seguras-me	you hold me
segurará	will hold
seguram-no	hold him
segura-se	hold on
segurá-las	hold them
segura-a	hold it
seguiu-	followed-
seguis	follow
seguiram-se	followed
seguiram-me	followed me
seguir-te-ão	will follow you
seguir-se-ão	will follow
seguir-nos	follow us
seguindo-a	following her
seguidora	follower
seguíamos	we followed
seguiam-se	followed each other
seguiam-nos	followed us
seguiam-na	followed her
seguia-se	followed
seguia-a	followed her
segui-la-ão	will follow her
segui-a	follow her
segues-lhe	you follow him
segues	follow
segredar-vos	whisper to you
sego	blind
segastes	you reaped
segando	mowing
seduzisse	seduced
seduzirão	will seduce
seduziram-vos	seduced you
seduziram	seduced
seduzir-te	seduce you
sedimentados	sedimented
sediado	based
sedentas	thirsty
sectarismos	sectarianisms
secretário-geral	secretary general
secretamente 	secretly 
secavam	dried
secassem	dried
secaria	would dry
secá-las	dry them
sazonado	seasoned
saudoso	nostalgic
saúdo-vos	I greet you
saudavam-no	greeted him
saudasse	greeted
saudarmos	we greet
saudaremos	we will greet
saudardes	greetings
saudando-o	greeting him
saudando-as	greeting them
saudámos	we greeted
saúdam-vos	greet you
saturam	saturate
sátrapa	satrap
satisfizer	satisfy
satisfazer-se	satisfy oneself
satisfazer-me-ei	I will satisfy myself
satisfazer-lhe	satisfy you
satisfazem-se	are satisfied
satisfaz-nos	satisfies us
satisfatória	satisfactory
satisfarás	you will satisfy
satisfaças	satisfy
satisfaçam	satisfy
sátiro	satyr
satíricas	satirical
sarrafos	slats
saro-a	heal-a
sarjarás	sergeants
sarjaduras	serge
sarem	leave
sareis	you will be
sardónicas	sardonic
sardônia	sardonyx
sardónia	sardonyx
sarcedotes	priests
saravam	healed
sararem	heal
sarando	healing
saradas	healed
saquinho	little bag
saques	withdrawals
saquearam-na	they looted it
saqueamos	we plundered
saqueador	looter
saqueá-los-ão	they will plunder them
saqueá-los-á	will plunder them
saqueá-lo	plunder it
são-te	are you
são-lhes	are theirs
são-lhe	are you
santifiquem-me	sanctify me
santifiquei-os	I sanctified them
santifique-os	sanctify them
santificou-os	sanctified them
santificarmo-nos	sanctify ourselves
santificando	sanctifying
santifica-o	sanctify it
santificá-la	sanctify it
santamente	holy
sangues	bloods
sangrentos	bloody
sangrento	bloody
sangrada	bled
saneados	sanitized
saneada	sanitized
sancionou	sanctioned
sanciona	sanctions
sanar	heal
sana	healthy
salvo 	saved 
salvou 	saved 
salvou-se	saved himself
salvem-te	save yourself
salvem-nas	save them
salveis	salute you
salvei-me	I saved myself
salve-os	save them
salve-o	save it
salvavam-se	were saved
salvavam	saved
salvasses	you saved
salvar-lhes	save them
salvanos	save us
salvando-se	saving yourself
salvando-os	saving them
salvando-o	saving him
salvámos	we saved
salvam-se	save yourselves
salvai-os	save them
salva-o	save him
salvá-	save-
salutares	salutary
salteiam	jump
salteia	jumps
saltavam	jumped
saltarias	you would jump
saltaram-lhes	jumped at them
saltaram-lhe	they jumped on him
saltão	big jumper
salpicava	splashed
salpicassem	splashed
salpicarás	you will splash
salpicarão	will splash
salpicando-o	splashing it
salpicando	splashing
salpicá-lo-á	will splash it
salobra	brackish
salmodiar	chant
salmodiando	chanting
salmodiai-lhe	sing to him
salmodia	psalmody
salmodearei	I will sing
salienta	highlights
salgarás	you will salt
saldasse	paid off
saldar	pay off
saiu-se	came out
saíssemos	let's go out
saírem-lhe	come out to him
saírdes	you leave
saíram-lhes	they came out
saíram-	they left-
sair-se	get out
sair-lhe-á	will come out to you
saindo-se-lhe	leaving him
saindo-lhes	leaving them
saíam-lhes	they left
saíam-lhe	they came out to him
saía-lhe	it came out to him
saguão	lobby
sagrados 	sacred 
safar-te	get away with it
safar-se	get away with it
sacudiu-se	shook himself
sacudiu-me	shook me
sacudia-se	shook
sacudi-las	shake them
sacudam-lhe	shake him
sacrifiquem-me	sacrifice me
sacrifique-os	sacrifice them
sacrificou-se	sacrificed himself
sacrificou-	sacrificed-
sacrifício 	sacrifice 
sacrificio	sacrifice
sacrificaste-os	you sacrificed them
sacrificaram-lhe	sacrificed to him
sacrificá-los-á	will sacrifice them
sacou	got it
sacodem-se	shake themselves
saciemo-nos	let us satisfy ourselves
saciastes	you satisfied
saciarás	you will satisfy
saciam-se	are satisfied
saciai-vos	satisfy yourselves
saciá-lo	satisfy it
sacho	hoe
sachar	weed
sachada	hoe
sacerdotisas	priestesses
sacerdotes-ajudantes	priest-helpers
sacará	will withdraw
sacada	balcony
saboreio	I savor
saboreia	savor
saboreálos	savor them
saboreado	savored
saboreá-la	savor it
sabidos	known
sabia-se	it was known
sabe 	he knows 
sabeus 	you know 
saberias	you would know
sabemo-lo	we know it
sabem-no	they know it
sabem-na	know it
sabedoras	knowledgeable
sabe-me	know me
sabe-lhes	you know them
sábado 	Saturday 
rumando	heading
rumam	head
ruis	Ruis
ruindade	badness
ruidosos	noisy
rugiam	roared
rugas	wrinkles
rudemente	rudely
roxas	purple
roupa 	clothing 
roubou-as	stole them
roubastes	you stole
roubaste-lhe	you stole from him
roubarei	I will steal
roubar-te-ão	they will rob you
roubar-lhes	steal from them
roubam-no	steal it
roubam-me	they steal from me
roubalheiras	robberies
roubadas 	stolen 
rouba-lhes	steal from them
rotativamente	rotatingly
rostos 	faces 
rosnou	growled
rosnem	growl
rosnarão	will growl
rosnaram	growled
roscas	threads
rosas	roses
rondarão	will prowl
ronco	snoring
roncavam	snored
rompidas	broken
rompiam-se-lhes	they broke
rompia-se-lhes	broke them
romper-se	break up
rompendo-se-lhe	breaking apart
rompemos	we broke up
rompante	outburst
roliço	plump
roldão	roll
roldana	pulley
rolassem	rolled
rolasse	rolled
rolarem	roll
rolarei	I will roll
rolam-me	roll me
rolai	roll
roja-se	roll over
roguei-lhe	I begged him
rogou-lhes	begged them
rogo-lhes	I beg you
rogassem	prayed
rogasse	prayed
rogares	pray
rogando-me	begging me
rogando-lhes	begging them
rogámos-	we prayed-
rogamos-	we pray-
roeram	gnawed
roedor	rodent
rodeou-me	surrounded me
rodeiem-na	surround her
rodeias	surrounds
rodeiam-no	surround him
rodeassem	surrounded
rodear-se	surround yourself
rodeais	rodeals
rodeai-a	surround her
rodeá-los	surround them
rodapé	baseboard
rodadas	rounds
roçou	brushed
roçando	brushing
robustecidos	strengthened
robustecia	robustness
robustecerá	will strengthen
rivalizas	rivals
ritmado	rhythmic
risquemo-los	let's cross them out
risquem	scratch
ríspido	harsh
risotas	laughter
riscou	scratched
riscarão	will scratch
riscam	scratch
riscadas	scratched
riscada	crossed out
riscá-los	scratch them
ris-te	you laugh
rir-se-á	will laugh
ripa	slat
rins 	kidneys 
ringe	ring
rindo-se	laughing
rinchastes	you neighed
rincham	neigh
rinchais	rhinchais
rilhavam	were laughing
rilha	rill
rijos	stiff
rigidamente	rigidly
rígida	rigid
ridículos	ridiculous
ridiculizavam	ridiculed
ridiculiza	ridicules
ridicularizou	ridiculed
ridicularizei	I ridiculed
ridicularizavam-no	they ridiculed him
ridicularizavam	ridiculed
ridicularizarem	ridicule
ridicularizaram-no	they ridiculed him
ridiculariza	ridicules
rícino	castor oil
revolvo-me	I revolve
revolviam	revolved
revolver-se-ão	will revolve
revolver-se-á	will revolve
revolvente	revolving
revolvendo-se	revolving
revolvei-me	turn me over
revolve-se	revolves
revolvam	revolve
revolva-se	turn around
revolucionários	revolutionaries
revoltavam	revolted
revoltava-se	revolted
revoltarei	I will revolt
revoltará	will revolt
revoltar-se-á	will revolt
revoltadíssimo	very angry
revogou	revoked
revogadas	revoked
revoadas	flocks
revivera	revived
revivemos	we revive
reviva	revive
revistas	magazines
revista-se	review yourself
revisava	reviewed
reviro-me	I turn around
reviradas	twisted
revigorou	reinvigorated
revigore-se	reinvigorate yourself
revigore-me	refresh me
revigore	reinvigorate
revigorarão	will reinvigorate
revigoraram	reinvigorated
revigorará	will invigorate
revigorantes	invigorating
revidou	retaliated
revidaram	retaliated
revezes	setbacks
revezar	take turns
revestiu-os	coated them
revestiste-me	you clothed me
revestirei	I will coat
revestirão	will coat
revestir-nos	to clothe ourselves
revestindo-as	covering them
revestindo	coating
revestia	coated
revesti-me	I put on
revertida	reversed
reverteu	reverted
revertessem	revert
reverta	revert
reverencie	bow down
reverencias	bows
reverenciaram	revered
reverenciar-me	revere me
reverenciar	revere
reverenciai-o	reverence him
reverencia-o	reverence him
revelou-te	revealed to you
revelou-se	revealed itself
revelem-nos	reveal to us
revelem-me	reveal to me
revelaste-nos	you revealed to us
revelarmos	reveal
revelar-vos	reveal to you
revelar-se-á	will reveal itself
revelar-nos	reveal to us
revelar-lho	reveal to him
revelar-lhes	reveal to them
revelar-lhe	reveal to you
revelando-me	revealing myself
revela-lho	reveal it to him
revejam	review
reuniu-a	gathered her
reuniste	you gathered
reunirmos	gather together
reuniriam	would gather
reuniria	would gather
reunirdes	gather together
reunir-vos-ei	I will gather you
reunir-se-ão	will meet
reunir-nos	meet us
reuni-vos	gather together
reúne-os	gather them together
retumbante	resounding
retrucava	retorted
retrospetivamente	retrospectively
retrocede	backtrack
retribuirão	will reciprocate
retribuir-te	repay you
retribuir-lhes	give them back
retribuir-	reciprocate-
retribuídos	reciprocated
retribuí-lhe	I returned it to him
retratar	portray
retransmitindo-lhes	relaying to them
retraia	retract
retorquirei	I will retort
retorquiram-lhes	they retorted to them
retorquira	retort
retorquir-lhes-á	will retort to them
retorquir	retort
retornemos	let's return
retornaremos	we will return
retornarem	return
retornarei	I will return
retornam	return
retórica	rhetoric
retorcerá	will twist
retorcer	twist
retorce	twists
retomem	resume
retomei	I resumed
retome-o	take it back
retomavam	resumed
retomares	resume
retomarás	you will resume
retomámos	we resumed
retomados	resumed
retivermos	we retain
retiverem	retain
retiveram-nos	they held us back
retitude	straightness
retirou-lhes	took them away
retiro-me	I withdraw
retireis	remove
retirei-lhes	I took them away
retiraste-lhe	you took it away
retirarmos	we withdraw
retirareis	you will remove
retirar-vos	withdraw
retirar-se-á	will withdraw
retirando-os	removing them
retirando-lhes	taking them away
retirando-a	removing it
retiramos	we withdraw
retintos	dark
retinintes	strident
retida	retained
reteve-se	held back
retesou	tensed
retesaram	tensed
retesado	taut
reteria	would retain
retenham-no	hold it
retenha-o	hold it
retém-nas	retains them
retê-lo	retain it
retê-la	retain it
retardes	delays
retardei	I delayed
retardarás	you will delay
retalhareis	you will cut
retalharás	you will cut
retalhará	will cut
resvales	slips
resvalemos	we slip
resvalando	slipping
resvala-me	slip me
resumidos	summarized
resumamos	let's summarize
resultava	resulted
resultaria	would result
restringido	restricted
restringia	restricted
restringe	restricts
resto 	rest 
restituiu-lha	returned it to him
restituiremos	we will return
restituirem	return
restituirão	will return
restituir-vos-ei	I will restore to you
restituir-se-lhe	return to him
restituir-lhe-ás	you will return to him
restituir-lhe	return to him
restituindo	restoring
restitui-me	restore me
restitui-ma	return it to me
restituí-los	return them
restitui-lhe	return it to him
restitui-a	return it
restitua-os	return them
restitua-lhe	give it back to him
restei	I remained
restaurou-lhe	restored it
restaurem	restore
restaurei	I restored
restaurássemos	we restored
restaurai	restore
restauradores	restorers
restaurações	restorations
restaurá-los	restore them
restasse	remained
restareis	you will remain
restara	remained
restantes 	remaining 
restabelecidos	restored
restabelecidas	reestablished
restabeleci-me	I recovered
restabelecer-se	to recover
restabelecer-me	restore myself
restabelecendo-os	restoring them
restabelecei	restore
restabeleçam	restore
ressuscitarás	you will resurrect
ressuscitámos	we are resurrected
ressuscitadas	resurrected
ressuscitada	resurrected
ressurretos	resurrected
ressurreição 	resurrection 
ressurrecto	resurrected
ressurgirão	will resurface
ressurgirá	will rise again
ressurgindo	resurfacing
ressonou	snored
ressoantes	resounding
ressintam	resent
resseco	dryness
ressecará	will dry out
ressecante	drying
ressecado	dried out
ressaltar	highlight
ressaltada	highlighted
resquícios	remnants
resquício	remnant
responsiva	responsive
responsavelmente	responsibly
responsabilizou-se	took responsibility
responsabilizou	held responsible
responsabilizo	I hold responsible
responsabilizes	responsibilities
responsabilize	hold accountable
responsabilizarei	I will be held responsible
responsabilizará	will be held responsible
responsabilizada	held responsible
responsabilizá-los	hold them accountable
respondidos	answered
responderem-lhe	answer him
responder-te-ão	they will answer you
responder-te-á	will answer you
responder-lhe-ei	I will answer you
respondendo-lhe	answering him
respondemos-lhe	we answer you
respondei-me	answer me
respondei-lhe	answer him
respondam-me	answer me
resplenderá	will shine
resplendentes	resplendent
resplandecesse	shined
resplandeceram	shone
resplandecência	radiance
resplandeças	shine
resplandeçam	shine
respirei	I breathed
respiravam	breathed
respirasse	breathed
respirarei	I will breathe
respigarão	will glean
respigam	glean
respeitosos	respectful
respeitaste	you respected
respeitaríamos	we would respect
respeitareis	you will respect
respeitando-as	respecting them
respeitámos	we respected
respeitam-no	respect him
respeitálo	respect him
respaldo	support
resolveu-se	resolved
resolvessem	resolve
resolvesse	resolved
resolvermos	we solve
resolveres	resolve
resolvera	had resolved
resolvê-las	solve them
resoluto	resolute
resmungue	grumble
resmungará	grumbles ha
resmungam	grumble
resististes	you resisted
resistir-te	resist you
resistir-nos	resist us
resistia-lhes	resisted them
resistia	resisted
resisti-los	resist them
resistamos	let us resist
resistais	resist
resignado	resigned
residissem	resided
resguardou	protected
resguardarmos	to protect ourselves
resguardar	to protect
resgatem	rescue
resgatei-vos	I rescued you
resgate-me	rescue me
resgatava	rescued
resgataria	would rescue
resgatarão	will rescue
resgataram	rescued
resgatar-vos	rescue you
resgatar-te	rescue you
resgatar-se-á	will be redeemed
resgatar-nos	rescue us
resgatálos	rescue them
resgatá-lo-ás	you will rescue him
resfriada	cold
reservem	reserve
reservassem	reserved
reservasse	reserve
reservarem	reserve
reservando-a	reserving it
rês	cattle
requisitou	requested
requisito	requirement
requisitado	requested
requintados	exquisite
requintadas	exquisite
requestar	request
requeridas	required
requeriam	required
requereste	you requested
requereram	requested
requer-se	required
reputo	I believe
reputei-o	I considered it
reputávamos	we considered
reputava-se	was considered
reputava	I considered
reputará	will consider
reputam	they consider
reputadas	reputed
reputa	reputed
repusessem	replace
repulsivas	repulsive
repulsa	repulsion
repudiarei	I will repudiate
repudiaram	repudiated
repudiara	repudiated
repudiam	repudiate
repudiá-la	repudiate it
reprovava	disapproved
reprovai-as	disapprove them
reprovações	failures
reprová-las	fail them
reproduzindo-se	reproducing itself
reproduza	reproduce
reproduz	reproduces
reprodutores	breeders
reprimiu-o	repressed it
reprimiu	repressed
reprimido	repressed
reprima	repress
represou	dammed
representativo	representative
representas	you represent
representaremos	we will represent
representamos	we represent
representados	represented
representá-la	represent her
represálias	reprisals
repreendiam-nos	they scolded us
repreendeu-te	reprimanded you
repreendeu-	reprimanded-
repreenderes	reprimand
repreenderás	you will rebuke
repreender-te-á	will reprimand you
repreendei-a	rebuke her
repreendei	rebuke
repreendê-las-á	will reprimand them
repreendê-la	reprimand her
repreendam-na	reprimand her
repreenda-te	scold you
repreenda-a	scold her
repovoou-as	repopulated them
repovoem	repopulate
repovoassem	repopulate
repovoamento	repopulation
repouses	rests
repouseis	rest
repousasse	rest
repousarem	rest
repousardes	rest
repousámos	we rested
repousais	you rest
repousada	rested
repostos	replaced
reportavam	reported
repor	replace
repô-lo	replace it
repliquei	I replied
replicavam-lhe	they replied to him
replicava-lhes	replied to them
replicaram-lhes	they replied to them
replicará	will replicate
replicar-te-ão	they will reply to you
replicámos	we replied
replantada	replanted
repito-o	I repeat it
repita-os	repeat them
repila	repels
repetiu-lhes	repeated to them
repetitivas	repetitive
repetiste	you repeated
repetissem	repeat
repetires	repeat
repetirem	repeat
repetem-se	repeat themselves
repete-o	repeat it
repercussão	repercussion
repentinas	sudden
repelirás	you will repel
repelirão	will repel
repelida	repelled
repeli-los	repel them
repeli-las	repel them
repelentes	repellents
repele	repels
repasto	meal
repastam	repast
repassem	forward
repasse	forward
repartiu-se	was divided
repartiu-os	shared them
repartisse	shared
repartiram-se	were divided
repartir-se-á	will be divided
repartimentos	departments
repartidor	distributor
reparti-las	share them
reparti-	share-
reparte-	share-
repartamo-lo	let's share it
reparassem	repaired
reparardes	repair
repararão	will repair
repararam-	they noticed-
reparai	repair
reparadores	repairers
reorganizou	reorganized
reorganizei	I reorganized
renuncie	resign
renunciará	will resign
renunciamos	we renounce
renunciam	resign
renúncia	resignation
renovastes	you renewed
renovaste	you renewed
renovarem	renew
renovar-te-á	will renew you
renovar-me	renew myself
renovai	renew
renegassem	deny
renegarem	deny
renegam-no	deny him
rendo	I yield
rendia	yielded
rendeu-lhes	gave them
rendessem	surrendered
rendermos	we surrender
renderiam	would render
render-te-á	will surrender you
render-lhe	surrender to him
rendei-lhe	surrender to him
rendam-lhe	surrender to him
renascido	reborn
renasceu	reborn
renasceremos	we will be reborn
renasceram	were reborn
renascerá	will be reborn
remunerador	remunerative
remuneração	remuneration
removessem	remove
removeres	remove
removerem	remove
removerdes	remove
removendo-o	removing it
removê-lo	remove it
removê-la	remove it
remordiam	remorse
remontares	reassemble
remonta-te	get back on track
remitirá	will remit
remisso	remiss
remisse	remission
remir-nos	redeem us
remidores	redeemers
remida	redeemed
remi-los	redeem them
remexerão	will stir
remexeram	stirred
remetido	sent
remetiam	referred
remeti	I sent
remeteu-o	sent it
remeteu	sent
remetereis	you will send
remeterdes	send
remeter-lho	send it to him
remendando	patching
rememoro	I remember
remarem	row
relvada	lawn
reluzirão	will shine
reluziram	shone
reluzirá	will shine
reluzia	shone
reluzem	shine
relógios	watches
relinche	neigh
religiosas 	religious 
relevada	highlighted
relembro	I remember
relembrem	remember
relembramos	we remember
relembrai	remember
relembrá-las	remember them
relaxando	relaxing
relaxados	relaxed
relaxa	relax
relatou-o	reported it
relatou-lhe	reported to him
relatemos	let us report
relatassem	reported
relatarei	I will report
relatai-nos	report to us
relata-o	report it
relata	reports
relampagueante	lightning-fast
relacioneis	relational
relacionavam	related
relacionar-me	relate to
relacionando	relating
relacionamentos	relationships
rejuvenesce	rejuvenates
rejubilaram	rejoiced
rejubilar-se	rejoice
rejeitou-os	rejected them
rejeitou-o	rejected it
rejeitou-me	rejected me
rejeitem-nas	reject them
rejeite-o	reject it
rejeitaste-me	you rejected me
rejeitaria	would reject
rejeitarem-me	reject me
rejeitaram-no	they rejected him
rejeitara	had rejected
rejeitar-me	reject me
rejeitando-me	rejecting me
rejeitámos	we rejected
rejeitámo-lo	we rejected it
rejeitála	reject it
rejeita-o	reject it
rei 	king 
reivindique	claim
reivindicou	claimed
reivindicando	claiming
reivindicamos	we claim
reivindicação	claim
reivindica	claims
reintegrou-a	reinstated it
reintegrará	will reinstate
reintegrá-lo	reinstate it
reinstalando-a	reinstalling it
reino 	kingdom 
reines	queens
reinemos	let us reign
reincidiam	reoffend
reinaste	you reigned
reinarmos	we reign
reinara	reigned
reinante	reigning
reinais	kings
regurgitará	will regurgitate
régulo	ruler
regulasses	regulations
regulamentavam	regulated
regulamentam	regulate
regulamentações	regulations
regulam	regulate
regressarmos	we return
regressarias	you would return
regressaria	would return
regressaremos	we will return
regressarás	you will return
regressara	had returned
regressámos	we returned
regressamos	we return
regredirão	will regress
regredindo	regressing
regrarei	I will rule
regozijava-se	rejoiced
regozijava	rejoiced
regozijaste	you rejoiced
regozijássemos	we rejoice
regozijas	rejoices
regozijariam	would rejoice
regozijarás	you will rejoice
regozijar-nos	rejoice
regou-me	watered me
regou-a	watered it
registrei	I registered
registre-o	register it
registre-as	register them
registraste	you registered
registrasses	registered
registrássemos	we recorded
registrasse	registered
registrarão	will register
registrar-se	register
registrando	registering
registramos	we register
registrador	registrar
registra-o	register it
registaste-as	you registered them
registarem	register
registar-se	register
regido	governed
régia	regal
regeu	ruled
regeres	you rule
regerás	you will rule
reger-nos	rule us
regendo-me	governing me
regendo	governing
regedores	regents
regáveis	irrigable
regavas	watered
regavam	watered
regaste	rescue
regassem	watered
regarem	water
regar-lhe	water it
regalias	perks
regalarão	will gift
regalam	gift
regalados	regaled
refutará	will refute
refulgir	shine
refulgia	glowed
refugos	rejects
refugiemo-nos	let us take refuge
refugiem	take refuge
refugie-se	take refuge
refugiará	will take refuge
refugiar-te	take refuge
refugiam-se	take refuge
refugiai-vos	take refuge
refrescassem	refreshed
refrescaram-se	refreshed themselves
refrescar-se	cool off
refrescam	refresh
refrescados	refreshed
refreiam-se	hold back
refreiam	restrain
refreei	I restrained
refreavam	restrained
refreaste	cooled down
refrearão	will restrain
refrearam	restrained
refreado	restrained
refreá-la	restrain it
refratários	refractories
reformado	reformed
reformadas	reformed
reforços	reinforcements
reforço	reinforcement
reforcemos	let us reinforce
reforçaríamos	we would reinforce
reforçá-lo	reinforce it
refoge	take refuge
refletirei	I will reflect
refletirão	will reflect
refletidamente	reflectively
refletida	reflected
reflete-se	is reflected
refino	refinement
refinando	refining
refilar	refill
referirei	I will refer
referiram-se	referred to
referiram-no	referred to it
referiram-lhe	they referred to him
referir-me	refer to me
referindo-nos	referring to us
referias	you referred
referiam-se	referred to
refém	hostage
refeitos	redone
refeita	redone
refazeram	remade
refazendo	redoing
refazei	redo
refazê-lo	redo it
refaz	redo
refarão	will remake
refará	will remake
refaim	rephaim
refaçam	redo
reerguidos	rebuilt
reerguido	rebuilt
reerguidas	rebuilt
reergueu-os	raised them again
reergueste	you rose again
reerguerá	will rise again
reencontrarão	will meet again
reencontramos	we meet again
reedifiquei	I rebuilt
reedifique-se	rebuild yourself
reedifico	rebuild
reedificares	rebuild
reedificados	rebuilt
reedificá-lo	rebuild it
reduziu-nos	reduced us
reduziram-no	reduced it
reduzir-se	reduce
reduzindo-a	reducing it
reduzimos	we reduce
reduzi-los-á	will reduce them
reduzi-la-ei	I will reduce it
redundou	resulted
redunde	redounds
redor 	around 
redobravam	redoubled
redobrada	doubled
redobra	redouble
redimiu-os	redeemed them
redimi-lo	redeem it
redime-	redeem-
redigir	write
redigindo	writing
redigi	I wrote
redezinhas	nets
rededicação	rededication
redarguir	argue back
redarguidos	defendants
recuso-os	I refuse them
recuseis	refuse
recusaste-o	you refused it
recusarias	you would refuse
recusaríamos	we would refuse
recusaria	would refuse
recusaram-me	they refused me
recusámos	we refused
recusam-me	they refuse me
recusada	refused
recusá-lo-ia	I would refuse it
recuperou-se	recovered
recuperasses	you recovered
recuperarei	I will recover
recuperados	recovered
recuperada	recovered
recuperá-las	recover them
recues	retreats
recuava	retreated
recuares	retreat
recuarei	I will retreat
recrutaram	recruited
recrutará	will recruit
recruta	recruit
recriou	recreated
recriminou	recriminated
recriminá-lo	recriminate him
recriador	recreator
recriado	recreated
recreou	recreated
recreie-se	recreate yourself
recrearam	recreated
recostam-se	lean back
recostai-vos	lean back
recostados	leaning back
recostado	reclining
recorrerá	will appeal
recordou	remembered
recordo-te	I remind you
recordo-me	I remember
recordes	records
recordei	I remembered
recordava	remembered
recordassem	remember
recordarmo-nos	remember us
recordariam	would remember
recordarei	I will remember
recordaram	remembered
recordar-lhes	remind them
recordando-me	remembering me
recordamos	we remember
recordá-los-ei	I will remember them
reconta	recount
reconstrutor	rebuilder
reconstruíssem	rebuild
reconstruímos	we rebuild
reconstruía	rebuilt
reconstruí-los-ei	I will rebuild them
reconsiderasse	reconsider
reconsagrará	will reconsecrate
reconquistaste	you reconquered
reconquistando	reconquering
reconhecestes	you recognized
reconheceriam	would recognize
reconheceremos	we will recognize
reconhecer-vos	recognize you
reconhecendo-os	recognizing them
reconhecê-los-ão	will recognize them
reconhecê-los	recognize them
reconhecê-la	recognize it
reconduzirá	will renew
reconduzidos	reappointed
reconduzi-o	I re-led him
reconduzi	I reappointed
reconduzamos	we re-lead
reconciliarão	will reconcile
reconciliaram	reconciled
reconciliar-te	reconcile you
reconciliar-se	reconcile
reconciliando-nos	reconciling us
recompôs	recomposed
recomporá	will recompose
recompenses	rewards
recompensar-te-á	will reward you
recompensar-me-ias	you would reward me
recompensar-me	reward me
recompensando-lhes	rewarding them
recompensando	rewarding
recompensa-os	reward them
recomendo-te	I recommend you
recomendem	recommend
recomendeis	recommend
recomendáveis	recommended
recomendava	recommended
recomendarão	will recommend
recomendar-lhe	recommend you
recomendando	recommending
recomeçou	started again
recomeçava	started again
recomeçarem	start over
recomeçando	starting over
recolocou	replaced
recolocavam	replaced
recolocada	replaced
recolhida 	collected 
recolhia-o	collected it
recolhi-me	I withdrew
recolhi	I collected
recolheu-o	collected it
recolheu-a	collected it
recolherias	would collect
recolher-vos-ei	I will collect you
recolhendo-os	collecting them
recolheis	you collect
recolhei	collect
recolhe-te	gather yourself
recolhe-a	collect it
recolhamos	let us collect
recolhais	collect
recobrei	I recovered
recobre	covers
recobravam	recovered
recobrando	recovering
reclinem	recline
reclinavam	reclined
reclinaram-se	they reclined
reclinam-se	recline
reclinai-vos	recline
reclina	recline
reclames	advertisements
reclamarão	will complain
reclamámos	we complained
reclamá-lo	claim it
recito	I recite
recitem-se	recite
recitas	recipes
recitarei	I will recite
recitarão	will recite
recitaram	recited
recifes	reefs
recibo	receipt
recessos	recesses
recesso	recess
receptivo	receptive
receou	feared
receosa	fearful
recenseou	censused
recendem	recent
recém-tirados	newly taken
recém-fabricado	newly manufactured
recém-cortada	freshly cut
recém-construído	newly built
recém-conquistadas	newly conquered
recém-chegados	newcomers
recém-amamentada	newly breastfed
recém-aberto	newly opened
receita	revenue
recebimento	receipt
recebeu-as	received them
receberem-no	receive it
receberam-no	received it
receber-se	to receive
receber-nos	welcome us
recebei-vos	receive you
recebei	received
recebedor	receiver
recebê-lo-ão	will receive you
recebê-la-á	will receive it
recebam-se	welcome
receava-o	I feared him
recearemos	we will fear
recearam	feared
receará	will fear
receara	feared
receámos	we feared
recapitulação	recapitulation
recambiardes	you will return
recamada	re-embroidered
recalcitrares	recalcitrant
recalcada	repressed
rebuscareis	you will search
rebuscarás	you will search
rebuscarão	will search
rebuscará	will search
rebuscando	searching
rebuscados	elaborate
reboque	trailer
rebocar	tow
rebocando-o	towing it
rebocadas	towed
rebocá-la	tow it
rebentou-se	burst
rebentação	surf
rebelei-me	I rebelled
rebelastes	you rebelled
rebelas	rebels
rebelarmo-nos	rebel
rebelaríeis	you would rebel
rebelar-nos	rebel against us
rebelais	rebels
rebater	to hit back
rebaixou-se	lowered himself
rebaixou	lowered
rebaixei	I demoted
rebaixava	lowered
rebaixá-lo	demote him
reavives	revives
reavive	revive
reavê-lo	get it back
reaproveitadas	reused
reapresentou	resubmitted
reapoderar-se-ão	will retake possession
reaparecido	reappeared
reapareceram	reappeared
reanimas	reanimate
reanimarás	you will revive
