ve	And
seslendin	You called out
sesinle	with your voice
sesimin	my voice
sesimdir	is my voice
serçelerden	from sparrows
servilerinden	from cypress trees
servetlerle	with fortunes
servetleriyle	with their wealth
servetlerinin	their wealth
servetlerini	their wealth
servetleridir	are their wealth
servetleri	their wealth
servetiyse	his wealth
servetiyle	with his wealth
servetinize	to your wealth
servetin	your wealth
servetimden	from my wealth
servetim	my wealth
servete	to wealth
sertti	It was hard
sertliğini	hardness
sertliği	hardness
sertleştirir	hardens
sertleştirip	harden
sertleştireceğim	I will harden it
sertleştiler	They got hardened
sertleşti	hardened
sertleşme	hardening
sertleşir	hardens
sertleşip	hardened
sertelip	hardened
serteldi	hardened
serserilik	hooliganism
serserilere	to the vagabonds
sersemce	silly
serpmişti	had sprinkled
serpmez	does not sprinkle
serpmeyle	by sprinkling
serpmeyi	to sprinkle
serpmelik	scattering
serpmeli	scattered
serpmekte	Sprinkling
serpmeklik	sprinkle
serpmek	sprinkle
serpilmiş	sprinkled
serpilmemiştir	has not spread
serpilmediği	did not flourish
serpilir	It is spread
serpilecekler	They will flourish
serpilecek	will flourish
serperek	by sprinkling
serper	sprinkle
serpecektir	will sprinkle
serpeceksiniz	You will sprinkle
sermiştir	has laid
seriyorum	I'm laying
seriyorsam	If I lay it down
serinkanlılık	coolness
serilmişlerin	those laid out
serilmez	not laid
seriliyor	is being laid out
serilir	is laid
serilenlerin	those laid out
serilenleri	the ones laid out
serilenlere	to those laid out
serilenler	laid out
serilen	laid out
serileceksiniz	You will be laid out
serildim	I was laid out
serildik	We laid down
sergileyip	exhibiting
sergiler	exhibitions
sergilenen	exhibited
sergilenecek	will be exhibited
sergilemekten	from exhibiting
sergilemek	to exhibit
sergilediği	exhibited
sereceğine	to your side
serecekler	They will spread
serdiğin	you spread
serdiğim	I spread
serdiniz	You laid it out
serdimse	If I spread it
serbestliğini	freedom
serbestlik	freedom
serahı	serahi
serahda	In the Serah
sepetiyle	with his basket
sepetinde	in your basket
sepetin	your basket
sepetile	with basket
sensiz	without you
senle	with you
seninkilerin	yours
seninkilere	to yours
seninkidir	It's yours
seninki	yours
senindirler	They are yours
senindiler	They were yours
senesinde	in the year
seneler	years
sendeyim	I'm with you
sendendiler	They were from you
sendeliyor	staggering
sendeliyerek	staggering
sendeliyen	staggering
sendeliyecekler	They will stumble
sendeliyecek	will stumble
sendeleyince	when you stumble
sendeleyin	stagger
sendeleyen	tottering
sendeleyecek	will stumble
sendeletmez	does not stumble
sendelersen	if you stumble
sendelerse	if he stumbles
sendelerler	They stumble
sendelemez	does not stumble
sendelemelerine	to stumble
sendelediler	They stumbled
sendeledi	stumbled
senalarda	in the sena
semtlerinde	in their districts
semtini	neighborhood
semizliğinin	fatness
semizliğinden	from his fatness
semizliğinde	in his fatness
semizlikleriyle	with their fatness
semizlet	fathead
semizlerle	with fat people
semizlerinden	from their fatties
semizlenecek	will become fat
semizlendi	grew fat
semizi	fat
semirtti	fattened
semirtmek	to fatten
semirterek	by fattening
semirince	when fat
semirecekleri	they will grow
semirdiği	fattened
semirdin	You grew fat
semirdiler	They grew fat
semet	Semet
semersini	saddle
semerli	saddle
semerleri	saddles
semerler	saddles
semerine	to your saddle
semeri	saddle
semeresizdir	It is fruitless
semeresile	with the fruition
semerem	my fruit
semerelerle	with the fruits
semerelerile	with the fruits
semerelerden	from the fruits
semereler	fruits
semavînin	of the heavens
semavîlerin	of the heavens
semavîleri	the heavens
semavîler	Celestials
semaviyatın	of the heavens
selâmını	Greetings
selâmın	Greetings
selâmı	Greetings
selâmlayıp	I greeted and
selâmlarsanız	If you greet me
selâmlarsa	Greetings
selâmlar	Hello
selâmlamış	greeted
selâmlamağa	to greet
selâmlama	greeting
selâmladıktan	After greeting
selâmetti	It was safe
selâmetiniz	Your safety
selâmetinden	from your safety
selâmetim	My safety
selâmetile	Safely
selâmdır	Greetings
selviyi	cypress
selvi	cypress
sellerle	with floods
sellerinden	from floods
sellere	to floods
selini	Selini
selinden	from the flood
selim	Selim
selamını	send your regards
selamlaşmayın	Do not greet
selamlayıp	greet
selamlarımı	My regards
selamları	Greetings
selamlarsa	if they greet you
selamlanmaktan	to be greeted
selamlamaya	to greet
selamladılar	They greeted
sela	Sela
seksenle	eighty
sekseninci	eightieth
sekizincidir	It is the eighth
sekizdi	It was eight
seheri	morning
sefihlerin	of the dissolute
sefihler	dissolute
sefihle	dissolutely
seferki	Former
seferde	on the go
sefasını	enjoy yourselves
sefaletten	from misery
sefaletlerinizin	your miseries
sefaletini	your misery
sefaletimi	My misery
sefahetler	debauchery
sefahetini	your dissoluteness
sefahatten	from dissoluteness
sefahatte	in dissoluteness
sefahatiyle	with his dissoluteness
sefahatine	to your dissoluteness
sedyeyi	the stretcher
sedyeye	on the stretcher
sedyesine	on his stretcher
sedirlerini	their couches
sedirler	cedars
sedirini	cedar
sedirde	on the couch
sedefotunun	rue
sedası	sound of
sebzeyi	Vegetables
sebzenin	Vegetables
sebzelerin	vegetables
sebtlerde	on the sabbaths
sebebinle	for your reason
sebebini	the reason
sebatınızı	your perseverance
sebatınızdan	from your perseverance
sebatını	your perseverance
sebatsızlar	the unsteady
sebatsız	Unsteadfast
sebatlı	perseverant
sağırların	deaf people
sağındakilere	to those on the right
sağımdadır	It is on my right
sağım	milking
sağsınız	You are right
sağlığım	my health
sağlıksız	unhealthy
sağlıklıysak	if we are healthy
sağlayanlara	to those who provide
sağlayana	to the provider
sağlayacağı	will provide
sağlayacaktı	would provide
sağlayacaklar	They will provide
sağlayabilsinler	They can provide
sağlayabilen	able to provide
sağlayabildik	We were able to provide
sağlasınlar	Let them provide
sağlarız	We provide
sağlarsın	You provide
sağlarsa	if it provides
sağlardı	would provide
sağlanıyordu	was provided
sağlandı	provided
sağlanabilseydi	if it could be provided
sağlamışız	We have provided
sağlamıştır	provided
sağlamış	provided
sağlamlığını	its solidity
sağlamlaştırırlar	They strengthen
sağlamlaştırılsın	be strengthened
sağlamlaştırılmıştı	was reinforced
sağlamlaştırdılar	They strengthened
sağlamlaştıran	reinforcing
sağlamlaştır	strengthen
sağlamları	The healthy ones
sağlamazsam	If I don't provide
sağlamazdım	I wouldn't provide
sağlamayacaksın	You won't provide
sağlamalı	must provide
sağlamaları	to provide
sağlamakla	by providing
sağladığımızı	that we provide
sağladığımız	we provide
sağladıysa	if provided
sağladıktan	After providing
sağladıklarımın	what I provide
sağgörüye	prudence
sağdıca	best man
sağduyuyu	Common sense
sağduyusu	common sense
sağdan	right
sağanağından	from the shower
sağanaklarına	to the showers
sağanaklar	showers
sağanakla	with a downpour
sağaltırım	I will heal
sağaltır	heals
sağalttığım	I healed
sağaldı	got well
sağalacaksınız	You will be healed
sağal	Get well soon
saçıyorlardı	They were scattering
saçınızın	your hair
saçından	from your hair
saçına	to your hair
saçılır	scattered
saçılsın	Let it be scattered
saçılmıştır	scattered
saçıldığınız	you are scattered
saçıldılar	They scattered
saçılan	scattered
saçıklık	nonsense
saçtıran	scattering
saçtır	It is hair
saçtım	I scattered
saçtıkları	scattered
saçsız	bald
saçmaz	nonsense
saçmaya	to scatter
saçmasın	Don't be ridiculous
saçmalığı	Nonsense
saçmalığa	to the absurdity
saçmaladığını	You are being ridiculous
saçmaktalar	They are scattering
saçmakta	scattering
saçmadığın	you didn't scatter
saçmadığım	I don't scatter
saçlıya	to the hairy
saçlının	the hairy one
saçlarından	from your hair
saçlarımdan	from my hair
saçlarıma	to my hair
saçla	with hair
saçağı	icicle
saçarlarsa	if they scatter
saçanın	scattered
saçanlar	scatterers
saçaklarını	the fringes
saçaklar	fringes
saçakla	with eaves
saçacağına	instead of scattering
saçacağı	scatter
saçacaktır	will scatter
saçacaksın	You will scatter
sazınızı	your instrument
sazlığın	of the reeds
sazlığa	to the reeds
sazlarından	from the reeds
sazla	with reed
sayıyla	by number
sayısıdır	is the number of
sayınızı	your number
sayınıza	to your number
sayının	number of
sayımız	our number
sayımda	in the count
sayıma	counting
sayılıyorsak	If we are counted
sayılıyor	counting
sayılırız	We are considered
sayılırsın	You are considered
sayılıncaya	until counted
sayılınca	when counted
sayılmıyıp	not counted
sayılmıyor	does not count
sayılmağı	to be counted
sayılmazsınız	You don't count
sayılmayana	to the uncounted
sayılmayan	not counted
sayılmayacaktır	will not be counted
sayılmasından	from being counted
sayılmaması	not counted
sayılmalıdır	should be counted
sayılmalı	should be counted
sayılmaktalar	They are considered
sayılmadıklarını	they are not counted
sayıldığında	when counted
sayıldıklarına	they are considered
sayıldık	We were counted
sayılayım	Let me count
sayılasınız	You are counted
sayılarından	from their numbers
sayılanın	of the counted
sayılanlarına	to those who are counted
sayılanları	the ones that are counted
sayılanlardan	from those listed
sayılamıyan	uncountable
sayılamadığınız	you can't count
sayılacağını	will be counted
sayılacağından	will be counted
sayılacağım	I will be counted
sayılabilirdik	We could be counted
sayılabilecek	can be considered
sayıklıyıp	delirium
sayıklamaya	to rave
sayıdan	from number
sayıcının	counter's
saysınlar	Let them count
saysan	If you count
saysam	If I count
saysa	if he says
saymıştır	has counted
saymıyorlar	They don't count
saymıyan	uncountable
saymağı	count
saymazsanız	if you don't count
saymazsa	if it doesn't count
saymayarak	without counting
saymayacağını	won't count
saymamışlardır	They didn't count
saymam	I don't count
saymaktasın	You are counting
saymadınız	You didn't count
saymadık	We didn't count
saymadalar	They are counting
saygıyı	respect
saygısızlığının	your disrespect
saygısızlıkta	in disrespect
saygısızlıklarını	their disrespect
saygısını	respect
saygısı	respect
saygınız	your respect
saygınlığını	dignity
saygınlıkla	with dignity
saygım	My respect
saygılarımızı	Our regards
saygıdan	out of respect
sayenizde	Thanks to you
saydırır	makes you count
saydınızsa	if you counted
saydıktan	after counting
saydık	We counted
saydamlığında	in its transparency
sayarız	We count
sayarsanız	if you count
sayarsak	If we count
sayarsa	if it counts
sayanlardan	from those who count
sayanlar	Those who count
sayana	Sayana
sayamayacağı	can't count
sayamayacak	can't count
sayacağını	will count
sayabilirim	I can count
sayabileceği	can count
sayabilecek	can count
savuruyor	He's throwing
savururlar	They throw
savururken	while swinging
savurulmuş	thrown away
savursun	throw it away
savurmakta	tossing
savurmadığın	you didn't throw away
savurmadığım	I didn't throw away
savurganlık	splurge
savurduğunda	when you blow
savurdum	I threw it away
savurdular	They threw
savuranları	those who throw
savuranlar	those who throw
savuracaktır	will blow
savuracaklar	They will throw
savunuyordu	He was defending
savunuyor	defends
savunurum	I defend
savunmuyorlar	They do not defend
savunmazdın	You wouldn't defend
savunmayı	defense
savunmaya	to defend
savunmasına	in his defense
savunmamda	in my defense
savunmakta	defending
savunduğumuzu	that we defend
savunayım	Let me defend
savunamayan	indefensible
savunacağız	We will defend
savunacağınızı	you will defend
savunacaksınız	You will defend
savunabilirsin	You can defend
savuluncıya	to the defender
savsaklayana	to the procrastinator
savsaklayan	procrastinator
savsaklarsa	if they neglect
savsakladın	You neglected
savrulmadı	did not blow away
savruldu	was thrown away
savrulacaklar	they will be thrown away
savlar	Arguments
savdım	I dismissed
savdı	He brushed it off
savaşıyorlar	They are fighting
savaşırsak	If we fight
savaşınca	when you fight
savaşımızın	our war
savaşımız	Our war
savaşçının	warrior's
savaşçılarıyla	with his warriors
savaşçılarının	warriors
savaşçılarından	from the warriors
savaşçılarla	with warriors
savaşçılara	to the warriors
savaşçıdan	from warrior
savaştığı	fought
savaştıklarında	when they fought
savaşsanız	If you fight
savaşsan	If you fight
savaşmış	fought
savaşmıyoruz	We are not fighting
savaşmayayım	I won't fight
savaşmanın	to fight
savaşmanı	to fight
savaşmaları	to fight
savaşmakta	fighting
savaşların	of wars
savaşlarımızı	our wars
savaşlarda	in wars
savaşlara	to wars
savaşlar	wars
savaşayım	Let me fight
savaşanlarla	with those who fight
savaşanlar	Fighters
savaşamadılar	They couldn't fight
savaşacağız	We will fight
savaşacağınız	you will fight
savaşacağını	will fight
savaşacaklar	They will fight
savaşabilir	can fight
satışının	of sale
satıştan	from sale
satışa	for sale
satıyorsun	You are selling
satıyorsa	if it sells
satıyorlardı	They were selling
satır	line
satımının	of sale
satılışının	of sale
satılırsa	if sold
satılır	Sold
satılsaydık	if we were sold
satılmıştınız	You were sold
satılmıyacaktır	will not be sold
satılmıyacaklardır	they will not be sold
satılmıyacak	will not be sold
satılmayacak	will not be sold
satılmasını	to be sold
satılmadan	without being sold
satılamazlar	They cannot be sold
satıcısı	seller
sattığınıza	to what you sell
sattıracağım	I will sell it
sattıklarının	what they sell
satraplarına	to the satraps
satrançlı	Chessed
satmışsa	if sold
satmıyacaksın	You won't sell
satmıyacaklar	They won't sell
satmayacak	won't sell
satmasın	Don't sell it
satmamış	unsold
sataştıkça	as he teases
satarsan	if you sell
satanın	the seller
satanı	Seller
satanları	Sellers
satabilsin	can sell
satabilirsiniz	You can sell
satabilirsin	You can sell it
sarığını	his turban
sarığımdı	It was my turban
sarığa	in yellow
sarısabır	aloe
sarınır	wraps
sarınsın	wrap it up
sarınmıştı	was wrapped
sarındılar	They wrapped themselves
sarınarak	wrapped up
sarınamayacağınız	you can't wrap
sarınacak	will wrap
sarın	wrap
sarılıyorlar	They are hugging
sarılırsanız	if you hug
sarılırsan	if you hug
sarılırlar	They hug
sarılsınlar	Let them hug
sarılsın	hug
sarılmamışlar	They were not hugged
sarılmamış	Unwrapped
sarılmalıdırlar	They should be hugged
sarılmalı	should be wrapped
sarılmadın	You didn't hug
sarıldım	I hugged
sarıldıkça	as we hug
sarılanlara	to those who hug
sarılalım	Let's hug
sarıktı	It was a turban
sarıklarınız	your turbans
sarsıyor	shaking
sarsıp	shaken
sarsıntısı	tremor
sarsınlar	Let them shake
sarsılın	shake up
sarsılmıyayım	I don't want to be shaken
sarsılmıyarak	without shaking
sarsılmıyanlar	Those who are not shaken
sarsılmıyacağım	I will not be shaken
sarsılmayın	Don't be shaken
sarsılmayanların	those who are not shaken
sarsılmayacağım	I will not be shaken
sarsılmasına	to be shaken
sarsılmamanızı	not to be shaken
sarsılmadan	without shaking
sarsıldığım	I was shaken
sarsıldım	I was shaken
sarsıldıkça	as it shakes
sarsılan	shaken
sarsılamaz	unshakable
sarsılacaksınız	You will be shaken
sarsmıştı	was shaken
sarsmaya	to shake
sarsamaz	unshakable
sarsamadı	couldn't shake
sarsacak	will shake
sarrafları	Money changers
sarnıçtı	cistern
sarnıçta	in the cistern
sarnıçlarda	in cisterns
sarmıştır	It has surrounded
sarmalayan	enveloping
sarmalarını	wrap them
sarmakta	Wrapping
sarmadı	did not wrap
sarkıyor	hanging
sarkıtıp	hanging down
sarkıtıldığını	hanging
sarkıtıldım	I was hung
sarkıtılarak	hanging down
sarkıttıkları	they dangle
sarkarsa	if it sags
sarkarak	hanging down
sarkacaktır	will sag
sarisi	Yellow
sarhoşu	drunk
sarhoştu	was drunk
sarhoşluğa	drunkenness
sarhoşluklarda	in drunkenness
sarhoşluklar	drunkenness
sarhoşken	when drunk
sarfı	consumption
sarfolunan	spent
sarfolunacağım	I will be spent
sarfolunacak	will be spent
sarfettikten	After spending
sarfetmiş	spent
sarfetmeli	should spend
sarfetmek	spend
sarfedip	spent
sarfedeceğim	I will spend
sardığına	wrapped
sarayındaydı	was in his palace
sarayından	from the palace
sarayıma	to my palace
saraylarının	their palaces
saraylarından	from their palaces
sarayların	palaces
saraylar	Palaces
sarayla	with the palace
saraydakiler	Those in the palace
sararsın	You wrap it up
sararmış	sear
sararmayacak	won't turn yellow
sararmaktayım	I'm turning yellow
sarardım	I would wrap
sararak	by wrapping
saramam	I can't wrap
saralıları	Epileptics
saralıdır	He is epileptic
saralı	epileptic
saracağım	I will wrap
saracaksınız	You will wrap
sapıyla	with its handle
sapıtır	It is perverted
sapıtmıyor	does not deviate
sapınca	deviant
sapın	your handle
sapıklığınız	your perversion
sapıklığını	your perversion
sapıklığından	from his perversion
sapıklığına	to your perversion
sapıklıkla	with perversion
sapıklara	to perverts
saptığını	deviated
saptıysa	if it deviates
saptırıyorsun	You are misleading
saptırırsa	if it deviates
saptırıp	by distorting
saptırılıyor	is being diverted
saptırılıp	perverted
saptırılmıyasınız	You should not be led astray
saptırılmıyasın	Don't be led astray
saptırılmasından	from being diverted
saptırılmasın	Don't be misled
saptırıldınız	You have been led astray
saptırmıştı	had deviated
saptırmış	deviated
saptırmağa	to divert
saptırmaz	does not deviate
saptırmaktan	from diverting
saptırmadıkça	unless it deviates
saptırmadık	We did not deviate
saptırma	diversion
saptırdıklarını	they have deviated
saptırarak	by distorting
saptırana	to the misguided
saptın	You strayed
saptımsa	if i deviated
saptıktan	after going astray
saptıkları	they deviated
saptar	detects
saptansın	be determined
saptanmıştır	It has been determined
saptanmış	determined
saptamıştır	has determined
saptamıyor	does not detect
saptamasaydım	If I hadn't detected
saptadın	You detected
sapmıştım	I had strayed
sapmıştık	We had strayed
sapmıştı	had deviated
sapmışsam	If I have deviated
sapmışlardır	They have deviated
sapmıyarak	without deviating
sapmıyacağım	I will not deviate
sapmıyacaksınız	You will not deviate
sapmıyacaksın	You will not deviate
sapmıyacaklar	They will not deviate
sapmayasınız	Don't deviate
sapmayacak	will not deviate
sapmasınlar	Don't let them deviate
sapmasaydı	if it had not deviated
sapmasa	if not deviated
sapmamıştı	had not deviated
sapmaması	not deviating
sapmamak	not to deviate
sapmama	non-deviation
sapmalara	deviations
sapmadınsa	if you haven't deviated
saplıyacaksın	You will stab
saplıyacaklar	They will stab
saplayıp	stab
saplayınca	when stabbed
saplayacak	will stab
saplarının	of the stems
sapları	Stems
saplanıncıya	to the stuck
saplanıncaya	until it gets stuck
saplanmıştı	was stuck
saplanmasını	to get stuck
saplanacak	will be stuck
sapkınlardan	from heretics
saparsın	You will deviate
saparsa	if it deviates
sapardım	I would deviate
sapanını	his sling
sapanı	slingshot
sapanların	slings
sapancılar	Slingers
sapalım	Let's go astray
sapacağınızı	you will deviate
sapacağınız	you will deviate
sapacaksınız	You will deviate
sapacaklardır	They will deviate
sapacaklar	They will deviate
sanığı	the defendant
sanıyorum	I think
sanıyordum	I thought
sanıyorduk	We thought
sanılıyordu	It was thought that
sanılırdı	It was thought that
sanılan	fancied
sanılacak	will be thought
sanı	thought
sanna	Sanna
sanmıştım	I thought
sanmıştı	He thought
sanmışlardı	They thought
sanmıyorum	I don't think so
sanmıyordum	I didn't think so
sanmamalıyız	We shouldn't think
sanemin	Sanem
sandığından	than you think
sandığında	in your chest
sandığına	to your chest
sandığım	I think
sandım	I thought
sandıktan	from the ballot box
sandıkta	at the ballot box
sandıkları	chests
sandalın	your boat
sandalyeye	to the chair
sandalyesinde	in his chair
sandalyeden	from the chair
sandalyede	in the chair
sandalye	chair
sandaletli	sandaled
sancın	pain
sancılarından	from the pains
sancılanır	It hurts
sancılanması	pain
sancılanacak	will be painful
sancıdan	from pain
sancağının	your flag
sancağını	your flag
sancağına	to the flag
sancağımdır	It is my flag
sancaklarının	their banners
sancaklarımızı	Our banners
sancakları	banners
sanatının	your art
sanatın	of art
sanatımızın	our art
sanatımız	our art
sanatçılarına	to the artists
sanatçılar	artists
sanatçı	artist
sanatça	artistically
sanattan	from art
sanatkârın	the artist
sanatkârı	artist
sanatkârların	of the artists
sanatkârlardı	They were artists
sanatkârlara	to the artists
sanatkâr	artist
sanacaktır	will think
sanacaklar	They will think
samanlarını	their straws
salıyordu	was releasing
salıvermiş	released
salıvermiyor	does not release
salıvermiyen	not letting go
salıvermiyeceksin	You won't let go
salıvermiyecek	won't let go
salıvermeyen	non-releasing
salıvermeyecek	won't let go
salıvermemekle	not letting go
salıvermemek	not to let go
salıvermem	I won't let go
salıvermekliğim	I am letting go
salıvermekle	by letting go
salıvermediler	They didn't release
salıverme	release
salıveriyorum	I'm letting go
salıveriyor	releasing
salıverirsin	You release
salıverip	Let go
salıverince	when you release
salıverin	release
salıverilmeyi	to be released
salıverilecek	will be released
salıverildikten	after being released
salıverildi	released
salıveren	Releasing
salıvereceksiniz	You will release
salıverdiğinde	when you let go
salıverdin	You released
salıverdim	I released
salıverdikleri	they released
salıverdik	We released
salıncak	swing
salâhınızın	your righteousness
salâhınızı	your righteousness
salâhınız	your righteousness
salâhımızı	Our righteousness
salâhımızdan	from our righteousness
salâhımın	My righteousness
salâhladır	It is righteous
salâhiyetleri	their authority
salâhiyetiniz	your authority
salâhiyetine	to his authority
salâhiyetimi	my authority
salâhiyete	authority
salyangoz	snail
salyamı	my saliva
saltanatını	reign of
saltanatından	from the reign of
saltanatları	reigns
saltanatlar	reigns
saltanata	to the throne
salsın	Let it go
salmıştım	I released it
salmışken	while releasing
salmış	released
salmıyacaksın	You won't release it
salmağa	to release
salmayacaksınız	You will not release
salması	release
salmamış	unreleased
salmada	on the keel
sallıyormuş	He was shaking
sallıyarak	shaking
sallıyacağım	I will shake
sallıyacaktır	will shake
sallıyacaklar	They will shake
sallıyabilirdim	I could shake it
sallayışıyla	with his shake
sallayarak	shaking
sallayabilirdim	I could shake it
sallayabilir	can shake
sallanır	swings
sallanıp	swinging
sallanılsın	Let it be shaken
sallanılacak	to be shaken
sallantıda	shaky
sallansın	shake it
sallanmış	shaken
sallanmasından	from shaking
sallandığı	swinging
sallanacaksınız	You will shake
sallamak	shake
salladığınız	you shake
salladıktan	after shaking
salkımından	from the cluster
salkımı	bunch
salkımlara	to bunches
salkımdan	from the cluster
salihtirler	They are righteous
salihsin	You are righteous
salihlerle	with the righteous
salihlerinin	of the righteous
salihleredir	It is for the righteous
saldığını	released
saldırışına	to the attack
saldırışı	Attack
saldırıyorsunuz	You are attacking
saldırıyorlar	They are attacking
saldırısı	Attack
saldırırlarsa	if they attack
saldırınızı	your attack
saldırılırdı	would be attacked
saldırıldılar	They were attacked
saldırıları	attacks
saldırıcı	aggressor
saldırtacağıma	I will attack
saldırtacak	will attack
saldırsa	if he attacks
saldırmıştı	had attacked
saldırmış	attacked
saldırmayacak	will not attack
saldırmasını	to attack
saldırmasından	from attacking
saldırmalarına	to attack them
saldırmaktaydı	was attacking
saldırmaktan	from attacking
saldırmadılar	They did not attack
saldırmada	in attacking
saldırganlığı	Aggressiveness
saldırganlardan	from attackers
saldırdığı	attacked
saldırdın	You attacked
saldırdıkça	as they attack
saldırdık	We attacked
saldıramayız	we can't attack
saldıracağız	We will attack
saldıracağına	to attack
saldıracağım	I will attack
saldırabilecek	able to attack
saldıkları	they released
salatalıkları	cucumbers
salarak	by releasing
salanların	those who release
salamadığı	could not save
salalım	Let's release
salahı	wrong
salacaksınız	You will release
salacaklar	They will release
sakınırsanız	if you avoid
sakınıp	beware
sakınsınlar	They should beware
sakınmıştır	has avoided
sakınmış	cautious
sakınmazsa	if he doesn't mind
sakınması	avoid
sakınmamıştır	He did not hesitate
sakınmalısınız	You should beware
sakınmalarını	to avoid
sakınmaları	their avoidance
sakındırırsa	if he warns
sakındırınız	Beware
sakındırılmış	avoided
sakındırmış	warned
sakındırmazsan	if you don't mind
sakındırmadığın	you do not mind
sakındıracaksın	You will beware
sakındır	beware
sakındılarsa	if they avoided
sakındı	He avoided
sakınacağım	I will beware
sakınacaksınız	You will beware
sakınacaksın	You will beware
saklıyorum	I'm hiding
saklıyordum	I was hiding
saklıyan	hiding
saklıyacaksınız	You will keep it
saklıyacak	will hide
saklıdırlar	They are reserved
saklayın	keep it
saklayarak	by hiding
saklayanlardır	Those who hide
saklayan	hiding
saklayamayacaksınız	You won't be able to hide it.
saklayacaksınız	You will hide
saklasınlar	Let them keep it
saklarlar	They hide
saklanıp	Hiding
saklanılsın	be hidden
saklanılmıştır	It is hidden
saklanılmıştı	was hidden
saklanıldı	Hidden
saklanılarak	in hiding
saklanılan	stored
saklanılacaktır	will be stored
saklansınlar	Let them hide
saklansın	hide it
saklansalar	if they hide
saklanmış	hidden
saklanmıyacak	will not hide
saklanmaktalar	They are hiding
saklanmakta	in hiding
saklandılar	They hid
saklanayım	Let me hide
saklananları	the ones that are hidden
saklanacaksın	You will hide
saklanabilir	can be stored
saklamıştı	He had hidden it
saklamışsın	You hid it
saklamışlardı	They had hidden
saklamıyacağım	I won't hide it
saklamayacak	won't hide
saklamanın	to hide
saklamanı	hide
saklamam	I don't hide it
saklamaktayım	I am keeping it
saklamadım	I didn't hide it
saklamadan	without hiding
saklama	storage
sakladığım	I keep it
sakiyle	with cupbearer
sakiyi	cupbearer
sakisiydim	I was a cupbearer
sakisini	cupbearer
sakinleşti	calmed down
sakinin	resident
sakiliğine	cupbearer
sakilik	cupbearer
sakilerinin	cupbearers
sakattır	is disabled
sakatlığı	disability
sakatlayıp	crippled
sakatlarsa	if they are disabled
sakatlanmıştı	was injured
sakatladılar	They injured
sakalınızın	your beard
sakalınızı	your beard
sakalın	your beard
sakalı	jesting
sakalları	beards
sakala	beard
sahtelik	falsehood
sahtekârlıkla	fraudulently
sahtekârlar	fraudsters
sahtedirler	They are fake
sahiptiler	They had
sahipti	had
sahipsiz	derelict
sahipsin	You have
sahiplerine	to their owners
sahiplensinler	Let them take ownership
sahiplenmesinler	Don't let them own it
sahiplenmektir	is to own
sahiplenip	take ownership
sahiplenin	take ownership
sahiplenesiniz	You should own it
sahiplenelim	Let's take ownership
sahipleneceğiz	We will take ownership
sahipleneceksiniz	You will own it
sahiplenecekler	They will take ownership
sahiplenebilsin	can own it
sahiplendiğin	you have adopted
sahibiyse	if the owner
sahibinindir	It belongs to its owner
sahibidirler	They are the owners
sahibesinin	the owner of
sahanı	the field
sahaduta	Sahaduta
safî	Pure
saflık	purity
safların	of the ranks
saflara	to the ranks
safdil	simpleton
safasını	the pleasure of
sadıksın	You are loyal
sadıklara	to the faithful
sadeliğinde	in its simplicity
sadelikle	with simplicity
sadelik	simplicity
sadakatının	your loyalty
sadakattir	It is loyalty.
sadakatten	from loyalty
sadakatsizliğinizi	your infidelity
sadakatsizliğiniz	your infidelity
sadakatsizliğinden	for his infidelity
sadakatsizler	Unfaithful
sadakatsizdir	is unfaithful
sadakatledir	is faithful
sadakatinle	with your loyalty
sadakatimi	my loyalty
sadakatim	My loyalty
sadakate	loyalty
sadakan	charity
sadakaları	alms
sac	hair
sabırsızlıkla	impatiently
sabırsızlanıyorum	I can't wait
sabırsızlanıyor	He is impatient
sabırsızlanmayayım	I can't wait.
sabırsızlandı	He became impatient
sabırsızlanan	impatient
sabun	soap
sabuk	nonsense
sabrınızla	with your patience
sabrınız	your patience
sabrının	your patience
sabrında	in your patience
sabrımın	my patience
sabrettin	You were patient
sabretmiş	patient
sabrediyoruz	We are patient
sabrediyorsunuz	You are patient
sabrediyor	He is patient
sabredip	be patient
sabrederiz	We are patient
sabredenlere	to those who are patient
sabredecek	will be patient
sabredebilmeniz	be patient
sabi	Sabi
sabahında	in the morning
sabahına	in the morning
sabahıdır	It is morning
sabahlıyordu	It was getting early
sabahleyin	in the morning
saatti	It was a clock
saatleri	hours
saatinizdir	is your watch
saatini	your watch
saatine	to your watch
saadetim	my happiness
rızasıyla	with the consent of
rızasile	with consent
rızan	your consent
rızaları	their consent
rıfatla	Rifatla
rüşveti	bribe
rüzgârından	from the wind
rüzgârları	winds
rüzgârlar	winds
rüzgârla	with the wind
rüzgarlardan	from the winds
rüzgarlara	to the winds
rüyetten	from vision
rüyetlerle	with visions
rüyetlerinden	from his visions
rüyetlere	to visions
rüyetle	with vision
rüyetinden	from his vision
rüyetimde	in my vision
rüyamda	in my dream
rüyaların	your dreams
rütbe	rank
rüsvaylığın	disgrace
rüsvaylığımız	Our disgrace
rüsvaylıkla	with disgrace
ruyayı	dream
ruyasına	to his dream
ruyası	dream
ruyanın	your dream
ruyalarından	from your dreams
ruyalarında	in your dreams
ruyaların	your dreams
ruyalarımızı	our dreams
ruyalarda	in dreams
ruyalara	to dreams
rutubeti	humidity
ruhî	Spiritual
ruhçuları	Spiritualists
ruhumda	in my soul
ruhuma	to my soul
ruhludur	has a soul
ruhlarını	their souls
