我	wǒ 
觀察	guānchá 
觀點	guāndiăn 
觀念	guānniàn 
觀眾	guānzhòng 
管	guăn 
罐	guàn 
廣播	guǎngbò 
廣播	guǎngbò 
廣場	guăngchăng 
廣告	guănggào 
逛	guàng 
逛街	guàngjiē 
規矩	guījŭ 
規模	guīmó 
鬼	guǐ 
貴姓	guìxìng
櫃子	guìzi 
國內	guónèi 
國外	guówài 
國王	guówáng 
國語	guóyŭ 
過	guò
過去	guòqù
過日子	guòrìzi 
嗨	hāi 
還	hái 
還好	háihăo  
還是	háishì 
還要	háiyào  
海報	hăibào  
海灘	hăitān  
海洋	hǎiyáng 
害	hài 
害怕	hàipà
行	háng 
航空	hángkōng 
好	hăo 
好處	hǎochù 
好好/好好兒	hǎohǎo/hǎohǎor
好幾	hǎojǐ 
好了	hǎole 
好些	hǎoxiē 
和	hé 
盒	hé 
合	hé 
合唱	héchàng 
合作	hézuò 
黑	hēi
恨	hèn 
恨不得	hènbùdé 
紅	hóng
紅包	hóngbāo
紅豆	hóngdòu 
厚	hòu 
後	hòu 
後	hòu 
忽然	hūrán 
糊塗	hútú 
互相	hùxiāng 
花	huā 
花心	huāxīn
滑雪	huáxuě
畫家	huàjiā
話說回來	huàshuōhuílái 
話題	huàtí 
化妝品	huàzhuāngpĭn 
壞處	huàichù 
還	huán
環保	huánbăo 
黃	huáng
回	huí 
回答	huídá 
回想	huíxiăng 
會	huì 
會場	huìchăng 
會話	huìhuà 
會議	huìyì 
婚禮	hūnlǐ 
婚姻	hūnyīn 
混亂	hùnluàn 
活	huó 
活動	huódòng 
或許	huòxŭ 
基本	jīběn 
基本	jīběn 
基礎	jīchŭ  
基督教	Jīdūjiào
激動	jīdòng 
激烈	jīliè  
積極	jījí  
機器	jīqì
及	jí 
急	jí 
極	jí 
極了	jíle 
擠	jǐ 
擠	jǐ 
既	jì 
記	jì 
記錄	jìlù 
記錄	jìlù  
記憶	jìyì 
季節	jìjié 
紀念	jìniàn  
紀念	jìniàn  
技巧	jìqiăo  
繼續	jìxù 
加	jiā
加強	jiāqiáng 
加入	jiārù 
加上	jiāshàng 
加油	jiāyóu 
家	jiā 
家鄉	jiāxiāng 
家長	jiāzhăng 
假	jiă 
假如	jiărú 
假裝	jiăzhuāng 
架	jià 
假日	jiàrì 
價值	jiàzhí 
肩膀	jiānbăng 
堅持	jiānchí 
堅強	jiānqiáng 
減	jiăn 
減輕	jiănqīng 
減少	jiănshăo 
簡直	jiănzhí 
見	jiàn 
建立	jiànlì 
建設	jiànshè 
建設	jiànshè 
建議	jiànyì 
建議	jiànyì 
將來	jiānglái 
講價	jiăngjià 
講究	jiăngjiù 
獎學金	jiăngxuéjīn 
降低	jiàngdī 
醬油	jiàngyóu 
交	jiāo 
交流	jiāoliú 
交友	jiāoyǒu 
驕傲	jiāoào 
郊區	jiāoqū 
角度	jiăodù 
角/角色	jiăo/juésè
叫	jiào 
叫	jiào 
較	jiào 
教	jiào 
教材	jiàocái 
教導	jiàodăo 
教法	jiàofă 
教練	jiàoliàn 
教授	jiàoshòu 
教訓	jiàoxùn 
教育	jiàoyù 
教育	jiàoyù 
接觸	jiēchù 
接受	jiēshòu 
接著	jiēzhe 
結	jié 
結果	jiéguǒ 
結局	jiéjú 
節	jié 
節日	jiérì 
解決	jiějué
解釋	jiěshì 
姊妹	jiěmèi 
斤	jīn
金(子)	jīn(zi)
緊	jǐn 
僅	jĭn 
儘管	jĭnguăn 
盡	jìn 
進	jìn 
進行	jìnxíng 
進一步	jìnyíbù  
經	jīng 
經費	jīngfèi 
經過	jīngguò 
經過	jīngguò  
經驗	jīngyàn 
精神	jīngshén 
驚訝	jīngyà  
酒吧	jiŭbā 
救	jiù 
舅舅	jiùjiu 
舅媽	jiùmā
就	jiù 
就是	jiùshì 
就算	jiùsuàn 
就要	jiùyào
居住	jūzhù 
橘子	júzi 
舉	jǔ 
舉辦	jŭbàn 
舉手	jŭshŏu
舉行	jǔxíng 
句	jù 
聚	jù 
劇本	jùběn 
劇情	jùqíng 
拒絕	jùjué 
距離	jùlí 
具有	jùyŏu 
絕對	juéduì 
軍隊	jūnduì 
軍人	jūnrén 
卡車	kǎchē 
開放	kāifàng 
開花	kāihuā 
開朗	kāilăng 
開始	kāishǐ 
開玩笑	kāiwánxiào 
看不起	kànbùqĭ
看法	kànfǎ 
看起來	kànqĭlái
考	kǎo 
棵	kē
刻	kē 
科	kē 
科技	kējì 
科學	kēxué 
可	kě 
可	kě 
可靠	kěkào 
可樂	kělè
可惡	kěwù 
可惜	kěxí 
可以	kěyǐ 
渴望	kěwàng 
克	kè 
克服	kèfú 
課程	kèchéng 
課堂	kètáng 
課文	kèwén
客滿	kèmăn 
刻	kè 
肯	kěn 
肯定	kěndìng 
空	kōng 
空間	kōngjiān 
空軍	kōngjūn 
恐怕	kǒngpà 
空	kòng 
口	kǒu 
口袋	kǒudài 
口味	kŏuwèi  
誇張	kuāzhāng 
快	kuài
快要	kuàiyào 
寬	kuān 
況且	kuàngqiě 
困難	kùnnán 
困難	kùnnán 
擴大	kuòdà 
拉肚子	lādùzi 
啦	la
來	lái 
來	lái 
來不及	láibùjí 
來得及	láidejí  
藍	lán 
浪漫	làngmàn 
老公	lăogōng 
老虎	lăohŭ 
老婆	lăopó 
老實	lăoshí 
老是	lăoshì 
樂	lè 
樂觀	lèguān 
樂趣	lèqù 
垃圾	lèsè 
淚	lèi 
類	lèi 
冷淡	lěngdàn 
離	lí 
離婚	líhūn 
里	lǐ 
裡/裏	lĭ/lĭ
裡邊	lĭbiān
理解	lĭjiě 
理論	lĭlùn 
理想	lĭxiăng 
理想	lĭxiăng 
裏面	lǐmiàn
禮堂	lĭtáng 
力	lì 
力量	lìlìàng
厲害	lìhài 
立刻	lìkè 
例如	lìrú 
例子	lìzi 
利益	lìyì 
利用	lìyòng 
連	lián 
連	lián 
連/聯絡	liánluò 
連續劇	liánxùjù 
練	liàn 
戀愛	liànài 
涼	liáng
良好	liánghăo 
亮	liàng
聊	liáo 
了不起	liăobùqĭ
靈魂	línghún 
零錢	língqián 
零用錢	língyòngqián 
領	lǐng 
領導	lĭngdăo 
領域	lĭngyù 
令	lìng 
流	liú 
流汗	liúhàn 
流血	liúxiě 
留學	liúxué 
留學生	liúxuéshēng 
龍	lóng 
錄	lù 
錄取	lùqŭ  
錄音	lùyīn 
露營	lùyíng  
亂	luàn
輪胎	lúntāi 
旅客	lǚkè 
綠	lǜ
律師	lǜshī 
麻煩	máfán
馬桶	mătŏng 
碼頭	mătou 
螞蟻	măyĭ
罵	mà 
嘛	ma 
滿	măn 
滿	măn 
滿足	mănzú  
慢慢	mànmàn
慢跑	mànpăo 
慢用	mànyòng 
毛	máo 
毛病	máobìng 
貿易	màoyì 
沒	méi
沒	méi
沒什麼	méishénme 
沒想到	méixiăngdào 
玫瑰(ㄍㄨㄟ˙)	méigui 
每	měi 
美好	měihăo 
門	mén 
夢	mèng 
迷路	mílù 
迷人	mírén 
米飯	mǐfàn 
米粉	mĭfěn 
秘/祕密	mìmì 
密切	mìqiè 
免費	miănfèi 
面	miàn 
面	miàn 
面積	miànjī 
面前	miànqián 
麵條	miàntiáo 
描寫	miáoxiě 
秒	miǎo 
廟	miào 
民國	mínguó 
民族	mínzú 
名	míng 
名詞	míngcí 
明白	míngbái 
明顯	míngxiăn 
明星	míngxīng 
命	mìng 
摸	mō 
摩托車/機車	mótuōchē/jīchē
陌生	mòshēng 
某	mŏu
木	mù 
木頭	mùtou
目的	mùdì 
目前	mùqián 
拿手	náshŏu 
哪裡/哪兒	nǎlǐ/nǎr
哪些	nǎxiē 
那	nà
那裡	nàlǐ
那麼	nàme
那樣	nàyàng
那樣	nàyàng
哪	na
奶	nǎi 
奶茶	nǎichá 
耐心	nàixīn 
南方	nánfāng 
難怪	nánguài 
難看	nánkàn 
腦	năo 
腦子	năozi 
鬧鐘	nàozhōng 
內	nèi 
內容	nèiróng 
能	néng 
能夠	nénggòu 
能力	nénglì 
年	nián 
年代	niándài 
年齡	niánlíng 
年年	niánnián 
念書	niànshū 
農業	nóngyè  
女士	nǚshì 
喔	ō 
哦	ó 
噢	òu 
拍	pāi 
排	pái 
牌子	páizi 
盼望	pànwàng 
旁	páng 
陪	péi 
培養	péiyăng 
配	pèi 
配合	pèihé 
碰	pèng 
碰到	pèngdào 
碰上	pèngshàng 
批評	pīpíng 
皮	pí 
皮帶	pídài 
皮膚	pífū 
皮鞋	píxié 
篇	piān 
騙子	piànzi 
品質	pĭnzhí 
坪	píng 
平	píng 
平安	píngān 
平等	píngděng 
平時	píngshí 
平原	píngyuán 
瓶子	píngzi
破	pò
破壞	pòhuài 
葡萄	pútáo 
普遍	pŭbiàn 
欺負	qīfù 
其次	qícì 
其實	qíshí 
其中	qízhōng 
期	qí
期間	qíjiān 
起	qĭ
起	qĭ
起來	qĭlái 
氣	qì 
氣	qì 
氣溫	qìwēn 
汽水	qìshuǐ
企業	qìyè 
簽名	qiānmíng 
簽證	qiānzhèng 
謙虛	qiānxū 
前	qián 
前	qián 
前年	qiánnián 
淺	qiǎn 
強盜	qiángdào 
強調	qiángdiào 
搶	qiǎng 
親	qīn
親切	qīnqiè
親手	qīnshŏu  
親眼	qīnyăn 
親自	qīnzì 
清	qīng 
青年	qīngnián 
青少年	qīngshàonián  
輕鬆	qīngsōng  
晴	qíng 
情	qíng 
情人	qíngrén  
情況	qíngkuàng 
情形	qíngxíng 
請教	qĭngjiào 
請求	qĭngqiú 
窮	qióng 
求	qiú 
球	qiú
球場	qiúchăng 
球賽	qiúsài 
球員	qiúyuán 
取代	qŭdài 
去	qù 
去	qù 
去世	qùshì 
全	quán 
全球	quánqiú 
全身	quánshēn 
缺點	quēdiăn 
卻	què 
確定	quèdìng 
確認	quèrèn 
讓	ràng
熱狗	règŏu
熱水	rèshuǐ 
人家	rénjiā 
人間	rénjiān 
人口	rénkǒu 
人類	rénlèi 
人們	rénmen 
人民	rénmín 
人人	rénrén 
人數	rénshù 
人物	rénwù 
忍	rěn 
忍耐	rěnnài 
認	rèn 
認得	rèndé 
任務	rènwù 
扔	rēng 
仍	réng 
仍然	réngrán 
日出	rìchū 
日記	rìjì 
日子	rìzi
如	rú 
如此	rúcǐ 
如下	rúxià 
如意	rúyì 
弱	ruò 
傘	sǎn
殺	shā 
曬	shài 
山區	shānqū 
傷害	shānghài 
商品	shāngpĭn 
商人	shāngrén 
商業	shāngyè 
上	shàng 
上	shàng 
上當	shàngdàng 
上帝	shàngdì 
上街	shàngjiē 
上衣	shàngyī 
燒	shāo 
少	shǎo 
蛇	shé 
設備	shèbèi 
設計	shèjì 
設計	shèjì 
深	shēn 
深入	shēnrù 
身邊	shēnbiān 
身高	shēngāo 
身上	shēnshàng 
甚至	shènzhì 
升	shēng 
聲	shēng 
聲調	shēngdiào 
生	shēng 
生產	shēngchăn 
生動	shēngdòng 
生活	shēnghuó
生命	shēngmìng 
生意	shēngyì 
生字	shēngzì 
省	shěng 
省錢	shěngqián 
剩	shèng 
剩下	shèngxià 
濕	shī 
失戀	shīliàn 
失去	shīqù 
獅子	shīzi 
十分	shífēn 
石頭	shítou
石油	shíyóu 
時	shí 
時代	shídài 
時刻	shíkè 
實話	shíhuà 
實際	shíjì 
實力	shílì 
實行	shíxíng 
實在	shízài 
使得	shĭde 
使用	shǐyòng 
事實	shìshí 
事業	shìyè 
適應	shìyìng 
市長	shìzhăng 
收穫	shōuhuò 
收音機	shōuyīnjī 
熟	shóu 
首	shǒu
手套	shŏutào
手續	shŏuxù  
受得了	shòudeliăo  
書包	shūbāo
書架	shūjià 
蔬菜	shūcài 
舒適	shūshì 
叔叔	shúshu
熟悉	shúxī 
數	shŭ
數字	shùzì 
樹木	shùmù 
刷牙	shuāyá
帥	shuài 
雙	shuāng 
水餃	shuǐjiǎo 
水平	shuĭpíng 
水準	shuĭzhŭn 
睡著	shuìzháo 
順便	shùnbiàn 
順利	shùnlì 
說法	shuōfă 
說明	shuōmíng 
說明	shuōmíng 
說起來	shuōqĭlái 
思考	sīkăo 
思想	sīxiăng 
似乎	sìhū 
寺廟	sìmiào 
速度	sùdù 
算了	suànle 
隨便	suíbiàn
隨時	suíshí 
所	suǒ 
所	suŏ 
所謂	suŏwèi  
它	tā 
它們	tāmen 
台	tái 
抬	tái 
颱風	táifēng 
態度	tàidù 
談話	tánhuà 
堂	táng 
堂	táng
討厭	tǎoyàn
套	tào 
特地	tèdì 
特色	tèsè 
特殊	tèshū 
提	tí
提到	tídào 
提高	tígāo 
提供	tígōng 
題材	tícái 
題目	tímù 
體會	tĭhuì 
體力	tĭlì 
體貼	tĭtiē 
體重	tĭzhòng 
替	tì 
天堂	tiāntáng 
天天	tiāntiān
天下	tiānxià 
田	tián 
填	tián 
甜點	tiándiăn 
條件	tiáojiàn 
挑戰	tiăozhàn 
貼	tiē 
鐵	tiě 
鐵路	tiělù 
聽見	tīngjiàn 
聽力	tīnglì 
聽起來	tīngqĭlái 
聽眾	tīngzhòng 
挺	tĭng 
通	tōng 
通過	tōngguò 
通知	tōngzhī
同	tóng 
同	tóng 
同情	tóngqíng  
同時	tóngshí 
同樣	tóngyàng 
同樣	tóngyàng 
痛苦	tòngkǔ 
投	tóu 
投資	tóuzī  
頭	tóu 
頭痛	tóutòng  
圖	tú 
突然	túrán  
土	tǔ 
土地	tǔdì 
兔子	tùzi 
團體	tuántǐ 
團圓	tuányuán 
推	tuī
推薦	tuījiàn 
推銷	tuīxiāo 
退步	tuìbù 
退休	tuìxiū 
脫	tuō 
娃娃(ㄨㄚ˙)	wáwa 
外邊	wàibiān 
外公	wàigōng 
外婆	wàipó 
外文	wàiwén 
外語	wàiyǔ 
完成	wánchéng 
完全	wánquán 
玩具	wánjù 
晚	wǎn 
萬一	wànyī 
網	wăng 
網路	wănglù 
往往	wăngwăng  
忘記	wàngjì 
維持	wéichí 
微笑	wéixiào 
為主	wéizhŭ 
偉大	wěidà 
為	wèi 
未來	wèilái 
位置	wèizhì 
位子	wèizi 
溫柔	wēnróu 
文件	wénjiàn 
文學	wénxué 
文字	wénzì 
聞	wén 
穩定	wěndìng 
問好	wènhăo 
問候	wènhòu 
握手	wòshǒu 
屋子	wūzi 
無	wú 
無法	wúfă 
無論如何	wúlùnrúhé 
無窮	wúqióng 
無所謂	wúsuŏwèi 
誤會	wùhuì 
物價	wùjià 
西北	xīběi 
西餐	xīcān 
西方	xīfāng 
西南	xīnán 
吸毒	xīdú 
吸收	xīshōu 
吸引	xīyĭn 
犧牲	xīshēng 
希望	xīwàng 
喜愛	xĭài 
細	xì 
細心	xìxīn  
戲	xì 
戲劇	xìjù 
系統	xìtŏng  
下	xià 
下	xià 
下	xià 
下	xià 
下來(ㄌㄞ˙)	xiàlai
嚇	xià 
嚇一跳	xiàyítiào  
線	xiàn 
現代	xiàndài 
現代	xiàndài 
現實	xiànshí 
現實	xiànshí 
現象	xiànxiàng 
限制	xiànzhì 
相當	xiāngdāng 
相對	xiāngduì 
相反	xiāngfăn 
相關	xiāngguān 
相同	xiāngtóng 
箱子	xiāngzi
香水	xiāngshuĭ
詳細	xiángxì 
響	xiǎng 
想到	xiăngdào 
想法	xiǎngfǎ 
想像	xiăngxiàng 
想像	xiăngxiàng 
項	xiàng 
相機	xiàngjī 
相聲	xiàngshēng 
小吃	xiăochī 
小朋友	xiǎopéngyǒu 
小組	xiăozŭ 
效果	xiàoguŏ
笑話	xiàohuà
孝順	xiàoshùn 
協助	xiézhù 
血	xiě 
謝	xiè 
心得	xīndé 
心理	xīnlĭ 
心意	xīnyì 
欣賞	xīnshăng 
新生	xīnshēng 
信	xìn 
信箱	xìnxiāng 
信心	xìnxīn 
興奮	xīngfèn 
行	xíng
行動	xíngdòng 
行為	xíngwéi 
形容	xíngróng 
醒	xĭng 
醒來	xĭnglái 
姓	xìng 
性別	xìngbié 
性格	xìnggé 
幸好	xìnghăo 
幸虧	xìngkuī 
幸運	xìngyùn 
兇	xiōng 
兄弟	xiōngdì 
熊貓	xióngmāo 
修	xiū 
修改	xiūgăi 
修理	xiūlĭ  
需求	xūqiú  
需要	xūyào 
選	xuǎn 
選舉	xuănjŭ 
選擇	xuǎnzé 
選擇	xuǎnzé 
學會	xuéhuì 
學問	xuéwèn 
尋找	xúnzhăo 
訓練	xùnliàn 
呀	yā 
鴨(子)	yā(zi) 
押金	yājīn 
牙	yá 
牙齒	yáchǐ 
煙火	yānhuŏ 
研究	yánjiù 
研究	yánjiù 
嚴重	yánzhòng 
演	yăn 
演出	yănchū 
演講	yănjiăng 
演員	yănyuán 
眼光	yănguāng 
眼淚	yănlèi 
陽光	yángguāng 
養	yăng 
樣	yàng 
樣樣	yàngyàng 
邀請	yāoqĭng 
要求	yāoqiú 
要求	yāoqiú 
咬	yăo 
要	yào 
要不然	yàobùrán 
要不是	yàobúshì 
要緊	yàojǐn 
野餐	yěcān 
也好	yěhăo 
頁	yè 
夜裡/裏	yèlǐ/lǐ 
夜市	yèshì 
一下子/一下子兒	yīxiàzi/yīxiàzir
衣櫃	yīguì 
依靠	yīkào 
一塊/一塊兒	yíkuài/yíkuàir
一切	yíqiè
一向	yíxiàng 
一樣	yíyàng 
已	yĭ 
以	yĭ 
以後	yĭhòu
以來	yĭlái 
以免	yĭmiăn 
以內	yĭnèi 
以前	yĭqián
以上	yĭshàng 
以外	yĭwài 
以為	yǐwéi 
以下	yĭxià 
一般來說	yìbānláishuō 
一點/一點兒	yìdiǎn/yìdiǎnr
一方面	yìfāngmiàn 
一連	yìlián 
一生	yìshēng 
一時	yìshí 
一同	yìtóng 
意見	yìjiàn 
意外	yìwài 
意義	yìyì 
陰	yīn 
因此	yīncǐ 
音響	yīnxiăng 
引起	yĭnqĭ
應	yīng 
應該	yīnggāi 
英俊	yīngjùn 
營養	yíngyăng 
影片	yĭngpiàn 
擁有	yŏngyŏu 
用	yòng
用法	yòngfă 
用功	yònggōng 
用品	yòngpĭn 
優點	yōudiăn 
優秀	yōuxiù 
幽默	yōumò 
郵票	yóupiào
尤其	yóuqí 
遊客	yóukè 
游泳池	yóuyŏngchí
由於	yóuyú 
有(一)點/有(一)點兒	yǒu(yì)diăn/yǒu(yì)diănr
有的	yǒude 
有名	yǒumíng 
有錢	yǒuqián 
有效	yŏuxiào 
有意思	yǒuyìsi
友誼	yŏuyí 
於是	yúshì 
與	yǔ 
與	yǔ 
玉	yù 
玉米	yùmǐ 
預備	yùbèi 
預習	yùxí 
遇到	yùdào 
圓	yuán 
員工	yuángōng 
原諒	yuánliàng 
原因	yuányīn 
願望	yuànwàng 
院子	yuànzi
約	yuē 
約會	yuēhuì 
約會	yuēhuì 
越	yuè 
月餅	yuèbĭng  
閱讀	yuèdú 
樂團	yuètuán 
運氣	yùnqì 
在	zài 
在意	zàiyì 
在於	zàiyú 
早	zăo 
早日	zăorì 
早晚	zăowăn 
造成	zàochéng 
噪音	zàoyīn 
責任	zérèn 
增加	zēngjiā 
炸/炸	zhà/zhá 
摘	zhāi 
站	zhàn
暫時	zhànshí 
戰爭	zhànzhēng 
長	zhǎng
長大	zhǎngdà 
掌握	zhăngwò 
障礙	zhàngài 
招待	zhāodài 
招牌	zhāopái 
找錢	zhǎoqián 
照	zhào 
照	zhào 
哲學	zhéxué 
這裏	zhèlĭ
這下子	zhèxiàzi 
這樣	zhèyàng
這樣子	zhèyàngzi 
這樣子	zhèyàngzi 
真的	zhēnde 
真理	zhēnlĭ
真實	zhēnshí 
真是	zhēnshì 
真心	zhēnxīn 
真正	zhēnzhèng 
真正	zhēnzhèng 
珍貴	zhēnguì 
整	zhěng 
整理	zhěnglĭ 
整齊	zhěngqí 
正	zhèng 
正常	zhèngcháng 
正確	zhèngquè 
正式	zhèngshì 
證明	zhèngmíng 
證書	zhèngshū 
支	zhī 
知	zhī 
知識	zhīshì 
之後	zhīhòu 
之間	zhījiān 
之前	zhīqián
直	zhí 
直到	zhídào 
值得	zhídé 
殖民地	zhímíndì 
植物	zhíwù 
職員	zhíyuán 
指	zhǐ 
只是	zhĭshì 
只要	zhǐyào 
只有	zhǐyǒu 
只有	zhĭyŏu 
制度	zhìdù 
智慧	zhìhuì 
至少	zhìshăo 
至於	zhìyú 
中	zhōng 
中部	zhōngbù 
中餐	zhōngcān 
終於	zhōngyú 
鐘	zhōng 
種	zhòng
重點	zhòngdiăn 
重視	zhòngshì 
周圍	zhōuwéi 
主動	zhŭdòng 
主婦	zhŭfù 
主管	zhŭguăn 
主人	zhǔrén 
主任	zhǔrèn 
主題	zhŭtí 
主要	zhǔyào 
主要	zhŭyào 
主意	zhǔyì 
祝	zhù
祝福	zhùfú 
祝福	zhùfú 
助	zhù 
助理	zhùlĭ 
著名	zhùmíng 
抓	zhuā 
專心	zhuānxīn 
專業	zhuānyè 
狀態	zhuàngtài 
追求	zhuīqiú 
準時	zhŭnshí 
著	zhuó 
資料	zīliào 
資源	zīyuán 
仔細	zĭxì 
自從	zìcóng 
自動	zìdòng 
自然	zìrán 
自殺	zìshā 
自信	zìxìn 
自由	zìyóu 
自由	zìyóu 
自在	zìzài 
宗教	zōngjiào 
總而言之	zǒngéryánzhī 
總算	zǒngsuàn 
總統	zǒngtǒng 
總之	zǒngzhī 
走走	zǒuzǒu 
組	zŭ 
祖父	zŭfù 
祖母	zŭmŭ 
祖先	zŭxiān 
嘴	zuǐ 
醉	zuì 
最初	zuìchū 
最多	zuìduō 
最好	zuìhǎo 
最後	zuìhòu 
最佳	zuìjiā 
最近	zuìjìn
尊敬	zūnjìng 
作	zuò 
作品	zuòpĭn 
作者	zuòzhě 
座	zuò 
做/作法	zuòfă 
做夢	zuòmèng 
做人	zuòrén 
做事	zuòshì 
哎呀	āiya 
哎喲	āiyāo 
愛好	àihào 
愛好	àihào 
愛護	àihù 
愛人	àirén 
安慰	ānwèi 
安裝	ānzhuāng 
按	àn 
按時	ànshí 
暗	àn 
暗中	ànzhōng 
骯髒	āngzhāng 
熬	áo 
拔	bá 
把	bă 
把握	băwò 
罷工	bàgōng 
罷了	bàle 
擺脫	băituō 
敗	bài 
拜	bài 
拜拜	bàibài 
拜訪	bàifăng 
拜年	bàinián 
拜託	bàituō 
般	bān 
班	bān 
班長	bānzhăng 
搬運	bānyùn 
拌	bàn 
半路	bànlù 
半數	bànshù 
辦公	bàngōng 
辦事	bànshì 
扮演	bànyăn 
傍晚	bāngwăn 
磅	bàng 
棒	bàng 
棒子	bàngzi 
包裹	bāoguǒ
包括	bāokuò 
包裝	bāozhuāng 
包裝	bāozhuāng 
保	băo 
保持	băochí
保存	băocún
保留	băoliú 
保衛	băowèi 
保障	băozhàng 
保障	băozhàng 
寶寶	băobao
抱	bào 
報	bào 
報仇	bàochóu
報答	bàodá
報導	bàodăo
報到	bàodào
報警	bàojĭng 
報社	bàoshè 
暴力	bàolì 
暴躁	bàozào 
爆炸	bàozhà 
悲劇	bēijù 
悲痛	bēitòng 
倍	bèi 
備	bèi 
背面	bèimiàn 
奔	bēn 
奔跑	bēnpăo 
本來	běnlái 
本領	běnlĭng
本身	běnshēn 
本土	běntŭ 
笨重	bènzhòng 
比	bĭ
比方	bĭfāng 
比方(說)	bĭfāng(shūo)
比較	bǐjiào 
比較	bĭjiào 
比例	bĭlì 
彼此	bĭcĭ 
筆	bĭ
筆記	bĭjì 
筆試	bĭshì 
筆試	bĭshì 
閉	bì 
必須	bìxū 
必要	bìyào 
編	biān 
扁	biăn 
便	biàn 
便利	biànlì 
變動	biàndòng 
變動	biàndòng 
標題	biāotí 
標誌	biāozhì 
表格	biăogé 
表情	biăoqíng 
表揚	biăoyáng 
冰	bīng 
丙	bĭng 
並	bìng 
並	bìng 
並且	bìngqiě 
病毒	bìngdú 
病房	bìngfáng 
撥	bō 
菠菜	bōcài 
波動	bōdòng 
玻璃	bōlí 
薄	bó 
薄弱	bóruò 
伯父	bófù 
伯母	bómŭ 
不大	búdà 
不當	búdàng 
不到	búdào 
不顧	búgù 
不過	búguò 
不見得	bújiàndé 
捕	bŭ 
補	bŭ 
補償	bŭcháng 
補充	bŭchōng 
補課	bŭkè 
補習	bŭxí 
補助	bŭzhù 
補助	bŭzhù 
步	bù 
不安	bùān 
不成	bùchéng 
不得已	bùdéyĭ
不敢當	bùgăndāng 
不僅	bùjĭn 
不良	bùliáng
不平	bùpíng 
不然	bùrán 
不如	bùrú 
不許	bùxŭ 
不宜	bùyí 
不由得	bùyóude 
不止	bùzhǐ 
部隊	bùduì 
部長	bùzhăng 
布/佈告	bùgào
布/佈告欄	bùgàolán 
財產	cáichăn 
財富	cáifù 
才能	cáinéng 
裁判	cáipàn 
裁員	cáiyuán 
踩	căi 
採	căi 
採購	căigòu 
彩色	căisè 
參與	cānyù 
蠶	cán 
慚愧	cánkuì 
慘	căn 
倉庫	cāngkù 
藏	cáng 
操心	cāoxīn 
操作	cāozuò 
冊	cè 
策略	cèlüè 
測量	cèliáng 
測試	cèshì 
測驗	cèyàn 
測驗	cèyàn 
差	chā
差錯	chācuò 
差距	chājù 
插	chā 
插花	chāhuā 
插圖	chātú 
茶館/茶館兒	cháguăn/cháguănr
茶會	cháhuì 
茶葉	cháyè 
拆	chāi 
產	chăn 
產量	chănliàng 
產業	chănyè 
嘗/嚐	cháng
嘗/嚐試	chángshì 
常識	chángshì 
長處	chángchù 
長度	chángdù 
長方形	chángfāngxíng 
長久	chángjiŭ 
長途	chángtú 
場	chăng 
場地	chăngdì 
場合	chănghé 
場所	chăngsuŏ 
廠商	chăngshāng 
抄	chāo 
鈔票	chāopiào 
超出	chāochū 
超人	chāorén 
超越	chāoyuè 
超重	chāozhòng 
朝	cháo 
潮流	cháoliú 
潮溼/濕	cháoshī 
吵鬧	chăonào 
車票	chēpiào 
扯	chě
徹底	chèdǐ 
沉	chén 
陳列	chénliè 
稱	chēng 
撐	chēng 
成	chéng 
成	chéng 
成本	chéngběn 
成分/份	chéngfèn 
成交	chéngjiāo 
成立	chénglì 
成天	chéngtiān 
成為	chéngwéi 
成語	chéngyŭ 
乘	chéng 
乘客	chéngkè 
誠懇	chéngkěn 
誠意	chéngyì 
呈現	chéngxiàn 
程序	chéngxù 
吃虧	chīkuī 
遲	chí 
遲早	chízăo 
尺寸	chĭcùn 
翅膀	chìbăng 
沖	chōng 
充分/份	chōngfèn 
充滿	chōngmăn 
充足	chōngzú 
重	chóng 
崇拜	chóngbài 
崇高	chónggāo 
抽屜	chōutì 
愁	chóu 
出	chū 
出產	chūchăn  
出境	chūjìng 
出口	chūkŏu 
出色	chūsè 
出身	chūshēn 
出事	chūshì 
出售	chūshòu 
出席	chūxí 
出院	chūyuàn 
初	chū 
初步	chūbù 
初步	chūbù 
初級	chūjí 
除	chú 
除	chú 
除	chú 
除非	chúfēi 
儲存	chúcún 
儲蓄	chúxù 
處	chŭ 
處罰	chŭfá 
處	chù 
處處	chùchù 
傳	chuán 
傳播	chuánbò 
傳達	chuándá 
傳單	chuándān 
傳染	chuánrăn 
傳說	chuánshuō 
傳說	chuánshuō 
傳送	chuánsòng 
傳統	chuántŏng 
傳真	chuánzhēn 
窗口	chuāngkŏu 
床	chuáng 
床單	chuángdān 
幢	chuáng 
闖	chuăng 
創作	chuàngzuò 
春季	chūnjì 
春假	chūnjià 
純	chún 
磁帶	cídài 
詞典	cídiăn 
詞彙	cíhuì 
辭職	cízhí 
此外	cĭwài 
刺	cì 
刺激	cìjī 
次數	cìshù 
從	cóng 
從此	cóngcĭ
從沒	cóngméi 
從事	cóngshì 
湊	còu 
粗	cū 
粗心	cūxīn 
促進	cùjìn 
催	cuī 
存款	cúnkuăn 
搓	cuō 
錯過	cuòguò 
錯字	cuòzì 
措施	cuòshī 
答	dá 
答案	dáàn 
達到	dádào 
打	dă 
打扮	dăbàn 
打包	dăbāo 
打斷	dăduàn 
