the	ðiː	t-h-ē	ㄘㄧ	該
midwives	ˈmɪdˌwaɪvz	m-i-d-w-ī-v-z	ㄇㄧㄉㄨㄚㄧㄈㄗ	助產士
midwife	ˈmɪdwaɪf	m-i-d-w-ī-f	ㄇㄧㄉㄨㄚㄧㄈ	助產士
iscariot	iscariot	ē-s-ca-r-ē-o-t	ㄧㄙㄕㄚㄖㄧㄛㄉ	加略人
chaldean	kælˈdi(ː)ən	k-a-l-d-ē---ə-n	ㄍㄚㄌㄉㄧㄣ	加爾丁
galal	galal	g-a-l-a-l	ㄍㄚㄌㄚㄌ	加拉爾
galatia	galatia	g-a-l-a-t-ē-a	ㄍㄚㄌㄚㄉㄧㄚ	加拉太
gallio	gallio	g-a-l-l-ē-o	ㄍㄚㄌㄌㄧㄛ	加利奧
galilee	galilee	g-a-l-ē-l-ee	ㄍㄚㄌㄧㄌㄝㄝ	加利利
galileans	galileans	g-a-l-ē-l-ea-n-s	ㄍㄚㄌㄧㄌㄝㄢㄙ	加利利
kareah	kareah	k-a-r-ea-h	ㄍㄚㄖㄝㄚㄏ	加利亞
executioners	ˌɛksɪˈkjuːʃnəz	é-k-s-i-k-yü-sh-n-ə-z	ㄜㄍㄙㄧㄍㄡㄨㄕㄋㄦㄗ	劊子手
executioner	ˌɛksɪˈkjuːʃnə	é-k-s-i-k-yü-sh-n-ə	ㄜㄍㄙㄧㄍㄡㄨㄕㄋㄦ	劊子手
creator	kri(ː)ˈeɪtə	k-r-ē---ā-t-ə	ㄍㄖㄧㄝㄧㄉㄦ	創造者
founder	ˈfaʊndə	f-o-w-n-d-ə	ㄈㄚㄡㄋㄉㄦ	創辦人
founders	ˈfaʊndəz	f-o-w-n-d-ə-z	ㄈㄚㄡㄋㄉㄦㄗ	創始人
shearers	ˈʃɪərəz	sh-ē-ə-r-ə-z	ㄕㄧㄦㄖㄦㄗ	剪羊毛
former	ˈfɔːmə	f-ô-m-ə	ㄈㄛㄇㄦ	前任的
burners	ˈbɜːnəz	b-û-n-ə-z	ㄅㄦㄋㄦㄗ	刻錄機
burner	ˈbɜːnə	b-û-n-ə	ㄅㄦㄋㄦ	刻錄機
shave	ʃeɪv	sh-ā-v	ㄕㄝㄧㄈ	刮鬍子
rephidim	rephidim	r-e-p-h-ē-d-ē-m	ㄖㄝㄅㄏㄧㄉㄧㄇ	利非訂
eliada	eliada	e-l-ē-a-d-a	ㄝㄌㄧㄚㄉㄚ	利雅大
lycia	lycia	l-yc-ē-a	ㄌㄩㄕㄧㄚ	利西亞
elzabad	elzabad	e-l-z-a-b-a-d	ㄝㄌㄗㄚㄅㄚㄉ	利薩巴
leviathan	lɪˈvaɪəθən	l-i-v-ī-ə-th-ə-n	ㄌㄧㄈㄚㄧㄦㄊㄣ	利維坦
elimelech	elimelech	e-l-ē-m-e-l-ec-h	ㄝㄌㄧㄇㄝㄌㄝㄕㄏ	利米勒
remaliah	remaliah	r-e-m-a-l-ē-a-h	ㄖㄝㄇㄚㄌㄧㄚㄏ	利瑪利
rephaiah	rephaiah	r-e-p-h-a-ē-a-h	ㄖㄝㄅㄏㄞㄚㄏ	利法雅
elishama	elishama	e-l-ē-s-h-a-m-a	ㄝㄌㄧㄙㄏㄚㄇㄚ	利沙瑪
riblah	riblah	r-ē-b-l-a-h	ㄖㄧㄅㄌㄚㄏ	利比拉
libyans	ˈlɪbɪənz	l-i-b-ē-ə-n-z	ㄌㄧㄅㄧㄣㄗ	利比亞
libya	ˈlɪbɪə	l-i-b-ē-ə	ㄌㄧㄅㄧㄦ	利比亞
levitical	levitical	l-e-v-ē-t-ē-ca-l	ㄌㄝㄈㄧㄉㄧㄕㄚㄌ	利未記
levites	levites	l-e-v-ē-t-e-s	ㄌㄝㄈㄧㄉㄝㄙ	利未人
levite	levite	l-e-v-ē-t-e	ㄌㄝㄈㄧㄉㄝ	利未人
elizaphan	elizaphan	e-l-ē-z-a-p-h-a-n	ㄝㄌㄧㄗㄚㄅㄏㄢ	利撒反
rithmah	rithmah	r-ē-t-h-m-a-h	ㄖㄧㄉㄏㄇㄚㄏ	利提瑪
lebanah	lebanah	l-e-b-a-n-a-h	ㄌㄝㄅㄢㄚㄏ	利巴拿
elpaal	elpaal	e-l-p-aa-l	ㄝㄌㄅㄚㄚㄌ	利巴力
likhi	likhi	l-ē-k-h-ē	ㄌㄧㄍㄏㄧ	利克希
reelaiah	reelaiah	r-ee-l-a-ē-a-h	ㄖㄝㄝㄌㄞㄚㄏ	利來雅
elioenai	elioenai	e-l-ē-oe-n-a-ē	ㄝㄌㄧㄛㄝㄋㄞ	利以謝
reaiah	reaiah	r-ea-ē-a-h	ㄖㄝㄞㄚㄏ	利亞雅
elealeh	elealeh	e-l-ea-l-e-h	ㄝㄌㄝㄚㄌㄝㄏ	利亞利
rephaites	rephaites	r-e-p-h-a-ē-t-e-s	ㄖㄝㄅㄏㄞㄉㄝㄙ	利乏音
rephaim	rephaim	r-e-p-h-a-ē-m	ㄖㄝㄅㄏㄞㄇ	利乏音
verdict	ˈvɜːdɪkt	v-û-d-i-k-t	ㄈㄦㄉㄧㄍㄉ	判決書
beginner	bɪˈgɪnə	b-i-g-i-n-ə	ㄅㄧㄍㄧㄋㄦ	初學者
chopped	ʧɒpt	ch-o-p-t	ㄓㄛㄅㄉ	切碎的
distributed	dɪsˈtrɪbju(ː)tɪd	d-i-s-t-r-i-b-yü---t-i-d	ㄉㄧㄙㄉㄖㄧㄅㄡㄨㄉㄧㄉ	分散式
portioned	ˈpɔːʃənd	p-ô-sh-ə-n-d	ㄅㄛㄕㄣㄉ	分成小
treasurer	ˈtrɛʒərə	t-r-é-zh-ə-r-ə	ㄉㄖㄜㄓㄦㄖㄦ	出納員
keziah	keziah	k-e-z-ē-a-h	ㄍㄝㄗㄧㄚㄏ	凱斯亞
cool-tempered	kuːl-ˈtɛmpəd	k-ū-l-t-é-m-p-ə-d	ㄍㄨㄌ-ㄉㄜㄇㄅㄦㄉ	冷回火
frosty	ˈfrɒsti	f-r-o-s-t-ē	ㄈㄖㄛㄙㄉㄧ	冷冰冰
reassure	ˌriːəˈʃʊə	r-ē-ə-sh-ü-ə	ㄖㄧㄦㄕㄡㄦ	再保證
blends	blɛndz	b-l-é-n-d-z	ㄅㄌㄜㄋㄉㄗ	共混物
sixty-five	ˈsɪksti-faɪv	s-i-k-s-t-ē-f-ī-v	ㄙㄧㄍㄙㄉㄧ-ㄈㄚㄧㄈ	六十五
fair-minded	feə-ˈmaɪndɪd	f-ã-m-ī-n-d-i-d	ㄈㄝㄦ-ㄇㄚㄧㄋㄉㄧㄉ	公正的
justly	ˈʤʌstli	y-u-s-t-l-ē	ㄓㄨㄙㄉㄌㄧ	公正地
servants	ˈsɜːvənts	s-û-v-ə-n-t-s	ㄙㄦㄈㄣㄗ	公務員
bakbukiah	bakbukiah	b-a-k-b-ū-k-ē-a-h	ㄅㄚㄍㄅㄨㄍㄧㄚㄏ	八布迦
eighty-four	ˈeɪti-fɔː	ā-t-ē-f-ô	ㄝㄧㄉㄧ-ㄈㄛ	八十四
eighty-five	ˈeɪti-faɪv	ā-t-ē-f-ī-v	ㄝㄧㄉㄧ-ㄈㄚㄧㄈ	八十五
eighty-three	ˈeɪti-θriː	ā-t-ē-th-r-ē	ㄝㄧㄉㄧ-ㄊㄖㄧ	八十三
brand-new	ˈbrændˈnjuː	b-r-a-n-d-n-yü	ㄅㄖㄚㄋㄉㄋㄡㄨ	全新的
nahum	nahum	n-a-h-ū-m	ㄋㄚㄏㄨㄇ	內厄姆
invaders	ɪnˈveɪdəz	i-n-v-ā-d-ə-z	ㄧㄋㄈㄝㄧㄉㄦㄗ	入侵者
immune	ɪˈmjuːn	i-m-yü-n	ㄧㄇㄡㄨㄋ	免疫的
cretans	ˈkriːtənz	k-r-ē-t-ə-n-z	ㄍㄖㄧㄉㄣㄗ	克里特
chloe	ˈkləʊi	k-l-ə-oo-ē	ㄍㄌㄦㄡㄧ	克洛伊
hanukkah	hanukkah	h-a-n-ū-k-k-a-h	ㄏㄢㄨㄍㄍㄚㄏ	光明節
resists	rɪˈzɪsts	r-i-z-i-s-t-s	ㄖㄧㄗㄧㄙㄗ	光刻膠
seer	ˈsiːə	s-ē-ə	ㄙㄧㄦ	先見者
sirs	sɜːz	s-û-z	ㄙㄦㄗ	先生們
gentlemen	ˈʤɛnt(ə)lmən	y-é-n-t-ə--l-m-ə-n	ㄓㄜㄋㄉㄦㄌㄇㄣ	先生們
storerooms	ˈstɔːrʊmz	s-t-ô-r-oo-m-z	ㄙㄉㄛㄖㄡㄇㄗ	儲藏室
mercenaries	ˈmɜːsɪnəriz	m-û-s-i-n-ə-r-ē-z	ㄇㄦㄙㄧㄋㄦㄖㄧㄗ	僱傭兵
pitched	pɪʧt	p-i-ch-t	ㄅㄧㄓㄉ	傾斜的
creditors	ˈkrɛdɪtəz	k-r-é-d-i-t-ə-z	ㄍㄖㄜㄉㄧㄉㄦㄗ	債權人
creditor	ˈkrɛdɪtə	k-r-é-d-i-t-ə	ㄍㄖㄜㄉㄧㄉㄦ	債權人
debtors	ˈdɛtəz	d-é-t-ə-z	ㄉㄜㄉㄦㄗ	債務人
evangelists	ɪˈvænʤɪlɪsts	i-v-a-n-y-i-l-i-s-t-s	ㄧㄈㄚㄋㄓㄧㄌㄧㄙㄗ	傳福音
infectious	ɪnˈfɛkʃəs	i-n-f-é-k-sh-ə-s	ㄧㄋㄈㄜㄍㄕㄦㄙ	傳染病
evangelist	ɪˈvænʤɪlɪst	i-v-a-n-y-i-l-i-s-t	ㄧㄈㄚㄋㄓㄧㄌㄧㄙㄉ	傳播者
memorandum	ˌmɛməˈrændəm	m-é-m-ə-r-a-n-d-ə-m	ㄇㄜㄇㄦㄖㄚㄋㄉㄦㄇ	備忘錄
jericho	ˈʤɛrɪkəʊ	y-é-r-i-k-ə-oo	ㄓㄜㄖㄧㄍㄦㄡ	傑里科
jedidah	jedidah	y-e-d-ē-d-a-h	ㄡㄝㄉㄧㄉㄚㄏ	傑迪達
jethro	jethro	y-e-t-h-r-o	ㄡㄝㄉㄏㄖㄛ	傑思羅
jehiel	jehiel	y-e-h-ē-e-l	ㄡㄝㄏㄧㄝㄌ	傑希勒
distinguished	dɪsˈtɪŋgwɪʃt	d-i-s-t-i-ng-g-w-i-sh-t	ㄉㄧㄙㄉㄧㄥㄍㄨㄧㄕㄉ	傑出的
hypocrites	ˈhɪpəkrɪts	h-i-p-ə-k-r-i-t-s	ㄏㄧㄅㄦㄍㄖㄧㄗ	偽君子
hypocrite	ˈhɪpəkrɪt	h-i-p-ə-k-r-i-t	ㄏㄧㄅㄦㄍㄖㄧㄉ	偽君子
scouts	skaʊts	s-k-o-w-t-s	ㄙㄍㄚㄡㄗ	偵察兵
remotest	rɪˈməʊtɪst	r-i-m-ə-oo-t-i-s-t	ㄖㄧㄇㄦㄡㄉㄧㄙㄉ	偏遠的
pretended	prɪˈtɛndɪd	p-r-i-t-é-n-d-i-d	ㄅㄖㄧㄉㄜㄋㄉㄧㄉ	假裝的
borrowers	ˈbɒrəʊəz	b-o-r-ə-ü-ə-z	ㄅㄛㄖㄦㄡㄦㄗ	借款人
borrower	ˈbɒrəʊə	b-o-r-ə-ü-ə	ㄅㄛㄖㄦㄡㄦ	借款人
shelters	ˈʃɛltəz	sh-é-l-t-ə-z	ㄕㄜㄌㄉㄦㄗ	候車亭
survivors	səˈvaɪvəz	s-ə-v-ī-v-ə-z	ㄙㄦㄈㄚㄧㄈㄦㄗ	倖存者
survivor	səˈvaɪvə	s-ə-v-ī-v-ə	ㄙㄦㄈㄚㄧㄈㄦ	倖存者
individually	ˌɪndɪˈvɪdjʊəli	i-n-d-i-v-i-d-y-ü-ə-l-ē	ㄧㄋㄉㄧㄈㄧㄉㄡㄡㄦㄌㄧ	個別地
club	klʌb	k-l-u-b	ㄍㄌㄨㄅ	俱樂部
waft	wɑːft	w-ä-f-t	ㄨㄚㄈㄉ	信號旗
trusting	ˈtrʌstɪŋ	t-r-u-s-t-i-ng	ㄉㄖㄨㄙㄉㄧㄥ	信任的
confidentially	ˌkɒnfɪˈdɛnʃəli	k-o-n-f-i-d-é-n-sh-ə-l-ē	ㄍㄛㄋㄈㄧㄉㄜㄋㄕㄦㄌㄧ	信任地
bumper	ˈbʌmpə	b-u-m-p-ə	ㄅㄨㄇㄅㄦ	保險槓
protector	prəˈtɛktə	p-r-ə-t-é-k-t-ə	ㄅㄖㄦㄉㄜㄍㄉㄦ	保護者
protective	prəˈtɛktɪv	p-r-ə-t-é-k-t-i-v	ㄅㄖㄦㄉㄜㄍㄉㄧㄈ	保護的
paulus	paulus	p-a-ū-l-ū-s	ㄅㄠㄌㄨㄙ	保盧斯
reserved	rɪˈzɜːvd	r-i-z-û-v-d	ㄖㄧㄗㄦㄈㄉ	保留的
sparing	ˈspeərɪŋ	s-p-ã-r-i-ng	ㄙㄅㄝㄦㄖㄧㄥ	保守的
earthly	ˈɜːθli	û-th-l-ē	ㄦㄊㄌㄧ	俗世的
orpah	orpah	o-r-p-a-h	ㄛㄖㄅㄚㄏ	俄珥巴
ophel	ophel	o-p-h-e-l	ㄛㄅㄏㄝㄌ	俄斐勒
ophrah	ophrah	o-p-h-r-a-h	ㄛㄅㄏㄖㄚㄏ	俄弗拉
obadiah	obadiah	o-b-a-d-ē-a-h	ㄛㄅㄚㄉㄧㄚㄏ	俄巴底
peniel	peniel	p-e-n-ē-e-l	ㄅㄝㄋㄧㄝㄌ	便以利
dependent	dɪˈpɛndənt	d-i-p-é-n-d-ə-n-t	ㄉㄧㄅㄜㄋㄉㄣㄉ	依賴的
perez	perez	p-e-r-e-z	ㄅㄝㄖㄝㄗ	佩雷斯
yourselves	jɔːˈsɛlvz	y-ô-s-é-l-v-z	ㄡㄛㄙㄜㄌㄈㄗ	你自己
yourself	jɔːˈsɛlf	y-ô-s-é-l-f	ㄡㄛㄙㄜㄌㄈ	你自己
neglecting	nɪˈglɛktɪŋ	n-i-g-l-é-k-t-i-ng	ㄋㄧㄍㄌㄜㄍㄉㄧㄥ	何罪？
hoshea	hoshea	h-o-s-h-ea	ㄏㄛㄙㄏㄝㄚ	何細亞
hormah	hormah	h-o-r-m-a-h	ㄏㄛㄖㄇㄚㄏ	何珥瑪
hophni	hophni	h-o-p-h-n-ē	ㄏㄛㄅㄏㄋㄧ	何弗尼
horites	horites	h-o-r-ē-t-e-s	ㄏㄛㄖㄧㄉㄝㄙ	何利人
bedad	bedad	b-e-d-a-d	ㄅㄝㄉㄚㄉ	佔比達
whispered	ˈwɪspəd	w-i-s-p-ə-d	ㄨㄧㄙㄅㄦㄉ	低聲道
galilean	galilean	g-a-l-ē-l-ea-n	ㄍㄚㄌㄧㄌㄝㄢ	伽利略
accompanied	əˈkʌmpənid	ə-k-u-m-p-ə-n-ē-d	ㄦㄍㄨㄇㄅㄣㄧㄉ	伴隨著
berea	berea	b-e-r-ea	ㄅㄝㄖㄝㄚ	伯里亞
bethsaida	bethsaida	b-e-t-h-s-a-ē-d-a	ㄅㄝㄉㄏㄙㄞㄉㄚ	伯賽大
beth-biri	bɛθ-biri	b-é-th-b-ē-r-ē	ㄅㄜㄊ-ㄅㄧㄖㄧ	伯蔽日
beth-haram	bɛθ-haram	b-é-th-h-a-r-a-m	ㄅㄜㄊ-ㄏㄚㄖㄚㄇ	伯聖地
beth-millo	bɛθ-millo	b-é-th-m-ē-l-l-o	ㄅㄜㄊ-ㄇㄧㄌㄌㄛ	伯米羅
beth-meon	bɛθ-meon	b-é-th-m-eo-n	ㄅㄜㄊ-ㄇㄝㄛㄋ	伯米恩
beth-shemesh	bɛθ-shemesh	b-é-th-s-h-e-m-e-s-h	ㄅㄜㄊ-ㄙㄏㄝㄇㄝㄙㄏ	伯示麥
belshazzar	belshazzar	b-e-l-s-h-a-z-z-a-r	ㄅㄝㄌㄙㄏㄚㄗㄗㄚㄖ	伯沙撒
beth-peor	bɛθ-ˈpiːə	b-é-th-p-ē-ə	ㄅㄜㄊ-ㄅㄧㄦ	伯毗珥
beth-pelet	bɛθ-pelet	b-é-th-p-e-l-e-t	ㄅㄜㄊ-ㄅㄝㄌㄝㄉ	伯毗力
beth-hoglah	bɛθ-hoglah	b-é-th-h-o-g-l-a-h	ㄅㄜㄊ-ㄏㄛㄍㄌㄚㄏ	伯曷拉
beth-eked	bɛθ-eked	b-é-th-e-k-e-d	ㄅㄜㄊ-ㄝㄍㄝㄉ	伯微漲
bernice	bernice	b-e-r-n-ē-ce	ㄅㄝㄖㄋㄧㄕㄝ	伯尼斯
beth-nimrah	bɛθ-nimrah	b-é-th-n-ē-m-r-a-h	ㄅㄜㄊ-ㄋㄧㄇㄖㄚㄏ	伯寧拉
beth-dagon	bɛθ-dagon	b-é-th-d-a-g-o-n	ㄅㄜㄊ-ㄉㄚㄍㄛㄋ	伯大袞
bethany	bethany	b-e-t-h-a-n-y	ㄅㄝㄉㄏㄢㄩ	伯大尼
beth-haran	bɛθ-haran	b-é-th-h-a-r-a-n	ㄅㄜㄊ-ㄏㄚㄖㄢ	伯哈蘭
beth-horon	bɛθ-horon	b-é-th-h-o-r-o-n	ㄅㄜㄊ-ㄏㄛㄖㄛㄋ	伯和崙
beth-gilgal	bɛθ-gilgal	b-é-th-g-ē-l-g-a-l	ㄅㄜㄊ-ㄍㄧㄌㄍㄚㄌ	伯吉甲
bethlehem	ˈbɛθlɪəm	b-é-th-l-ē-ə-m	ㄅㄜㄊㄌㄧㄦㄇ	伯利恆
beth-rehob	bɛθ-ˌriːˈhɒb	b-é-th-r-ē-h-o-b	ㄅㄜㄊ-ㄖㄧㄏㄛㄅ	伯利合
beth-aven	bɛθ-aven	b-é-th-a-v-e-n	ㄅㄜㄊ-ㄚㄈㄝㄋ	伯亞文
lounge	laʊnʤ	l-o-w-n-y	ㄌㄚㄡㄋㄓ	休息室
elihu	elihu	e-l-ē-h-ū	ㄝㄌㄧㄏㄨ	伊萊休
jehud	jehud	y-e-h-ū-d	ㄡㄝㄏㄨㄉ	伊胡得
isshiah	isshiah	ē-s-s-h-ē-a-h	ㄧㄙㄙㄏㄧㄚㄏ	伊示雅
ishijah	ishijah	ē-s-h-ē-y-a-h	ㄧㄙㄏㄧㄡㄚㄏ	伊示雅
eden	ˈiːdn	ē-d-n	ㄧㄉㄋ	伊甸園
ithmah	ithmah	ē-t-h-m-a-h	ㄧㄉㄏㄇㄚㄏ	伊特瑪
ibri	ibri	ē-b-r-ē	ㄧㄅㄖㄧ	伊比利
ishbosheth	ishbosheth	ē-s-h-b-o-s-h-e-t-h	ㄧㄙㄏㄅㄛㄙㄏㄝㄉㄏ	伊施波
ethnan	ethnan	e-t-h-n-a-n	ㄝㄉㄏㄋㄢ	伊提南
eldad	eldad	e-l-d-a-d	ㄝㄌㄉㄚㄉ	伊利達
eliel	eliel	e-l-ē-e-l	ㄝㄌㄧㄝㄌ	伊利爾
whomever	hu(ː)mˈɛvə	h-ū---m-é-v-ə	ㄏㄨㄇㄜㄈㄦ	任何人
anyone	ˈɛnɪwʌn	é-n-i-w-u-n	ㄜㄋㄧㄨㄨㄋ	任何人
anybody	ˈɛnɪˌbɒdi	é-n-i-b-o-d-ē	ㄜㄋㄧㄅㄛㄉㄧ	任何人
ekron	ekron	e-k-r-o-n	ㄝㄍㄖㄛㄋ	以革倫
isaiah	aɪˈzaɪə	ī-z-ī-ə	ㄚㄧㄗㄚㄧㄦ	以賽亞
issachar	issachar	ē-s-s-ac-h-a-r	ㄧㄙㄙㄚㄕㄏㄚㄖ	以薩迦
israels	ˈɪzreɪəlz	i-z-r-ā-ə-l-z	ㄧㄗㄖㄝㄧㄦㄌㄗ	以色列
israelite	ˈɪzrɪəlaɪt	i-z-r-ē-ə-l-ī-t	ㄧㄗㄖㄧㄦㄌㄚㄧㄉ	以色列
israel	ˈɪzreɪəl	i-z-r-ā-ə-l	ㄧㄗㄖㄝㄧㄦㄌ	以色列
ephraimites	ephraimites	e-p-h-r-a-ē-m-ē-t-e-s	ㄝㄅㄏㄖㄞㄇㄧㄉㄝㄙ	以法蓮
ephraim	ephraim	e-p-h-r-a-ē-m	ㄝㄅㄏㄖㄞㄇ	以法蓮
ephrath	ephrath	e-p-h-r-a-t-h	ㄝㄅㄏㄖㄚㄉㄏ	以法他
ibzan	ibzan	ē-b-z-a-n	ㄧㄅㄗㄢ	以比贊
ezbon	ezbon	e-z-b-o-n	ㄝㄗㄅㄛㄋ	以斯本
ezra	ezra	e-z-r-a	ㄝㄗㄖㄚ	以斯拉
esther	ˈɛstə	é-s-t-ə	ㄜㄙㄉㄦ	以斯帖
izhar	izhar	ē-z-h-a-r	ㄧㄗㄏㄚㄖ	以斯哈
enosh	enosh	e-n-o-s-h	ㄝㄋㄛㄙㄏ	以挪士
elath	elath	e-l-a-t-h	ㄝㄌㄚㄉㄏ	以拉他
ephesus	ephesus	e-p-h-e-s-ū-s	ㄝㄅㄏㄝㄙㄨㄙ	以弗所
ephesian	ephesian	e-p-h-e-s-ē-a-n	ㄝㄅㄏㄝㄙㄧㄢ	以弗所
epaphras	epaphras	e-p-a-p-h-r-a-s	ㄝㄅㄚㄅㄏㄖㄚㄙ	以巴弗
eshtaol	eshtaol	e-s-h-t-ao-l	ㄝㄙㄏㄉㄚㄛㄌ	以實陶
eliphaz	eliphaz	e-l-ē-p-h-a-z	ㄝㄌㄧㄅㄏㄚㄗ	以利法
elishaphat	elishaphat	e-l-ē-s-h-a-p-h-a-t	ㄝㄌㄧㄙㄏㄚㄅㄏㄚㄉ	以利沙
elisha	elisha	e-l-ē-s-h-a	ㄝㄌㄧㄙㄏㄚ	以利沙
elzaphan	elzaphan	e-l-z-a-p-h-a-n	ㄝㄌㄗㄚㄅㄏㄢ	以利撒
eliab	eliab	e-l-ē-a-b	ㄝㄌㄧㄚㄅ	以利押
elijah	ɪˈlaɪʤə	i-l-ī-y-ə	ㄧㄌㄚㄧㄓㄦ	以利亞
eliashib	eliashib	e-l-ē-a-s-h-ē-b	ㄝㄌㄧㄚㄙㄏㄧㄅ	以利亞
delegation	ˌdɛlɪˈgeɪʃən	d-é-l-i-g-ā-sh-ə-n	ㄉㄜㄌㄧㄍㄝㄧㄕㄣ	代表團
substitutes	ˈsʌbstɪtjuːts	s-u-b-s-t-i-t-yü-t-s	ㄙㄨㄅㄙㄉㄧㄉㄡㄨㄗ	代用品
agent	ˈeɪʤənt	ā-y-ə-n-t	ㄝㄧㄓㄣㄉ	代理人
himself	hɪmˈsɛlf	h-i-m-s-é-l-f	ㄏㄧㄇㄙㄜㄌㄈ	他自己
tappuah	tappuah	t-a-p-p-ū-a-h	ㄉㄚㄅㄅㄨㄚㄏ	他普亞
mattithiah	mattithiah	m-a-t-t-ē-t-h-ē-a-h	ㄇㄚㄉㄉㄧㄉㄏㄧㄚㄏ	他提雅
heled	heled	h-e-l-e-d	ㄏㄝㄌㄝㄉ	他帶領
tahrea	tahrea	t-a-h-r-ea	ㄉㄚㄏㄖㄝㄚ	他利亞
taberah	taberah	t-a-b-e-r-a-h	ㄉㄚㄅㄝㄖㄚㄏ	他備拉
theirs	ðeəz	t-h-ã-z	ㄘㄝㄦㄗ	他們的
they'll	ðeɪl	t-h-ā-l	ㄘㄝㄧㄌ	他們會
ishbak	ishbak	ē-s-h-b-a-k	ㄧㄙㄏㄅㄚㄍ	什巴克
tithes	taɪðz	t-ī-t-h-z	ㄉㄚㄧㄘㄗ	什一稅
sallu	sallu	s-a-l-l-ū	ㄙㄚㄌㄌㄨ	人中有
ishvah	ishvah	ē-s-h-v-a-h	ㄧㄙㄏㄈㄚㄏ	亦施瓦
symphony	ˈsɪmfəni	s-i-m-f-ə-n-ē	ㄙㄧㄇㄈㄣㄧ	交響樂
wedlock	ˈwɛdlɒk	w-é-d-l-o-k	ㄨㄜㄉㄌㄛㄍ	交杯酒
aijalon	aijalon	a-ē-y-a-l-o-n	ㄞㄡㄚㄌㄛㄋ	亞雅崙
appaim	appaim	a-p-p-a-ē-m	ㄚㄅㄅㄞㄇ	亞遍。
agabus	agabus	a-g-a-b-ū-s	ㄚㄍㄚㄅㄨㄙ	亞迦布
achaia	achaia	ac-h-a-ē-a	ㄚㄕㄏㄞㄚ	亞該亞
azekah	azekah	a-z-e-k-a-h	ㄚㄗㄝㄍㄚㄏ	亞西加
ammihud	ammihud	a-m-m-ē-h-ū-d	ㄚㄇㄇㄧㄏㄨㄉ	亞米忽
ammiel	ammiel	a-m-m-ē-e-l	ㄚㄇㄇㄧㄝㄌ	亞米利
aloth	aloth	a-l-o-t-h	ㄚㄌㄛㄉㄏ	亞祿有
amalekite	amalekite	a-m-a-l-e-k-ē-t-e	ㄚㄇㄚㄌㄝㄍㄧㄉㄝ	亞瑪力
apollyon	apollyon	a-p-o-l-l-yo-n	ㄚㄅㄛㄌㄌㄩㄛㄋ	亞玻倫
apollos	əˈpɒləʊz	ə-p-o-l-ə-oo-z	ㄦㄅㄛㄌㄦㄡㄗ	亞波羅
arphaxad	arphaxad	a-r-p-h-axa-d	ㄚㄖㄅㄏㄚㄏㄚㄉ	亞法撒
abijah	abijah	a-b-ē-y-a-h	ㄚㄅㄧㄡㄚㄏ	亞比雅
abiram	abiram	a-b-ē-r-a-m	ㄚㄅㄧㄖㄚㄇ	亞比蘭
abishai	abishai	a-b-ē-s-h-a-ē	ㄚㄅㄧㄙㄏㄞ	亞比篩
abihu	abihu	a-b-ē-h-ū	ㄚㄅㄧㄏㄨ	亞比戶
adullamite	adullamite	a-d-ū-l-l-a-m-ē-t-e	ㄚㄉㄨㄌㄌㄚㄇㄧㄉㄝ	亞杜蘭
adullam	adullam	a-d-ū-l-l-a-m	ㄚㄉㄨㄌㄌㄚㄇ	亞杜蘭
asahel	asahel	a-s-a-h-e-l	ㄚㄙㄚㄏㄝㄌ	亞撒黑
amoz	amoz	a-m-o-z	ㄚㄇㄛㄗ	亞摩斯
amorites	amorites	a-m-o-r-ē-t-e-s	ㄚㄇㄛㄖㄧㄉㄝㄙ	亞摩利
artemas	artemas	a-r-t-e-m-a-s	ㄚㄖㄉㄝㄇㄚㄙ	亞提馬
anathoth	anathoth	a-n-a-t-h-o-t-h	ㄢㄚㄉㄏㄛㄉㄏ	亞拿突
abagtha	abagtha	a-b-a-g-t-h-a	ㄚㄅㄚㄍㄉㄏㄚ	亞拔他
ararat	ararat	a-r-a-r-a-t	ㄚㄖㄚㄖㄚㄉ	亞拉臘
alemeth	alemeth	a-l-e-m-e-t-h	ㄚㄌㄝㄇㄝㄉㄏ	亞拉篾
arabah	arabah	a-r-a-b-a-h	ㄚㄖㄚㄅㄚㄏ	亞拉巴
abdiel	abdiel	a-b-d-ē-e-l	ㄚㄅㄉㄧㄝㄌ	亞必迭
adbeel	adbeel	a-d-b-ee-l	ㄚㄉㄅㄝㄝㄌ	亞德別
adriel	adriel	a-d-r-ē-e-l	ㄚㄉㄖㄧㄝㄌ	亞得列
asaiah	asaiah	a-s-a-ē-a-h	ㄚㄙㄞㄚㄏ	亞帥雅
ahio	ahio	a-h-ē-o	ㄚㄏㄧㄛ	亞希約
ahitub	ahitub	a-h-ē-t-ū-b	ㄚㄏㄧㄉㄨㄅ	亞希突
ahimoth	ahimoth	a-h-ē-m-o-t-h	ㄚㄏㄧㄇㄛㄉㄏ	亞希摩
ahihud	ahihud	a-h-ē-h-ū-d	ㄚㄏㄧㄏㄨㄉ	亞希忽
ahiman	ahiman	a-h-ē-m-a-n	ㄚㄏㄧㄇㄢ	亞希幔
ahiezer	ahiezer	a-h-ē-e-z-e-r	ㄚㄏㄧㄝㄗㄝㄖ	亞希以
ahijah	ahijah	a-h-ē-y-a-h	ㄚㄏㄧㄡㄚㄏ	亞希亞
