och	and
inskrevs	was enrolled
inskjutningar	insertions
insjuknat	diseased
insisterar	insists
insiktAnnan	insightOther
insidanKanske	the inside Maybe
insen	already
insektssvärmar	swarms of insects
insegler	seals
insatt för	committed to
insamlingshögtid	fundraising holiday
insamlingens	of the collection
insamlingenPaulus	the collectionPaulus
insamlas	is collected
inräknas	is included
inriktningar	orientations
inriktar	orients
inresen	the entry
inredningen	the interior design
inramning	setting
inramas	be framed
inramades	was framed
inpräglade	imprinted
inprägla	inculcate
inplantade	implanted
innästlat	nested
innästla	nestle
innhehåll	content
inneslöto	enclosed
inneslutna	enclosed
inneslutet	enclosed
inneslutas	be enclosed
innerplagg	inner garment
innerligen	inwardly
innerligaste	innermost
innemurat	immured
innelyckter	interior lights
innelycker	contains
innelycka	inside accident
innelyck	inside accident
innehöllo	contained
innehållit	contained
innehava	possess
innehades	was held
innefatta	include
innebördenTroligen	meaningProbably
inneFikonskörden	inside the fig harvest
inmönstrats	patterned
inmönstras	patterned
inmängd	entered
inmurat	walled in
inlösta	redeemed
inlösningsrättRätt	right of redemptionRight
inlöser	redeems
inlåte	admit
inlåsta	locked up
inläto	let in
inläras	is learned
inländning	citizenship
inloppet	the inlet
inlindad	wrapped up
inlett	initiated
inlemmas	incorporated
inledningsnoter	introductory notes
inledningsnoten	opening note
inledas	is initiated
inlagde	admitted
inköpen	the purchases
inkvartering	accommodation
inkubationstiden	the incubation period
inkrökt	indented
inkräktande	intrusive
inkräfva	collect
inkonsekvent	inconsistent
inkomstskatt	income tax
inkomna	received
inkommet	the income
inkommandes	incoming
inklusiva	inclusive
inkluderat	included
inkluderades	was included
inkl	incl
inkallas	be summoned
inkallade	summoned
initierat	initiated
initiativtagaren	the initiator
initiativtagare	initiator
initiativförmåga	initiative
initialt	initially
initialer	initials
inhöljt	enclosed
inhägnar	enclosures
inhägnaden	the enclosure
inhysesmännen	the housekeepers
inhysesmannen	the lodger
inhyses	housed
inhvärfde	acquired
inhuggen	carved in
inhemtad	collected
inhemta	collected
ingångna	received
ingångens	of the entrance
ingåm	entered into
ingripanden	interventions
ingrip	intervention
ingreppet	the procedure
ingrafvet	engrafted
ingjutit	infused
ingiva	instill
ingifvet	submitted
ingifver	submits
ingifva	submit
ingifta	married
ingetAnnan	nothingOther
ingen otuktig	no fornicator
ingenmansland	no man's land
införskaffar	acquires
införlivade	incorporated
infördt	introduced
införat	introduced
infått	received
infästa	fasten
infunno	info
infrien	the interior
informerad	informed
informellt	informally
informationen	the information
inflyttat	moved in
inflytelserike	influential
inflytandesfär	sphere of influence
inflyta	influence
influerar	influences
influerade	influenced
influera	influence
influenser	influences
inflationen	inflation
inflammatoriska	inflammatory
inflammationer	inflammations
infinner	submits
infektionen	the infection
infekterade	infected
infekterad	infected
infattada	comprehended
infarterna	the entrances
indränkt	soaked
indroppat	instilled
indrivarna	the debt collectors
indrivare	debt collector
indragande	retracting
indoktrinerade	indoctrinated
indoeuropeiskt	Indo-European
indikativa	indicative
indelades	was divided
incestförhållande	incestuous relationship
inböjda	bent in
inbärgades	was collected
inbäras	carried in
inbär	entails
inbäddade	embedded
inbyggerskan	the resident
inbyggaromen	the resident aroma
inbyggarnas	of the inhabitants
inbunden	bound
inbrottHusägare	burglary Homeowner
inblåsa	blow in
inbjuds	are invited
inbjudningskort	invitation card
inbjudningar	invitations
inbjudning	invitation
inbjudne	invited
inbjudits	invited
inbjudande	inviting
inbiten	inveterate
inberättade	reported
inberäknade	included
inberäknad	included
inbergat	embedded
inbergas	contained
inbergar	contains
inbergade	incorporated
inbegripen	included
inaktiv	inactive
inOdlaren	inThe grower
inCa	inApprox
inAnnan	inOther
impulsiva	impulsive
importvara	import goods
imponeras	impressed
imperium	Empire
imperfektum	imperfect
imiteras	imitated
imitatörer	imitators
imaginär	imaginary
ilsknare	angrier
ilskna	angry
ilsket	angry
ilskan	the anger
ilmarsch	forced march
illvillige	malicious
illvillig	malicious
illviljans	of malice
illusionister	illusionists
illsinnade	ill-tempered
illgärningsmän	malefactors
illgärningsmannen	the wrongdoer
illgerningsman	malefactor
illfundig	mischievous
illasinnat	ill-tempered
illasinnade	ill-tempered
iligt	iridescent
ikon	icon
iklädt	wearing
ikläds	get dressed
ihål	hollow
ihågkommit	remembered
ihågkom	remembered
ihågAnnan	rememberAnother
ihoprullad	rolled up
ihjälstungne	heavy to death
ihjälslås	kill lock
ihjälslå	beat to death
ihjälsloge	death lodge
ihjälslog	beat to death
ihjälrifven	ripped to death
ignorerat	ignored
ignoreras	is ignored
ighet	ighness
igenvända	turn again
igentäppte	clogged
igentäppta	clogged
igentäppes	gets clogged
igentäppas	clogged
igentaget	again
igentaga	repeat
igensändt	resubmitted
igensände	resent
igenstår	remains
igenstoppat	clogged
igenstoppa	clog
igenomvandrat	wandered through
igenomsyras	permeated
igenomstungen	pierced
igenomkommer	comes through
igenomgångit	reviewed
igenomborrar	drills through
igenomborrad	pierced through
igenmurat	walled up
igenlöste	resolved
igenlöst	unsolved
igenlösa	resolvable
igenlönt	repaid
igenlåtet	resounded
igenlästa	reread
igenläst	reread
igenlyckte	again succeeded
igenlycker	again succeeds
igenlefves	lived again
igenlefdt	relived
igenlefder	still lives
igenköpt	repurchased
igenkänningspunkter	recognition points
igenkännande	recognition
igenkommelse	return
igenkomme	come again
igenkommandes	recurring
igenkalla	recall
igenhemtat	reacquired
igenhaft	once again
igengifven	reproduced
igengifvandes	reproduced
igengifne	remarried
igenfört	redone
igenförde	performed again
igenföra	redo
igenfått	regained
igenfyllt	refilled
igenfunnen	rediscovered
igenfick	got again
igenfaller	falls again
igenfalla	relapse
igenbyggde	rebuilt
igenbota	cure again
igenblifver	remains
igenblefnom	remained
igenDvs	againIe
igenDetta	again This
igelkottom	the hedgehog
ifråtagne	taken away
ifråtagit	taken away
ifråtager	inquirer
ifråtagas	be questioned
ifråstängda	locked out
ifråskildt	separately
ifrån dig	from you
ifrågasättas	be questioned
ifrågasattes	was questioned
ifrågasatta	questioned
ifråfallen	the fallout
ieseriterna	the Ieserites
idén	the idea
idrottsarenan	the sports arena
idrottsanläggningen	the sports facility
idoghet	diligence
idoges	today
idoga	diligent
idkelighet	idleness
idkeliga	idle
idissling	rumination
idisslarna	the ruminants
idiotAram	idiot Aram
idiom	Idiom
identitetssymbol	identity symbol
identifiering	identification
identifierade	identified
ideliga	sincere
ideellt	ideal
idealisk	ideal
idealet	the ideal
idealbilden	the ideal image
ideala	ideal
iddím	at that time
icketroende	unbeliever
ibland dem	sometimes them
ibisen	the ibis
iakttogs	was observed
iakttaget	observed
iakttagen	observed
iaden	the iad
iJudaTrots	iJudaDespite
hövitsmannens	the chief officer's
hövdings	chief
hövdingdottern	the chief's daughter
hövdingarGrundtextens	chieftains of the Basic Text
hövdingarAnnan	chiefsOther
hövan	the hoof
höststormarna	the autumn storms
höstskörden	the autumn harvest
höstregnetAnnan	the autumn rainOther
hösthögtid	autumn festival
höstenom	by autumn
höstdagjämningen	autumnal equinox
hörslen	hearing loss
hörsammen	listen together
hörsammades	were listened to
hörom	listen
hörntofsenEn	the corner tuft One
hörntofsarna	the corner tufts
hörntofsarBars	corner tuftsBars
hörnstoder	corner posts
hörnportenom	corner doorman
hörngårdar	corner yards
hörnestenen	the cornerstone
hörner	corners
hörneporten	the corner gate
hörnaporten	the corner gate
höret	heard
hördom	hearing
höran	hearing
hörAnnan	hearOther
hönsgälden	the chicken debt
hönonäste	hen's nest
höjts	raised
höje	height
höjdsträcka	height distance
höjdskillnad	height difference
höjdernaJesajarullen	the heights the Isaiah scroll
höjdernaAlltså	the heightsSo
höjderHär	heightsHere
höjderEn	heightsOne
höjdenHebr	the heightHeb
höjdars	height's
högvuxna	tall adults
högtuppsatta	high-ranking
högtprisade	high priced
högtoppigt	high peaked
högtlovat	promised
högtidsåret	the festive year
högtidsvaka	holiday vigil
högtidsturban	festive turban
högtidssammankomst	holiday gathering
högtidspsalm	festive hymn
högtidsplats	place of celebration
högtidsmånad	holiday month
högtidsmat	festive food
högtidsklädningar	festive wear
högtidskläderna	the festive clothes
högtidsfirande	holiday celebration
högtidsfest	holiday party
högtidsdagom	holidays
högtidsdagars	holidays
högtidsdagarDen	feast daysThe
högtidscykeln	the holiday cycle
högtids	holiday
högtidomen	the holiday
högtidlighålls	celebrated
högtides	holiday season
högtider 	holidays 
högtidernas	of the holidays
högtidernaVid	the holidaysVid
högtidernaAtt	the holidaysAtt
högtidenes	of the holidays
högtideligan	holiday league
högtidPå	holidayOn
högtidOklart	holidayUnclear
högtbenådade	highly favored
högtNästan	loudAlmost
högstes	highest
högslätt	high plain
högsinthet	arrogance
högsabbater	high sabbaths
högsabbat	High Sabbath
högrep	high rope
högprisade	highly priced
högplatå	plateau
högo	high
högmägtige	Highness
högmodsfrukt	pride fruit
högmods	high fashion
högmodens	haute couture
högmodades	was highly fashionable
högläste	read aloud
högläser	reads aloud
högläsas	read aloud
högläsa	read aloud
höglänta	highland
högländer	highlands
högljuttAndra	loudOther
högland	Highland
höghetstid	heyday
högguden	the high god
högge	chopped
högfärdigom	highly skilled
högfärdiges	proud
högerhanden	right hand
högerFörknippades	rightLinked
högenom	through the pile
högd	height
högaktat	esteemed
högakta	esteem
högaffel	pitchfork
högNästan	highAlmost
högAndra	highOther
höfvitsmännernas	of the court wise men
höfvitsmansens	the court white manse
höfvitsmans	court white man's
höfveligom	court body
höftskada	hip injury
höftsene	hip tendon
höftsena	hip tendon
höftmuskeln	hip muscle
höftenUttryck	hipExpression
höftSymbolisk	hipSymbolic
höflar	planers
höfladt	courted
höflad	planed
höfdingen	the chief
höfdingarna	the chiefs
höfdingan	the chieftain
höfdingakosten	the chieftain's diet
höfdingakoste	chief diet
höfdinga	chieftain
höfdes	was raised
höfde	head
håruppsättningarBland	hairstylesAmong
håruppsättning	hairstyle
hårsvall	hair fall
hårsmån	fine hair
hårmantelEn	hair coatA
hårmantelAntingen	hair coatEither
hårman	hair man
hårkläder	hair clothes
hårige	hairy
hårdrog	hair drug
hårdnackat folk	stubborn people
hårdhetena	the hardnesses
hårdheten	the hardness
hårdes	hardened
hårdeligen	harshly
hårdast	hardest
hårdaAnnan	hardOther
hårUttryck	hairExpression
hårTecken	hair signs
hånskratt	derisive laughter
hånord	insulting words
hånleenden	sneers
hånet	the mockery
hånarna	the taunts
hånarens	mocker's
hånandet	the taunting
hånades	was mocked
hånaAnnan	tauntAnother
hålväg	gorge
hålorna	the dens
hålogan	hollow log
hållna	held
hållarena	the holder
hållaAnnan	holdOther
hågen	Hågen
håfvors	hopefully
håfvom	although
häxor	witches
häxkonsternas	of witchcraft
häxkonster	witchcraft
hävt	raised
hätskt	fierce
hätskhets	ferocity
hätskeliga	vile
hästvagn	horse carriage
hästomen	horse omen
hästom	on horseback
hästkapplöpningsbana	horse race track
hästfolk	horse people
hästdragna	horse drawn
hästavel	horse breeding
hästaportens	horse appurtenances
hästaportenom	horse rental
hästaporten	the horse aport
hästahofvar	horse hoof each
häröfver	over here
häråt	this way
härutu	out here
härutföre	hereafter
härsmagten	the armed forces
härskarinnan	the mistress
härskarans	of the ruler
härskaraSärskilt	ruleEspecially
härskaraStjärnorna	rule the stars
härskaraHebr	ruleHeb
härskande	ruling
härolden	the herald
härnedifrån	from below
härnadståg	raid train
härnad	raided
härmade	mimicked
härlägre	below
härlighetskeruber	cherubim of glory
härlighetshopp	hope of glory
härlighetena	the glories
härlighetAnnan	gloryOther
härleds	derived
härjareEn	ravagerOne
härjadt	ravaged
härifrånTroligen	from hereProbably
härifrånDetta	from hereThis
härhöfvitsmännerna	the court white men
härhöfvitsmän	army officers
härförut	before this
härförstar	here first
härförstan	here first
härförinnan	before this
härfärd	trip here
härfram	henceforth
härfolket	army people
häremot	towards here
härefterJosua	hereafter Joshua
härdig	hardy
härderna	the hearths
härdarna	the hearths
härbärgerar	shelters
härbärgera	shelter
härbärgeAnnan	shelterOther
härStjärnor	hereStars
härGudomligheter	hereDivinities
härFarao	herePharaoh
härEnligt	According to here
häpnat	astonished
hänvisningen	the reference
hänvisas	is referred
hänvisa	refer
häntAnnan	happenedOther
hänsynsfulla	considerate
hänsynsfull	considerate
hänskjutas	referred to
hängåven	the dedication
hängsler	braces
hängre	hanger
hängivenhetAnnan	devotionOther
hängivelse	devotion
hängdas	hanged
hängare	hanger
hängan	the pendant
hänförda	enraptured
hänförd	rapt
hänförande	captivating
hänför	captivates
händerʼ	hands'
händernaOrdagrant	hands Verbatim
händerKan	handsCan
händerDen	happens
händerDe	they happen
händelseutvecklingen	the course of events
händelsens	of the event
hämtningsförfaranden	retrieval procedures
hämningslöst	unrestrained
hämningslöshet	incontinence
hämningslösa	unrestrained
hämnes	avenged
hämnens	revenge
hämndlystne	vengeful
hämndgirighet	vindictiveness
hämndgiriga	vengeful
hämndenCiteras	revengeQuoted
hämndekriget	the revenge war
hämndedagar	days of revenge
hämndbegär	desire for revenge
hämndatid	revenge time
hämndaktioner	revenge actions
hämndadagarne	the days of revenge
hämndadagar	days of revenge
hämmade	inhibited
hälsomedel	health remedies
hälsningsskänkerna	the greeting gifts
hälsningsskänker	gift of greetings
hälsingar	greetings
hälsans	of health
hälsan	the health
hälsadeOrdagrant	greeted verbatim
hälsaDen	greet it
hällar	pouring
hälfte	half
hälaren	the healer
hälar	heels
häktningstillstånd	detention order
häktesorder	detention order
häktelset	arrest warrant
häktats	detained
häktat	detained
häktades	was detained
häktade	detained
häktad	detained
hägren	the heron
hägnader	enclosures
hägna	fence
häfvobogarna	the lever archers
häfoffrar	sacrifices
häfoffrade	sacrificed
häfoffersbogenom	sacrificial book genome
häfningar	withdrawals
häfning	lifting
häfne	revenge
hädelserna	the blasphemies
hädelsenamn	blasphemous name
hädarna	the blasphemers
hädantagit	blasphemous
hädantagen	blasphemous
hädanfärd	henceforth
hädanfara	henceforth
hädanfar	henceforth
häcklat	heckled
häcklaren	the heckler
häcklare	heckler
häckarna	the hedges
hyÄven	hy Even
hysteriskt	hysterically
hyss	hush
hysop	hyssop
hyreshus	apartment house
hyresbostad	rental housing
hyrdes	was rented
hyrda	rented
hyraxens	the hyrax
hyras	rented
hypovolemisk	hypovolemic
hypotetisk	hypothetical
hyperbol	hyperbole
hyllningståget	the tribute train
hyllningsoffer	tribute offering
hyllningskyssMan	tribute kissMan
hyllningsgåva	tribute gift
hyllningsdikt	tribute poem
hyllningen	the tribute
hyllat	acclaimed
hyllades	was celebrated
hygieniskt	hygienic
hygienisk	hygienic
hygienartiklar	hygiene articles
hygien	hygiene
hyddors	of huts
hyddorNordarabisk	hutsNorth Arabian
hyddorAvlägsna	hutsRemote
hyddones	the huts
hyddomen	the shrine
hyddas	hut
hyddan	the hut
hyddaTillfälligt	hutTemporary
hyckleriets	of hypocrisy
hycklarnaAnnan	the hypocritesOther
hycklaren	the hypocrite
hycklareAnnan	hypocriteOther
hvässt	whistling
hvässat	shrill
hvärfvel	where ever
hvälfver	vaults
hvälfdom	vaulting
hvitna	whiten
hvitmenada	whitmenada
hvitlök	garlic
hvitare	whiter
hvisslande	whistling
hviskande	whispering
hvilte	rested
hvilos	rest
hvilketdera	which one
hvilkensderas	whose race
hvilan	the rest
hvifvar	why?
hveteskördene	the wheat harvests
hvetes	of wheat
hvetemjöl	wheat flour
hvetekärfve	wheat sheaf
hvetekornet	the grain of wheat
hvetehop	wheat heap
hveteandena	the wheat spirits
hvekar	howls
hvasst	sharp
hvaruti	in which
hvarpå	whereupon
hvarannat	each other
hvaraf	of which
hvalfiskens	of the whale
hvalfisken	the whale fish
hvalfiskarna	the whalers
hvalfisk	whale fish
hvalar	whales
huvudänden	head end
huvudändeAnnan	main endOther
huvudände	head end
huvudvärk	headache
huvudvägarna	the main roads
huvudvägar	main roads
huvudväg	highway
huvudverben	the main verb
huvuduppgift	main task
huvudteman	main themes
huvudtema	main theme
huvudtanke	main idea
huvudtankar	main thoughts
huvudstycke	main piece
huvudstupa	main stupa
huvudskörden	the main harvest
huvudsak	main thing
huvudproblemet	the main problem
huvudpoängen	the main point
huvudpersoner	main characters
huvudperson	protagonist
huvudmålet	the main goal
huvudmännens	of the principals
huvudmänSe	principalsSee
huvudkudde	head pillow
huvudkategorier	main categories
huvudingången	the main entrance
huvudingångarna	the main entrances
huvudgudstjänsten	the main service
huvudgudar	main gods
huvudgrupperna	the main groups
huvudgatorna	the main streets
huvudgator	main streets
huvudetUttryck	headExpression
huvudetUnder	the headUnder
huvudetSorgegest	the headGrief gesture
huvudetNågot	the headSomething
huvudetKvinnlig	headFemale
huvudetDen	the headThe
huvudenFör	headsFor
huvudenDvs	the headsIe
huvuddukar	headscarves
huvuddelarna	the main parts
huvuddelar	main parts
huvudbudskapet	the main message
huvudargument	main argument
huvudaktörerna	the main actors
huvudVara	mainItem
huvudUppfriskande	main Refreshing
huvudFör	mainFor
huvudDvs	mainIe
huvudAnnan	mainOther
hus 	House 
husäran	the house honor
husägare	home owner
husvillhets	homelessness
husvillhet	homesickness
hustyg	house cloth
hustruÄven	wife too
hustrurÄktenskap	wivesMarriage
hustrurnas	wives'
hustrurPolygami	wivesPolygamy
hustrunes	wife's
hustruSamlag	wifeIntercourse
hustruKunde	wifeKunde
hustruEn	wifeA
hustruAvhållsamhet	wife Abstinence
hustjänare	house servant
hustjenare	house servant
husslav	house slave
husport	house gate
husmödrar	housewives
husmanne	householder
hushållsvaror	household goods
hushållstjänare	domestic servant
hushundar	domestic dogs
husherrar	masters of the house
husgudsdyrkan	house worship
husgudenHebr	household godHeb
husgudarnas	of the household gods
husgudarnaStatyetter	house godsStatues
husgudarnaHebr	household godsHeb
husgudarHebr	household godsHeb
husförstan	the first of the house
husförsamlingarna	the house assemblies
husförsamlingar	house assemblies
husförsamling	house assembly
husdjurs	pet's
husbyggaren	the house builder
husbonde anlade	master landscaped
husbondas	householder's
husbondans	husband's dance
husaktiga	homely
husTroligen	houseProbably
husStadens	house of the city
husSalomo	house Solomon
husOffertjänsten	houseThe victim service
husNordriket	houseNorth Kingdom
husNordrikeskungarnas	house of the Nordic kings
husNineves	house of Nineveh
husNamnet	houseName
husKanske	houseMaybe
husHär	houseHere
husGrek	houseGreek
husDvs	houseIe
husCa	houseApprox
husAnnan	houseOther
husAndra	houseOther
hurudane	how
hungrogom	hungry
hungrogo	hungry
hungroge	starving
hungrens	of hunger
hungerårenCa	the famine yearsApprox
hungerårTack	famine yearThank you
hungersnöds	famine
hungersnödens	of the famine
hungeren	the hunger
hungerAnnan	hungerOther
hundraåring	centenarian
hundratjugotre	one hundred and twenty three
hundratjugoNästan	one hundred and twentyAlmost
hundrasextio	one hundred and sixty
hundrafyrtiosju	one hundred and forty seven
hundrafyrtio	one hundred and forty
hundradefald	hundredfold
hundradedelen	the hundredth
hundpenningar	dog money
hundomen	the dogdom
hundens	the dog's
hunddjur	canine animal
hundapenningar	dog money
hundahufvud	dog head
hundVanligt	dogCommon
humöret	the mood
humanismen	humanism
hum	hmm
huldhet	filthiness
hukade	crouched
huj	whoa
hugsvalelsens	of the mind
hugsvalelsen	the brainstorming
hugsvale	choice of mind
hugsvalaren	the lumberjack
hugnesamma	thoughtful
hugne	hunk
hugnas	piled up
huggormagalla	viper gall
huggormaförgift	viper poison
huggormaetter	viper eaters
huggerAndra	choppingOther
huggande	stabbing
hufvudsummona	the main summons
hufvudsumman	the principal amount
hufvudstadenom	about the capital
hufvudsmoget	head matured
hufvudskålena	the head bowls
hufvudskallen	the skull
hufvudskalk	main lime
hufvudkläde	headdress
hufvudhåret	scalp hair
hufvudgärd	main purpose
hufvudfloder	main rivers
hufvudens	of the scalp
hufvude	head
hufvudbonaden	the headdress
hufvudbonad	headdress
hufvorna	the hoods
huflängas	hooded
hufamiterna	the Hufamites
hudömsning	skin irritation
hudinfektion	skin infection
hudfärgen	skin color
hudflängan	the patch of skin
hu	huh
hovtrampet	hoof stomp
hovtitel	court title
hovstat	court state
hovspråk	court language
hovslagen	the hoof beat
hovmästarenAnnan	the butlerAnan
hovmän 	courtiers 
hovmans	courtier's
hovmannenOmnämnd	the courtier Mentioned
hovmanDvs	courtierIe
hovmanAnnan	courtierOther
hovets	of the court
hovdam	court lady
hotfull	threatening
hoten	the threats
hotad	threatened
hoshía	hoshia
horéen	the whore
horors	whores
horohuset	whore house
horohus	brothel
horobarn	whore child
hornsymboliserar	horns symbolize
hornsignalerna	the horn signals
hornom	horn
hornförsett	horned
hornAnnan	hornOther
horkonones	Horkonones
horkarlen	the adulterer
horkarlars	adulterer's
horeernaTroligen	the whoresProbably
horeen	the whore
horanAssyriernas	the harlot of the Assyrians
hopvecklad	convoluted
hoptals	hope speech
hopsätten	put together
hopsätta	put together
hopsvetsad	welded together
hopspinner	hopscotch
hopspinna	hopscotch
hopsmider	hop smiths
hopsamlas	gather together
hopsamlar	collects
hoprullas	rolled up
hoprulla	roll up
hoppressad	compressed
hoppoms	together
hopplös	hopeless
hopplock	jump cap
hoppandes	hopefully
hoppadoms	hopefully
hoppadesAnnan	hopedAnan
hoppAnnan	hopeOther
hopnysta	scrunch up
hopkrumpen	the shriveled up
hopkok	concoction
hopgöra	get together
hopförde	brought together
hopföra	bring together
hopfällbara	collapsible
hopfogad	joined together
hopflickade	huddled together
hopenIcke	the heapNot
hopbunden	bound together
hopHebr	hopHeb
honungskakor	honey cakes
honungsdagg	honeydew
honungKan	honeyCan
honungGoda	honeyGood
honungDet	honey It
honom 	him 
honomˮ	him".
honom illa	him badly
honom för	him for
honomSymbol	himSymbol
honomSe	himSee
honomNågra	himSome
honomKänd	known to him
honomKung	himKing
honomKanske	himMaybe
honomFörutom	himBesides
honomEn	himOne
honomDvs	himIe
honomDen	him that
honomBarnoffer	himChild sacrifice
honan	the female
honStäder	sheCities
honSannolikt	sheProbably
honAndra	sheOther
homogent	homogeneous
hometdjuret	the domestic animal
homerMotsvarar	homer Corresponds to
homerCa	homerApprox
holon	holo
hofverar	courtiers
hofvera	courtier
hofmästarenom	court master's name
hoen	the hen
hodá	hoda
hjässaAnsågs	hässaConsidered
hjärtslitande	heartbreaking
hjärtlöst	heartless
hjärtlighet	bonhomie
hjärtkakor	heart cookies
hjärteoro	heart trouble
hjärtelängtan	heart longing
hjärtegrunden	heart foundation
hjärteglad	happy heart
hjärta 	heart 
hjärtanAnnan	heartsOther
hjärtanAndra	heartsOther
hjärtaVissa	heartSome
hjärtaStår	heartStanding
hjärtaAndra	heartOther
hjältens	the hero's
hjältemodiga	heroic
hjältarnaSe	the heroesSee
hjältarSe	heroesSee
hjälpverksamheten	the aid activities
hjälpsam	helpful
hjälps	help
hjälpreda	helper
hjälplöst	helpless
hjälpljus	auxiliary light
hjälpinsatser	relief efforts
hjälpas	help each other
hjulspår	wheel tracks
hjuls	wheels
hjulringar	wheel rings
hjulnav	hub
hjulaxlar	wheel axles
hjortafötter	deer feet
hjortAlltså	Deer So
hjordsens	herd sense
hjordom	herd
hjordmarken	the herd land
hjordemark	herd land
hjordarnas	of the herds
hjessan	hey
hjertom	to the heart
hjerto	heart
hjerla	heart
hjeltasvärd	heroic sword
hjeltarna	the heroes
hjelta	hero
hjelps	help
hjelparen	the helper
hjelpande	helpful
hiveernaFolk	the hive people
hitkomne	arrived here
hitkommo	came here
hithörande	belonging here
hitflyttade	moved here
hitOrdspråket	hit the Proverb
hitDe	hit them
historiskt	historically
historieskildring	historical narrative
historiens	of history
historiaHebr	historyHeb
hissa	hoist
hippodromen	the hippodrome
hinnom	over
hinno	now
hinnan	membrane
hink	bucket
hinderfat	obstacle course
hindena	the membranes
himmelstecknen	the celestial signs
himmelsbrödet	the heavenly bread
himmels	heavenly
himlen 	the sky 
himlenPåminner	the skyReminds
himlenGuds	God's heaven
himlenDessa	the skyThese
himlaljus	sky light
himlakropparnaAnnan	celestial bodiesOther
himlafenomenet	the sky phenomenon
himlafenomen	celestial phenomenon
himla	heavenly
hieroglyfer	hieroglyphs
hierarki	hierarchy
heveriterna	the Heverites
hettitiska	Hittite
hettiterna 	the Hittites 
hettit	hot
hettans	the heat
hettanom	hot name
hettande	hot
hetsaAnnan	inciteOther
hetros	heterosis
hetiternaFolk	the HittitesPeople
hetes	was called
heten	the heat
hetas	is called
hetareEtt	hotterOne
herreSe	sirSee
herreOrdagrant	sir Verbatim
herreHebr	lordHeb
herreDen	lordDen
herraspiror	men's spires
herraspiro	men's spiro
herrar 	gentlemen 
herradömes	of lordship
herrabarnom	Mr. Son
heroiska	heroic
herodianska	Herodian
hermeneutik	hermeneutics
herm	her
heretisk	heretical
heretiker	heretic
herdom	herdsmanship
herdeuppgift	pastoral task
herdestavar	shepherd's staff
herdestam	shepherd tribe
herdenAnnan	the shepherdAnother
herdekungar	shepherd kings
herdefolks	shepherd's people
herdefolken	the shepherd people
herdeflöjter	shepherd's flutes
herdeavtal	herding agreement
herdeAnnan	shepherdOther
herdastaf	shepherd's staff
herdaskräppona	the shepherd's trash
herdanom	shepherd name
herdahuset	the shepherd's house
herdahusen	the shepherd houses
herberger	hostels
herbergena	the hostels
herbergat	sheltered
herbergare	innkeeper
herbergadom	hostelry
henokiterna	the Henokites
henneSkamstraff	her Shame punishment
henneSamaria	her Samaria
henneMot	against her
henneJfr 	herCf
henneGenom	herThrough
henneDet	herIt
hennablommorVita	henna flowersWhite
hem 	Home 
hemvändande	homecoming
hemtas	fetched
hemtande	fetching
hemtam	domestic
hemtaden	hometown
hemsökningsår	search year
hemsökningenes	of home searches
hemställde	domesticated
hemställa	bring home
hemstadʼ	hometown'
hemskheter	horrors
hemprovins	home province
hemmagjord	homemade
hemmabas	home base
hemlöse	homeless
hemlighöll	kept secret
hemlighållet	kept secret
hemlighåller	keeps secret
hemlighetsväsen	secrecy
hemlighetHemligheten	secretThe secret
hemlighetAndra	secretOther
hemlands	homeland
hemkommen	returned home
hemkomma	come home
hemförandet	the home delivery
hemföll	fell home
hemfärden	the journey home
hemfara	home danger
hembesök	home visit
hemarbetande	homework
hemUnder	homeUnder
hemOrden	Home Order
helveteskval	torment of hell
heltäckande	comprehensive
heltid	full time
heltAndra	completelyOther
helstEn	preferably one
helsone	helson
helsobrunnomen	the health profession
hellenistiskt	Hellenistic
hellenismens	of Hellenism
helighetsregler	sanctity rules
helighetenes	of the saints
heligheten	the sanctity
heliges	sanctified
heligaʼ	holy'
heliga i Kolosse	saints in Colossae
heligAnnan	sacredOther
helgårs	holiday season
helgerånare	sacrilege
helgelseprocessen	the sanctification process
helgelsen	the sanctification
helgedomsskänker	shrine giver
helgedomshus	shrine house
helgedomVersen	shrineVerse
helgedomBetels	sanctuary betel
helgedagsnatt	holiday night
helgandet	the sanctification
helgande	sanctifying
helgamanna	saints
helgadom	shrine
helgader	holidays
helgaden	the holiday
helgadagomen	the holy day
helekiterna	the Hellekites
heldegom	fortunately
helandeundren	the healing wonder
helan	whole
hej	Hello
hehöllo	hello
hegemoneúontos	hegemoneúontosis
heferiterna	the Hepherites
hedren	the honor
hedrat	honored
hedningkristna	Gentile Christians
hednavärlden	pagan world
hednastaden	the pagan city
hednaprofeten	the heathen prophet
hednakristen	pagan christian
hednaförsamlingar	pagan congregations
hedmarkskananéernas	of the heath Canaanites
hedmarkena	the moors
hedmarkenMoabs	the heath of Moab
hedersvakt	honor guard
hedersman	man of honor
hederskrona	crown of honor
hedersgåfvo	gift of honor
hedersbevis	certificate of honor
hedersbetygelse	honorary degree
hedersamme	honorable same
hedersam	honorable
hederliges	honorably
hederFörsamlingens	honor of the congregation
hedena	the heath
hebreisktalandeMånga	Hebrew speakingMany
hebreisktalade	Hebrew speakers
hebreiskas	of Hebrew
hebreerHebreisktalande	HebrewsHebrew speakers
hebreen	Hebrew
havsvidundret	the sea wonder
havsvidunder	sea ​​wonder
havsstrand	sea ​​beach
havssnäckor	sea ​​shells
havssnäcka	sea ​​shell
