از	From	z
مخالفانم	My opponents	mkhlfnm
خشونتکار	Violent	khshwntkhr
رهایی‌ام	My liberation	rhyym
بهر	Good	bhr
نامت	Your name	nmt
سرایید	Sing	sryyd
پیروزیهای	Victories	pyrwzyhy
نماد	Symbol	nmd
اوج	Peak	wj
کاملان	Completely	khmln
قوزک	Ankle	qwzkh
مخاصمات	Conflicts	mkhSmt
ممتاز	Excellent	mmtz
مزمورسرای	Psalms	mzmwrsry
شیرین	Sweet	shyryn
گفت؛	He said;	gft;
زبانم	My language	zbnm
خداترسانه	God-fearing	khdtrsnh
برانَد،	Brand,	brnad,
پرتوهای	Rays	prtwhy
برقِ	Electricity	brqi
سبزه‌های	Greens	sbzhhy
شکوفه	Blossom	shkhwfh
نشانید؟	Did you see it?	nshnyd?
خارند	Kharan	khrnd
چوبِ	Wood	chwbi
گردد؛	To be	grdd;
دلاوران	Braves	dlwrn
دلاورانی	Braves	dlwrny
یوشیب‌بَشِبِتِ	Yoshib-bashbet	ywshybbashibiti
تَحکِمونی	Arbitrary	taHkhimwny
مصافی	Masafi	mSfy
دودو	Dodo	dwdw
برگشتند،	They returned,	brgshtnd,
آجیِ	Aji	ajyi
هَراری	Harari	harry
لِحی،	Lehi,	liHy,
وسط	Middle	wsT
محصول،	Product,	mHSwl,
رفتند؟	Did they leave?	rftnd?
ورزیده‌اندام	My body is trained.	wrzydhndm
حَرودی،	Haroudi,	Harwdy,
اِلیقای	Eliqa	ilyqy
فَلْطی،	Falti,	falTy,
مِبونّایِ	Possible	mibwnWyi
صَلمونِ	Salmon	Salmwni
نِطوفایی،	Netophathite,	niTwfyy,
حالِب	Aleppo	Hlib
هِدّای	Heday	hidWy
اَبی‌عَلبونِ	Abu Albun	aby`albwni
بَرحومی،	Barhomi,	barHwmy,
اِلیَحْبایِ	Eliabbai	ilyaHbyi
یاشِن،	Yashen,	yshin,
شَمَّۀ	Shammah	shamaWhy
شارارِ	Sharar	shrri
اَحَسبای	Ahsabai	aHasby
اِلیعام	Eliam	ily`m
حِصروِ	Hesro	HiSrwi
فَعَرایِ	The Pharaonic	fa`aryi
اَربی،	Arby,	arby,
یِجال	Yejal	yijl
جادی،	Jadi,	jdy,
بِئیروتی،	Beirut,	biy'yrwty,
سِبِکای	Sebkay	sibikhy
ساکار	Sakar	skhr
حِصْرای	Hisra	HiSry
تَحتیمِ	Conclusion	taHtymi
حودْشی	Hodshi	Hwdshy
خـود	Self	khwd
دان‌یَعَن	Danyan	dnya`an
کنعانیان	Canaanites	khn`nyn
شجاعِ	Brave	shj`i
معذب	Uneasy	m`dhb
ورزیدم	I practiced.	wrzydm
سرزمینت	Your land	srzmynt
عارض	Applicant	`rD
بگریزی،	Escape,	bgryzy,
بسنج	Measure	bsnj
بَرم	Barium	barm
اُفتیم	We fell.	uftym
معین،	Moein,	m`yn,
اَرونَۀ	Arunaha	arwnahy
بخرم	Buy	bkhrm
برگیرد	Take it back	brgyrd
پادشاها،	Kings,	pdshh,
دیرزمانی	Long time ago	dyrzmny
پسرانی	Boys	psrny
نخست‌زاده‌اش،	His firstborn,	nkhstzdhsh,
کیلِآب	Killab	khyliab
تَلمای	Talmud	talmy
اَبیطال	Abital	abyTl
ششمین،	Sixth,	shshmyn,
یِترِعام	Ithream	yitri`m
مادامی	As long as	mdmy
مُتَعِه‌ای	A pleasure	muta`ihy
شدی؟	Are you done?	shdy?
می‌پنداری؟	Do you think so?	mypndry?
خطاکاری	Mistake	khTkhry
نرسانم	I will not deliver.	nrsnm
نساخته،	Not made,	nskhth,
برگردانم	Give me back.	brgrdnm
فَلطیئیل،	Paltiel,	falTyy'yl,
نظرِ	Opinion	nZri
ببندند،	Close,	bbndnd,
لحظه،	Moment,	lHZh,
برود؟	Go?	brwd?
شدِ	became	shdi
دریابد،	Find out,	drybd,
سیرَه	Sira	syrah
گوید؛	He says;	gwyd;
سلطنتم	My kingdom	slTntm
عفونت	Infection	`fwnt
درمی‌آید،	It turns out,	drmyayd,
برادرشان	Their brother	brdrshn
پوشیده،	Wearing,	pwshydh,
پادشاهْ	The king	pdshh
می‌مُرد؟	Is he dying?	mymurd?
دستهایت	Your hands	dsthyt
زنجیر؛	Chain;	znjyr;
فرو افتادی	You fell.	frw ftdy
فرو افتد	To collapse	frw ftd
بخورد؛	Eat;	bkhwrd;
فرمانده	Commander	frmndh
ناتوانم	I am unable.	ntwnm
برنمی‌آیم	I'm not coming back.	brnmyaym
شرارتش	His wickedness	shrrtsh
ترشحات	Discharge	trshHt
امراض	Diseases	mrD
جنسی	Sexual	jnsy
باخت	Loss	bkht
پریشان‌خاطر	Distraught	pryshnkhTr
رِمّونِ	Remoon	rimWwni
بِئیروت	Beirut	biy'yrwt
بِئیروتیان	Beiruti	biy'yrwtyn
جِتّایم	Gethaim	jitWym
گزیده‌اند	They have chosen	gzydhnd
لنگ	Lame	lng
می‌گریخت،	He was running away,	mygrykht,
بَعَنا،	Baana,	ba`an,
گرمترین	The warmest	grmtryn
نیمروزیِ	Noon	nymrwzyi
بهانۀ	Excuse	bhnhy
بَعَنَه	Baanah	ba`anah
خوابگاهش	His dormitory	khwbghsh
پیمودند	They walked	pymwdnd
نسلش	His generation	nslsh
رهانیده،	Liberated,	rhnydh,
خبرش	What's up?	khbrsh
جسدشان	Their bodies	jsdshn
حوضِ	The pond	HwDi
کوران	Blind	khwrn
شلان	Shellan	shln
می‌اندیشیدند	They were thinking	myndyshydnd
آوَرَد،	Award,	awarad,
مجرای	Duct	mjry
شلانی	Shelani	shlny
داوودند،	Davidand,	dwwdnd,
بتازد	To beat	btzd
درآیند	Come in	draynd
وادیِ	Valley	wdyi
سیلابها	Floods	sylbh
می‌خروشند،	They roar,	mykhrwshnd,
بَرمَیا،	Burma,	barmay,
بَلَسان	Balsam	balasn
بشتاب،	Hurry up,	bshtb,
بخشهای	Sections	bkhshhy
فرو رفته‌ای	You are sunk.	frw rfthy
همسطح	Level	hmsTH
مجاور	Adjacent	mjwr
بَعَلی‌یهودا	Baal-Judah	ba`alyyhwd
مُسَمّی	Seasonal	musamWy
بَربَط	Harp	barbaT
دَف	Tambourine	daf
دُهُل	Dhol	duhul
سَنج	Scale	sanj
ناکُن	Nakon	nkhun
بی‌حرمتی‌اش	His disrespect	byHrmtysh
بیاورد،	Bring,	bywrd,
حاملانِ	Carriers	Hmlni
خیزکنان	Rising	khyzkhnn
می‌رقصد،	Dancing,	myrqSd,
رفاقت،	Friendship,	rfqt,
عوام،	The common people,	`wm,
بی‌جامه	Shirtless	byjmh
انظار	Attention	nZr
پایکوبی	Footsteps	pykhwby
کنیزانی	Concubine	khnyzny
وفاتش	His death	wftsh
براساس	Based on	brss
اَدَوات	Adversity	adawt
خطایش	His mistake	khTysh
خرما	Dates	khrm
بیارامی،	Illness,	byrmy,
تنَت	Tenet	tnat
تازیانه‌های	Whips	tzynhhy
بنی‌آدم	Humans	bnyadm
ادب	Politeness	db
سلطنتت	Your kingdom	slTntt
معمول	Common	m`mwl
آگاهانیده‌ای	You have informed.	aghnydhy
درنسخۀ	In the version	drnskhhy
مِتِگ‌اَمّاه	Metagamama	mitigamWh
صفِ	The queue	Sfi
خوابیدگان	The sleeping ones	khwbydgn
طولِ	Length	Twli
کُشتن	Killing	khushtn
باتَه	Bata	btah
بیروتای،	Beirut,	byrwty,
توعی،	Toui,	tw`y,
توعی	Towi	tw`y
سلطه‌اش	His dominance	slThsh
رِحوب،	Rehob,	riHwb,
نمک،	Salt,	nmkh,
وزیران	Ministers	wzyrn
کُن	Con	khun
برنز	Bronze	brnz
هِدورام	Hedoram	hidwrm
متنهای	Texts	mtnhy
قضا،	Judgement,	qD,
خدمتگزاری	Servant	khdmtgzry
لودِبار	Loader	lwdibr
جدّت	Novelty	jdWt
فرمایی؟	Did you say?	frmyy?
نوادۀ	Grandson	nwdhy
سَرورت	Server	sarwrt
زراعت	Agriculture	zr`t
می‌خورْد	Eats	mykhwrd
گایوس	Gaius	gyws
عزیز،	Dear,	`zyz,
دعایم	My prayer	d`ym
تندرستی	Health	tndrsty
بَری،	Barry,	bary,
وفاداری‌ات	Your loyalty	wfdryt
سلوکت	Selukt	slwkht
بشنوم	Let me hear.	bshnwm
کارهایت	Your work	khrhyt
بیگانه‌اند	They are aliens.	bygnhnd
داده‌اند؛	They have given;	ddhnd;
پیشبرد	Advance	pyshbrd
دیوتْرِفیس	Diotrephes	dywtrifys
نمی‌نهد	It doesn't.	nmynhd
مغرضانه	Biased	mGrDnh
بپذیرند،	Accept,	bpdhyrnd,
بازداشته،	Detainee,	bzdshth,
مساز،	Maker,	msz,
گیر؛	Catch;	gyr;
بدکردار	Evildoer	bdkhrdr
دیمیتریوس	Demetrius	dymytryws
مرکّب	Compound	mrkhWb
بزودی	Coming soon	bzwdy
صعود	Ascent	S`wd
تِئوفیلوس،	Theophilus,	tiy'wfylws,
تألیف	Authorship	t'lyf
دادنشان	Giving them	ddnshn
دستورهایی	Instructions	dstwrhyy
کشیدن،	Pulling,	khshydn,
یحیی	Yahya	yHyy
گردانید؟	Did you turn it?	grdnyd?
زمانهایی	Times	zmnhyy
بدانید؛	Know;	bdnyd;
دورترین	Farthest	dwrtryn
نقاط	Points	nqT
می‌نگریستند،	They were looking,	myngrystnd,
شاگردان	Students	shgrdn
دوخته	Sewn	dwkhth
سفیدپوش	White-clothed	sfydpwsh
جلیلی،	Jalili,	jlyly,
دوخته‌اید؟	Have you sewn?	dwkhthyd?
مَتّیاس	Matthias	matWys
موسوم	Known	mwswm
مسافت	Distance	msft
اقامتگاهشان	Their residence	qmtghshn
یوحنا،	John,	ywHn,
آندریاس،	Andreas,	andrys,
فیلیپُس	Philip	fylypus
توما،	Thomas,	twm,
بَرتولْما	Bartholomew	bartwlm
مَتّی،	Matthew,	matWy,
حَلْفای	Half-hearted	Halfy
می‌پیوست	It would join.	mypywst
مدتها	For a long time	mdth
راهنمای	Guide	rhnmy
گرفتارکنندگانِ	The catchers	grftrkhnndgni
پاداشِ	Reward	pdshi
اَمعا	Together	am`
اَحشایش	Intestines	aHshysh
حَقِلْ‌دَما	Our land	Haqildam
مزامیر	Psalms	mzmyr
منزلگاهش	His home	mnzlghsh
متروک	Abandoned	mtrwkh
منصب	Position	mnSb
نظارتش	His supervision	nZrtsh
بوده‌اند،	have been,	bwdhnd,
پیشنهاد	Offer	pyshnhd
بَرسابا	Barsaba	barsb
یوستوس	Justus	ywstws
کدامین‌یک	Which one?	khdmynykh
گیرد،	Take,	gyrd,
برتافت	Berthaft	brtft
مسافتِ	Distance	msfti
کیلومتر	Kilometer	khylwmtr
کُرنِلیوسِ	Cornelius	khurnilywsi
رومی	Roman	rwmy
قیصریه	Kayseri	qySryh
کُرنِلیوس	Cornelius	khurnilyws
هنگ	Regiment	hng
ایتالیایی	Italian	ytlyyy
پرهیزگار	Pious	prhyzgr
مستمندان	The poor	mstmndn
دعاها	Prayers	d`h
صدقه‌های	Charities	Sdqhhy
یادگاری	Souvenir	ydgry
شَمعونِ	Shimon	sham`wni
دَبّاغی	Tannery	dabWGy
دیندار	Religious	dyndr
خَلسه	Khalsa	khalsh
چهارگوشه	Quadrilateral	chhrgwshh
چارپایان	Cattle	chrpyn
نزده‌ام	I haven't.	nzdhm
مخوان	Reading	mkhwn
حیرت	Astonishment	Hyrt
می‌اندیشید،	You would think,	myndyshyd,
جُسته،	Search,	justh,
بنگر،	Look,	bngr,
تردید	Doubt	trdyd
می‌جویید	You are looking for	myjwyyd
آمدنتان	Your arrival	amdntn
بفرستد	Send	bfrstd
شتافت	Rushed	shtft
برخیز؛	Get up;	brkhyz;
گفتگوکنان	Interlocutors	gftgwkhnn
اجنبیان	Strangers	jnbyn
نخوانم	I will not read.	nkhwnm
فرستادید،	You sent,	frstdyd,
اعتراضی	Protest	`trDy
نورانی	Luminous	nwrny
کُرنِلیوس،	Cornelius,	khurnilyws,
صدقاتت	Your charity	Sdqtt
دَبّاغ	Tanner	dabWG
دریاست،	It is the sea,	dryst,
حاضریم	We are ready.	HDrym
تبعیضی	Discriminatory	tb`yDy
بترسد	Be afraid.	btrsd
جلیل	Galilee	jlyl
رواج	Popularity	rwj
ناصری	Nasseri	nSry
شاهدانی	Witnesses	shhdny
نوشیدیم	We drank.	nwshydym
آمرزش	Forgiveness	amrzsh
یهودی‌نژاد	Jewish race	yhwdynjd
تعمیدشان	Their baptism	t`mydshn
گردد؟	Will it be?	grdd?
خواستند	They wanted	khwstnd
نمی‌داند؛	He doesn't know;	nmydnd;
طرفدارانِ	Fans of	Trfdrni
خُرده	Small	khurdh
شوی؟	Are you okay?	shwy?
به‌تفصیل	In detail	bhtfSyl
عالم	World	`lm
موقع،	Time,	mwq`,
مکنم	I will not	mkhnm
درآمدیم	We entered.	dramdym
توبۀ	Repentance	twbhy
اَنطاکیه	Antioch	anTkhyh
آزارِ	Harassment	azri
ماجرای	The story	mjry
استیفان	Stefan	styfn
فینیقیه	Phoenicia	fynyqyh
قپرس	Cyprus	qprs
قیرَوان	Kairouan	qyrawn
گرویدند	They converted.	grwydnd
تارسوس	Tarsus	trsws
سولُس	Solo	swlus
آگابوس	Agabus	agbws
الهامِ	Inspiration	lhmi
کْلودیوس	Claudius	khlwdyws
بفرستند	Send	bfrstnd
هیرودیسِ	Herod	hyrwdysi
یوحنا	John	ywHn
فَطیر	Unleavened bread	faTyr
هیرودیس	Herod	hyrwdys
پِسَخ،	Passover,	pisakh,
محاکمه	Trial	mHkhmh
جدیّتِ	The seriousness of	jdyWti
شبِ	Night	shbi
بکِشد،	Killed,	bkhishd,
درخشید	Shine	drkhshyd
دستهایش	His hands	dsthysh
فرو افتاد	Fell	frw ftd
کمرت	Small	khmrt
بپیچ	Turn	bpych
نمی‌کرد	He wouldn't.	nmykhrd
آهنینی	Iron	ahnyny
کوچه	Alley	khwchh
انتظارش	Waiting for it	ntZrsh
دریافت،	Receive,	dryft,
یوحنای	John	ywHny
کوبید،	Knock,	khwbyd,
خادمه‌ای	Maid	khdmhy
رودا	Rhoda	rwd
بگشاید	Open	bgshyd
شادی،	Happiness,	shdy,
گشودن	Opening	gshwdn
در،	In,	dr,
حین،	During,	Hyn,
سرانجام،	Finally,	srnjm,
گشودند،	They opened,	gshwdnd,
اشارۀ	Hint	shrhy
نمی‌دانستند	They didn't know.	nmydnstnd
اجازۀ	Permission	jzhy
شرفیابی	Honor	shrfyby
بْلاستوس،	Blastus,	blstws,
پیشکار	Waiter	pyshkhr
نُطقی	Pronunciation	nuTqy
ایراد	Problem	yrd
کرمها	Worms	khrmh
منتشر	Published	mntshr
رسانیدند،	They delivered,	rsnydnd,
معلّمانی	Teachers	m`lWmny
برنابا،	Barnabas,	brnb,
نیجِر،	Niger,	nyjir,
لوکیوسِ	Lucius	lwkhywsi
قیرَوانی،	Qayravani,	qyrawny,
مَنائِن	Manaen	many'in
برادرخواندۀ	Stepbrother	brdrkhwndhy
فرا خوانده‌ام	I have called.	fr khwndhm
دعا،	Prayer,	d`,
سِلوکیه	Seleucia	silwkhyh
سَلامیس	Salamis	salmys
کنیسه‌های	Synagogues	khnyshhy
جزیره	Island	jzyrh
درنَوَردیدند	They were defeated.	drnawardydnd
پافوس	Paphos	pfws
بارْ‌یِشوعَ	Bar-Yeshua	bryishw`a
سِرگیوس	Sergius	sirgyws
پولسِ	Paul	pwlsi
عِلیمای	Elimai	`ilymy
آوردن،	Bring,	awrdn,
سولُس،	Solos,	swlus,
ابلیس،	Iblis,	blys,
کج	Crooked	khj
بازنمی‌ایستی؟	Won't you stop?	bznmyysty?
مه	Fog	mh
فرو گرفت،	It sank,	frw grft,
می‌جُست	Looking for	myjust
بنماید	To do	bnmyd
اَنطاکیۀ	Antioch	anTkhyhy
پیسیدیه	Pisidia	pysydyh
پِرجۀ	Perge	pirjhy
پامفیلیه	Pamphylia	pmfylyh
پِرجه	Perge	pirjh
کنیسه	Synagogue	khnysh
تلاوت	Recitation	tlwt
پیامبران،	Prophets,	pymbrn,
اندرزی	Advice	ndrzy
غیریهودیانِ	Gentiles	Gyryhwdyni
خداترس،	God-fearing,	khdtrs,
غربتشان	Their exile	Grbtshn
رفتارشان	Their behavior	rftrshn
دلخواه	Optional	dlkhwh
یافتم؛	I found it;	yftm;
خواستِ	Desire	khwsti
تعمیدِ	Baptism	t`mydi
نیستم؛	I am not;	nystm;
بند	Strap	bnd
کفشش	His shoes	khfshsh
بگشایم	Let's open it.	bgshym
پیامِ	Message	pymi
نشناختند	They did not recognize	nshnkhtnd
بخشیدند	They forgave.	bkhshydnd
علتی	Cause	`lty
برخیزانیدن	To rise	brkhyznydn
ایشانیم	I am him.	yshnym
نبیند،	Don't see,	nbynd,
مطمئنی	Are you sure?	mTmy'ny
مبنا	Basis	mbn
سرسپردۀ	Henchman	srsprdhy
بخفت	He fell asleep.	bkhft
نتوانستید	You couldn't	ntwnstyd
بنگرید،	Look,	bngryd,
استهزاگران،	Mockers,	sthzgrn,
بازگویند	Retell	bzgwynd
حَبَقوق	Habakkuk	Habaqwq
جماعتْ	The congregation	jm`t
خداپرست	God-worshipper	khdprst
یهودیت	Judaism	yhwdyt
گرویده	Converted	grwydh
به‌تقریب،	Approximately,	bhtqryb,
ازدحام	Crowding	zdHm
دلیرانه	Bravely	dlyrnh
جاوید	Javed	jwyd
ندانستید،	You didn't know,	ndnstyd,
می‌نهیم	We are sitting.	mynhym
کرانهای	Borders	khrnhy
برسانی	Delivery	brsny
داشتند؛	They had;	dshtnd;
ناحیه	District	nHyh
متشخص	Personal	mtshkhS
سرشناسِ	Famous	srshnsi
شوراندند	They are loud.	shwrndnd
اعتراض،	Protest,	`trD,
تکاندند	They shook	tkhndnd
درباریانِ	Courtiers	drbryni
کنیسۀ	Synagogue	khnyshy
یهودیانی	Jews	yhwdyny
ذهنشان	Their minds	dhhnshn
مسموم	Poisoned	msmwm
طولانی	Long	Twlny
دِربِه،	Derbe,	dirbih,
لیکائونیه،	Lycaonia,	lykhy'wnyh,
لِستْرِه	Lystra	listrih
دِربِه	Derbe	dirbih
مادرزاد	Congenital	mdrzd
فرا می‌داد	He taught.	fr mydd
یافتن	Find	yftn
جَست	Just	jast
لیکائونی	Lycaonian	lykhy'wny
زِئوس	Zeus	ziy'ws
هِرمِس	Hermes	hirmis
نامیدند،	They called,	nmydnd,
زئوس	Zeus	zy'ws
معبدش	His temple	m`bdsh
گاوهایی	Cows	gwhyy
تقدیمشان	Dedicated to them	tqdymshn
رسول،	prophet,	rswl,
بردارید	Take it.	brdryd
آنهاست،	It is them,	anhst,
آفرید	Created	afryd
نگذاشت؛	He didn't let it go;	ngdhsht;
فصلهای	Seasons	fSlhy
خرّمی	Khorram	khrWmy
بازدارند	Prevent	bzdrnd
بیرونش	Outside	byrwnsh
سوریه	Syria	swryh
شاگرد	Student	shgrd
یابیم	Let's find	ybym
گماشتند	They appointed	gmshtnd
آتّالیه	Ataliyah	atWlyh
شورای	Council	shwry
آیین	Ritual	ayyn
نشوید،	Don't wash,	nshwyd,
مباحثۀ	Discussion	mbHthhy
مسئله	Problem	msy'lh
نهند	Nine	nhnd
بدرقه	Farewell	bdrqh
چگونگی	How	chgwngy
فرقۀ	Sect	frqhy
فَریسیان	Pharisees	farysyn
نخست،	First,	nkhst,
می‌آزمایید	Are you trying?	myazmyyd
حملش	Carrying it	Hmlsh
معجزاتی	Miracles	m`jzty
بازمی‌گفتند	They kept saying	bzmygftnd
نخستین‌بار	For the first time	nkhstynbr
ویرانه‌هایش	Its ruins	wyrnhhysh
بطلبند،	Ask,	bTlbnd,
ملتهایی	Nations	mlthyy
عاموس	Amos	`mws
بازمی‌گردند،	They will return,	bzmygrdnd,
نرسانیم	We will not deliver.	nrsnym
بخواهیم	Let's ask.	bkhwhym
بت‌پرستی،	Idolatry,	btprsty,
بی‌عفتی،	Immorality,	by`fty,
خفه	Stifled	khfh
بپرهیزند	Avoid	bprhyznd
کنیسه‌ها	Synagogues	khnyshh
شورا	Council	shwr
غیریهودی	Gentile	Gyryhwdy
یهودای	Judah	yhwdy
برگزیدند	They chose	brgzydnd
فرستادند،	They sent,	frstdnd,
عبارات	Phrases	`brt
کیلیکیه،	Cilicia,	khylykhyh,
دستوری	Grammar	dstwry
سخنانشان	Their words	skhnnshn
مشوش	Confused	mshwsh
خاطرتان	Remember me	khTrtn
برگزینیم	Let's choose.	brgzynym
عزیزان	Dear ones	`zyzn
فرستاده‌ایم	We have sent.	frstdhym
ننهیم،	Let's not,	nnhym,
ضروریات	Necessities	Drwryt
والسّلام	Peace be upon you.	wlsWlm
برادرانْ	Brothers	brdrn
فرستندگان	Senders	frstndgn
اختلاف	Disagreement	khtlf
بازگردیم	Let's go back.	bzgrdym
حالند	They are	Hlnd
ادامۀ	Continuation	dmhy
شاگردی	Apprenticeship	shgrdy
همراهی‌اش	His companion	hmrhysh
مقدونی	Macedonian	mqdwny
سپس،	Then,	sps,
فْریجیه	Phrygia	fryjyh
درنَوَردیدند،	They were defeated,	drnawardydnd,
رسانیدن	To deliver	rsnydn
میسیه	Messier	mysyh
بیطینیه	Bithynia	byTynyh
شدیم،	We became,	shdym,
لیدیه	Lydia	lydyh
ساموتْراکی	Samothrace	smwtrkhy
نیاپولیس	Neapolis	nypwlys
رسیدیم	We arrived.	rsydym
عمدۀ	Major	`mdhy
مهاجرنشینهای	Settlements	mhjrnshynhy
ماندیم	We stayed.	mndym
نشستیم	We sat down.	nshstym
پرداختیم	We paid.	prdkhtym
تیاتیرا	Thyatira	tytyr
فروشندۀ	Seller	frwshndhy
بسپارد	to hand over	bsprd
می‌رفتیم،	We were going,	myrftym,
برخوردیم	We met.	brkhwrdym
طالع‌بینی	Astrology	Tl`byny
می‌افتاد	It was falling.	myftd
فریادکنان	Screamers	frydkhnn
متعالند	Almighty	mt`lnd
دم،	tail,	dm,
اربابانِ	The masters of	rbbni
درآمدشان	Their income	dramdshn
کشان‌کشان	Pull-pull	khshnkhshn
بازار	Market	bzr
مراجع	References	mrj`
یهودی‌اند	They are Jewish.	yhwdynd
تبلیغ	Advertisement	tblyG
آوردنشان	Bringing them	awrdnshn
رومیان	Romans	rwmyn
چوبشان	Their wood	chwbshn
زنند	They will beat	znnd
زندانشان	Their prison	zndnshn
زندانبان	Jailer	zndnbn
پاهایشان	Their feet	physhn
کُنده	Dull	khundh
نیمه‌شب،	Midnight,	nymhshb,
زندانیان	Prisoners	zndnyn
فرا می‌دادند	They were teaching.	fr myddnd
زمین‌لرزه‌ای	Seismic	zmynlrzhy
اساس	Basis	ss
گشودۀ	Open	gshwdhy
آسیب	Damage	asyb
مرسان	Mersan	mrsn
اینجاییم	We are here.	ynjyym
سراسیمه	Rush	srsymh
سروران،	Sirs,	srwrn,
یابم؟	Can I find it?	ybm?
زخمهایشان	Their wounds	zkhmhyshn
شست،	Thumb,	shst,
افکنده‌اند	They have thrown	fkhndhnd
خفا	Secret	khf
آزادمان	Azadman	azdmn
رومی‌اند،	They are Romans,	rwmynd,
پوزش	Sorry	pwzsh
مشایعتشان	Their escort	mshy`tshn
زندان،	Prison,	zndn,
نویسندۀ	Author	nwysndhy
بلوا	Riot	blw
آمْفیپولیس	Amphipolis	amfypwlys
آپولونیا	Apollonia	apwlwny
مباحثه	Discussion	mbHthh
توضیح	Explanation	twDyH
یونانیانِ	The Greeks	ywnnyni
سرشناس،	Famous,	srshns,
تنی‌چند	How many?	tnychnd
اوباش	Mob	wbsh
یاسون	Jason	yswn
کشاندند	They dragged	khshndnd
کشیده‌اند،	They have drawn,	khshydhnd,
قیصر	Caesar	qySr
برآشفتند	They got angry.	brashftnd
ضمانت	Warranty	Dmnt
آزادشان	Azadshan	azdshn
بیریه	Biryani	byryh
یهودیانِ	The Jews	yhwdyni
تحریک	Stimulation	tHrykh
مشایعت‌کنندگان	Escorts	mshy`tkhnndgn
بپیوندند،	Join,	bpywndnd,
بتهاست،	It is idol,	bthst,
منقلب	Revolutionary	mnqlb
رهگذران	Passersby	rhgdhrn
فیلسوفان	Philosophers	fylswfn
اپیکوری	Epicurean	pykhwry
رواقی	Stoicism	rwqy
قیامت	Resurrection	qymt
مجمع	Assembly	mjm`
آریوپاگوس	Areopagus	arywpgws
دانستن	To know	dnstn
آتِنیان	Athenian	atinyn
مشغولیتی	Busyness	mshGwlyty
شنود	Listening	shnwd
بگذرانند	to spend	bgdhrnnd
آتنی،	Athenian,	atny,
ناشناخته	Unknown	nshnkhth
آفرید،	Created,	afryd,
مالکِ	Owner	mlkhi
معابد	Temples	m`bd
چه‌بسا	Chebsa	chhbs
بیابند،	Find,	bybnd,
داریم؛	We have;	drym;
شاعران	Poets	sh`rn
بیندیشیم	Let's think.	byndyshym
الوهیت	Divinity	lwhyt
خلاقیت	Creativity	khlqyt
جهالتی	Ignorance	jhlty
برخیزانیدنش	Raising it	brkhyznydnsh
پوزخند	Grin	pwzkhnd
دیونیسیوس،	Dionysius,	dywnysyws,
داماریس	Damaris	dmrys
لغت	Word	lGt
آریس	Aries	arys
یونان،	Greece,	ywnn,
مریخ	Mars	mrykh
رومی‌ها	Romans	rwmyh
جلسه	Meeting	jlsh
وام	Loan	wm
یهودی،	Jew,	yhwdy,
ایتالیا	Italy	ytly
کْلودیوسِ	Claudius	khlwdywsi
پیشۀ	Occupation	pyshhy
نزدشان	With them	nzdshn
می‌کوشید	You were trying.	mykhwshyd
تمامی،	All,	tmmy,
ناسزایش	Disgraceful	nszysh
تکاند	Shake	tkhnd
خونتان	Your blood	khwntn
جوار	Neighborhood	jwr
کْریسپوس،	Crispus,	khryspws,
کنیسه،	Synagogue,	khnysh,
گزندی	Sadness	gzndy
برساند،	To deliver,	brsnd,
خلق	Creation	khlq
گالیو،	Gallio,	glyw,
همداستان	Hamedan	hmdstn
تاختند	They galloped.	tkhtnd
گالیو	Gallio	glyw
جنایتی	Crime	jnyty
نامها	Names	nmh
اقامتی	Residential	qmty
سفر،	Travel,	sfr,
کِنخْریه	Cenchreae	khinkhryh
تراشید،	Shave,	trshyd,
همسفران	Fellow travelers	hmsfrn
اسکندریه،	Alexandria,	skhndryh,
دانشی	Knowledge	dnshy
دقیقتر	More precisely	dqyqtr
آموختند	They learned	amwkhtnd
تشویقش	Encourage him/her	tshwyqsh
نوشتند	They wrote	nwshtnd
پذیرا	Acceptable	pdhyr
استناد	Citation	stnd
اعتراض	Protest	`trD
تکاندن	Shaking	tkhndn
برافشاندن	Spread	brfshndn
قهر	Anger	qhr
مرکزی،	Central,	mrkhzy,
شاگردانی	Students	shgrdny
آوردید،	You brought it,	awrdyd,
یافتید؟	Did you find it?	yftyd?
یحیی،	Yahya,	yHyy,
قاطع	Decisive	qT`
سرسختی	Stubbornness	srskhty
نمی‌آوردند	They didn't bring	nmyawrdnd
طریقت	Path	Tryqt
سخنرانی	Speech	skhnrny
تیرانوس	Tyrannosaurus	tyrnws
مدت،	Duration,	mdt,
سکنۀ	Resident	skhnhy
دستمالها	Napkins	dstmlh
پیشبندهایی	Aprons	pyshbndhyy
تماس	Contact	tms
بیماران	Patients	bymrn
بهبود	Improvement	bhbwd
جن‌گیرانِ	Exorcists	jngyrni
دوره‌گرد	Itinerant	dwrhgrd
کوشیدند	They tried	khwshydnd
اِسکیوا،	Esciva,	iskhyw,
جَسته،	Jasteh,	jasth,
کتابهای	Books	khtbhy
کتابها	Books	khtbh
دِرْهَم	Dirham	dirham
وقایع،	Events,	wqy`,
اَخائیه،	Achaia,	akhy'yh,
رفتنم	I'm leaving.	rftnm
بلوای	Riot	blwy
نقره‌کاری	Silversmithing	nqrhkhry
آرتِمیس	Artemis	artimys
حرفه‌ها	Professions	Hrfhh
پیشه،	Occupation,	pyshh,
رونقِ	Prosperity	rwnqi
روزیِ	One day	rwzyi
به‌تقریب	Approximately	bhtqryb
