- 和所有	- and all
名垂青史	go down in history
吐出來	spit it out
吐出來	up the spout
吐氣	blow off steam
吐血	spit blood
向上拖	drag up
向上移動	upwardly mobile
向下南	down south
向下移動	downwardly mobile
向前	forwardly
向前	frontward
向前一步	step forward
向前付款	pay it forward
向北	up north
向南走	go south
向左	leftward
向左	leftwards
向後傾斜	lean over backwards
向後和向前	backwards and forwards
向後彎曲	bend over backwards
向西走	go west
向陽	sunward
吝嗇	fisted
含塵	dustiness
吸一口氣	catch one's breath
吸了	suck up
吸它看看	suck it and see
吸引力中心	centre of attraction
吸管	draw straws
吸起來	suck it up
吹一個洞	blow a hole in
吹個人	blow someone off
吹個人	blow someone out
吹個人	blow someone up
吹個人的心	blow someone's mind
吹冷熱	blow hot and cold
吹和吹	puff and blow
吹塊	blow chunks
吹掉	blow off
吹掉一些東西	blow something off
吹東西	blow something out
吹東西	blow something up
吹熄	blow out
吹進來	blow in
吹過來	blow over
吹鼻子	blow one's nose
吻屁股	kiss ass
呃起來	eh up
呆著	stay on
呈綠色的	greenish
呈褐色的	brownish
告訴別人	tell someone off
告訴它就是這樣	tell it like it is
告訴我另一個	tell me another
告訴我怎麼回事兒	tell me about it
呼叫收集	call collect
呼叫港	port of call
呼吸一下	hold one's breath
呼吸火	breathe fire
呼喊	shouter
命令查看	order to view
命名一天	name the day
命運比死亡更糟	a fate worse than death
咀嚼某人出來	chew someone out
咀嚼片	chewable
咀嚼者	chewer
咀嚼風景	chew the scenery
咆哮和狂歡	rant and rave
和---關聯	in relation to
和...一起	together with
和/或	and/or
和公司	and Co.
和公司	and company
和其餘的	and the rest
和所有	and everything
和所有爵士樂	and all that jazz
和某人在一起	be with someone
和自己一起玩	play with oneself
咖哩喜歡	curry favour
咬一口	take a bite out of
咬人的頭	bite someone's head off
咬住灰塵	bite the dust
咬嘴唇	bite one's lip
咬大了	bite the big one
品味血液	taste blood
品種是生活的香料	variety is the spice of life
哦耶？	oh yeah?
哪個是	which is which
哭了	cry off
哭泣	cry out for
哭泣犯規	cry foul
哭狼	cry wolf
唯一的那個	the one
問題	at issue
啞	dumbness
啟動	booted
啟示錄的四騎士	the Four Horsemen of the Apocalypse
啟航	set sail
啤酒和小吃	beer and skittles
啥時候	say when
善有善報惡有惡報	what goes around comes around
善良	hearted
喇叭狀	horn-like
喉	throated
喉嚨裡的腫塊	a lump in the throat
喘口氣	take breath
喜樂	blissfulness
喜歡	to one's liking
喜歡blazes	like blazes
喜歡在桶裡拍魚	like shooting fish in a barrel
喜歡拉牙	like pulling teeth
喜歡放牧的貓	like herding cats
喜歡的	the likes of
喜歡臭	like stink
喜歡與否	like it or not
喝桌子下的人	drink someone under the table
喝深	drink deep
喝酒和開車	drink and drive
喝酒狂鬧的人	rioter
喪盡天良	conscienceless
單刀	hilted
單打獨鬥	go it alone
單間	roomed
嗡嗡聲	boomy
嗯好	ja well
嘆了一口氣	breathe a sigh of relief
嘔吐	throw up
嘗試一下	try something on
嘴巴	mouth off
嘿嘿	what the hey
嘿起來	hey up
器	exchanger
噴出	spouted
嚴厲	sternness
嚴厲打擊	crack down on
嚴峻性	grimness
嚴正	sternly
嚴重打擊	hard hit
嚼嚼	chew the cud
囅	smilingly
四個崇高的真理	four noble truths
四十眨眼	forty winks
四處走走	go around
回來	come back
回來	get back at
回來了	fall back on
回到	get back to
回到前面	back to front
回到畫板	back to the drawing board
回去	go back
回去	go back on
回報率	rate of return
回家	come home
回家了	hit home
回家去棲息	come home to roost
回想	think back
回想起來	in retrospect
回擊	strike back
回暖	warmer
回望	look back
回水	back water
回答者	answerer
回錯馬	back the wrong horse
因果	cause and effect
因果關係鏈	chain of causation
因此	as such
因此	in consequence
因為	because of
因為失誤	by mistake
因為它是	as it were
因為某些原因	for some reason
因禍得福	a blessing in disguise
固化劑	hardener
固執	stubbornness
固執地	stubbornly
圈貨車	circle the wagons
國王的運動	the sport of kings
國際收支	balance of payments
國際社會	the international community
圍攻	lay siege to
園丁	gardener
圓	roundness
圓形	roundish
圖片中	in the picture
在	be at
在......之外	out of
在buff中	in the buff
在cosh下	under the cosh
在edgeways得到一個字	get a word in edgeways
在hock	in hock
在loggerheads	at loggerheads
在nip	in the nip
在pod中	in pod
在tenterhooks	on tenterhooks
在一個	at one
在一個人的遊戲的頂部	be at the top of one's game
在一個價格	at a price
在一個地方	in a spot
在一個小的方式	in a small way
在一個小鑰匙	in a minor key
在一個水平上	on a level with
在一個清澈的藍天	out of a clear blue sky
在一個生日禮服	in one's birthday suit
在一個範圍內	at a range of
在一個耳朵和另一個耳朵	in one ear and out the other
在一個身體	in a body
在一分鐘	at the minute
在一塊	in one piece
在一天結束	at the end of the day
在一定程度上	to a degree
在一定程度上	up to a point
在一小時內	within the hour
在一時衝動	on the spur of the moment
在一棵樹上	out of one's tree
在一段時間	at a stretch
在一英寸之內	within an inch of
在一起	in the altogether
在一輪	in the round
在一邊	on the side
在一頂帽子的下降	at the drop of a hat
在一點點	in little
在三葉草	in clover
在上	in on
在上下文中	in context
在上升	in the ascendant
在上升	on the rise
在上面	on it
在上面	on top
在世界上	in the world
在中游	in midstream
在中間	in the middle of
在主持下	under the auspices of
在主要	in the main
在之上	on top of
在之前	ahead of
在之後	in the wake of
在事件中	in the event
在事情上	in the matter of
在二手	at second hand
在人的	in the person of
在任何情況下	by any chance
在任何情況下	in no case
在休息	at rest
在位	in bits
在作品中	in the works
在你之後	after you
在你和我和牆之間	between you and me and the wall
在你夢裡	in your dreams
在你的痕跡上	on your marks
在你的臉上	in-your-face
在佳能	in canon
在便宜的	on the cheap
在信用方面	on the credit side
在修剪	in trim
在做的	on the make
在儲備	in reserve
在充滿的時間	in the fullness of time
在光天化日之下	in broad daylight
在全	in full
在八球後面	behind the eight ball
在公共汽車上扔一個人	throw someone under the bus
在公司	in company
在公園散步	a walk in the park
在公寓	on the flat
在公開場合	in open court
在具體	in the concrete
在典當	in pawn
在冰上	on ice
在冷血中	in cold blood
在凳子上	at stool
在前面	in front of
在前面	lie ahead
在前面	out front
在剪影	in silhouette
在剪輯	at a clip
在力量	in strength
在力量上	on the strength of
在包裡	in the bag
在升級	on the upgrade
在印像中	under the impression that
在原料	in the raw
在口袋裡	in pocket
在右邊	be in the right
在右邊	on the right side of
在司機座位上	in the driver's seat
在同一條船上	be in the same boat
在同一頁面上	on the same page
在呼吸下	under one's breath
在咒語下	under a spell
在哪裡	where it's at
在喝酒	in drink
在嘴裡下來	down in the mouth
在圖片中	be in pictures
在地上	on the ground
在地上很薄	thin on the ground
在地平線上	on the horizon
在地毯上	on the carpet
在地球上	on earth
在城裡唯一的遊戲	the only game in town
在堆裡	in a heap
在墊子上	on the mat
在增加	on the increase
在墳墓裡有一隻腳	have one foot in the grave
在外過夜	sleep out
在外面	at the outside
在外面	on the outside
在外面	outside of
在外面看	on the outside looking in
在夜裡碰到的東西	things that go bump in the night
在大的	at large
在大綱上	in outline
在天鵝絨上	on velvet
在奢華的一圈	in the lap of luxury
在好的時候	in good time
在好轉	on the mend
在婚姻中	in marriage
在字符串上	on a string
在它	at it
在它之間開一個楔子	drive a wedge between
在它的整體	in its totality
在它的臉上	on the face of it
在安全的手中	in safe hands
在安靜	on the quiet
在家	at home
在家庭的方式	in the family way
在寒冷中出來	out in the cold
在寒冷的一天	in the cold light of day
在實例	at the instance of
在實踐中	in practice
在封面下	under cover of
在尊重	in deference to
在小提琴上	on the fiddle
在小時	on the hour
在小狗	in pup
在小跑上	on the trot
在小鹿	in fawn
在屁股上	on the bum
在居住	in residence
在岩石和硬的地方之間	between a rock and a hard place
在岸上	on shore
在岸邊	in shore
在工作中	on the job
在市場上	on the market
在布丁俱樂部	in the pudding club
在帆下	under sail
在平行下	in parallel
在平衡中	in the balance
在平裝書	in paperback
在年級	at grade
在床上	in bed with
在底部	at bottom
在底部	be at the bottom of
在廢墟中	in ruins
在廣場上	on the square
在延遲	in retard
在弓上	on the bow
在彩虹的盡頭	at the end of the rainbow
在很大的方式	in a big way
在很大程度上	to a great extent
在後面	behind the bit
在後面	in back
在後面的燃燒器	on the back burner
在得分上	on the score of
在徘徊	on the prowl
在微型	in miniature
在心裡	at heart
在心跳中	in a heartbeat
在性質上	in the nature of
在恢復	in recovery
在愛和戰爭中都是公平的	all's fair in love and war
在我心裡	to my mind
在我的屍體上	over my dead body
在我的書裡	in my book
在房子上	on the house
在所有	at all
在所有	in all
在所有的可能性	in all likelihood
在所有的天氣	in all weathers
在所有的概率	in all probability
在所有點	at all points
在手裡	in hand
在手錶上	be on the watch
在抓住	in the grip of
在抹布上	be on the rag
在抽像中	in the abstract
在括號中	in parenthesis
在按鈕上	on the button
在推動	at a push
在搗蛋	in tatters
在整體上	in whole
在斜坡	at the slope
在斬塊上	on the chopping block
在旅途中	on the go
在旋轉	in a whirl
在旗幟下	under the banner of
在日食	in eclipse
在時間之前	before time
在普通的	in ordinary
在曠野的聲音	a voice in the wilderness
在更多的方式比一個	in more ways than one
在書上	on the books
在最好的時候	at the best of times
在最後	be at the end of
在最後的手段	in the last resort
在最早	at the earliest
在會議中	in conference
在會議中	in session
在服務	in service
在望	in sight
在未來	in future
在本質上	in essence
在板凳上	on the bench
在架子上	on the shelf
在某人的拇指下	under someone's thumb
在某人的背後	behind someone's back
在某人的腦海裡	on someone's mind
在某人的鼻子下	under someone's nose
在某個角度	at an angle
在某物上	be onto something
在某種程度上	in some sort
在根	at root
在桅杆前	before the mast
在桌子上	on the table
在桌子下面	under the table
在業務	in business
在業務中	in the business of
在極端	in the extreme
在槍下	under the gun
在樂趣	in fun
在樑上	on the beam
在標記上	on the mark
在樹林裡做狗屎嗎？	do bears shit in the woods?
在機架上	on the rack
在機翼上	on the wing
在檔案	on file
在檢查	in check
在櫃檯	over the counter
在櫃檯後面	behind the counter
在權力之中	in the power of
在歌曲	on song
在武器	in arms
在武器下	under arms
在歪斜	on the skew
在死亡的門口	at death's door
在氣味上	on the scent
在水下	under water
在水平上	on the level
在水果中	in fruit
在沙發上	on the couch
在法庭上	in court
在泡沫上	on the bubble
在波浪的頂端	on the crest of a wave
在洗	in the wash
在洞裡	in holes
在洞裡	in the hole
在流	on stream
在海上	at sea
在海上	on the sea
在海灣	at bay
在深處	in deep
在清楚	in the clear
在減速	on the wane
在游泳	in the swim
在湯裡	in the soup
在滑板上	on the skids
在演唱會	in concert
在火下	under fire
在火焰中上升	go up in flames
在火車上	in the train of
在火車上	in train
在烤箱裡放一個饅頭	have a bun in the oven
在熔爐裡	in the melting pot
在熱水中	in hot water
在牆上飛	fly on the wall
在牙齒裡	in the teeth of
在牛奶中	in milk
在物種	in specie
在狗屎	in the shit
在玫瑰下	under the rose
在球上	on the ball
在瓶子裡	in bottle
在瓷磚上	on the tiles
在生活的土地上	in the land of the living
在產品上	on the prod
在甲板上	on deck
在當下的熱度	in the heat of the moment
在痛苦中	in the throes of
在皮膚下	under the skin
在盤子上	on a plate
在盤子上	on one's plate
在相機中	in camera
在看	look in
在真空中	in a vacuum
在眼前	at hand
在瞬間	on the instant
在短期內	in short order
在石頭上	on the rocks
在碎片	in shreds
在碼頭	in dock
在社區照顧	care in the community
在神的一圈	in the lap of the gods
在禮物中	in the gift of
在秘密	in secret
在移動	on the move
在空中	in the air
在空中	up in the air
在第一手	at first hand
在第七天	in seventh heaven
在第二位	in the second place
在等待	in wait
在管線中	in the pipeline
在粉紅色	in the pink
在粗糙的	in the rough
在紙上	on paper
在線	in line for
在線上	on the line
在線下	under the wire
在線下方	below the line
在線以上	above the line
在繩子上	on the rope
在繩索上	on the ropes
在繪圖板上	on the drawing board
在續集	in the sequel
在罐裡	in the can
在羊羔	in lamb
在群眾中	in the mass
在翅膀上禱告	on a wing and a prayer
在翅膀裡	in the wings
在考慮中	under consideration
在聯賽	in league
在聲音中	in voice
在職責	in the line of duty
在肉體中	in the flesh
在背上	on one's back
在胚胎	in embryo
在胳膊下	under one's arm
在腰帶下面	below the belt
在腳下	on one's feet
在腳下	under foot
在腳下	under one's feet
在腳下	under the heel of
在腳趾上	on one's toes
在膝蓋上	on one's knees
在臀部	on the hip
在臉上	in one's face
在自己的蒸汽	under one's own steam
在自身	in itself
在與	in with
在舌頭上	on the tip of one's tongue
在船上	on board
在艉板上	over the transom
在艙口下	down the hatch
在芽裡	in bud
在草地上	at grass
在草地下	under the sod
在荷蘭	in Dutch
在蒸汽	in steam
在蒼白	in pale
在蔑視之下	beneath contempt
在薄冰上	on thin ice
在薄荷條件	in mint condition
在行動	in action
在行為上	in the act of
在行軍	on the march
在街上	on the streets
在裡面	on the inside
在裡面	pitch in
在裸體	in the nude
在製作中	in the making
在視野中	in view
在角上	on the horn
在記憶	in memory of
在該地區	in the region of
在該領域	in the field
在謹慎的一邊	err on the side of caution
在議程上	on the agenda
在豬	in pig
在賠率	at odds
在質量	in mass
在購物車	in the cart
在路上	at the trail
在路上	down the road
在路上	on the road
在路上碰撞	a bump in the road
在跳	on the hop
在蹄上	on the hoof
在躺下	in lay
在車隊	in convoy
在軌上	on track
在軌道上	on the rails
在輪子上	on wheels
在辯論中	under debate
在追捧	in hot pursuit
在這個日子裡	in this day and age
在這樣的情況下	in the event that
在這種情況下	in that case
在這種情況下	in that event
在通話	at call
在遊戲中	on the game
在運動	in sport
在運動軌跡上	on the campaign trail
在運行	on the run
在過量的	in excess of
在適當的時候	in due course
在邊界	in bounds
在邊緣周圍粗糙	rough around the edges
在那裡	at that
在那裡面	in that
在配置文件中	in profile
在酒吧後面	behind bars
在醒目的距離內	within striking distance
在鉤上	on the hook for
在錢上	on the money
在錨	at anchor
在錯誤的一面	on the wrong side of
在鍋中閃爍	flash in the pan
在鎮上	on the town
在鐵	in irons
在門上	on the door
在門口	at the door
在門環上	on the knocker
在閂鎖上	on the latch
在閉門後	behind closed doors
在開場	in the offing
在開放的天空下	under the open sky
在閒暇時	at one's leisure
在關於	be on about
在關鍵時刻	in the nick of time
在防守上	on the defensive
在附近	in the neighbourhood of
在附近	near at hand
在限度內	within limits
在院子裡	by the yard
在陽光下	under the sun
在隧道盡頭的燈光	light at the end of the tunnel
在雲下	under a cloud
在雲層	in the clouds
在電話裡	on the telephone
在需要時提供幫助的朋友才是真朋友	a friend in need is a friend indeed
在需要的時候	at need
在靠近胸前打一張牌	play one's cards close to one's chest
在預算	on a budget
在頭腦裡	in one's head
在顯微鏡下	under the microscope
在風中	on a wind
在風中扭曲	twist in the wind
在風車傾斜	tilt at windmills
在飛行中	in full flight
在飛行中	on the fly
在馬背上	on horseback
在馬鞍	in the saddle
在駝峰上	over the hump
在高處	on high
在鬆散	on the loose
在魔鬼和深藍色的大海之間	between the devil and the deep blue sea
在黑客	at hack
在黑暗中	in the dark
在黑暗中刺傷	a stab in the dark
在黑暗中射門	a shot in the dark
在黑暗中飛躍	a leap in the dark
在黑桃	in spades
在黑色	in the black
在黑色和白色	in black and white
在默認情況下	in default
在點上	on point
在鼻子上	on the nose
地下	ground down
地址形式	form of address
地獄為皮革	hell for leather
地獄的半英畝	hell's half acre
地獄的鐘聲	hell's bells
地球	the earth
地球上的鹽	the salt of the earth
地球的臉	the face of the earth
地轉移	shirted
均勻度	evenness
坐下	sit down
坐下	sit through
坐下來	sit back
坐下座位	take a back seat
坐在	sit by
坐在	sit in
坐在	sit in for
坐在	sit on
坐在判斷	sit in judgement
坐得漂亮	be sitting pretty
坐椅子	take the chair
坦白	own up
垂吊	dangly
埋在	muck in
埋葬斧頭	bury the hatchet
培養	bring up
基地	off base
基德	kidder
基本事實	nitty
堅固性	firmness
堅守	hold fast
堅定的手	a firm hand
堅持	hold forth
堅持	hold out
堅持	hold out for
堅持	keep to
堅持	stand on
堅持	stick at
堅持	stick by
堅持	stick up for
堅持	stick with
堅持下去	go hard with
堅持下去	hold hard
堅持下去	hold out on
堅持下去	stick it to
堅持住	hold on to
堅果類	nut-like
堅韌	hang tough
報告	on report
報告	reportable
場景變化	change of scene
堵	stop up
塊狀	blocky
塗抹	spreadable
塗油	anointment
塞滿了	get stuffed
填充它	stuff it
填塞	stuffer
填寫	fill in
填寫	fill out
填寫賬單	fill the bill
塵埃落定	the dust settles
墜落	come down
墜落	fall about
增加侮辱傷害	add insult to injury
壁到牆	wall-to-wall
壓榨機	presser
壓榨機	squeezer
壓模	stamper
壘打	bagger
壞心眼	sourness
壞心眼地	sourly
壞透地	wickedly
壯志凌雲	top gun
外出走動	out and about
外面的機會	an outside chance
多多益善	the more the merrier
多孔	holey
多少	how many
多少	how much
多指	fingered
多病	sickish
多遠	how far
夠了	right enough
夠味	flavoursome
夢	dreamless
夢想	dream on
夢想	pie in the sky
大C	the Big C
大事狂歡	paint the town red
大五	the big five
大人物	big shot
大像在房間裡	the elephant in the room
大塊錢	big bucks
大女生的上衣	big girl's blouse
大奶酪	big cheese
大小	sized
大小小	great and small
大屏幕	the big screen
大幅	sharply
大想法	the big idea
大棍子	the big stick
大概	just about
大男孩	the big boys
大笑一分鐘	a laugh a minute
大笑起來	raise a laugh
大聲哭泣	for crying out loud
大肚子的	bellied
大腦上的水	water on the brain
大腦屎	shit for brains
大膽	boldly
大自然的呼喚	call of nature
大自然的呼喚	the call of nature
大謊言	the big lie
大遊戲	the Great Game
大部分	for the most part
大驚小怪	make a fuss
天意	God willing
天才之卒	stroke of genius
天空才是極限	the sky is the limit
天開了	the heavens open
天鵝絨般的	velvety
太多了	too much
太大了，不能失敗	too big to fail
太對了	too right
太感謝了	thanks a million
太糟糕了	too bad
太聰明了一半	too clever by half
太遠	too far
太酷了學校	too cool for school
太長	so long
太陽在碼頭上	the sun is over the yardarm
太陽照耀時會讓乾草	make hay while the sun shines
太靠近了舒適	too close for comfort
夯	rammer
失去了	be lost on
失去了信心	lose heart
失去作用	out of action
失去理智了	out of one's mind
失去聯繫	lose touch
失去聯繫	out of touch
失去臉	loss of face
失去襯衫	lose one's shirt
失去計數	lose count
失去門票	lose a wicket
失去陰謀	lose the plot
失去靈魂	lost soul
失控	out of control
失明	blindness
夾住翅膀	clip the wings of
夾具	gripper
夾具起來了	the jig is up
奇怪	oddly
奇怪	oddness
奇怪	strangely
套期保值者	hedger
奮鬥者	struggler
女巫小時	the witching hour
奶酪吧！	cheese it!
她在室內	her indoors
她很甜蜜	she's sweet
她是蘋果	she's apples
好一個	nice one
好久不見	long time no see
好大	whacker
好奇心殺死了貓	curiosity killed the cat
好好地活著	alive and well
好工作	nice work
好幾個	a good few
好心人	wisher
好書	the Good Book
好歡呼	of good cheer
好歹	at any rate
好漂亮	cor blimey
好玩的數字	figure of fun
好的工作，如果你能得到它	nice work if you can get it
好的折扣	a great deal
好的措施	for good measure
好錢	good money
如	such as
如何！	and how!
如果	what if
如果不	if not
如果不破壞，不要修復它	if it ain't broke, don't fix it
如果你不能打敗他們，加入他們	if you can't beat them, join them
如果你問我	if you ask me
如果你喜歡	if you like
如果你能夠	if you please
如果你願意	if you will
如果只有	if and only if
如果和當時	if and when
如果我是你	if I were you
如果是這樣	if so
如果有什麼	if anything
如果需要的話	if need be
如果鞋子適合，穿它	if the shoe fits, wear it
如此	so much as
如此這般	such-and-such
如火如荼	in full swing
如融化	meltingly
妄想	delusional
妻子的	wifely
姓名	name names
委託人	truster
媽媽媽媽	Lady Muck
媽媽的話	mum's the word
嬌滴滴	prettily
嬰兒期	babyhood
字裡行間	read between the lines
存在心靈	presence of mind
存款	on deposit
存活性	aliveness
季節的問候	season's greetings
孤兒	fatherless
孤注一擲	go for broke
孤獨	aloneness
孤獨感	lonesomeness
孩子的戲	child's play
學校硬敲門	the school of hard knocks
學派	school of thought
它不在	it's not on
它不會做	it won't do
它可以	can it
它可作用	actable
它沒有下雨，但它倒了	it never rains but it pours
它沒有任何可能	it makes no odds
它沒有完成	it isn't done
守口如瓶	lipped
守衛	off guard
守衛	under guard
安全	securely
安全的知識	safe in the knowledge that
安全第一	safety first
安然	safely
安裝	mountable
宋詞夢幻	illusional
完全哭泣	in full cry
完成	finish with
完美	to perfection
定價者	pricer
定標器	scaler
宜早不宜遲	sooner rather than later
宣傳員	plugger
宣示	declaratory
家，甜蜜的家	home sweet home
家是心之所在	home is where the heart is
容易	easiness
容易的美德	of easy virtue
容易的肉	easy meat
寂靜	quietness
寂靜	stillness
寄件人	sender
密切	closely
密封	sealable
富豪	spender
寒冷	chillness
寒冷	coldness
寒冷的	chillsome
實力塔	tower of strength
實物	in kind
實質上	in substance
實踐完美	practice makes perfect
實踐者	practiser
實際上	in actual fact
實體性	solidness
寧願	had rather
寫在石頭上	be written in stone
寬恕	forgiver
寶貝在懷裡	babe in arms
寶貝在樹林裡	babe in the woods
寸草不生	grassless
封閉的書	closed book
射一條線	shoot a line
射出來	shoot it out
射擊	shoot through
射擊	shoot up
射擊線	the firing line
將...拋開;將...扔掉	throw something away
將男人與男孩分開	separate the men from the boys
將羊與山羊分開	separate the sheep from the goats
將輪子置於運動狀態	set the wheels in motion
尋求	to seek
對上帝	to God
對不起自己	sorry for oneself
對接	butt in
對接頭	butt heads
對於其餘的	for the rest
對於初學者	for starters
對於某些	for certain
對於這個問題	for that matter
對於隨機數	for the nonce
對毒品	on drugs
對沖下注	hedge one's bets
對病人	on the sick
對的東西	the right stuff
對立	oppositional
對股票	on the stocks
對面	across from
導引頭	seeker
導致	lead up to
小便在風中	piss in the wind
小包裡的小丑	the joker in the pack
小土豆	small potatoes
小型炸彈	bomblet
小奇蹟	small wonder
小女人	the little woman
小屏幕	the small screen
小心	look out
小心點	have a care
小或沒有	little or nothing
小指	pinky
小是美麗的	small is beautiful
小洞不補，大洞吃苦	a stitch in time saves nine
小溪	streamlet
小的背部	the small of the back
小豬	pigling
少即是多	less is more
少得多	much less
少量地	sparely
尖端	the sharp end
尖銳的	sharp as a tack
尤其是	in particular
就事論事，實事求是地	matter-of-factly
就像	as was
就像是	something like
就像死了一樣	as near as damn it
就在	just on
就在	right on
就是這個	this is it
就是這樣	that's that
就這樣	as it stands
就這樣	be the case
就這樣	just as well
就這樣	just so
就這樣	like so
就這樣	such that
就這樣吧	so be it
就這麼多	just so much
就這麼說定咯	it's a deal
尾	tailed
尾巴回來	tail back
屁股	butt out
屁股超過山雀	arse over tit
屁股關於臉	arse about face
屋子	roomful
展出	on show
展望未來	look to the future
展現出	show out
山中腹地	mountainy
山那邊	over the hill
崩潰	melt down
崩解	break off
巡航瘀傷	cruising for a bruising
工作中	at work
工作之間	between jobs
工匠	tinkerer
巧妙	cleverly
巧妙	smartly
已出版	in print
已經在周圍	have been around
已經有了	have had it
已經看到了這一切	have seen it all before
布丁的證據是在吃飯	the proof of the pudding is in the eating
布朗尼點	brownie point
布瑟	busser
布的人	man of the cloth
布穀在巢裡	cuckoo in the nest
布雷茲札克	biter
希弗	heaver
希望反對希望	hope against hope
希望最好的	hope for the best
帥	handsomeness
帥帥帥	handsome is as handsome does
帳單和coo	bill and coo
帳戶	account for
帶一個人	take someone in
帶個人出去	take someone out
帶刺	thorned
帶去	take to
帶回來	bring something back
帶回家培根	bring home the bacon
帶蓋	lidded
帶走	take away from
帶走一個人	take someone off
帶走別人的呼吸	take someone's breath away
帶路	lead the way
帶領	take the field
帶領一個人	lead someone on
帶點東西	bring something in
帶點東西	bring something to
常見的。。	the common weal
常見的形式	common form
常見的觸摸	the common touch
常識	common knowledge
帽子在手	hat in hand
幕後	behind the scenes
幫助	in aid of
幫某人一個忙	do someone a favour
干擾	jammer
平凡	ordinariness
平均休息	an even break
平均生意	mean business
平均街道	mean streets
平心靜氣	calmly
平整	flat out
平整度	flatness
平方	square up
平方英尺	square off
平淡如日	plain as day
平等	on equal terms
平衡器	balancer
幸福	blissfully
幸福的無知	blissful ignorance
幸運女神	Lady Luck
幽靈般的	ghostlike
幽默感	sense of humour
幾乎沒有	hardly any
幾乎沒有	hardly ever
幾個	some few
幾個和很遠之間	few and far between
幾個小時後	after hours
幾句話	of few words
床前禮儀	bedside manner
序幕	raiser
廉價	cheapness
廉價地	cheaply
廢話	waste words
廢除	do away with
廣大	largeness
建國	nationhood
建在沙灘上	built on sand
建房子	set up house
建橋	build bridges
弄亂了一些東西	mess something up
弄亂了一個人	mess someone up
弄濕寶寶的頭	wet the baby's head
引導	bootstrapping
引導泵	prime the pump
引用	referrer
引過來	draw in
弦	string-like
弦	stringless
張大	wide open
張貼	post up
張開嘴	open one's mouth
張開雙臂	with open arms
強壯	strong on
強硬	toughly
強迫步伐	force the pace
彈出	pop up
彈出問題	pop the question
彈道	ballistically
彌補	fetch up
彌補	make up to
彌補地面	make up ground
彌補失去的時間	make up for lost time
彌補自己的心靈	make up one's mind
彎曲	bendable
彎曲的形狀	bent out of shape
影響者	influencer
彷彿！	as if!
往往不是	more often than not
很久以前	once upon a time
很值得	well worth
很公平	fair enough
很可能沒有	as likely as not
很好	be well out of
很好	mean well
很好	very well
很容易	have it easy
很少幾個	quite a few
很遠了	far gone
很難做到	hard done by
很難在	hard at it
很難聽清	hard of hearing
很難過	hard going
很高興見到你	nice to meet you
很高興見到你	pleased to meet you
徒勞的	vainly
徒步旅行者	hiker
徒然	in vain
得分	score points
得分點數	score points off
得到	get at
得到	get by
得到一些東西	get something going
得到一些東西	get something out
得到一些東西	get something out of
得到一些東西	get something over
得到一些東西	get something over with
得到一些東西	get something up
得到一些直線	get something straight
得到一個人生	get a life
得到一個修復	get a fix on
得到一個動作	get a move on
得到一個負載	get a load of
得到一條線	get a line on
得到地獄	get hell
得到外面	get outside of
得到它	get it on
得到宗教信仰	get religion
得到幫助	be of assistance
得到更好的	get the better of
得到最好的	get the best of
得到某人的神經	get on someone's nerves
得到消息	get the message
得到照片	get the picture
得到的	get the hang of
得到真正的！	get real!
得到程序	get with the program
得到行動和去	get-up-and-go
得到開機	get the boot
得到頂部	get on top of
得到風	get wind of
得到鳥	get the bird
從A到B	from A to B
從A到Z	from A to Z
從一個孩子	from a child
從一邊到另一邊	from side to side
從一開始	from the top
從上到下	from top to bottom
從上到下	from top to toe
從上面	from above
從下到上	from the bottom up
從不停止	never cease to
從來不會吐吐滿足	never the twain shall meet
從來沒有一個	never a one
從力量	from strength
從口袋裡掏出	out of pocket
從各個角度	from all angles
從同一塊布上切下來	cut from the same cloth
從單詞go	from the word go
從地板上	from the floor
從壞到壞	from bad to worse
從大自然	from nature
從天上的便士	pennies from heaven
從容應對	roll with the punches
從封面到封面	from cover to cover
從心裡哭泣	cry from the heart
從我那裡拿走	take it from me
從木工出來	come out of the woodwork
從柱到柱	from pillar to post
從桿到船尾	from stem to stern
從死裡復活	from the dead
從第一天開始	from day one
從而掛起故事	thereby hangs a tale
從臀部拍攝	shoot from the hip
從記憶裡	from memory
從過去的爆炸	a blast from the past
從長遠來看	in the long run
從頭到尾	from first to last
從頭開始	from scratch
從頭開始	from the ground up
從馬的嘴裡	from the horse's mouth
從高處	from on high
復仇	with a vengeance
復仇者	revenger
循環	loop the loop
微妙	delicately
微甜	sweetish
徹頭徹尾	through and through
心和花	hearts and flowers
心對心	heart to heart
心態	frame of mind
心胸	souled
心靈不健全	of unsound mind
心靈與心靈	hearts and minds
必要性是發明之母	necessity is the mother of invention
忍了下來	bear down
忍住了	put up with
忍受	bear with
忙起來	get busy
忠於	string along
快到家了	close to home
快樂	take pleasure in
快樂好	jolly well
快樂的狩獵場	happy hunting ground
快速畫畫	quick on the draw
快速骯髒	quick and dirty
怎麼了	what of it?
怎麼了	what's what
怎麼來的？	how come?
怎麼和為什麼	the how and why
怎麼會這樣？	how so?
怎麼樣	how about
怎麼樣	how now?
怎麼樣？	how's that?
性較弱	the weaker sex
恐怕	I'm afraid
恐慌	panicky
恩典的狀態	state of grace
恩典的行為	act of grace
恰好	fitly
患者	sufferer
情境	situational
情由	rhyme or reason
惡	badness
惡人不休息	no rest for the wicked
惡人沒有和平	no peace for the wicked
