og	and
Signetringen	The signet ring
Sifron	Saffron
Sifmoth	Siphmoth
Sifmot	Siphmot
Sifmiten	The Sifmite
Sids	Sid
Sidonier	Sidonians
Sidekammer	Side chamber
Sidebygninger	Side buildings
Sidebygningen	The side building
Sicilien	Sicily
Sichar	Sychar
Sibrajim	Sibraim
Shulamit	Shulamith
Shomers	Shomer
Shoa	Shoah
Shizas	Shiza's
Shitta	Shit
Shishas	Shisha
Shilos	Shiloh
Shiloas	Shiloh
Sheshajs	Sheshaj
Shefufan	Cheffan
Shefer	Shepher
Shefatjas	Shephatiah
Shebas	Sheba's
Shavedalen	Shave Valley
Sharars	Sharara
Shalleketporten	The Shalleket Gate
Shafirs	Shafir's
Shadraks	Shadrach's
Setur	Set tour
Sesans	Sessance
Seret	Seen
Serediternes	The Seredites
Serah	Sarah
Senuas	Senua's
Sens	Sense
Senirs	Seniors
Sengene	The beds
Senepskornet	The mustard seed
Sendebudende	Messenger
Senb	Late
Senaʼas	Sena'as
Semuel	Samuel
Semidaiternes	The Semites
Semeoniternes	The Simeonites
Selvsikkerhedens	Self-confidence
Selvbeherskelsen	Self-control
Selskabsbrødre	Socialites
Seloniter	Selonites
Seloniten	Selonite
Selomoths	Selomoth's
Seleukia	Seleucia
Selaniternes	The Selanites
Sekundus	Second
Sekems	Shechem
Sekemiternes	The Shechemites
Sekelen	The shekel
Sekanjas	Shecaniah
Sejrherrerne	The victors
Seja	Sea
Seilene	The sails
Seglringen	The signet ring
Sefanja	Zephaniah
Seers	Viewers
Seernes	Viewers
Seenhjertede	Seenheart
Secundus	Second
Secter	Sects
Sebuloniternes	Zebulunites
Seber	Zebra
Schaveh	Shaveh
Schave	Shave
Savan	Savannah
Sauliternes	Saulites
Sathus	Sat house
Sasaks	Sasak
Sasa	Sasha
Saroniten	The Saronite
Saretan	Saretani
Saphira	Sapphire
Saphir	Sapphire
Sanhedens	Truth
Sanhed	Truth
Sangs	Song
Sangniesteren	The Sangniesther
Sangmsteren	The Songmaster
Sangerskers	Singers
Sangerskerne	The singers
Sangernes	The singers
Sangeren	The singer
Sandørk	Sand desert
Sandsigerkunst	Fortune telling
Sandets	The Sand
Sanden	The sand
Sandelighed	Truthfulness
Sanddrugheds	Truthfulness
Samvrttighed	Coexistence
Samsummiter	Co-summits
Samspillet	The interaction
Samseraj	Samsarai
Samotrake	Samothrace
Samothracia	Samothrace
Sammenføjningen	The joining
Samlingens	The collection
Samger	Sameer
Samgars	Samgar's
Samfunds	Society
Samer	Sami
Samarien	Samaria
Samareia	Samaria
Salveolies	Salves
Salvens	The ointment
Salven	The ointment
Salvelsesolie	Anointing oil
Salvekedel	Ointment kettle
Salvehandler	Ointment merchant
Saltørkenen	The salt desert
Salthavets	The Salt Sea
Saltgrav	Salt pit
Salmen	The Psalm
Salmas	Salma's
Salmajs	Salmais
Saligheden	Bliss
Saliggørelsen	The Beatification
Saliggjører	Blesser
Saliggjørelsens	The Beatitudes
Salgs	Sales
Salene	The halls
Salems	Salem's
Salathiels	Salad bowls
Salas	Rooms
Salamanderen	The Salamander
Saksene	The Scissors
Sakkut	Sackut
Sakkurs	Subject course
Sakkajs	Sackai's
Sakarja	Zechariah
Sahazim	Sahajim
Sahar	Sahara
Safirens	Sapphire
Safiren	The sapphire
Safenat	Safe night
Saducæer	Sadducees
Sadanne	Such
Sacharias	Zacharias
Sabdiels	Sabdiel's
Sabbud	Sabbid
Sabbatsreise	Sabbath trip
Sabbatsofferet	The Sabbath Sacrifice
Sabbatsgang	Sabbath walk
Sabbatbetyder	Sabbath means
Sabas	Saba's
Sabadja	Sabadia
Saavist	Sawasdee
Saasæd	Sow seed
Saasgas	Saas-Fee
Saarajim	Shaaraim
Saalims	Saalim's
Saalboniteren	The hall attendant
Saalboniten	Saalbonite
Saadannes	Thus
Røverhule	Robber's Den
Røveren	The robber
Røverbanderne	The robber gangs
Rørene	The pipes
Rørelsesofre	Victims of emotion
Rørelsesbrystet	The chest of movement
Rørelseofrets	The victim of the movement
Rønst	Runst
Røgstøtter	Smoke supports
Røgoøer	Smoke Islands
Røgofferet	The Smoke Offering
Røgelseskaalene	The incense burners
Røgelses	Incense
Røgelser	Incenses
Røgelseoffer	Incense offering
Røgelsealter	Incense altar
Røgdamp	Smoke vapor
Rødløgene	The red onions
Rødkridt	Red chalk
Røbelseskaalerne	The call scales
Ræves	Foxes
Ræmas	Raemas
Rædslernes	The horrors
Rådets	Council
Råbets	The cry
Ryggesløsheds	Back pain
Ryggesløses	Backless
Ryggesløse	Backless
Ryet	The rumor
Ruths	Ruth's
Rustvogne	Funeral wagons
Rustningens	The armor
Rustkamre	Rust chambers
Rustkammeret	The Rust Chamber
Rovdyrtænder	Predator teeth
Rovdyrs	Predator
Roms	Rome
Rolighedens	Tranquility
Rokken	The ray
Roertougene	The Reel Trains
Ritma	Rhythm
Rigsmænd	Rich men
Rigmændene	The rich
Rigdommens	Wealth
Riesen	Giant
Ridehestene	The riding horses
Rhodus	Rhodes
Rhoboam	Rehoboam
Revnen	The crack
Retviishedens	Justice
Rettelsens	The correction
Retstrætte	Litigation
Retskrænkelse	Violation of law
Retshal	Courtroom
Retfærligheds	Justice
Retfærlighed	Justice
Retfærelighed	Justice
Retfæreighed	Justice
Retfærdigned	Fairness
Retfærdigjørelse	Justification
Retfærdiahed	Justice
Retfældigheds	Justice
Retfældighed	Justice
Retfæerdighed	Justice
Retfordigheds	Justice
Retferdighed	Justice
Reson	Reason
Renselsesskik	Purification customs
Renselsesdagene	The Days of Purification
Renselsesdage	Cleansing days
Renselses	Purification
Renselsens	The Purification
Renselsdage	Cleansing days
Remfans	Strap fans
Remet	The strap
Rekabitternes	The Rechabites
Rejseorden	Travel order
Rejsekost	Travel expenses
Reiseselskabet	The travel company
Reisekjortel	Travel coat
Rehobs	Rehob
Reha	Rehab
Regnstrømme	Rainfall
Regnskyllene	The rain showers
Regns	Rain
Regndraaberne	The raindrops
Regndag	Rainy day
Regnbyger	Rain showers
Reglen	The rule
Regjerningsaar	Regnal year
Regjerende	Governing
Refajas	Refaja's
Refaiterne	The Rephaim
Refaiter	Rephaim
Refaimdalens	Valley of Rephaim
Reenheds	Purity
Redskaher	Tools
Ravnens	Raven's
Raseriet	The rage
Rarbunkelstene	The rare stones
Rantvillinger	Rant twins
Ransagninger	Searches
Rambukkene	The Rams
Rambukke	Rams
Ramathiten	The Ramathite
Ragekniven	The razor
Ragahus	Raga House
Rachab	Rahab
Rabbith	Rabbit
Rabbins	Rabbi's
Rabbim	Rabbi
Rabbeni	Rabbini
Raatvillinger	Raat twins
Raaseilet	The Raasay
Raadslutning	Council resolution
Raadhuset	City Hall
Raadgiverne	The advisors
Raadgiveres	Advisors
Raadets	Council
Raaben	The crow
Ra	Raw
Qvirinius	Quirinius
Pølen	The pool
Påskefejringen	Easter celebration
Pyrrus	Pyrrhus
Putæer	Putae
Puthiter	Puthites
Pusteren	The breather
Purpurkræmmerske	Purple merchant
Purpurkaabe	Purple Robe
Pundet	Pounded
Publiusʼ	Publius
Psalten	The Psalms
Psalte	Psaltes
Psalmesang	Hymn
Psalmerne	The Psalms
Præten	The preacher
Præstetjenesterne	The priestly services
Præsters	Priests
Præstedømmes	Priesthood
Præstedom	Priesthood
Præesterne	The priests
Prædikens	Sermon
Prydelser	Ornaments
Prydelsen	The ornament
Provokationen	The provocation
Provinsernes	The provinces
Prophters	Prophets
Prophten	The Prophet
Prophetinder	Prophetesses
Propheti	Prophetic
Prokoros	Prochorus
Profetinder	Prophetesses
Pralhalsen	The braggart
Pralere	Brag
Pragttelt	Splendid tent
Potteskårsporten	The Potted Rocksport
Pottemagerler	Pottery clay
Pottemagerkrukke	Pottery jar
Potiferas	Potiphar's
Portstængerne	The gateposts
Portslaaer	Door locks
Portenes	The gates
Portbygningernes	The gate buildings
Portaabningens	The door opening
Porkius	Porky
Poppelbækken	Poplar Creek
Poltstænger	Pole poles
Poloniten	The polonite
Pnuels	Penuels
Pniel	Peniel
Pløjningen	The plowing
Pløj	Plow
Plovmændene	The Ploughmen
Plovjern	Ploughshare
Platja	Beach
Plantninger	Plantings
Pisgatinden	The Pisgah Girl
Pisgabjergets	Mount Pisgah
Piream	Piramal
Piram	Pyramus
Pintsefestens	Pentecost
Pintsedagen	Pentecost
Pintsedag	Pentecost
Pindsvinet	The hedgehog
Piltkaj	Pilt quay
Pilthaj	Arrowhead shark
Pilslangen	The arrow snake
Pilrpur	Pilpur
Pilip	Philip
Pilebækken	Willow Creek
Pildask	Arrowhead
Pigernes	The girls'
Pibeset	Pipe set
Piberne	The pipes
Phrophetens	The Prophet's
Phonicien	Phoenicia
Phoenicerinde	Phoenician woman
Phlippus	Philip
Phillipenser	Philippines
Philisopher	Philosopher
Phililipus	Philippus
Pharisæerens	The Pharisee's
Pharisæere	Pharisees
Phanuels	Phanuel's
Phaleks	Phalex
Pezin	Pezinok
Peulthaj	Peultshark
Petuels	Petuel's
Petakia	Petachia
Peræa	Perea
Peruda	Peru
Personers	Persons
Persetræderen	The presser foot
Persers	Persians
Perlesnorene	The strings of pearls
Perazims	Perazim
Pengeknuder	Money knots
Pengeknuden	The Money Knot
Pengeknude	Money knot
Pengegjerrighed	Greed
Pengeaager	Moneybags
Peleths	Peleth
Pedael	Pedal
Patriarcherne	The Patriarchs
Patriarcher	Patriarchs
Passeas	Passes
Paskurs	Pass rate
Pashhurs	Pashhur
ParvajimsGuld	ParvajimsGold
Parvajim	Parvaim
Parther	Parthians
Parpar	Couple Couple
Parders	Panthers
Parderen	The Panther
Pantser	Armor
Panserhul	Armor hole
Pansere	Armors
Pandeskallen	The forehead
Panderne	The foreheads
Palæstina	Palestine
Palthiteren	The Palthiter
Palmerne	The Palms
Palmekviste	Palm branches
Palluiternes	The Palluites
Paladsers	Palaces
Pagterne	The Covenants
Pagiels	Pagiel's
Padder	Amphibians
Paat	On the road
Paaskeofret	The Passover Sacrifice
Paaskelammets	The Easter lamb
Paaskehøjtidens	Easter
Paakaldelser	Invocations
Oxen	Ox
Ovorhøjhed	Highness
Ovne	Ovens
Overvej	Consider
Overtræderne	The violators
Overskjeldede	Overrated
Overopsynsmand	Supervisor
Overmodet	Overconfident
Overlødighed	Redundancy
Overkjortlens	The overcoat
Overkjortlen	The overcoat
Overkjortelen	The overcoat
Overhofmesterens	The Chief Court Master's
Overhofmester	Chief Courtier
Overdørstykkerne	The door lintels
Overdørstykke	Overhead door piece
Overdaadighed	Extravagance
Overbærelses	Indulgence
Otterslangens	Otter snake
Otniels	Othniel's
Othniels	Othniel's
Osnitiernes	The Osnitians
Ordvexel	Word exchange
Ordlyden	The wording
Ordkrig	War of words
Ordgyder	Word Alley
Ordenes	The words
Opvartning	Waiting
Optænk	Imagine
Optugtere	Disciplinarians
Opsynsmanden	The overseer
Opstandelses	Resurrection
Opsig	Termination
Oprindelser	Origins
Oprigtigheds	Sincerity
Oprems	Upset
Opreisning	Resurrection
Opmål	Measurement
Opløsnings	Resolution
Opløftelse	Upliftment
Oplær	Train
Opleder	Leader
Opklædningen	The dress-up
Opirrelses	Excitement
Opirrelser	Excitement
Opirrelse	Excitement
Opgangstrin	Staircase steps
Opdel	Divide
Opblæstes	Inflated
Onyksstenene	The onyx stones
Onosletten	The Onos Plain
Ondskahs	Evil
Ondskaber	Evils
Omstandelse	Circumstance
Omskærer	Circumciser
Omskjærelse	Circumcision
Omregningen	The conversion
Omkvædet	The chorus
Omivendelse	Conversion
Omhængets	The drapery
Omgangen	The round
Olympas	Olympus
Olympa	Olympus
Olivenhaverne	The olive groves
Olietræers	Olive trees
Oliesaftens	Oil juice
Oliekviste	Olive branches
Oliekvist	Olive branch
Oliekrukken	The oil jar
Oliekarret	The oil pan
Oliekar	Oil tank
Oliegaardene	The olive groves
Oliegaard	Olive Garden
Oliebørn	Oil children
Oliebrødskage	Oil bread cake
Oliebrødkage	Oil bread cake
Olieblad	Olive leaf
Oldtidens	Ancient
Oldtiden	Ancient times
Oksers	Oxen
Oksedriverstav	Bull-driving staff
Ogsom	Also
Ofrets	Victim's
Ofni	Oven
Oflergaver	Offerings
Offringer	Sacrifices
Offrene	The victims
Offrende	Sacrificing
Offrelse	Sacrifice
Offerslagtnings	Sacrificial slaughter
Offerslagtning	Sacrificial slaughter
Offerskaalerne	The sacrificial bowls
Offerskaalen	The Sacrificial Bowl
Offerne	The victims
Offerhus	Sacrificial House
Offergrave	Sacrificial graves
Ofelhøjens	Ophel Hill
Obadjas	Obadiah
Nøo	Noo
Nøisomhed	Thriftiness
Nøgenheds	Nudity
Nødems	Nodems
Nøddehaven	The Nut Garden
Næseringene	The nose rings
Næeste	Next
Nytårsofferet	The New Year's sacrifice
Nytårsfesten	New Year's Eve party
Nysen	Sneezing
Nyrers	Kidney
Nymfa	Nymph
Nymaaner	New Moon
Nymaaneden	New month
Nydeligt	Beautiful
Nordøstorkanen	The Northeast Hurricane
Nordvæggen	The North Wall
Nordenvindene	The North Winds
Nordenvejret	Nordic weather
Nordenlandet	Nordic countries
Non	Nun
Noge	Something
Niniviter	Ninevites
Nimshis	Nimshi's
Nildeltaets	The Nile Delta
Nikopolis	Nicopolis
Nikanor	Nicanor
Nidkjærheden	The zeal
Niddinger	Nidding
Nicolaus	Nicholas
Netofatiternes	The Netophathites
Nethopathi	Nephropathy
Nethofathiternes	The Netophathites
Nethanias	Netanya
Nethan	Nathan
Netanjas	Netanyahu
Nemueliternes	The Nemuelites
Nefthóas	Nephthoas
Nedtrædelses	Resignation
Nedstammelse	Descent
Nedsablingen	The downsizing
Nedladelse	Condescension
Nedbøj	Bend down
Nedbøiede	Prostrate
Nebuzar	Nebuchadnezzar
Nebobjerget	Mount Nebo
Nebakadnezar	Nebuchadnezzar
Nebajoths	Nebajoth
Naʼaran	Na'aran
Naʼamat	Naamat
Nazaræus	Nazarene
Navnets	The name
Naums	Naum's
Natttenover	Night night
Nattesynerne	The Night Visions
Natteskjul	Night shelter
Nassons	Nasson's
Nasiræerne	The Nazarites
Nasiræerloven	The Nazirite Law
Nasiræerens	The Nazarite
Narudssalve	Narud ointment
Narkissos	Narcissus
Narder	Nards
Naphthali	Naphtali
Naphtalis	Naphtali
Nahums	Nahum
Nafhalis	Naphtali
Nadverens	The sacrament
Nachors	Nahor
Nabóerskerne	The Neighbors
Nabokonerne	The Neighbors
Naboen	The neighbor
Naaras	Female
Naamiternes	The Naamites
Naam	Name
Naadestolon	Grace stolon
Naadestolens	The mercy seat
Naadegaverne	The Graces
Mørkhedsdag	Day of Darkness
Mønstringsporten	The muster gate
Møllestene	The millstones
Møllerne	The mills
Møllen	The mill
Mølens	The mill
Møget	The muck
Møddingpølen	The mud puddle
Mærketegn	Brand name
Mærkestene	The markers
Mængtige	Numerous
Mængdes	Quantity
Mæn	Men
Mæles	Measured
Mæbtige	Mighty
Målebåndet	The measuring tape
Myrtegrene	Myrtle branches
Myrrakugle	Myrrh ball
Myrden	The murder
Mynt	Coin
Musiters	Musicians
Musiternes	The musicians
Mushis	Mushi's
Murmestrene	The bricklayers
Murmestre	Bricklayers
Murmestere	Bricklayers
Murenes	The walls
Murbruddene	The wall breaks
Mundtaler	Spokesperson
Mundslag	Mouth slap
Mundskænks	Mouthpiece
Mundbid	Mouth bite
Mulæsler	Mules
Mulvarpen	The Mole
Muldvarpene	The Moles
Mulde	Mule
Moserot	Moss root
Moselovens	The Mosaic Law
Morijabjerget	Mount Moriah
Morija	Moriya
Morianers	Morian's
Morianernes	The Morians
Morgenstjerner	Morning stars
Morgenerne	The mornings
Morgene	The mornings
Mores	More
Morenen	The moraine
Mordernes	The murderers
Morderens	The murderer's
Mordekaj	Mordecai
Morbærtræer	Mulberry trees
Morbærdalen	Mulberry Valley
Morbroders	Uncle's
Morasktiten	The Morastic Stone
Moraskthiten	Moraskhite
Moraen	The Moraine
Moloks	Moloch
Molochs	Moloch
Modulernes	The modules
Modstaneren	The opponent
Modstandernes	Opponents
Modstanderens	Opponent's
Modgangs	Adversity
Modersliv	Motherhood
Modermordere	Matricide
Moderlivs	Maternal
Moderlivets	Motherhood
Moderlivet	Motherhood
Modbillede	Counterimage
Moabiters	Moabites
Moabiten	The Moabite
Mitzpas	Mitzvah
Mitylene	Methylene
Mithniten	Mithnite
Misraiter	Misraites
Miskundlleden	The Compassionate One
Miskundbed	Please forgive me.
Miskunahed	Compassion
Misgjerning	Misdemeanor
Misgerrling	Miscarriage
Misgernirlg	Misdemeanor
Misgerningerne	The misdeeds
Misgernger	Misdemeanors
Misgab	Misgap
Misdæderstad	Crime City
Minnis	Minnie
Minni	Minnie
Mindres	Less
Mindetegn	Memorial
Mindestøtte	Memorial support
Mindealter	Memorial altar
Milkas	Milka's
Mikals	Mikal's
Mikajas	Micaiah
Mij	Me
Midtianiternes	The Middle Ages
Midterporten	The Middle Gate
Midnateller	Midnight
Midlers	Middlemen
Midleren	The mediator
Midianiters	Midianites
Middelhavskysten	Mediterranean coast
Middelhav	Mediterranean
Middagsmaaltid	Dinner
Middagsglansen	The dinner shine
Middags	Dinner
Metusela	Methuselah
Metusalems	Methuselah
Methuselas	Methuselah
Methusalas	Methuselah
Mesullemeth	Meshullemeth
Mestres	Master's
Mesterinde	Mistress
Messiasløfte	Messiah promise
Messiaskonge	Messiah King
Messiashåbet	The Messiah's Hope
Messesabeels	Messabeels
Mesopotania	Mesopotamia
Mesopotamierne	The Mesopotamians
Mesillemoth	Mesille moth
Meshullams	Meshullam
Meshillemit	Meshillemite
Mesheks	Meshech
Meshaks	Meshach
Mesesabeels	Mesezabel
Mesesabeel	Meshezabeel
Merom	More
Mermeskesøn	Mermeskeson
MeribasVand	MeribasWater
Mercurius	Mercury
Meonothaj	Meonothai
Menrreskens	Men's
Mennneskens	Human
Mennesksøn	Son of Man
Mennesks	Humans
Mennesketyve	Thieves
Menneskesnore	Human ropes
Menneskerøst	Human voice
Menneskekjærlighed	Humanity
Menneskehænders	Human hands
Menneskehjorde	Human herd
Menneskefrygt	Fear of man
Menneskefod	Human foot
Menneses	People
Mennesenes	People's
Menighedeer	Congregations
Menensker	People
Melurt	Powdery mildew
Melonerne	The melons
Melodak	Melodac
Mellemvæg	Partition
Melkisedeks	Melchizedek
Melkisedek	Melchizedek
Melea	Melee
Mehetabeels	Mehetabel's
Mehetabeel	Mehetabel
Mehalleb	Mehaleb
Megiddopasset	Megiddo Pass
Megiddons	Megiddo
Megiddodalen	Valley of Megiddo
Medtjenerne	The fellow servants
Medtidenhed	Modernity
Medhustrus	Cohabitation
Medhustruerne	The concubines
Meder	Medes
Meddisciple	Fellow disciples
Medbrødres	Fellow brothers
Medborgere	Fellow citizens
Medarbidere	Contributors
Mebunaj	Mebunay
Maʼaz	Ma'az
Maʼarat	Ma'arat
Maʼaj	Ma'aj
Maʼadja	Ma'adja
Maʼadaj	Ma'aday
Mattæusʼ	Matthew
Mattija	Matthias
Matthats	Matt's
Matthatha	Mathatha
Matthas	Matthaes
Masal	Masala
Masaj	Masai
Marmorstene	Marble stones
Markarbejdet	Fieldwork
Marcedonier	Macedonians
Manuskripterne	The manuscripts
Mannaen	The Manna
Mangfollighed	Diversity
Mangfol	Variety
Manerens	The manner
Manen	The mane
Mandtallet	The number of men
Mandstøj	Men's clothing
Mandskjøn	Male gender
Mandsbilleder	Male pictures
Mandraberen	The Mandraker
Mandkønnet	Male
Mander	Men
Mandeltræet	The almond tree
Mandelstav	Almond stick
Mandelgren	Almond branch
Mandelblomstbærere	Almond blossom bearers
Manddrabers	Manslaughter
Manddoms	Manhood
Manass	Manasseh
Malkus	Malchus
Malkijas	Malchijah
Malkieliternes	The Malchielites
Makiriternes	The Makirites
Makerathiten	The Makerathite
Makedoniens	Macedonia
Majestæten	Majesty
Maheviterne	The Mahevites
Maheliternes	The Mahlites
Mahalalels	Mahalalel's
Mahalaleels	Mahalaleel
Magpias	Magpies
Magogs	Magog
Magdalas	Magdalene
Magbish	Maghbish
Magbis	Magpies
Maedaj	Maeday
Madofrets	Foodies
Madoffers	Food offerings
Madofferets	The food offering
Madkrogen	The food corner
Madkroge	Food stalls
Madkrog	Food court
Mader	Ways
Madeofret	Made offering
Maddiker	Maggots
Madaager	Madagascar
Macedonierne	The Macedonians
Macedonier	Macedonian
Macedoniens	Macedonia
Maaseja	Maasej
Maanesyge	Insanity
Maaneed	Month
Maanedstid	Month
Maanede	Months
Maand	Month
Maaltider	Meals
Maalene	The goals
Maakatitens	The Maacathite
Maakatiten	The Maachatite
Maakathiters	Maacathites
Maakathiterne	The Maacathites
Maakathiten	The Maacathite
Maaj	May
Maaden	The way
Løveungen	The lion cub
Løvet	The leaves
Løveinde	Lioness
Løsere	Solvers
Løsepene	The loose pen
Løsagtighed	Looseness
Lønkamre	Payroll
Løjbænken	The Løjbench
Løgns	False
Løgnepen	Lying pen
Løfters	Promises
Løfle	Spoon
Løan	Loan
Læsningen	The reading
Læreren	The teacher
Læren	The doctrine
Længdemaalet	The length measure
Længdemaal	Length
Lældom	Laeldom
Lækkre	Delicious
Lækkerheder	Delicacies
Lægmands	Layman's
Lægedorm	Medical dorm
Lægedoms	Medical judgment
Lægedommens	The medical profession
Lægdom	Layman
Læderflaske	Leather bottle
Læderbelte	Leather belt
Læbernes	Lips
Lyven	The lie
Lystskove	Pleasure forests
Lysts	Likes
Lysterne	The desires
Lystens	The desire
Lysningens	The clearing
Lysestag	Candlestick
Lysesaksene	The candle scissors
Lysenes	The lights
Lyrus	Lyre
Lynen	The Lightning
Lykien	Lycia
Lykaonien	Lycaonia
Lydias	Lydia's
Lycien	Lycia
Lycaonisk	Lycaonian
Lycaonien	Lycaonia
Lybiens	Libya
Lybia	Libya
Lurere	Tricksters
Lunden	The grove
Luhitpasset	Luhit Pass
Ludsalt	Lye salt
Ludierne	The Ludians
Lovsangsdalen	The Valley of Praise
Lovprisnings	Praise
Lovofret	The sacrifice of praise
Lovofre	Law offerings
Lovlærer	Law teacher
Lovlighed	Legality
Lovgivningen	The legislation
Lovgiveren	The legislator
Lovang	Love
Lotusplanterne	The lotus plants
Lokkerne	The lures
Lokalet	The venue
Logulv	Log floor
Loftkonstruktionen	The ceiling construction
Loftets	The ceiling
Loerne	The Loins
Lodderne	The lots
Lodbænke	Soldering irons
Livsdages	Lifetime
Livsaligheder	Life's blessings
Livsaar	Life years
Livsaande	Life breath
Livkjortelens	The waistcoat
Livkjortelen	The life jacket
Liviterne	The Levites
Linklædet	The linen cloth
Linied	Lineage
Lindklæder	Lindenclothes
Lillien	Lily
Lilleasiens	Asia Minor
Lilftning	Lifting
Lihanons	Lihanon's
Ligngelse	Simile
Ligkjortlens	The shroud
Ligheddermed	Similarities with
Ligbålet	The funeral pyre
Ligbendefæ	Lying-behind cattle
Ligbaaren	The corpse
Lidgyde	Lidgaye
Lidelsers	Sufferings
Libnnon	Lebanon
Libniters	Libnitz
Libniternes	The Libnites
Libanondalen	Lebanon Valley
Levningerne	The remains
Levitslægternes	The Levites
Levierne	The Levites
Levenetsmidlerne	The means of livelihood
Levendegjorde	Made alive
Lethek	Lethak
Lerhuse	Mud houses
Lergryder	Clay pots
Lerflasker	Clay bottles
Lerborge	Clay castles
Lemeks	Lemek
Lekas	Playful
Leka	Play
Lejres	Camp
Lejets	The rent
Lejesvende	Hired workers
Lejen	The rent
Lejderne	The ladders
Leire	Clay
Leir	Camp
Leiet	The rent
Leiesvendene	The hired hands
Leiesvenden	The journeyman
Leiesvend	Hired worker
Legionen	The Legion
Legemsbygnings	Bodybuilding
Legemerne	The bodies
Leer	Clay
Lediggængere	Idle people
Ledad	Lead
Leafras	Leaf grass
Lavlandel	Lowland
Lastdragernes	The load carriers
Larids	Larissa
Laodikæa	Laodicea
Laodicensers	Laodiceans
Langmodigheds	Long-suffering
Langdmodighed	Long-suffering
Landskabets	The landscape
Landskabernes	The landscapes
Landshøvdingene	The governors
Landshø	Country hay
Landshævdingerne	The chiefs
Landsgrænsen	The border
Landflytighed	Rural migration
Landflygtighedsdage	Days of exile
Landemærkes	Landmark
Landemæke	Landmark
Landemserker	Countryside
Lammmets	Lamb's
Lammenle	Lamb's nest
Lamechs	Lamech's
Ladheds	Laziness
Labben	The paw
Laasen	The lock
Laaget	Layered
Laag	Lid
Køresvenden	Driver
Køresvend	Driver
Kørehestene	The workhorses
Køreheste	Driving horses
Kølvandet	The wake
Køllen	The club
Kødgryderne	The meat stews
Kødgryden	The meat stew
Købmænden	The Merchants
Købmæend	Merchant
Købmandsland	Merchant country
Købmands	Merchant's
Købesteder	Shopping places
Købebrev	Deed of sale
Kæverne	The jaws
Kærlighedsplanten	The love plant
Kærlighedsgerninger	Acts of love
Kæmpernes	The fighters
Kæmpelandet	The Giant Country
Kæmpeland	Giant country
Kæmpehagl	Giant hail
Kælderne	The cellars
Kæerlighed	Love
Kædebon	Chain link
Kæbehøjen	The jawbone
Kæ	Cow
Kyndighed	Expertise
Kvøg	Cattle
Kvægteltene	The cattle tents
Kvægpest	Rinderpest
Kvægets	Cattle
Kvnge	Queen
Kvindene	The women
Kvindelne	The women
Kvindekønnet	Female
Kvindeklæder	Women's clothing
Kvartus	Quartz
Kusans	Kusan
Kurvene	The baskets
Kursa	Course
Kunstvævning	Art weaving
Kunstnerhaand	Artist's hand
Kunstneres	Artists'
Kunster	Arts
Kungens	The King's
Kundstgreb	Artful grip
KundskabsYpperlighed	Knowledge Excellence
Kulon	Kulun
Kuler	Bullets
Kuldild	Coal fire
Kub	Cube
Ksever	Xever
Krønikels	Chronicle
Kræsenhed	Pickiness
Kræmmerfolket	The shopkeepers
Kronestene	The crown stones
Krones	Crowns
Kronens	The Crown
Krokodillen	The crocodile
Krogvej	Hook Road
Kroer	Inns
Kristendommens	Christianity
Krigsøverster	Warlords
Krigsøversten	Warlord
Krigstøj	Military clothing
Krigstummelen	The war rumble
Krigstoget	The war train
Krigsstøvle	War boot
Krigsredskaber	Tools of war
Krigsraabs	War cry
Krigshøvedsmandens	The warlord's
Krigshøvdingers	Warlords
Krigshære	War army
Krigsfolkene	The warriors
Krigsbulder	War Thunder
Krigers	Warriors
Krigerle	Warrior's Hammer
Krigeren	The Warrior
Kriben	The crib
Kreti	Crete
Kreternes	The Cretans
Kreskens	Crescens
Krens	Circle
Krandsen	The wreath
Krandse	Wreaths
Krands	Crowns
Kramper	Cramps
Krampen	The cramp
Kragen	The crow
Kraftløsheden	The powerlessness
Kraf	Power
Kostharheder	Diets
Koses	Cuddles
Kose	Cuddle
Kosams	Kosam's
Korruptionen	The corruption
Kornsæden	The grain
Kornloer	Cornflakes
Kornhob	Grain heap
Kornforraadet	The grain supply
Korndynge	Grain heap
Korhiterne	The Corinthians
Korhiteren	The Korhitian
Korets	Choir
Kores	Koresh
Korban	Sacrifice
Korahs	Korah's
Konæ	Konae
Konrer	Conners
Kongesønnen	The King's Son
Kongestaden	The Royal City
Kongespir	Kingspirate
Kongerækken	The Royal Family
Kongerls	King's
Kongeporten	The Royal Gate
Kongepaladser	Royal palaces
Kongene	The Kings
Kongejubel	Royal jubilation
Kongeherlighed	Royal glory
Kongedøtre	King's daughters
Kongedømmets	The Kingdom
Kongedatteren	The King's Daughter
Kongedammen	The King's Pond
Kongebog	Book of Kings
Konens	Wife's
Kon	Sex
Kolossæ	Colosseum
Koligeriger	Coal empires
Kokkepiger	Maids
Kokkenes	The chefs
Koferdrue	Trunk grape
Koferblomster	Suitcase flowers
Koen	Sex
Kobbertøj	Copperware
Kobberstøtter	Copper supports
Kobberstænger	Copper bars
Kobberstole	Copper chairs
Kobbersmeden	The coppersmith
Kobberrør	Copper pipe
Kobberringe	Copper rings
Kobberporte	Copper gates
Kobbermure	Copper walls
Kobbermur	Copper wall
Kobberkløer	Copper claws
Kobberkedler	Copper kettles
Kobberkastespyd	Copper javelin
