㑫	nộm
死	phơi tử
殀	yểu
殃	trưa ương
殉	tuẫn
殊	thùa
殘	đêm tàn
殪	ế
殮	liệm
殯	tấn
段	đoạn
殷	ân
殺	sát
殼	nôi xác
殿	điện
毀	huỷ
毅	nghị
毋	vô
母	mẫu
每	dằm mỗi
毒	độc
比	tỉ
毛	mao
毫	hào
毬	choác cầu
毯	xồm
氂	li
氈	chen
氏	thị
民	dân
氓	manh
氣	khí
水	héo thuỷ
永	vắng
汀	đênh
汁	chấp
求	cầu
汊	xoà
汐	đập tách
汓	tở
汕	khung sươn
汛	vàm
汜	dẫy
汝	nhớ
江	giang
池	trì
污	ô
汨	nhặt
汫	giếng
汰	vè thảy
汲	cụm ngập
汵	ngấm
決	quyết
汿	dơ
沁	tắm
沃	óc
沈	đắm
沉	tròm
沌	xộn
沐	múc
沒	mớ một
沓	đạp
沔	miền
沕	vắt
沖	khem trong
沙	vành sa
沚	chảy
沛	phải
沫	mượt
沱	săng đờ
河	hà
沸	phí
油	dầu
治	trị
沼	trẻo
沾	chăm
沿	duyên
泄	tướt
泅	tù
泆	dật
泉	tuyền
泊	bạc
泍	bẩn
泑	ao
法	pháp
泗	tứa
泙	bềnh
泛	phiếm
泜	dề
泠	lênh
泡	bàu
波	ba
泣	khắp
泥	nhãn nề
注	chú
泪	thớt lệ
泮	bợn
泰	thái
洁	thợ cát
洃	hôi
洄	hói
洅	tưới
洊	tuồn
洋	dương
洌	rét
洏	nhỉ
洒	sái
洗	tẩy
洙	chua
洛	rặc
洞	đọng
洟	dề
洡	giội
洩	dáy
洪	suyền hồng
洮	rệu
洲	chòng chao
洳	nhơ
洷	sờ xối
活	hoạt
派	phái
流	lưu
浗	gàu
浘	vã
浠	hơ
浡	bọt
浥	ướp
浧	sình
浬	rí
浮	phù
浰	rời
海	hải
浸	tắm
浽	nổi
涂	dơ
涅	nết
涇	kinh
消	tiêu
涉	thiệp
涓	quen
涖	rang rị
涗	đuối
涞	thui
涯	rượi
液	giá
涸	hạt
涼	lương
淁	thiếp
淋	lấm
淎	vũng
淒	thê
淘	đào
淚	lệ
淟	sượng đén
淡	đạm
淢	thổi vực
淤	ứa
淥	lóc
淩	lâng
淪	lún
淫	dâm
淬	rót
淮	hoài
淯	rộc
深	thâm
淳	choang
淵	uyên
淶	lai
混	hổn
淹	êm
淺	thiển
添	thiêm thêm
渃	nước
清	thanh
渚	chã
減	giảm
渠	cừ
渡	đò
渤	bọt
渥	ốc
渨	hoáy
温	ồn
測	trắc
渭	ngan vây
港	cảng
渴	khát
渼	mẻ
湄	mưa
湅	rịn
湆	ùm
湈	sói mủ
湎	giờn
湓	bùn
湖	hồ
湘	tương
湛	đậm
湥	dột
湧	rụng
湨	xố
湯	thang
湲	bợn
湳	nươm
溋	duềnh
源	nguồn
溕	trùng trụng
準	chuẩn
溘	hụp
溧	rớt
溪	khe
溳	vờn
溶	ròng
滀	sốc
滂	bẵng
滅	diệt
滇	chan
滈	hao
滌	sạch
滑	gột
滔	thao
滝	sông
滯	sệ
滲	rướm
滴	nhích
滾	củn
滿	mãn
漁	ngư
漂	phều
漉	lộc
漊	sâu
漏	lậu
漑	ngấy
漓	lầy
演	diễn
漠	mạc
漢	hán
漣	lăn
漨	vùng
漫	man
漲	trướng
漴	sòng
漸	tiệm
漼	dồi
潐	tèo
潔	khiết
潗	bập
潙	vơi
潛	tiềm
潠	lún
潤	nhuần
潦	lẻo
潭	đằm
潮	triều
潯	tầm
潰	hói
潷	vuốt
潺	sờn
澄	chừng
澆	khú nhão
澎	dề bành
澤	rạch
澮	gội
澾	dạt
激	váng khích
濁	trọc
濃	nống
濈	xắp
濓	nhèm
濔	nhễ
濕	lậu thấp
濛	mông
濞	tia
濡	nhụa
濤	đào
濧	đuối
濫	lạm
濼	nhợt
瀂	rỏ
瀉	tả
瀋	thẳm
瀐	tươm
瀘	lư
瀝	lạch
瀧	rông
瀾	nhắm làn
灑	ngơ rợi
灟	luộc
灡	làn
火	hoả
灯	đăng
灰	hôi
灵	linh
灶	táo
灸	cứu
灼	chước
災	tai
灾	tai
炊	tròn sôi
炎	viêm
炐	phừng
炒	sao
炖	đoái đùn
炟	rán
炤	chiếu
炥	phụt
炩	rạnh
炪	đốt
炭	than
炮	pháo
炳	đòng bính
炶	trèm
点	điểm
烈	liệt
烊	rang
烏	ô
烘	hong
烛	chúc
烝	chưng
烣	tro
烤	khảo
烸	mồi
烹	phanh
焉	vờn
焒	lửa
焓	hầm
焙	vùi
焝	hun
焞	hửng
焠	sốt
無	vô
焩	vằng
焰	diễm
然	nhiên
焾	nám
煉	luyện
煏	bức
煤	muồi
照	chiếu
煨	oi
煩	phiền
煽	phiến
熄	tắt
熅	đào ùn
熊	hùng
熑	mũi rim
熙	hây
熟	thục
熣	thui
熨	ủi
熱	nhiệt
熶	chói
熷	tưng
熾	xé
燃	nhen
燈	đăng
燉	đun
燎	díp liệu
燐	lân
燒	thiêu
燕	én
燥	táo
燦	xán
燭	đuốc
燰	áy
燶	nóng
燻	hun
燼	tần
爁	rám
爉	dộp
爌	quáng
爐	chùa lô
爙	nháng
爛	lạn
爪	trảo
爫	làm
爬	bò
爭	tranh
爰	vươn
爲	vay
爵	tước
爽	sửng
爾	nhãi
牀	giường
牆	teo tường
片	phiến
版	bản
牋	tiên
牌	bài
牒	điệp
牙	nha
牛	ngưu
牟	rậm màu
牢	lao
牣	nhẳn
物	vật
牲	sinh
特	đặc
犀	tê
犠	nghé
犯	phạm
狀	trạng
狂	cuồng
狃	nữu
狄	địch
狐	hồ
狔	nai
狗	cẩu
狡	giảo
狹	hẹp
狼	lừa lang
猉	cầy
猊	nghê
猛	mãnh
猢	hồ
献	hiến
猴	hầu
猿	rô vượn
獄	đong ngục
獅	tép sư
獒	ngao
獓	ngao ngáo
獨	độc
獬	giải
獰	nanh
獲	hoạch
獵	lốp
獸	thú
獺	rái
獻	hiến
玄	huyền
玉	ngọc
王	vương
玡	ngà
玩	ngoạn
玲	liếng
玳	ngan đồi
玷	dẽ điếm
珀	phách
珊	san
珍	trân
珠	châu
珥	yến nhẹ
班	ban
現	hiện
球	cầu
理	lí
琉	lưu
琜	trai
琢	chác
琴	cầm
琵	tì
琶	bà
瑁	cười mồi
瑙	não
瑚	hô
瑟	sắt
瑤	rơm dao
瑪	mã
璃	rế li
璧	bích
璽	tỉ
瓊	sừng quỳnh
瓜	qua
瓢	bầu
瓦	ngói
瓶	bình
瓷	dậu sứ
甌	âu
甍	mành
甓	bịch
甕	ống
甘	bả cam
甚	thậm
生	sinh
産	sản
用	dụng
甫	phủ
田	điền
由	do
甲	giáp
男	nam
界	giới
畏	uý
畑	đèn
留	lưu
畜	chuỗi súc
畢	đứt tất
略	lược
番	dẻo phen
畫	hoạ
畱	lưu
當	đương
畺	cưng
疊	điệp
疋	sất
疏	sớ
疔	đinh
疗	lểu
疚	nhíu
疪	tì
疫	dịch
疲	bì
疸	đớn
疹	chẩn
疽	thư
疾	tật
痀	khú
病	bệnh
症	chứng
痊	thuyên
痔	trĩ
痕	nốt ngấn
痘	đậu
痛	thống
痢	lị
痰	đờm
痶	đẹn
痹	tê
痿	oải
瘀	ứ
瘁	tuỵ
瘋	phong
瘖	ốm
瘟	ôn
瘢	ban
瘦	xấu
瘴	chướng
療	liệu
癆	còm lao
癐	quặm hủi
癜	đẹn
癡	si
癰	ung
癲	điên
癸	quý
登	đăng
發	phát
白	bạch
百	vầu bách
的	đích
皆	giai
皇	hoàng
皋	đậu cau
皐	cau
皮	bì
皿	mãnh
盃	bôi
盆	phơ bồn
盈	dềnh
益	ích
盎	áng
盒	hộp
盔	khôi
盗	đạo
盛	thịnh
盜	dừa
盞	chén
盡	tận
監	giám
盤	bàn
盧	lư
目	mục
盲	xồm manh
相	tương
盾	thuẫn
省	tỉnh
眇	dẻo
眈	xẩm
眉	mi
看	trầu khan
眓	mù
眛	muội
眜	mắt
真	chân
眠	miên
眣	chợt
眩	gioèn
眪	rĩnh
眭	vờ khoé
眷	quyến
眼	cua nhản
眾	chúng
睒	cò gườm
督	đốc
睦	mục
睨	nghễ
睸	mí
睹	đủ
瞋	trân
瞑	thằn manh
瞞	man
瞭	lẹo
瞳	chàng tròng
瞻	chiêm
瞼	lim
矇	mông
矌	quạng
矑	kẻ lờ
矗	sực
矛	mâu
矜	căng
矢	ngao thỉ
矣	hỉ
知	tri
矧	thẩn
矩	củ
短	đoản
矯	kiểu
石	thạch
研	khăn nghiên
砧	khâm chỉm
砭	đãy bìm
砲	bâu pháo
破	phá
硌	ngắc
硫	lưu
硬	khư ngạnh
硯	khố nghiền
碁	cờ
碍	ngại
碎	toái
碞	yếm nham
碧	cời bích
碩	thạc
確	xác
磊	lối
磋	vải tha
磔	kẹt
磨	mài
磬	khánh
磷	co lân
磺	hoàng
磾	sạn
礌	sỏi
礎	sờ
礙	ngại
礦	khoáng
礬	trối phèn
示	đình thị
礼	lễ
社	xã
祚	tộ
祝	chúc
神	thần
祠	từ
票	phiếu
祭	tế
祿	lộc
禀	bẩm
禁	cấm
禍	hoạ
福	phúc
禦	ngừa
禫	đệm thiện
禮	lễ
禱	đảo
禹	dừng vũ
离	le
禽	cầm
禿	thóc
秀	tú
私	tư
秉	bảnh
秋	thu
科	khoa
租	dịp tô
秤	xứng
秥	chiêm
秧	ương
秩	trật
称	xưng
秷	gié
秸	gặt
移	dời
稀	hi
稊	thê đề
程	trình
税	thuế
稔	nậm
種	chõng
稱	xưng
稽	ghê
穊	cấy
積	tích
穎	dĩnh
穢	uế
穩	ủn
穫	hoạch
穭	hớt lúa
穴	huyệt
究	cứu
穹	khum
空	không
穿	xuyên
突	đột
窈	yểu
窒	khỏng
窕	điệu
窗	song
窘	quẫn
窞	dòm
窮	cùng
竅	khíu
立	lập
站	trạm
竟	cánh
章	chương
童	đồng
竭	kiệt
端	đoan
竹	trúc
竿	cần
笀	măng
笈	cặp
笘	đồn chòm
笙	dấm sênh
笛	địch
笠	lợp
笣	vầu
笤	giậu
符	bùa
笪	đác
第	nồng đệ
笯	nò
笱	càu
笵	phạm
筆	bút
等	đẳng
筋	gân
筏	phẹt
筑	trúc
筒	đồng
筓	kê
答	đáp
策	sách
筤	lẵng
筥	rá
筩	thúng
筭	toan
筮	vầu
筲	sáo
箇	cá
箏	tranh
箕	kia
算	toán
管	quản
箤	nhốt
箭	tiễn
箱	rương
箴	bú giăm
箸	giạ
節	tiết
篆	triện
築	trốc
篘	sô
篙	gàu
篝	quảu
篡	choán
篤	đốc
篥	sặt
篩	rây
篷	bong
簜	thang
簡	giản
簦	đăng
簩	lau
簪	trâm
簫	tiêu
簬	rọ
簾	rèm
籃	xờm
籖	tăm
籚	gắt lờ
籠	lồng
籣	tràn
籺	hạt
粃	tẻ
粉	phấn
粒	lạp
粗	thô
粡	đòng
粹	tuý
精	tinh
糆	à miến
糊	hồ
糖	đường
糝	tấm
糞	phân
糧	lương
系	hệ
紀	kỉ
約	ước
紅	hồng
紆	vò
紇	hột
紋	văn
納	nạp
紐	néo
純	thuần
紗	sa
紙	chỉ
級	cấp
紛	phân
素	tố
紡	vưởng
索	sách
紩	nhạu thắt
紫	tía
紬	dò
累	luỵ
細	tới
紳	thang
紹	thiệu
終	chung
組	tổ
絆	bận
絏	dây
結	kết
絖	quang
絞	giảo
絡	rạc
給	cấp
絨	nhung
絩	thêu
絬	thượt
統	thống
絲	tơ
絶	tuyệt
絸	kén
絺	sì
綉	tú
綏	nối
經	kinh
綠	lục
綣	cuộn
綱	cương
網	võng
綸	luân
綽	xước
綾	trăng
綿	miên
緆	rợ
緊	khẩn
緘	dàm
緞	đoạn
締	rế
緡	mần
緣	duyên
編	biên
緯	vĩ
練	luyện
縈	quanh
縊	ải
縎	lăm gút
縐	sô
縟	nhọc
縣	huyện
縱	tung
縷	lụa
縸	mắc
縺	nếm len
總	tổng
績	tích
繁	phồn
繓	nhè tói
織	chức
繚	lèo
繞	nhiễu
繩	thằng
繪	gói
繭	kén
繰	thao
繲	dải
繳	nhàu
繶	giấy
繸	choại
繹	gịt
繼	kế
繾	khín
纀	buộc
續	tục
纏	triền
纙	là
缶	phẫu
缸	cong
缺	khuyết
缽	bát
缾	bình
罄	khánh
罔	vóng
罪	tội
置	trí
罰	phạt
署	thợ
罵	mạ
罷	bãi
羅	la
羊	dương
美	mỉ
羝	dê
羡	tiện
群	quần
義	nghĩa
羮	canh
羽	võ
翁	ông
翎	ầm liệng
習	tập
翕	hấp
翠	thuý
翡	phỉ
翥	chở
翩	phiến
翼	dực
老	lão
考	khảo
耒	lồi
耕	canh
耗	hao
耙	khịt bừa
耞	rội
耨	nậu
耳	nhĩ
耽	xẩm
聀	giõng giấc
聖	thánh
聘	sánh
聚	tụ
聯	liên
聰	thông
聲	thanh
職	chức
聽	thính
肝	gan
股	cổ
肢	chi
肣	cằm
肥	phì
肭	nọi
肯	khẳng
肱	quăng
育	dục
胂	thăn
胄	trụ
胆	đảm
背	bối
胎	thai
胒	tiếng nây
胖	bỡn
胗	chẩn
胜	thắng
胝	đì
胞	bào
胣	dạ
胤	dận
胭	nhân
胱	choáng
胳	cặc
胸	hông
胺	ươn
胼	bẹn
能	năng
脅	hiếp
脱	thoát
脹	trướng
脾	tì
脿	óng béo
腋	nách
腎	thận
腐	hủ
腑	phủ
腔	xoang
腕	oản
腛	óc
腥	tanh
腦	não
腩	nem
腫	thũng
腰	yêu
腹	phục
腿	thoái
膁	còm
膏	cao
膠	keo
膨	bành
膽	đảm
膾	gỏi
膿	nọng
臘	chạp
臟	tạng
臣	thần
臧	tang
自	tự
臭	xú
至	chí
致	nhí
臼	cối
舂	thung
舅	cậu
與	dữ
興	hưng
舉	cử
舌	thiệt
舍	xá
舒	thư
舖	phố
舘	quán
舜	thuấn
舞	vũ
航	hàng
般	bàn
船	thuyền
艋	mành
艚	tàu
艟	xuồng
艮	cấn
良	lương
艱	gian
色	sắc
艷	diễm
艸	tháu
艺	ớt
艾	ngải
艿	ạc nẩy
芃	bông
芍	thược
芎	khung
芒	mang
芙	phù
芝	chi
芟	sam
芣	búp
芮	nối
花	hoa
芷	chỉ
芹	cần
芻	so
芼	mào
芾	nào
芿	nhăng
苑	oản
苓	linh
苔	đầy
苗	meo
苙	rợp
苝	bấc
苤	phi
若	nhược
苦	khổ
苫	chôm
苭	ấu
英	anh
苲	nghêu rạ
苳	rong
苾	bí
茀	phất
茁	đốt
茄	nhà
茌	sậy
茙	ngồng
茦	thuốc
茫	mương
茶	trà
茹	nhà
茺	súng
茼	đòng
荄	gai
荇	hành
草	thảo
荍	thẩu
荎	chuối
荑	sún rì
荒	hoang
荔	lệ
荸	mụt
荼	dưa
莆	bo
莊	trang
莓	mội
莖	hành
莤	giậu
莪	ngò
莫	mạc
莯	móc
莰	vay khúm
菊	cúc
菍	đặt nấm
菕	hăm trun
菛	môn
菟	tho
菩	bồ
菫	ngẩn
華	hoa
菱	lăng
菴	am
菶	phụng
菻	lùm
萊	lai
萌	manh
萍	bềnh
萡	bạc
萩	thèm tho
萫	hảng
萬	vạn
萻	âm
落	lạc
萾	giềng
葇	nhú
葉	diệp
葖	nhút
著	trứ
董	đổng
葩	ba
葫	hồ
葬	táng
葯	dược
葵	quỳ
葸	tơi
葻	bông
蒂	đế
蒙	mông
蒜	tỏi
蒣	dừa
蒲	bồ
蒸	chưng
蓃	sấu
蓉	rong
蓋	cái
蓐	dối nóc
蓓	bụi
蓬	bồng
蓮	sen
蓻	giấp
蔑	miệt
蔓	mơn
蔗	giá
蔘	sam
蔠	chông
蔭	ấm
蕁	tùm
蕄	muống
蕉	tiêu
蕊	nhị
蕋	nhị
蕎	ướm kiệu
蕙	huệ
蕞	tỏi
蕩	đãng
蕷	nhựa
薆	ái
薈	cói
薏	é
薑	gừng
薕	rơm
薷	nho
藉	chạ
藍	lam
藕	ngó
藝	nghệ
藞	lủi
藤	đằng
藥	dược
藪	sú
藶	lịch
蘇	to
蘋	tần
蘝	lém
蘢	lùng
蘺	loe
蘿	lá
虎	hổ
虐	ngược
虔	kiền
處	xử
虚	hư
號	hiệu
虧	khuya
虫	trùng
虬	gù
虯	cù
虶	vò
虸	tửa
蚓	rận
蚕	tằm
蚜	nhá
蚤	tao
蚧	nhái
蚨	phù
蚩	si
蚫	bâu
蚵	hà
蛀	chấu
蛇	xà
蛒	cắc
蛛	châu
蛟	giao
蛦	nhăn dơi
蛭	chấy
蛮	man
蛹	nhộng
蜀	xọc
蜂	ong
蜅	bò
蜆	kiến
蜇	xít
蜍	thờ
蜚	bay
蜜	mật
蜦	trun
蝎	rết
蝒	gò nhện
蝣	du
蝩	trùn
蝳	nọc
蝴	hà
蝶	điệp
螉	ong
螠	ếch
螢	huỳnh
螮	giải
螻	sâu
蟄	trập
蟒	mãng
蟟	liu
蟡	ve
蟯	nghêu
蟲	trùng
蟳	tằm
蠅	nhặng
蠐	xê
蠓	chĩnh mòng
蠛	mọt
蠟	rệp
蠡	lãi
蠢	xuẩn
蠬	rồng
蠶	tằm tàm
蠻	mán
血	huyết
衊	mét
行	hàng
術	thuật
衛	vệ
衣	y
表	biểu
衫	oam
衰	suy
衲	nẹp
衾	khâm
袄	áo
袈	cà
袋	đãy
袍	bào
袏	ven tã
袑	chéo
袖	tụ
袙	mặc
袞	gọn
袩	xiêm
被	bị
袴	khố
裁	trài
裊	nẻo
裒	bâu
裕	dịu
裘	cừu
裙	quần
補	bổ
裝	trang
裱	bíu
裴	bùi
裸	khoả
製	chế
褓	bìu
褲	khố
褶	chấp
襆	bọc
襊	túi
襌	thiền
襘	cổi
襲	tập
襵	nếp
西	tây
要	yếu
見	kiến
規	qui
視	thị
親	thân
覺	giác
覽	lãm
觀	quan
角	góc
觟	khoé
觡	gạc
解	giải
觸	xúc
言	ngôn
訂	đính
訃	phó
計	kể
討	thảo
訓	huấn
託	thác
記	kí
訛	ngoa
訟	tụng
訥	dốt
訪	phỏng
設	thết
許	hứa
訴	tố
診	chẩn
註	chú
証	chứng
詐	trá
詔	chiếu
評	bình
詛	trớ
詞	từ
詠	vịnh
試	thí
詩	thi
詰	cật
話	thoại
詳	tường
誅	tru
誇	khoa
誌	chí
認	nhận
誓	thề
誘	dụ
語	ngữ
誠	thành
誣	vu
誦	tụng
誨	hối
説	thuyết
課	khoá
調	điều
諂	siểm
談	đàm
請	thỉnh
諒	lượng
論	luận
諛	hùa
諜	điệp
諧	hài
諫	gián
諭	dụ
諱	huý
諳	am
諶	thầm
諷	phúng
諸	chư
諺	ngạn
諾	nặc
謀	mưu
謁	yết
謎	mê
謔	hước
謗	báng
謙	khiêm
講	giảng
謝	tạ
謠	dao
謨	mô
謫	trích
謹	cẩn
證	chứng
譎	quyệt
譜	phả
警	khểnh
譬	thí
譯	dịch
議	nghị
譴	khiển
護	hộ
譽	dự
讀	độc
變	biến
讎	thù
讒	sàm
讓	nhường
讚	tán
谷	cốc
谿	khê
豆	đậu
豉	xị
豐	phong
豕	thỉ
象	tượng
豪	hào
豬	trư
豸	trại
豹	beo
豺	sài
貅	hươu
貓	mèo
貝	buổi
貞	trinh
負	phụ
財	tài
貢	cống
貧	bần
貨	hoá
貪	tham
貫	quan
責	trách
貯	trữ
貰	thởi
貳	nhị
貴	quý
貶	biếm
買	mãi
費	phí
賀	hạ
賂	lộ
賊	tặc
賓	tân
賞	thưởng
賢	hiền
賣	mại
賤	tiện
賥	đút
賦	phú
質	chất
賭	đổ
賵	phúng
贈	tặng
贍	thiệm
贓	tang
贖	chuộc
赤	xích
赦	xá
赧	nấn
赫	hách
走	tẩu
赴	phó
起	khởi
趁	sấn
超	siêu
越	việt
趠	rượt
趣	thú
趨	xu
足	túc
趾	nhảy
趿	kịp
跌	trặc
跕	chồm
距	cựa
跟	ngấn
跡	tích
跢	đá
跩	dậy
跪	quỳ
跬	khoẻ
跮	chọi
路	lộ
跳	khêu
踏	đạp
踔	xợt
踖	tếch
踘	guốc
踣	vội
踤	nhót
踪	tông
踸	chậm
蹄	đế
蹆	thủi
蹇	kiễng
蹈	dạo
蹉	tha
蹎	chân
蹜	tốc
蹟	tích
蹢	nhích
蹺	nghều
蹻	kều
蹽	trèo
躁	tháo
躅	ghen xộc
躇	chứa
躊	trù
躍	dược
躐	láp
躘	ruông
身	thân
躬	cung
躺	thẳng
軀	xo
車	xa
軌	quẫy
軍	quân
軏	ngột
軒	hiên
軟	nhuyễn
軸	trục
軿	bánh
載	tải
輕	khinh
輝	huy
輞	võng
輩	bối
輪	luân
輸	thâu
轄	hạt
轉	chuyển
轎	kiệu
轟	huênh
辛	tân
辞	từ
辟	vếch
辣	lượt
辨	biện
辱	nhọc
農	nông
迂	vu
迄	hất
过	quá
迍	trêu đón
迎	nghênh
近	cận
返	phản
远	viễn
迡	chầy
迢	dìu
迦	dà
迫	bách
迭	dật
述	thuật
迴	hồi
迷	mê
迹	tích
迻	áy đưa
追	truy
迾	lướt
退	thoái
送	tống
逃	đào
逆	nghịch
逋	bô
逎	tùa
透	thấu
逐	trục
途	đồ
通	thông
逞	sính
速	tốc
造	tạo
逢	phùng
連	liên
逭	quần
週	chu
進	tiến
逴	rước
逸	dật
逼	bức
逾	du
遁	trốn
遂	toại
遇	ngộ
遊	du
運	vận
過	quá
遏	át
道	đạo
達	đạt
違	vi
遙	diêu
遞	đệ
遠	viễn
遣	khiến
遨	ngao
適	thích
遭	tao
遯	rộn
遲	trì
遴	lận
遵	tuân
遶	nháo
遷	thiên
選	tuyển
遺	di
避	tị
邁	mại
還	hoàn
邅	chênh
邊	biên
邏	lạ
邑	ấp
邙	mương
那	na
邦	vâng
邪	tà
邾	chau
郎	lang
郡	quận
部	bộ
郭	quách
都	đô
鄕	hương
鄙	bẽ
鄧	đặng
鄭	trịnh
鄰	lân
酉	dấu
酌	chước
配	phối
酖	đam
酩	mỉnh
酬	thù
酲	xành
酷	khốc
醒	tỉnh
醜	xấu
醝	say
醫	y
醬	tương
釋	thích
里	lịa
重	trọng
野	dã
金	kim
釕	rẻo
釘	đinh
針	châm
釟	ngoắt nhíp
釧	xuyến
釭	cong
釵	thoa
鈂	đâm
鈌	khoét
鈍	nhọn
鈐	kiềm
鈕	nạo
鈙	nhặt chìa
鈮	bắn nỉa
鈸	bạt
鈼	rựa
鈽	búa
鉊	rìu
鉋	bào
鉑	bạc
鉗	kiềm
鉛	duyên
鉞	việt
鉤	câu
鉦	chiêng
鉻	lạc
銀	ngân
銃	súng
銅	đồng
銊	nhong
銑	ten
銙	giơ khoá
銷	tiu
鋂	mũi
鋟	xăm
鋥	cất xiềng
鋦	cuốc
鋪	phố
鋭	nhọn
鋯	cạo
鋲	lấp beng
鋸	cưa
鋼	gang
錁	khoá
錆	thanh
錐	dùi
錚	trành
錠	đĩnh
錢	tiền
錦	gấm
錩	xuổng
錫	thiếc
錯	thó
鍄	dí kiềng
鍊	luyện
鍮	thau
鍺	chá
鍼	châm
鍾	chung
鎌	gươm
鎖	toả
鎗	thương
鎬	nhúm cào
鎮	trấn
鎰	dát
鎶	nhẹ cà
鏌	mác
鏗	trét keng
鏡	kẻng
鏢	tiu
鐄	bịt vàng
鐐	banh rìu
鐒	xoá lao
鐘	chuông
鐙	đâng
鐮	liềm
鐰	khuân thau
鐱	kẽm
鐲	đục
鐵	thiết
鐸	đạc
鐻	gánh cứa
鑅	lỏng vành
鑊	vạc
鑕	sểnh chặt
鑠	thước
鑧	thoa khoan
鑨	xuổng
鑼	la
鑿	tạc
長	trường
門	môn
閉	bế
開	khai
閍	muôn
閏	nhuận
閑	nhàn
間	gian
閣	các
閧	hổng
閨	khuê
閲	duyệt
閾	vắc
闌	làn
闖	sấm
關	quan
闡	xén
阮	nguyễn
防	phòng
阻	trở
陂	bê
附	phò
陋	lậu
降	giáng
限	hạn
陛	bệ
陞	thăng
院	viện
陣	trận
除	trừ
陰	âm
陲	thuỳ
陳	trần
陵	lăng
陷	hãm
陸	lục
陽	dương
隄	đê
隆	long
隊	đội
階	giai
隔	cách
隘	ải
隙	khích
障	chướng
隨	tuỳ
險	hiểm
隰	thấp
隱	ẩn
隴	luống
隻	chiếc
雀	tước
雄	hùng
雅	nhã
集	tập
雉	trĩ
雋	tuấn
雌	thư
雍	ủng
雖	tuy
雙	song
雜	tạp
離	li
難	nan
雲	vân
雴	rợp
零	lênh
雷	lôi
霂	đong móc
霆	đình
霈	pháy
霍	hoắc
霏	phay
霑	dìm
霓	nghi
霖	lâm
霜	sương
霧	vụ
霪	dầm
露	lộ
霸	bá
靀	mống
靂	rích
靈	linh
青	thanh
非	phi
靡	mị
鞅	óng
鞋	hài
鞍	yên
鞏	củng
鞠	cúc
韁	cương
音	âm
韵	vần
韶	thiều
韻	vận
響	hướng
頂	đính
頃	khoảnh
項	hạng
順	thuận
須	tua
頌	tụng
預	dự
頑	ngoan
頓	đốn
頗	phở
領	lãnh
頡	gật
頭	đầu
頴	nhánh
頺	đồi
額	ngạch
顒	dong ngóng
顔	nhan
願	nguyện
顛	điên
類	loại
顧	cố
顯	hiển
風	phong
颯	táp
飄	phiêu
飛	phi
飢	cơ
飭	sức
飲	ẩm
餅	bánh
養	dưỡng
餒	nuôi
餘	dư
館	quán
餲	ưởi
饌	soạn
饑	cơ
饒	nhiêu
饞	thèm
首	thủ
香	hương
馥	phức
馨	hanh
馬	mã
馭	ngựa
馴	thuần
駁	bác
駐	trú
駒	câu
駕	giá
駙	phò
駝	đà
駢	bền
駭	hãi
駸	xăm
駿	tuấn
騅	choai
騎	kị
騷	tao
驅	xúi
驕	kiêu
驗	nghiệm
驚	kinh
驛	dịch
驟	sậu
驢	lừa
骨	cốt
骸	hài
骾	ngạnh
髅	vày lâu
髓	tuỷ
體	thể
高	cao
髦	mao
髯	nhẹm
鬂	bấn
鬚	tu
鬠	xoáy
鬥	đấu
鬦	đấu
鬧	náo
鬩	huých
鬪	đấu
鬭	đấu
鬼	quỷ
魁	khôi
魂	hồn
魄	phách
魔	ma
魚	ngư
魯	lỗ
鮉	quẳng chạo
鮮	tiên
鮹	tiêu
鯢	nghê
鯨	kình
鰱	nặn lươn
鱙	nghéo
鱠	gỏi
鱸	rô
鳥	điểu
鳩	cưu
鳳	phượng
鳶	diều
鴛	uyên
鴝	cu
鴦	ương
鴻	hồng
鵒	cốc
鵝	nga
鵡	vũ
鵬	bằng
鵲	thước
鵴	cuốc
鶯	oanh
鶴	hạc
鶺	chích
鷂	diều
鷋	chà
鷟	sạt
鷮	keo
鷹	ưng
鸌	vạc
鸏	mòng
鸜	cò
鸞	loan
鹿	lộc
麂	hoẵng
麑	nghê
麒	kì
麗	lệ
麝	xạ
麟	lân
麥	mạch
麺	miến
麻	ma
麽	mô
黄	hoàng
黎	lê
黑	hắc
默	mặc
點	điểm
鼎	đỉnh
齊	tày
齒	xỉ
龍	long
﨏	cốc
﨡	sên
﨤	gặp
𠀖	khạng
𠀗	khệnh
𠀧	ba
𠀨	cụp
𠀪	khà
𠀫	khề
𠀲	đứa
𠀳	rẻ
𠀴	trụt
𠀿	xuôi
𠁀	đời
𠁂	đứa
𠁄	luồn
𠁑	dưới
𠁔	sánh
𠁙	chả
𠁚	cúi
𠁝	gồm
𠁟	gồm
𠁪	nhắm
𠁵	giữa
𠁸	suốt
𠁹	giữa
𠁺	xuyên
𠁻	chuỗi
𠂎	ấy
𠂪	bèn
𠂫	bèn
𠃅	mái
𠃝	út
𠃣	ít
𠃩	chín
𠃯	ụt
𠃷	út
𠄀	vú
𠄜	thờ
𠄦	gộp
𠄧	vài
𠄩	hai
𠄯	bẩn
𠄳	kép
𠄶	nhăm
𠄺	giếng
𠄻	lăm
𠄼	năm
𠄽	vài
𠅍	mất
𠅎	mất
𠅐	mất
𠅒	mất
𠅜	lề
𠅳	quên
𠅻	quên
𠅼	mất
