Chinese	Taiwanese	Sort	English
前功盡棄	chia5n-kong chi7n-khi3	chian kong chin khi	nullify all previous efforts, turn all previous labor to naught
戰艦	chia3n-la7m	chian lam	man of war, battleship
前例	chia5n-le7	chian le	precedent
戰利品	chia3n-li7-phi2n	chian li phin	war booty, prize of war
前列線	chia5n-lia8t-so3a*	chian liat soa*	prostate gland
戰略	chia3n-lio8k	chian liok	military strategy
戰略爆擊機	chia3n-lio8k po8k-kek-ki	chian liok pok kek ki	strategic bomber, long range bomber
扒手	chia2n-li2u-a2	chian liu a 01	pickpocket
提防扒手	::the5-ho5ng chia2n-li2u-a2	chian liu a 01a	Beware of pickpockets.
戰亂	chia3n-loa7n	chian loan	chaos and social upheaval brought about war
賤內	chia7n-lo7e	chian loe	my humble wife
前茅	chia5n-ma5u	chian mau	military patrol, top of the list of successful candidates in an examination
煎蛋	chian nn7g	chian nng	fry eggs
前衛	chia5n-oe7	chian oe	front line troops, a forward in basketball or football
前往	chia5n-o2ng	chian ong	go to a place, to visit
戰敗	chia3n-pa7i (pa7i-chia3n)	chian pai	defeat, be defeated
戰敗者	chia3n-pa7i-chi2a	chian pai chia	defeated person, loser
戰敗國	chia3n-pa7i-kok (pa7i-chia3n-kok)	chian pai kok	defeated or vanquished country, the vanquished
戰袍	chia3n-pha3u	chian phau	defensive armor
剪票	chia2n-phi3o	chian phio	punch the ticket
戰備	chia3n-pi7	chian pi 01	war preparations, combat readiness
賤婢 (罵人 )	chia7n-pi7	chian pi 02	cheap girl servant
煎餅	chian-pi2a*	chian pia*	pancake
餞別	chia2n-pia8t	chian piat	give a farewell party, a parting farewell gift
餞別會	chia2n-pia8t-ho7e	chian piat hoe	farewell party
戰報	chia3n-po3	chian po	war bulletins, reports from the battle front
剪布 ,買布	chia2n-po3+ (ka-po3+)	chian po+	cut cloth, buy cloth
前輩 ,先輩	chia5n-po3e (sian-po3e)	chian poe	senior in age, standing or length of service
前哨	chia5n-sa3u	chian sau	outpost
前世	chia5n-se3	chian se	previous generation, previous life, previous incarnations (Buddhism)
前夕	chia5n-se8k	chian sek 01	eve of an event
聖誕節前夕	::Se3ng-ta3n-chiat chia5n-se8k	chian sek 01a	Christmas eve
戰勝	chia3n-se3ng	chian seng 01	win a victory
前生	chia5n-seng	chian seng 02	previous life
戰勝國	chia3n-se3ng-kok	chian seng kok	victorious nation
煎匙	chian-si5	chian si 01	spatula, pancake turner
戰死	chia3n-si2	chian si 02	die in battle
戰時	chia3n-si5	chian si 03	wartime
戰時國際公法	chia3n-si5 kok-che3 kong-hoat	chian si kok che kong hoat	wartime international law
戰神	chia3n-si5n	chian sin 01	Mars
前身	chia5n-sin	chian sin 02	forerunner of a school or organization, one's past life
前所未見	chia5n so2+ bi7-kia3n	chian so+ bi kian	never seen before
戰線	chia3n-so3a*	chian soa* 01	line of battle
前線	chia5n-so3a*	chian soa* 02	front line in war
戰書	chia3n-su	chian su 01	written declaration of war
戰史	chia3n-su2	chian su 02	war history
戰事	chia3n-su7	chian su 03	war, hostilities, clash
戰士	chia3n-su7	chian su 04	warrior
前思後想	chia5n-su hi7o-sio2ng	chian su hio siong	turn over a problem in one's mind, ponder
戰術	chia3n-su8t	chian sut	tactics, art of war
戰術家	chia3n-su8t-ka	chian sut ka	tactician
戰地	chia3n-te7	chian te	battlefield
戰地記者	chia3n-te7 ki3-chi2a	chian te ki chia	war correspondent for mass communication media
頑皮 ,淘氣鬼	chia7n-tha5ng	chian thang 01	said in scolding a child (Lit. troublesome insect)
你這個頑皮鬼 !	::Li2 chit e5 chia7n-tha5ng	chian thang 01a	You naughty brat!
你怎麼這麼頑皮 ?	::Li2 na2 chiah chia7n-tha5ng?	chian thang 01b	How come you are so naughty?
剪頭髮 ,理髮	chia2n-tha5u-mo+	chian thau mo+	get a haircut
前提	chia5n-the5	chian the	logical premise, the primary consideration
前程	chia5n-the5ng	chian theng	path ahead, one's career, prospects
前程萬里	chia5n-the5ng ba7n-li2	chian theng ban li	the prospect of a very successful career, May you have a great career.
剪除	chia2n-ti5	chian ti	remove, exterminate, cut off
前置詞	chia5n-ti3-su5	chian ti su	preposition
剪掉	chia2n tia7u	chian tiau 01	cut it off
前兆 ,預兆	chia5n-tia7u	chian tiau 02	omen, foreboding, sign
好預兆	::ho2 chia5n-tia7u	chian tiau 02a	good omen
壞預兆	::pha2i* chia5n-tia7u	chian tiau 02b	ill omen
戰陣	chia3n-ti7n	chian tin	battlefield, battle front
戰場	chia3n-ti5u*	chian tiu*	battlefield
剪斷	chia2n-tn7g	chian tng	cut off with scissors
剪刀	chia2n-to	chian to 01	scissors, shears
前導	chia5n-to7	chian to 02	guide or motorcade of an official party
前途	chia5n-to5+	chian to+ 01	prospect, promise in the sense of an indication of a successful prospect or future
前途的幸福。	::chia5n-to5+ e5 he7ng-hok	chian to+ 01a	coming happiness
前途遙遠。	::chia5n-to5+ ia5u-oa2n	chian to+ 01b	have a long way to go
有前途	::u7 chia5n-to5+	chian to+ 01c	have a bright future
戰鬥	chia3n-to3+ (chia3n-ta3u)	chian to+ 02	combat, to combat, to fight
戰鬥演習	chia3n-to3+ ia2n-si8p	chian to+ ian sip	war games, military maneuvers
戰鬥機	chia3n-to3+-ki	chian to+ ki	fighter plane
戰鬥力	chia3n-to3+-le8k	chian to+ lek	fighting capability, combat strength
戰鬥員	chia3n-to3+-oa5n	chian to+ oan	combatant
戰鬥爆擊機	chia3n-to3+ po8k-kek-ki	chian to+ pok kek ki	fighter bomber
戰鬥巡洋艦	chia3n-to3+ su5n-iu5*-la7m	chian to+ sun iu* lam	battle cruiser
獎	chia2ng (chio2ng)	chiang 01	encourage, exhort, to praise, comment, cite or give a prize or reward for a merit, prize or reward
掌	chia2ng (chio2ng)	chiang 02	palm of the hand, sole of the foot, paw of an animal, to slap with hand, have charge of, supervise, to control
掌握	chia2ng-ak (pi7 chia2ng-ak)	chiang ak	in one's grasp, within one's power, at the mercy of (used in passive voice with "pi")
掌握政權	chia2ng-ak che3ng-ko5an	chiang ak cheng koan	hold the reins of government
獎狀	chia2ng-chn7g	chiang chng	citation of meritorious service
獎金	chia2ng-kim	chiang kim	bonus
掌管	chia2ng-ko2an	chiang koan 01	control, oversee
掌權	chia2ng-ko5an	chiang koan 02	to control
掌櫃	chia2ng-ku7i	chiang kui	accountant
獎勵	chia2ng-le7	chiang le	bonus
掌門人	chia2ng-mn5g-ji5n	chiang mng jin	director of a Kungfu school
掌上明珠	chia2ng-sio7ng be5ng-chu	chiang siong beng chu	beloved daughter
獎賞	chia2ng-si2u*	chiang siu*	give a reward
掌中	chia2ng-tiong	chiang tiong	in one's hand
掌廚	chia2ng-tu5	chiang tu	to cook
接	chiap	chiap 01	receive, accept, take with the hand, to welcome, piece together string, rope or cloth, set bones, to graft, succeed to
我寄了一本書給你 ,收到了嗎 ?	::Go2a u7 ki3a chi8t pu2n chheh ho7+ li2, u7 chiap tio8h bo5+?	chiap 01a	I sent you a book. Did you receive it?
我要到車站去接朋友。	::Go2a boeh la5i-khi3 chhia-cha7m chiap pe5ng-iu2.	chiap 01b	I am going to the railway station to meet a friend.
汁	chiap	chiap 02	juice, gravy
肉汁	::bah-chiap	chiap 02a	gravy
橘子汁	::kam-a2-chiap	chiap 02b	orange juice
水果汁	::ko2e-chi2-chiap	chiap 02c	fruit juice
蘆筍汁	::lo7+-su2n-chiap (lo5+-su2n-chiap)	chiap 02d	asparagus juice
葡萄汁	::phu5-to5-chiap	chiap 02e	grape juice
常常 ,捷	chia8p	chiap 03	often, constantly, prompt
接尾詞 ,接尾語	chiap-bo2e su5 (chiap-bo2e gi2)	chiap boe su	suffix
接木 ,接枝	chiap-bo8k (chiap-oe, chiap-ki)	chiap bok	graft plants (horticulture)
接吻	chiap-bu2n (chim)	chiap bun	kiss
接觸	chiap-chhiok	chiap chhiok 01	make contact with, come in contact with, to encounter enemy
與 ...接觸	::kap... chiap-chhiok	chiap chhiok 01a	make contact with, to encounter…
接觸傳染	chiap-chhiok thoa5n-jia2m	chiap chhiok thoan jiam	to come in contact with, to infect, communicate disease, communicable or infectious disease
接手	chiap-chhi2u	chiap chhiu	take up matters left unfinished by predecessor, to follow in office
接下去說	chiap-chhu3i	chiap chhui	speak next, next speaker
常常	chia8p-chia8p	chiap chiap 01	very often, constantly
常常講	::chia8p-chia8p ko2ng	chiap chiap 01a	constantly talking
常常學習	::chia8p-chia8p o8h	chiap chiap 01b	constantly learning or practicing
接應	chiap-e3ng	chiap eng	stand ready to assist
接合	chiap-ha8p	chiap hap	join, to link, connect
接洽	chiap-hia8p	chiap hiap 01	contact, discuss, or negotiate, negotiations
與… 接洽	::kap...chiap-hia8p	chiap hiap 01a	negotiate with…
接風	chiap-hong	chiap hong	give a reception in honor of some newly arrived person
接縫 ,接痕	chiap-hu5n	chiap hun	seam or joint of cloth or lumber
接他的缺	chiap i e5 khoeh	chiap i e khoeh	fill the vacancy left by him, succeed him
接引	chiap-i2n	chiap in 01	lead the way for, serve as a guide, to conduct, to guide
接印	chiap-i3n	chiap in 02	take over the seals of office
接二連三	chiap-ji7 lia5n-sam	chiap ji lian sam	one after the other, continuously, repeatedly
接任	chiap-ji7m	chiap jim	succeed to a predecessor's position, take office, take over a position
接界	chiap-ka3i	chiap kai	border on, share a common border, adjacent
接客	chiap-kheh	chiap kheh	receive lodgers or guests like a hotel, (said of prostitutes) receive patrons
接上來	chiap-khit-la5i	chiap khit lai	take it up
接缺	chiap-khoeh	chiap khoeh	succeed in office
接枝	chiap-ki (chiap-oe)	chiap ki	graft (horticulture)
接見	chiap-kia3n	chiap kian	grant an interview, receive visitor
接近	chiap-ki7n (chiap-ku7n)	chiap kin 01	near to, adjoining, adjoin, to approach, draw near
不要接近壞人 ,不要跟壞人接近。	::M7-thang chiap-ki7n pha2i*-la5ng. Ma3i kap pha2i*-la5ng chiap-ki7n.	chiap kin 01a	Don't associate with bad people.
接管	chiap-ko2an	chiap koan 01	The government will take over the company.
政府要接管那家公司。	::Che3ng-hu2 boeh chiap-ko2an hit keng kong-si.	chiap koan 01a	take over, receive, to pass
接過來 ,遞過來	chiap-ko3e-la5i	chiap koe lai 01	take over, receive, to pass
那包香煙拜託你遞過來。	::Hit pau hun pa3i-thok li2 chiap-ko3e-la5i.	chiap koe lai 01a	Please pass me that package of cigarettes.
接骨	chiap-kut	chiap kut	set broken bones
接骨師	chiap-kut sai-hu7 (su)	chiap kut sai hu	bone setter
接納	chiap-la8p	chiap lap	accept a proposal or advice
接力	chiap-le8k	chiap lek	relay race
接連不斷	chiap-lia5n put-to7an	chiap lian put toan	continuously or incessantly
接枝	chiap-oe	chiap oe	graft (horticulture)
接班	chiap-pan	chiap pan 01	relieve another at work, take turns
接辦	chiap-pa7n	chiap pan 02	succeed another in managing a task, carry on the work left unfinished by another
接棒	chiap-pa7ng	chiap pang	receive the baton, continue the work left unfinished by a leading scholar, thinker
接送	chiap-sa3ng	chiap sang	receive and send off guests or visitors, transportation to and from a certain place
接生	chiap-se* (khioh gi2n-na2)	chiap se*	deliver a child
接生婆 ,產婆	chiap-se*-po5 (sa2n-po5)	chiap se* po	midwife
接續 ,繼續	chiap-sio8k	chiap siok	continuously, continue, connect
接續香火	chiap-sio8k hiu*-ian	chiap siok hiu* ian	continue the family line
接續詞 ,連詞	chiap-sio8k-su5	chiap siok su	conjunction (grammar)
接收	chiap-siu	chiap siu 01	take over materials, receive
接受	chiap-si7u	chiap siu 02	accept
連續	chiap-so3a	chiap soa 01	be next (in succession), follow, in close succession, one after the other, continue, continuously
那種病要連續吃藥吃很久才會好。	::Hit kho2an pe7* a3i chiap-so3a chia8h io8h-a2, chia8h chin ku2 chiah e7 ho2.	chiap soa 01a	For that disease you have to continuously take medicine for a long time then it will get better.
接線	chiap-so3a*	chiap soa*	make telephone connection
接線生 ,交換手	chiap-so3a*-seng (kau-o7a*-chhi2u)	chiap soa* seng	telephone operator
接待	chiap-tha7i	chiap thai 01	entertain, serve, reception
請你招待客人。	::Chhi2a* li2 chiap-tha7i la5ng-kheh.	chiap thai 01a	Please receive the visitors. Please wait on the guests.
接待員	chiap-tha7i-oa5n	chiap thai oan	receptionist
接待室	chiap-tha7i-sek	chiap thai sek	reception room
接頭	chiap-tha5u	chiap thau	meet and discuss, joint of pipeline, a splice in a rope
接替	chiap-the3	chiap the 01	substitute for, take the place of
我要是請假 ,沒有人來接替。	::Go2a na7 chhe2ng-ka2, bo5 la5ng thang chiap-the3.	chiap the 01a	If I ask for leave, there's no one to take my place.
接到	chiap-tio8h	chiap tioh	receive
接位 ,繼位	chiap-u7i	chiap ui	succeed to the throne
節	chiat (chat, cheh)	chiat 01	knot, joint, verse, fidelity, uprightness, festival, holiday, season, rhythm, restrain, control, economize
折	chiat	chiat 02	break off, to snap, discount in the price, tear into halves, deduct
捷	chia8t	chiat 03	win, to triumph, swift, quick, rapid
節哀	chiat-ai	chiat ai	restrain grief (common advice to the bereaved)
節哀順變	chiat-ai su7n-pia3n	chiat ai sun pian	restrain grief and accept the change (common advice to the bereaved)
折磨	chiat-bo5a	chiat boa	submit to an ordeal, trials and afflictions, grillings, privations, hardships, persecutions
節目	chiat-bo8k	chiat bok	acts of an entertainment, items on a program, program
節目表 (單 )	chiat-bo8k-pi2o (chiat-bo8k-toa*)	chiat bok pio	program of a concert or show
節奏	chiat-cha3u	chiat chau	rhythm
節制	chiat-che3	chiat che 01	limits to expenditure, to control, temperate, moderate
有節制的人。	::U7 chiat-che3 e5 la5ng.	chiat che 01a	temperate person
飲食有節制。	::I2m-si8t u7 chiat-che3.	chiat che 01b	be temperate in eating and drinking
節制資本。	::chiat-che3 chu-pu2n.	chiat che 01c	regulate capital
節制生育	::chiat-che3 seng-io8k.	chiat che 01d	practice birth control, birth control
截止	chia8t-chi2	chiat chi	close application or registration upon reaching the deadline
節節敗退	chiat-chiat pa7i-the3	chiat chiat pai the	suffer one defeat after another
節節勝利	chiat-chiat se3ng-li7	chiat chiat seng li	score one victory after another
捷足先登	chia8t-chiok sian-teng	chiat chiok sian teng	nimble man gets there first
捷足先登。	chia8t-chiok sian-teng	chiat chiok sian teng	He who has fast legs will get there first. The early bird catches the worm.
節義	chiat-gi7	chiat gi	integrity, fidelity, constancy, chastity
節外生枝	chiat-go7a seng-ki	chiat goa seng ki	bring about extra complications, run into unexpected difficulty, hit a snag
折合	chiat-ha88p	chiat hap 01	equivalent to… (said of two currencies)
折合新台幣六十元。	::chiat-ha8p Sin-ta5i-pe3 la8k-cha8p-kho+	chiat hap 01a	equivalent to NT$6000
折回	chiat-ho5e	chiat hoe 01	turn back half way
遇到大風折回。	::tu2-tio8h to7a-hong chiat-ho5e	chiat hoe 01a	turn back after running to a strong wind
節婦 ,節女	chiat-hu7 (chiat-li2)	chiat hu	chaste woman, woman adhering to widowhood, woman who died protecting her chastity
節約	chiat-iok	chiat iok 01	save, economize, use frugally
節育	chiat-io8k	chiat iok 02	birth control, practice birth control
節慾	chiat-io8k	chiat iok 03	restrain or control one's desires, be ascetic, continence, abstention
節日	chiat-ji8t (cheh-ji8t)	chiat jit	festival, holiday
折價	chiat-ke3 (chiat-chi5*)	chiat ke	equivalent to so many dollars... (said of an article used in repaying a debt)
捷徑	chia8t-ke3ng	chiat keng 02	short cut, a snap course
折扣	chiat-kha3u	chiat khau	discount in price, discount rate
節儉	chiat-khi7am	chiat khiam	be frugal, practice austerity, economize
折減	chiat-kia2m	chiat kiam	discount
折舊	chiat-ku7	chiat ku	depreciation (especially said of machinery in use)
節女	chiat-li2	chiat li	refusing to marry because of the death of her betrothed or for another good reason
節略	chiat-lio8k	chiat liok	outline, summary
節流	chiat-li5u	chiat liu	curtail expenditures
捷報	chia8t-po3	chiat po	report of success in examination, war bulletin announcing victory
折半	chiat-po3a*	chiat poa*	reduce by one half, reduce to half
節省	chiat-se2ng	chiat seng	economize, save, use with thrift
節省費用	chiat-se2ng hu3i-io7ng	chiat seng hui iong	cut down on expenses, practice economy, economize, be thrifty
節省時間	chiat-se2ng si5-kan	chiat seng si kan	save time
節食	chiat-si8t	chiat sit	go on a diet, to diet in order to reduce one's weight
折線	chiat-so3a*	chiat soa*	broken line (in Math)
折算	chiat-so3an	chiat soan 01	calculated at, equivalent to (said of the value of property or possession
美金折算台幣。	::Bi2-kim chiat-so3an Ta5i-pe3.	chiat soan 01a	convert US dollars into new Taiwan dollars
節德	chiat-tek	chiat tek	temperance (Catholic)
折衷	chiat-tiong (thiong)	chiat tiong	compromise, a compromise
截長補短	chia8t-tio5ng po2+-to2an (lia8h-tn5g po2+-te2)	chiat tiong po+ toan	make up for deficiency in one part by great abundance or excellent in another part
捷運	chia8t-u7n	chiat un	elevated train
招	chiau	chiau 01	beckon with the hand, to summon, raise an army or capital, confess, signboard, admit, poster, notice, to cause, to effect, incite, entice, induce, to welcome, receive
礁	chiau	chiau 02	reef, submerged rock
鳥	chi2au (nia2u)	chiau 03	birds
照	chia3u (chi3o)	chiau 04	shine upon, to light or illumine, a certificate or license, pattern on or after, according to, to photograph look after, take care of
照我看	::chi3au go2a kho3a*	chiau 04a	according to my opinion, as I see it
照原價	::chi3au go5an-ke3	chiau 04b	according to the old price (although there has been a price hike), at cost price
照他所講的	::chi3au i so2+ ko2ng e5	chiau 04c	according to what he said
全 ,齊全	chi5au (cho5an)	chiau 05	complete, even, equal, well mixed like bread dough
這班的學生不齊全 ,有的不錯 ,有的差。	::Chit pan e5 ha8k-seng bo5 chi5au, u7 e5 ga5u, u7 e5 ha5m-ba7n.	chiau 05a	The students in this class are not even, some are clever, some are dumb.
那家店的東西很齊全。	::Hit kha2m tia3m e5 mi8h-ki7a* chin chi5au.	chiau 05b	They keep a well assorted stock at that shop.
鳥兒	chi2au-a2	chiau a	birds
鳥腳 ,腿細	chi2au-a2-kha	chiau a kha	bird's leg (said also of a person whose legs have skinny calves)
鳥類	chi2au-(a2)-lu7i	chiau a lui	birds
鳥蛋	chi2au-a2-nn7g	chiau a nng	bird's eggs
鳥糞	chi2au-(a2)-sa2i	chiau a sai	bird droppings
鳥巢	chi2au-a2-si7u	chiau a siu	bird's nest
照明	chi3au-be5ng (chi3o-be5ng)	chiau beng	photographic lighting
照明設備	chi3au-be5ng siat-pi7	chiau beng siat pi	illuminating equipment, photo flash equipment
照明彈	chi3au-be5ng-ta5n	chiau beng tan	flare
照面	chia3u-bi7n	chiau bin	face to face
母鳥	chia2u-bo2	chiau bo	female birds
招撫	chiau-bu2	chiau bu	call to surrender, pacify
招財進寶	chiau-cha5i chi3n-po2	chiau chai chin po	collect a fortune
照情理	chia3u che5ng-li2	chiau cheng li	according to common sense
照抄	chia3u-chhau	chiau chhau	make a copy of the original
鳥槍	chi2au-chhe3ng	chiau chheng	fowling piece
鳥類	chia2u-chiah	chiau chiah	birds
公吃公付錢 ,各付各的	chia3u-chia8h-chia3u-phah	chiau chiah chiau phah	go Dutch
均勻 ,平均	chia5u-chia5u-a	chiau chiau a	all of them are equal
礁石	chiau-chio8h	chiau chioh	reef
照章辦理	chi3au-chiong pa7n-li2	chiau chiong pan li	carry on, operate, or manage according to rules, regulations
招集	chiau-chi8p	chiau chip	gather together
齊全	chi5au-chn5g	chiau chng	complete, perfect
按常規做	chia3u-cho3	chiau cho	do it according to this rule, do it this way
照准	chi3au-chu2n	chiau chun	approve a request, give approval to a request
按照金額 ,照說	chia3u-gia8h	chiau giah	according to this amount, according to quantity
招降	chiau-ha5ng	chiau hang	call for surrender of the enemy
照行情	chia3u ha5ng-che5ng	chiau hang cheng	according to the market price
都好	chi5au-(chi5au)-ho2	chiau ho	all of them are good
招花惹草	chiau-hoa ji2a-chha2u	chiau hoa jia chhau	lascivious (usually said of a male), wolfish, a seducer of women
照會	chi3au-ho7e	chiau hoe	diplomatic notes, memoranda, inquiry by letter, make inquiries about a matter
招蜂引蝶	chiau-hong i2n-tia8p	chiau hong in tiap	act the habitual flirt (said of a woman), make passes at men without discrimination
照付	chi3au-hu3	chiau hu	pay the full amount according to the price, tag, receipt, notice, IOU
招魂術	chiau-hu5n-su8t	chiau hun sut	spiritism
照耀	chia3u-ia7u	chiau iau 01	radiate, light up, illuminate
招搖	chiau-ia5u	chiau iau 02	swagger with full pomp, attract undue publicity
招搖撞騙	chiau-ia5n to7ng-phi3an	chiau iau tong phian	swindle or cheat by posing as a VIP or claiming to be related to a VIP
招引	chiau-i2n	chiau in	invite troubles, incur, to cause
照樣	chia3u-iu7*	chiau iu*	pattern after, to copy, in the old manner
招認	chiau-ji7n	chiau jin	confess to a certain crime, a confession
公允分配	chia3u-kah	chiau kah 01	mixed in proper proportions like of good and bad
不可揀好的 ,好壞要公允分配。	::M7-thang ke2ng ho2 e5, ho2 pha2i* tio8h-ai3 chia3u-kah.	chiau kah 01a	Don't choose only good ones, you must take good ones and bad ones together.
全到 ,到齊	chia5u-ka3u	chiau kau 01	all have arrived
學生沒有到齊。	::Ha8k-seng bo5 chia5u-ka3u.	chiau kau 01a	Not all the students are present.
照價收買	chia3u-ke3 siu-be2	chiau ke siu be	buy or requisition land according to the price declared by the owner
周全地 ,盡本份 ,盡孝道 ,循規蹈矩地	chia3u-khi2-kang	chiau khi kang 01	done according to proper rule, according to justice, performing one's duty fully and faithfully
對父母沒有盡孝。	::Tu3i pe7-bu2 bo5 chia3u-khi2-kang.	chiau khi kang 01a	undutiful to one's parents
你得循規蹈矩地做。	::Li2 tio8h chia3u-khi2-kang cho3.	chiau khi kang 01b	You must do it faithfully.
照常理看	chia3u-kho3a*	chiau khoa*	ordinarily, as a rule
分攤	chia3u-khui (chia3u-thoa*)	chiau khui 01	divide expenses in fair proportions, Dutch treat
今晚花多少 ,我們來分攤。	::Eng-a3m e7ng lo7a-che7, la2n la5i chia3u-khui.	chiau khui 01a	Let's divide tonight's expenses equally.
鳥腱 ,比喻東西很小	chia2u-kia7n	chiau kian	bird's kidney, something very small
照繳	chia3u-ki2au	chiau kiau	pay taxes or fines according to the stipulated amount
招供	chiau-kiong	chiau kiong	confess to a crime, confession by a criminal
照顧	chia3u-ko3+	chiau ko+ 01	take care of
照顧孩子 (病人 )	::chia3u-ko3+ gi2n-na2 (pi7*-la5ng)	chiau ko+ 01a	take care of children or the sick
照管	chia3u-koa2n	chiau koan	take care of, manage, keep safe
照理說	chia3u-ko2ng	chiau kong	as a rule, ordinarily
照舊	chia3u-ku7	chiau ku	as usual, as before, according to precedent
照規矩 ,照規則	chia3u kui-ki2 (chia3u kui-chek)	chiau kui ki	according to regulations or reason
全來	chia5u-la5i	chiau lai 01	all have come, all are present
今天學生沒全來。	::Kin-na2-ji8t ha8k-seng bo5 chi5au la5i.	chiau lai 01a	Not all the students are present today
梨的一種	chia2u-la5i-a2	chiau lai a	wild pear
招攬	chiau-la2m	chiau lam 01	collect, gather together, (in commerce) induce or solicit customers
鳥籠	chia2u-lam (chia2u-lam-a2)	chiau lam 02	cage for birds
鳥籠	chia2u-la2ng	chiau lang	birdcage
照例	chia3u-le7	chiau le	follow precedents or usual practices
招領	chiau-le2ng (chio-ni2a)	chiau leng	advertise for claimant or legal owner of a lost article, public notice for lost and found
照理	chia3u-li2	chiau li 03	theoretically
照你的意思	chia3u li2 e5 i3-su3	chiau li e i su	according to your idea
照理講	chia3u-li2 ko2ng	chiau li kong	speak according to reason
照料	chia3u-lia7u	chiau liau	take care of, look after
照錄	chia3u-lo8k	chiau lok	record or copy exactly what is said or written
鳥類學	chi2au-lu7i-ha8k	chiau lui hak	ornithology
鳥類學家	chi2au-lu7i-ha8k-ka	chiau lui hak ka	ornithologist
照輪 ,輪流	chia3u-lu5n (lu5n-li5u)	chiau lun 01	take turns, in turn, by turns, in regular and proper succession
我們來輪流值夜。	::La2n la5i chi3au-lu5n (lu5n-li5u) ko3+-mi5 (ko3+-me5).	chiau lun 01a	Let's keep watch at night by turns.
招領	chiau-ni2a	chiau nia	take home by presenting oneself as the owner, advertise for owner of lost thing
招牌	chiau-pa5i	chiau pai 01	shop sign, signboard
照順序排	chia3u-pa5i	chiau pai 02	arranged in regular order
照辦	chia3u-pa7n	chiau pan	take action, accordingly, manage or handle something according to instruction, orders
招聘	chiau-phe3ng	chiau pheng	advertise for office vacancies
平均分配	chia3u-pho3e	chiau phoe	mixed in proper proportions
齊備	chia5u-pi7	chiau pi	all complete, as a number of articles
照規矩	chia3u-po7+	chiau po+	in order
照規矩來	chia3u-po7+-la5i	chiau po+ lai	in the proper order
均分 ,平分	chia3u-pun	chiau pun 01	dividing equally among all, in equal parts
這些錢給你們平分。	::Chiah e5 chi5* ho7+ li2n chia3u-pun.	chiau pun 01a	I'll give you this money to divide equally.
照本錢賣	chia3u-pu2n be7	chiau pun be	sell at cost
照本出售	chia3u-pu2n chhut-si5u	chiau pun chhut siu	sell at cost price (a common sales slogan in a Chinese shop)
照三餐	chia3u sa*-tn3g	chiau sa* tng	at every meal
雀斑臉 ,生氣的臉孔	chia2u-sa2i-bi7n	chiau sai bin	freckle face, angry face
照時	chia3u-si5	chiau si	on time
照射	chia3u-si7a (chi3o-si7a)	chiau sia 01	throw light on, illuminate
照射愛克斯光	::chi3o(-si7a) X-kong	chiau sia 01a	apply X-rays to
照相	chia3u-sio3ng (hip-sio3ng)	chiau siong 01	take a photograph
照常	chia3u-sio5ng	chiau siong 02	as usual
明天沒有休假 ,要照常上課。	::Bi5n-na2-cha3i bo5 hioh-khu3n, a3i chia3u-sio5ng sio7ng-kho3.	chiau siong 02a	Tomorrow is not a free day, there will be class as usual.
照相機	chia3u-sio3ng-ki (hip-sio3ng-ki)	chiau siong ki	camera
招商局	Chiau-siong-kio8k	chiau siong kiok	China Merchants Steamship Company
照相館	chia3u-sio3ng-ko2an (hip-sio3ng-ko2an)	chiau siong koan	photo studio
照相師	chia3u-sio3ng-su	chiau siong su	photographer
照相術	chia3u-sio3ng-su8t	chiau siong sut	photography
鳥翼	chia2u-si8t	chiau sit 01	bird's wing
照實	chia3u-si8t	chiau sit 02	in accordance with facts, to tell the truth
照實講	::chia3u-si8t ko2ng	chiau sit 02a	tell the truth, to speak truthfully
照收	chia3u-siu	chiau siu 01	duly receive, duly received, accept accordingly
鳥巢	chia2u-si7u (chia2u-a2-si7u)	chiau siu 02	bird's nest
照算	chia3u-sn3g	chiau sng	charge without deduction, discount
招待	chiau-tha7i	chiau thai	receive, to welcome, reception
招待券	chiau-tha7i-ko3an	chiau thai koan	free ticket
招待員	chiau-tha7i-oa5n	chiau thai oan	receptionist, touring guide, steward or usher
招待室	chiau-tha7i-sek	chiau thai sek	reception room
招待所	chiau-tha7i-so2+	chiau thai so+	guest house, hostel
從頭來 ,照順序	chia3u-tha5u-la5i	chiau thau lai	from the beginning
照天理	chia3u thi*-li2	chiau thi* li	according to the laws of Heaven, right, proper
分攤	chia3u-thoa*	chiau thoa*	divide expenses according to the stake or share that each has
招致	chiau-ti3	chiau ti	bring losses or misfortunes upon oneself, to summon, invite, induce
焦點	chiau-tia2m	chiau tiam	focus
招展	chiau-tia2n	chiau tian	said of a banner, flowers or girl swaying and enticing
不間斷的 ,連綿不斷的。	chia5u-u5n	chiau un 01	in good and sufficient measure, in constant regular succession, as rain or work
雨綿綿不斷的下。	::Ho7+ lo8h chin chia5u-u5n.	chiau un 01a	seasonal rains, rains regular and sufficient
摺	chih	chih 01	fold
衣服要是燙好 ,要摺起來	::Sa* na7 ut ho2, tio8h chih khi2-la5i.	chih 01a	After you have ironed the clothes, please fold them.
接 ,迎接	chih (chiap)	chih 02	meet, receive
我要到火車站去接客人。	::Go2a boeh la5i-khi3 ho2e-chhia-tha5u chih la5ng-kheh.	chih 02a	I want to go to the station to meet some visitors.
迎神	::chih-pu8t (chih-si5n)	chih 02b	receive with offerings an idol carried in procession
舌	chi8h (sia8t)	chih 03	tongue
