orang	person
morkalah	morkalah
mor	mor
modar	dead
milek	milek
matikanlah	turn it off
marahnya	his anger
mangkok	mug
malulah	be ashamed
maliekatnya	the angel
malamnya	at night
makku	my mother
lŭkas	quickly
lŭbih	more
lusanya	the day after tomorrow
lumot	moss
lumba	dolphin
luchutkan	to be honest
loteng	attic
lomlah	go ahead
loklah	where is it
lempahlah	relax
langkap	step by step
laksana	like
laksa	laksa
kŭtŭntuannya	the terms
kŭtakotannya	his fear
kŭsalahanmu	your mistake
kŭrtak	crack
kŭnyanglah	be full
kŭnisanya	the thing
kŭnalan	acquaintance
kŭmurahannya	his generosity
kŭmulian	glory
kŭliling	around
kŭlempahan	abundance
kŭlam	darkness
kŭlah	kŭlah
kŭkayaannya	his wealth
kŭdudokkan	sit down
kŭdatanganku	my arrival
kŭdapatan	found
kŭchualinya	exception
kŭchuali	exception
kŭchapi	chapi
kŭbratan	bratty
kŭbodohan	stupidity
kŭbibasan	habit
kŭbaskanlah	shake it off
kŭbajikannya	his goodness
kwasaku	my love
kutok	tickle
kuranglah	less
kupuji	praise
kupohonkanlah	I beg you
kupinta	I ask
kupileh	I'm sorry
kuhandak	I want to
kudapat	I got
kubilangkan	I said
kringlah	dry it
kring	ring
krap	crack
kosongnya	empty
korekkanlah	correct it
korbanmu	your victim
klakuannya	his behavior
kitabnya	his book
kisarannya	the range
kirimkan	send
khemahku	my tent
kayalah	be rich
kaummu	your people
katŭtapan	the key
katŭntuan	conditions
katula	catula
kasŭmbilan	ninth
kasŭblah	kasŭblah
kasukaranku	my difficulties
kasukaanlah	like it
kasihku	my love
kasampornaan	the perfect
karŭndahan	humility
karumahku	my house
kapujian	praise
kaprahu	sluggard
kapalamu	your ship
kapadamulah	for you
kanyataannya	the reality
kandatilah	be a candidate
kanaknya	his son
kamurahannya	the mercy
kampongnya	his village
kambingnya	the goat
kakayaan	wealth
kahalrat	punishment
kagŭlapan	darkness
kadunia	world
kadiaman	residence
kachau	chubby
kabŭsaran	absurdity
kabŭnarannya	the truth
kabawahnya	below
kaanam	kaanam
kaJŭrusalem	Jerusalem
kaJeriko	kaJeriko
kaGalilia	Galilia
jŭrnih	clear
jŭmaat	Friday
jamah	touch
jalankanlah	run it
ita	ita
isikan	fill in
isharat	isharat
inikah	is this it
ikot	icon
ikatnya	tie it
ikatkan	tie up
ibadatmu	your worship
hulatnya	the curse
hukummu	your law
hukumkan	punish
hui	hi
hikmatnya	his wisdom
hierannya	hierarchies
hidopmu	your life
hayatmu	your life
hablor	crystal
gŭmŭntarlah	be excited
gŭmparlah	be excited
gŭlaran	gŭlaran
gŭgat	get angry
gatal	itchy
gadoh	gadoh
fasiknya	wickedness
fahalamu	your knowledge
estimewa	special
elham	elham
dŭngkinya	his envy
dupa	incense
diusik	disturbed
diubahkan	changed
ditŭtapkannya	it was determined
ditŭrtawakanlah	be laughed at
ditŭmplak	slapped
ditŭgorkan	gorged
ditŭgahkannya	it was alleged
ditŭgahkan	alleged
dituronkannya	was lowered
ditulisnya	he wrote
ditudohi	be attacked
ditubohnya	on his body
ditrangkan	explained
ditolakkannya	rejected
ditimpah	overwritten
ditarohlah	put it aside
ditaroh	placed
ditariknya	pulled
ditarek	pulled
ditangkapnyalah	he was arrested
ditanggong	on the peg
ditambak	in the pond
ditabornya	he was drilled
dita	dita
disŭrahkannyalah	handed over
disŭmbunyikan	hidden
disŭmbah	worshipped
disurohkanlah	be commanded
disukatkan	squared
disiramkan	sprinkled
disimpankan	saved
disewanya	rented
disengkatkan	shortened
disayanginya	loved by him
disapukannya	he wiped it
disampiekannya	delivered
disambar	struck
disalibkannya	crucified
dirŭjamnya	the clock
dirasai	felt
dipŭrbaptisakan	baptized
dipŭchahkannyalah	it was broken
dipuntang	in the back
dipulau	on the island
dipulangkan	sent home
dipukolnya	he was hit
dipasar	in the market
dipakiekan	worn
dipadamkannya	it was turned off
dini	early
dinantikan	looking forward to
dinanti	awaited
dinaikkannya	raised
dinaiki	climbed
dimŭrdehkakan	to be humiliated
dimata	in the eyes
dilukakannya	he was injured
dilihatlah	look at it
dilebihkan	overrated
dilanjutkan	to be continued
dilalukan	done
diladangnya	in his field
dikŭtahuinyalah	it is known
dikŭnalnya	known to him
dikŭnakannya	worn
dikŭbon	in the garden
dikoyak	torn apart
dikhuatirkan	feared
dikatakanlah	it is said
dikata	said
dikasihani	pity
dikasih	given
dikanan	on the right
dikakimu	at your feet
dijalaninya	lived it
diikotnyalah	follow it
dihŭmpaskan	blown away
dihunasnya	he was shot
dihimpunkannya	collected
dihilangkan	removed
dihantarkan	delivered
dihalaukannyalah	he was driven away
digunong	mounted
digonchangkan	shaken up
digantongkan	hanged in a bag
didudokkannya	sitting on it
dichŭrtrakannyalah	it was crippled
dichari	to be seen
dibŭrkati	blessed
dibungkusnya	wrapped it up
dibukit	on the hill
dibukakannya	opened
dibuangnya	thrown away
dibilang	it is said
dibasohnya	washed
dibasohkan	washed
dibaptiskannyalah	he was baptized
dibaptiskan	baptized
dibaptisakannya	baptized him
dibachanya	read it
diasak	cooked
diangkatlah	be lifted
diampuninya	forgiven
diampunikah	forgiven
diamkan	keep quiet
dialahkan	defeated
diajarkannyalah	taught him
diajari	taught
diRom	inRom
diMasir	in Egypt
diListra	inListra
diDamsek	in Damsek
diBathliham	in Bathliham
derihalku	my problem
datok	grandfather
chŭrtrakan	chŭrtrakan
chŭrdek	chŭrdek
chŭndrong	chŭndrong
charilah	charilah
chapek	chapek
chachat	chat
bŭsŭrtalah	come along
bŭrzak	stubble
bŭrtudong	bully
bŭrtuankan	master
bŭrtiup	blow
bŭrtahan	persist
bŭrtaboran	joint
bŭrsŭbrangan	crossing over
bŭrsuson	slumber
bŭrsunyi	silent
bŭrsukachita	happy
bŭrsual	sexual
bŭrsarang	nest
bŭrsandar	lean on
bŭrsalin	giving birth
bŭrsabda	said
bŭrpindah	move
bŭrniat	intend
bŭrniaga	business
bŭrnafsu	lustful
bŭrmohonlah	please
bŭrlebih	overdo it
bŭrlangkaplah	go ahead
bŭrlakukan	act
bŭrlaki	male
bŭrlainan	different
bŭrkŭlohlah	go ahead
bŭrkuda	horse riding
bŭrkatnyalah	blessed be he
bŭrkasudahan	come to an end
bŭrkahwen	blessed
bŭrkahandaklah	be willing
bŭrjinak	tame
bŭrjagalah	be on guard
bŭrhubong	hub
bŭrhati	be careful
bŭrhajat	wish
bŭrgŭrak	squeaky
bŭrganggang	barnyard
bŭrfŭrmanlah	be kind
bŭrfakat	in agreement
bŭrdua	two of a kind
bŭrdiam	be silent
bŭrchuchuran	bŭrchuchuran
bŭrchaya	bridle
bŭrchabang	branch
bŭrbŭkal	bŭrbŭkal
bŭrbunyilah	make a sound
bŭrbuatlah	do it
bŭrbuahkan	bear fruit
bŭrbichara	burglar
bŭrbarut	bŭrbarut
bŭrbahgia	happy
bŭranak	child
bŭralas	base
bŭrahi	lust
bŭnarnya	that's right
bŭlantŭntara	intermediary
bŭlang	headdress
buyong	buyong
buritan	stern
bungaan	flowers
bumbongan	the bumbong
bulannya	the month
buka	open
branaklah	go ahead
blanja	shopping
blanga	blank
binatangnya	the animal
bilangkan	say it
bicharaku	my bazaar
bibirnya	her lips
bibernya	his biber
batasan	limitation
basoh	bash
baptisakan	baptism
bantahan	rebuttal
bangsi	bangsi
bandingan	comparison
balir	balir
balikkanlah	turn it over
bahtra	ark
bagienyalah	it's up to him
asingkan	alienate
anggotanya	its members
anggornya	his wine
angannya	his dream
ampatblas	four-pointed star
amanatkanlah	mandate it
akhtiarku	my endeavor
ajalku	my death
adas	fennel
abahnya	his father
Zorobabel	Zorobabel
Zakius	Zakius
XXIV	XXIV
XXIII	XXIII
Tiranus	Tyrannus
Timon	Timon
Tiberius	Tiberius
Talitha	Talitha
Sosipater	Sosipater
Sekundus	Secondary
Samaritan	Samaritan
Salim	Salim
Salamis	Salamis
Priska	Prisca
Patrobas	Patrobas
Patmos	Patmos
Nikanor	Nikanor
Neri	Neri
Nereus	Nereus
Neapolis	Naples
Nain	Nain
Nabuatkanlah	Prophesy
Mathius	Matthew
Mathias	Mathias
Magdalini	Magdalene
Lysias	Lysias
Lois	Lois
Lisanias	Lisanias
Linus	Linus
Lejion	Legion
Lasea	Lasea
Laodekia	Laodicea
Kretas	Cretas
Kosam	Cosmic
Klemen	Clement
Klaudia	Claudia
Kirenius	Cyrenius
Jupiter	Jupiter
Iskandar	Alexander
Inok	Inok
Husana	Husana
Hulorkanlah	Hulorkanlah
Hierapolis	Hierapolis
Herodian	Herodian
Hermogenes	Hermogenes
Hermas	Hermas
Gombalakanlah	Sweet talk
Golgotha	Golgotha
Gallio	Gallio
Frijia	Frijia
Filippi	Philippians
Eunike	Eunice
Epenetus	Epenetus
Eliakim	Eliakim
Dikapulis	Dikapulis
Didimus	Didymus
Damaris	Damaris
Blastus	Blastus
Berniki	Bernice
Bartholomew	Bartholomew
Balzebab	Balzebab
Balaam	Balaam
Augustus	August
Asingkanlah	Isolate it
Aristobulus	Aristobulus
Aretas	Aretas
Apolonia	Apollonia
Antipatris	Antipatris
Annas	Anna
Andronikus	Andronicus
Amfipolis	Amphipolis
Akila	Akila
Akeldama	Akeldama
Adramitium	Adramythium
zinahnya	her adultery
zalimnya	cruel
zakarnya	his penis
zaitunku	my olive
zabor	zabor
yakinnya	sure
yaani	yes
wornanya	worn out
wayang	puppet
warithlah	warithlah
warisku	my heir
warisannya	his legacy
warisanmu	your legacy
warisanku	my legacy
wargakota	citizen
wap	wap
wanitanya	the woman
wangimu	your scent
walaupan	even though
waktuku	my time
wajahnya	her face
wajahku	my face
wainku	my wine
utosan	messenger
utamanya	the main thing
usung	carry
usianya	his age
usiaku	my age
urusanku	my business
uriekan	to be honest
urie	urie
uri	uri
upayanya	his efforts
upacaranya	the ceremony
untungnya	fortunately
untaku	my camel
unit	unit
undurlah	step down
undorkanlah	unload it
undian	raffle
umumnya	generally
ulihnyalah	it's up to him
ulihku	my advice
ulangilah	repeat
ufuk	horizon
ucapkanlah	say it
ucapanku	my words
ubannya	his gray hair
uban	gray hair
ubahlah	change it
ubah	change
tŭtapkanlah	set it
tŭtapinya	but
tŭrŭndap	stuck
tŭrtidorlah	sleep well
tŭrtawa	laugh
tŭrtangkap	caught
tŭrtanggonglah	be patient
tŭrtampaklah	it appears
tŭrtabor	tŭrtabor
tŭrsŭmbleh	tumbler
tŭrsangat	very
tŭrsandar	lean on
tŭrpilih	chosen
tŭrpanjut	advanced
tŭrpanchar	tŭrpanchar
tŭrpakie	tŭrpakie
tŭrnyata	it turns out
tŭrmŭgahlah	be proud
tŭrmŭgah	the greatest
tŭrmasok	supplied
tŭrmasamu	yours truly
tŭrlŭbor	tŭrlŭbor
tŭrluchutlah	let it go
tŭrlindong	tŭrlindong
tŭrlehih	over
tŭrlampaulah	too much
tŭrlambat	too late
tŭrkŭnanglah	remember
tŭrkunchilah	to be buried
tŭrkira	guess
tŭrjŭrumus	formula
tŭrjunlah	jump in
tŭrhubong	connected
tŭrhias	decorated
tŭrgŭlar	tŭrgŭlar
tŭrdŭngarlah	listen to me
tŭrdiamlah	be quiet
tŭrbitnya	publication
tŭrbakarlah	burn it
tŭrbakar	burnt
tŭrbahgilah	be blessed
tŭrangkat	caught
tŭngkok	bent over
tŭngkinglah	keep quiet
tŭngglamlah	sink
tŭngglam	drown
tŭngahnya	in the middle
tŭngadah	look up
tŭmplak	tŭmplak
tŭmpayan	jar
tŭlingamu	your ear
tŭgar	tough
tŭballah	thick
tutur	speak
tutupi	cover up
tutup	closed
tutorku	my tutor
tutoran	tutor
turuti	follow
turotlah	come on
tunjokkanlah	show me
tunjokkan	show
tunggangilah	ride it
tunggangannya	his mount
tundukkanlah	bow down
tundukkan	bow down
tunaikanlah	pay it off
tunaikan	cash out
tunai	cash
tumpuan	focus
tumpahlah	spill it
tumbukanku	my collision
tumbuhlah	grow up
tumbuhannya	the plants
tumbangkanlah	overthrow it
tulisi	write
tulikanlah	write it down
tuladannya	his role model
tukangmu	your handyman
tujuannya	the purpose
tujuanku	my goal
tuju	aim
tuhanku	my god
tugaskanlah	assign it
tugaskan	assign
tudungilah	cover it up
tuduhlah	accuse
tuduh	accuse
tubi	tubi
tuangan	pour
tuailah	reap the harvest
tuaiannya	the harvest
trompanya	the trumpet
tranglah	be clear
tongkatmu	your stick
tompoknya	the patch
tombakmu	your spear
tlinga	ear
titipan	deposit
tirulah	imitate
tipunya	his deception
tinjumu	your fist
tinjau	review
tingallah	stay
tindiklah	get pierced
tindeh	sneeze
tindakanmu	your actions
timurnya	the east
timpa	overwrite
timbunlah	pile it up
tidurmu	your sleep
tidurkah	are you sleeping?
tidornya	his sleep
tidorlah	go to sleep
tiangmu	your pole
tetanggamu	your neighbor
tetak	the cleavage
teruslah	keep going
teruskan	continue
terusik	disturbed
terusannya	the continuation
terusan	canal
teruna	young man
terumbang	reef
terukir	engraved
tertunggu	waiting
tertunduk	bowed
tertumpah	spilled
tertuju	aimed at
tertompok	clustered
tertindih	crushed
tertiarap	prone
tertawan	captive
tertawakan	laugh at
tertanamlah	be embedded
tertambat	moored
tersungkur	fall down
tersirat	implied
tersingkir	knocked out
tersimpul	concluded
tersesat	lost
tersentuh	touched
tersenarai	listed
tersembur	sprayed
terselerak	scattered
tersekat	stuck
terpukul	hit hard
terpujilah	be praised
terpijak	stepped on
terperi	unbelievable
terpercik	splashed
terpenggal	beheaded
terpengaruh	affected
terpasak	forced
terpaku	stuck
terowong	tunnel
ternyatalah	it turns out
ternama	famous
ternakmu	your livestock
termulia	the most noble
termuda	youngest
termashyur	famous
terlupa	forgotten
terlipat	folded
terlintang	lying on your back
terlena	carried away
terlelap	asleep
terkilir	sprained
terkenang	remember
terkawal	under control
terkaman	pounce
terjuntai	dangling
terjemur	sunburnt
terjauh	farthest
terjala	net
teristimewa	especially
terhutang	owed
terhulur	outstretched
terhimpit	squeezed
terhiburlah	be entertained
terhempas	blown away
terhampar	spread out
terhalus	the smoothest
terhalau	dispelled
terhairan	amazed
tergulung	rolled up
tergoyang	swayed
tergoncang	shaken
tergodalah	be tempted
tergelimpang	collapsed
tergeletak	lying down
terganggu	disturbed
tergamam	shocked
tergagah	the most dashing
terfikir	thought
teresak	choked
terdedahlah	be exposed
terdalam	deepest
tercurah	gushing
tercium	smell
tercicir	in short supply
tercedera	injured
tercantik	the most beautiful
tercampak	thrown away
tercabutnya	uprooted
tercabik	torn
terburai	unraveled
terbongkar	exposed
terbentuklah	formed
terbentuk	formed
terbendung	dammed
terbelakang	backward
terbawa	carried away
terbataskah	limited
terbanyak	most
terbangun	woke up
terbanglah	fly away
terbalut	wrapped up
terbalik	backwards
terbalas	replied
terangkan	explain
teragung	the greatest
tepinya	the edge
tenunnya	the weaving
tenteramlah	be at peace
tentara	soldier
tentangmu	about you
tengkuknya	his neck
tengkorak	skull
tengkoknya	his neck
tenangkanlah	calm down
temukan	find
tempurung	shell
tempuling	the temple
tempikan	slap
tempatku	my place
tempalah	forge
tempa	forge
tembikai	watermelon
telingamu	your ears
telingaku	my ears
tekinya	the puzzle
tekimu	your puzzle
tekankan	emphasize
tekalah	guess
tekak	pharynx
teja	tea
tegaskan	confirm
tegang	tense
tegaklah	stand up straight
teduhnya	the shade
tebusannya	the ransom
tebarkanlah	spread it out
tebanglah	cut it down
tawarlah	make a bargain
tauretnya	the tauret
tauretmu	your tauret
tauretkah	tauretkah
taulanmu	your friend
taulanku	my friend
taubatlah	repent
tau	know
tatahan	inlay
tasek	bag
taruh	put
tarohkanlah	put it on
taring	fangs
tariklah	pull it out
tari	dance
tapis	but s
tanyanya	he asked
tanyaku	I asked
tanyakanlah	ask
tantara	army
tanjakan	ramp
tangkie	tank
tangkaplah	catch it
tangismu	your tears
tanggungjawabnya	his responsibility
tanggungjawabmu	your responsibility
tanggungjawabku	my responsibility
tanggungannya	his responsibility
tanggong	the gong
tanggalkan	remove
tanganlah	hand it over
tandusnya	barren
tandingannya	his match
tandinganmu	your match
tancapkan	plug in
tanamkanlah	plant it
tanamanku	my plants
tamu	visitor
tamburinnya	the drum
tambun	fat
tambang	mine
tamannya	the garden
tamaa	tamaa
talu	peg
talenta	talent
takutnya	I'm afraid
takutkan	fear
takoti	fear
taklukkan	conquer
takdir	destiny
tahunku	my year
tahkta	throne
tahayul	superstition
tafsiranmu	your interpretation
tadahkan	hold it
tada	tada
taburlah	sow
taburkanlah	sprinkle it
tabung	tube
sŭtiawannya	his friend
sŭtia	faithful
sŭtara	equal
sŭsunggohnya	truly
sŭsuap	bribe
sŭsatlah	go astray
sŭsaklah	it's so tight
sŭsaat	a moment
sŭrbu	assault
sŭrambi	veranda
sŭpatut	appropriate
sŭparohnya	half of it
sŭnyap	silence
sŭntausa	sŭntausa
sŭngajanya	on purpose
sŭnangkanlah	enjoy it
sŭmŭna	all
sŭmpit	chopsticks
sŭmbunyikan	hide
sŭmbohkanlah	heal
sŭmblehlah	be resurrected
sŭmbahlah	worship
sŭmbah	worship
sŭmalam	last night
sŭlidek	slide
sŭldadu	sŭldadu
sŭlbi	self
sŭkunyong	sŭkunyong
sŭkiranya	if only
sŭkampong	village
sŭgar	fresh
sŭgan	sorry
sŭdaya	all
sŭdarlah	wake up
sŭdah	Already
sŭbuah	a
sŭbrang	across
sŭbotkan	bottling
sŭbiji	one seed
sŭbatang	a stick
sŭbagimana	how
syukurlah	I'm grateful
syiling	coin
syaratnya	the conditions
syarahan	lecture
syalom	Shalom
susurilah	follow along
susuran	railing
susunlah	arrange it
susuilah	breastfeed
suruhanmu	your orders
surohlah	please
suri	queen
suratmu	your letter
suratan	letter
surai	mane
sunyinya	the silence
sungutanku	my complaint
sunatnya	his circumcision
sunatmu	your circumcision
sunatlah	circumcise
sunatkan	circumcise
sumsumnya	the marrow
sumsum	marrow
sumpahan	swear
sulungku	my eldest
sulit	difficult
sulamannya	the embroidery
sulam	embroidery
sukong	support
sukatkan	measure it
sukachitalah	be happy
sudikah	willing
sucilah	be holy
suchinya	suchinya
suchikan	fish
subahat	blessings
subab	subab
suatupun	anything
suapilah	feed me
suapan	a bribe
suang	afternoon
stornya	the store
srunie	srunie
srulah	sorry
sru	sru
srigala	wolf
soraklah	cheers
sombonglah	be arrogant
solek	make up
soldadu	soldier
sofa	sofa
soalnya	because
slupat	slupat
slimutmu	your blanket
slatan	south
slamatku	my congratulations
siti	site
sistem	system
siramkan	pour it on
siput	snail
singgung	tangent
singgahlah	stop by
simpul	knot
silahnya	please
silah	please
siku	elbow
sikatlah	brush it
sikat	brush
sikapnya	his attitude
sikapala	attitude
siarkanlah	broadcast it
siapkan	prepare
siapatah	who is who
siakanlah	waste it
shahid	shahid
sewa	rent
setujui	agree
setitis	a drop
setimbunan	pile
setiausahanya	his secretary
setiapnya	each of them
seteru	enemy
setempat	local
setanggi	citronella
setanding	comparable
setahunya	a year
sesuku	my tribe
sesingkat	as short as
sesetengahnya	half of it
sesebuah	something
sesal	regret
sesaat	moment
serumpun	same sex
serpihan	flakes
seringkali	often
seret	drag
serapah	curse
serangannya	his attack
serampang	sloppy
seramnya	how scary
serakah	greedy
sepohon	a tree
sepinya	the silence
sepertinya	it seems like
seperempat	a quarter
sepercik	a splash
seperca	a fragment
seperasaan	feeling
sependek	as short as
sepandai	as smart as
senyum	smile
sentuhlah	touch it
senjatamu	your weapon
seniman	artist
sengsaranya	his misery
sengkat	short
sengatmu	your sting
sendinya	the joints
senasib	same fate
senarainya	the list
senanglah	be happy
sen	cent
semestinya	should
sembelihan	slaughter
sembelih	slaughter
sembahnya	his worship
sematkan	pin
semati	dead
semanis	as sweet as
semangkuk	a bowl
semangatnya	his spirit
selubungnya	the sheath
selubungilah	cover it up
seluar	pants
selimutmu	your blanket
selidiklah	investigate
selidiki	investigate
selesainya	finished
seleranya	his taste
seleraku	my taste
selengkapnya	more
selendangnya	her shawl
selendangmu	your shawl
selendangku	my shawl
selang	hose
selamilah	dive in
selabuh	harbor
sekutuku	my ally
seksakan	trouble
sekoi	sekoi
sekilas	at a glance
sekian	that's all
sekembalinya	upon his return
sekatan	barrier
sekadarnya	just enough
sejuta	a million
sejiwa	one soul
sejenisnya	similar
seisinya	the contents
seingatku	as i recall
seikat	a bundle
sehidup	as alive as
sehembus	a gust
segumpal	a lump
segolongannya	his group
seginya	its side
segelap	as dark as
segarkanlah	refresh it
seganas	as fierce as
segak	handsome
sefikiran	of one mind
sedialah	be ready
sediakala	as before
sederhana	simple
sederas	as fast as
sedarmu	your awareness
sedarlah	wake up
sedarkanlah	make it clear
sedarkah	aware
sedarah	blood relatives
sedanmu	your sedan
secerah	as bright as
secebis	a piece
secawan	a cup
sebutannya	its called
sebulat	round
sebulan	a month
sebijak	as wise as
seberkas	a sheaf
sebentuk	a form
sebegitu	that's all
sebati	mix
sebat	a stick
sebangsamu	your countrymen
sebangsaku	my countrymen
sebalik	reverse
sebahagiannya	some of it
sebagainya	and so on
seayu	beautiful
seayah	same father
seangkatan	same generation
seagung	as majestic as
seadil	as fair as possible
seabad	a century
sbarang	anything
sawannya	sawah
sawan	convulsions
saudari	sister
saudaralah	brother
saudagarnya	the merchant
satupun	none of them
satin	satin
sarungmu	your sarong
sapui	broom
sapatah	whoever
sanya	sannya
sanubari	heart
sangkar	cage
sangkaan	assumption
sanggupkah	can you
sanganya	very much
sandarannya	the backrest
sandaran	backrest
sandal	slippers
sanakmu	your relatives
sampailah	arrive
salutlah	salute
salibkanlah	crucify
salasilahnya	his lineage
salammu	your greetings
salaman	shake hands
salahku	my fault
saku	pocket
sakti	magic
saksimu	your witness
sahutan	replication
sahot	Okay
sahlah	it's okay
sahajakah	is it okay
sabŭlom	sabŭlom
sabuah	soap
sabahthani	sabah
rŭnung	ponder
rŭmput	grass
rŭjam	clock
rusoknya	its broken
rusok	broken
runtuhkan	tear down
runtuhanmu	your ruins
runduk	duck
rumahtangga	household
rujuk	refer
rubohlah	collapse
ruam	rash
rotinya	the bread
rotimu	your bread
rompakan	piracy
rompak	pirate
rombongannya	his entourage
romanya	the romance
romaku	my rome
rohaniah	spiritual
rodanya	the wheels
robohkanlah	tear it down
riwayatnya	his history
riwayatmu	your history
rioh	Rioh
rintangan	obstacle
rindulah	miss you
rindui	miss you
rim	rim
resahnya	his restlessness
rerumputan	grass
reptilia	reptiles
renunganku	my reflection
rentak	beat
renjiskan	to straighten
rengkasnya	in summary
renek	renek
remukkan	crush
rempahku	my spice
remahnya	the crumbs
relanya	willingly
rekaan	fiction
rejimen	regimen
redup	dim
rebutlah	take it
rayakannya	celebrate it
rawa	swamp
raungan	roar
ratap	lament
rasminya	the official
rantau	region
rantaiku	my chain
rangkanya	the frame
rampaslah	plunder
ramienya	ramienya
rambu	sign
ramalkanlah	predict
ramalannya	his prediction
ramalanmu	your prediction
ramal	fortune telling
raksamala	giant
rajalah	be king
rajah	tattoo
rahsiakanlah	keep it secret
rahmati	blessings
rahimmu	your womb
rahangmu	your jaw
racunnya	the poison
rabak	rabak
pŭtutoran	tutoring
pŭsanan	order
pŭrtŭtapkanlah	set it
pŭrsŭmbahanmu	your offering
pŭrot	rot
pŭrmuliakanlah	glorify
pŭrmuliakan	glorify
pŭrmisuri	permissuri
pŭrmintaanku	my request
pŭrmiesuri	pŭrmiesuri
pŭrkŭnankan	consent
pŭrkakasan	hardware
pŭrkabongan	arson
pŭrjalananmu	your journey
pŭristrikan	enslavement
pŭrigi	the ridge
pŭrhŭntiannya	the stop
pŭrhubongan	communication
pŭrhatikanlah	pay attention
pŭrdaya	deceiver
pŭrdawaannya	his virginity
pŭrchŭdraan	suffocation
pŭrchintaan	request
pŭrchidraan	phlegm
pŭrchayakah	do you believe
pŭrchabulan	chastity
pŭrbandaharan	treasury
pŭrasapan	absorption
pŭrahunya	the boat
pŭnyindir	satire
pŭnyakitmu	your illness
pŭnulonganku	my help
pŭnuhlah	be full
pŭnudohan	robbery
pŭnohnya	his pŭnoh
pŭnjarakan	imprisonment
pŭngŭtahuannya	his knowledge
pŭnglihatannya	his vision
pŭnglihatanku	my vision
pŭngannyaya	the burden
pŭndiam	quiet
pŭndapatan	income
pŭnchurikah	stunner
pŭncharian	search
pŭmukat	fisherman
pŭmimpin	leader
pŭmbasoh	washer
pŭmabok	drunk
pŭkŭrti	character
pŭkong	the king
pŭkak	stiff
pŭgawi	worker
pŭdangmu	your sword
pŭchahkan	break it down
putuskan	decide
puteraku	my son
putaran	round
putar	turn
pusing	Dizzy
pusatmu	your center
pusakaku	my heirloom
purbakala	ancient
pupus	extinct
punchanya	punch
puncakmu	your peak
punca	cause
punah	extinct
puluhan	dozens
pukatmu	your trawl
puja	worship
puisi	poetry
puhon	tree
pucuknya	the tip
puaslah	be satisfied
puasanya	his fast
puakku	my tribe
protmu	your prot
preksa	check
pratoran	pratoran
prangnya	his war
potongkanlah	cut it
pondmu	your pond
polong	pod
politik	political
plita	light
planet	planet
piutang	receivables
pistasio	pistachio
pisahkan	separate
piring	plate
pipiku	my cheek
pintas	shortcut
pinjamlah	borrow it
pinjami	lend
pinjamannya	his loan
pincang	limping
pilunya	how sad
pilihanku	my choice
pikul	carry
pikuk	hustle and bustle
pikat	lure
picik	petty
piawai	standard
petugas	officer
petinju	boxer
petangnya	in the evening
peta	map
peserta	participant
perwujudan	embodiment
pertuturannya	his speech
pertunangan	engagement
pertumbuhan	growth
pertolongannya	his help
pertolonganmu	your help
pertimbangkanlah	consider it
pertimbangkan	consider
pertiga	third
pertanyaannya	the question
pertanggungjawapan	accountability
pertahankanlah	keep it up
pertahananku	my defense
persimpangan	intersection
persiapannya	the preparation
persiapan	preparation
persetubuhan	intercourse
persepuluh	tenths
persembunyianmu	your hideout
persembunyianku	my hideout
persembahkannya	dedicate it
persembahanku	my offering
persamaannya	the similarities
perpindahan	displacement
pernikahan	wedding
perniagaanmu	your business
permohonanmu	your request
permalukanlah	embarrass yourself
permalukan	embarrassment
permainkan	play it
perletakan	placement
perlawanan	resistance
perkhabarannya	the news
perkhabaranku	my news
perkenankanlah	please allow
perkenankan	allow
perkenalkan	introduce
perkataannya	his words
perjuanganku	my struggle
perjanjianmu	your agreement
perjamuanku	my banquet
perisainya	his shield
perincian	details
periksa	check
peribadiku	my personal
perhiasaan	jewelry
pergomolan	quarrel
perginya	going away
pergerakannya	his movement
pergelangan	wrist
pergantungan	dependency
pergaduhan	brawl
perempuanlah	it's a woman
perempat	quarter
peredaran	circulation
perdaya	deceive
perdana	prime
percubaan	experiment
percikkanlah	splash it
perceraian	divorce
percakapanmu	your conversation
perbelanjaan	shopping
perbarisan	line up
perbaringannya	his lying down
perbaringan	lying down
perbaraannya	its burning
perbaraanmu	your fire
perbantahan	dispute
perbaikilah	fix it
peratap	mourner
perasmiannya	the inauguration
peraslah	squeeze it
perasaanku	my feelings
peras	squeeze
perantauan	wandering
perantau	nomad
perangmu	your war
perangkapnya	the trap
perangainya	his temperament
perancangan	design
perampasan	robbery
perampas	usurper
peraklah	silver
perakku	my silver
peraduannya	the contest
per	per
peperangannya	his war
penyunatan	circumcision
penyiasatan	investigation
penyerbuan	raid
penyerahan	handover
penyembuhan	healing
penyembelihan	slaughter
penyelia	supervisor
penyelamatannya	his rescue
penyelamatanmu	your salvation
penyebaran	distribution
penyambung	connector
penyalinan	copying
penyair	poet
penutupan	closing
penunjang	support
penumpang	passenger
penumpahan	shedding
penumbuk	pounder
penulisan	writing
penulis	writer
penukulnya	the hitter
penukul	hammer
penukaran	exchange
penujuman	necromancy
penuhnya	full of it
penuhlah	be full
penuhkanlah	fill it up
penuhkan	fill it up
penuangan	pouring
pentingkanlah	make it important
pentingkan	important
penonton	viewer
penjenayah	criminal
penjelasannya	the explanation
penjelasanku	my explanation
penjaranya	his prison
penjaminnya	the guarantor
penjamin	guarantor
penjajahan	colonization
