მოკითხვა	Greetings	mokit`xva
მოქცეულიყვნენ	To behave	mok`c`euliqvnen
ხულდა	Khulda	xulda
წინასწარმეტყველთან	With the prophet	cinascarmetqvelt`an
შალუმისა	Shallum	shalumisa
თოკჰათისა	Tokhat's	t`okhat`isa
ხასრასი	Khasras	xasrasi
სამოსლის	Garment	samoslis
მცველისა	The guard	mc`velisa
ნაწილში	In part	nacilshi
გამოგგზავნათ	Sent to you	gamoggzavnat`
მკვიდრებს	To the inhabitants	mkvidrebs
წაიკითხეს	They read	caikit`xes
მიმატოვეს	They abandoned me.	mimatoves
უკმიეს	They drank.	ukmies
გადმოიღვრება	It will spill over.	gadmoig'vreba
დაცხრება	Decline	dac`xreba
გამოგაგზავნათ	They sent you.	gamogagzavnat`
სიტყვათა	Words	sitqvat`a
მოგილბა	Mogilba	mogilba
მოიდრიკე	Moidrik	moidrike
ადგილისა	Place	adgilisa
მკვიდრების	The inhabitants	mkvidrebis
მოდრკი	Modrki	modrki
შემოიხიე	Pull me in.	shemoixie
ტიროდი	You were crying.	tirodi
მოგასვენებ	I will give you a break.	mogasveneb
შეერთვები	Connections	sheert`vebi
სამარხს	The tomb	samarxs
იხილავენ	They will see	ixilaven
გაჰყვებოდა	would follow	gahqveboda
დაიცავდა	would protect	daic`avda
მოწმობებს	Certificates	mocmobebs
იმყოფებოდნენ	Were present	imqop`ebodnen
განაგდო	Throw away	ganagdo
იოშიაჰუმ	Josiah	ioshiahum
ამსახურა	Served	amsaxura
განდგომიან	Apostate	gandgomian
პასექს	Passover	pasek`s
გადაუხადა	Paid for	gadauxada
საპასექო	Passover	sapasek`o
ამხნევებდა	Encouraged	amxnevebda
საუფლოდ	Freely	saup`lod
დადგით	Put it down.	dadgit`
მხრებით	With shoulders	mxrebit`
მოემზადეთ	Get ready.	moemzadet`
მამისსახლებისა	Father's house	mamissaxlebisa
მოძმეების	Brothers and sisters	moz'meebis
ჯგუფების	Groups	jgup`ebis
დასის	Group	dasis
მოუმზადეთ	Prepare them.	moumzadet`
მოიქცეთ	Behave.	moik`c`et`
კრავები	Lambs	kravebi
თიკნები	Goats	t`iknebi
მსხვერპლისთვის	For the victim	msxverplist`vis
კურატიც	The priest too	kuratic`
უბოძეს	Unpaid	uboz'es
ზაქარიამ	Zechariah	zak`ariam
იეხიელმა	Jehiel	iexielma
წინამძღვრებმა	The leaders	cinamz'g'vrebma
საპასექოდ	In response	sapasek`od
ქანანიაჰუმ	Canaanite	k`ananiahum
შემაყიამ	Shemaiah	shemaqiam
ნათანელმა	Nathaniel	nat`anelma
ხაშაბიამ	Khashabiam	xashabiam
იეყიელმა	Jeiel	ieqielma
იოზაბადმა	Jozabad	iozabadma
უძღვნეს	Dedicated to	uz'g'vnes
დაწესდა	Established	dacesda
ბრძანებისაებრ	As ordered	brz'anebisaebr
ატყავებდნენ	They were skinning.	atqavebdnen
გამოაცალკევეს	They separated.	gamoac`alkeves
აღსავლენისთვის	For the celebration	ag'savlenist`vis
კურატების	Curates	kuratebis
შეწირვისას	At the sacrifice	shecirvisas
შეწვეს	They were burned.	shecves
ცეცხლზე	On fire	c`ec`xlze
ქვაბებში	In pots	k`vabebshi
კოჭობებში	In the slums	kochobebshi
კარდალებში	In the Kardales	kardalebshi
მოხარშეს	They cooked.	moxarshes
მარჯვედ	Right	marjved
ჩამოურიგეს	They were given a gift.	ch`amouriges
აარონიანები	Aaronites	aaronianebi
მწუხრამდე	Until tonight	mcuxramde
ლურთებს	To the lutes	lurt`ebs
მღვდლებისათვის	For priests	mg'vdlebisat`vis
აარონიანთათვის	For the Aaronites	aaroniant`at`vis
ასაფიანები	Asafians	asap`ianebi
მხილველთაგან	From the seers	mxilvelt`agan
კარისმცველნიც	Goalkeepers too	karismc`velnic`
უხდებოდათ	They had to	uxdebodat`
მიტოვება	Abandonment	mitoveba
გადახდილიყო	to be paid	gadaxdiliqo
აღვლენილიყო	To be raised	ag'vleniliqo
განმავლობაში	During	ganmavlobashi
იხდიდნენ	They were paying	ixdidnen
დღესასწაულს	On holiday	dg'esascauls
გადაუხდია	Paid	gadauxdia
ისრალიენებმა	The Israelis	isralienebma
გადაუხადეს	They paid him.	gadauxades
მოაწესრიგა	Arranged	moacesriga
ნექო	Necho	nek`o
ქარქემიშთან	Near Carchemish	k`ark`emisht`an
გამოუგზავნა	Sent to	gamougzavna
ნექომ	Nekom	nek`om
წამოვსულვარ	I am leaving.	camovsulvar
ვეომები	I am fighting.	veomebi
მიბრძანა	He ordered me.	mibrz'ana
ვიჩქარო	To hurry.	vich`k`aro
ჩამოეცალე	Get out of here.	ch`amoec`ale
მახლავს	It haunts me.	maxlavs
დაგღუპოს	To destroy you	dagg'upos
შეიმოსა	He/She/It was put on.	sheimosa
შეისმინა	Heard	sheismina
ნექოს	Necho	nek`os
შთაგონებული	Inspired	sht`agonebuli
სტყორცნეს	They were shot.	stqorc`nes
გამიყვანეთ	Take me away.	gamiqvanet`
დავიჭერი	I will catch you.	davicheri
ჩამოსვეს	They brought it.	ch`amosves
ეტლიდან	From the cart	etlidan
იერუსალიმმა	Jerusalem	ierusalimma
გოდება	Lament	godeba
იერემიამ	Jeremiah	ieremiam
იოშიაჰუზე	About Joshua	ioshiahuze
მოთქვამს	I will say	mot`k`vams
საგოდებლებში	In the gardens	sagodeblebshi
დაუდგინეს	They were appointed	daudgines
საგოდებლებშია	It is in the gardens.	sagodeblebshia
სიქველენი	Quality	sik`veleni
ჩაწერილის	Recorded	ch`acerilis
აღსრულებულნი	Executed	ag'srulebulni
იეჰოახაზი	Jehoahaz	iehoaxazi
გადააყენა	Relocated	gadaaqena
დააკისრა	imposed	daakisra
ელიაკიმი	Eliakim	eliakimi
იეჰოიაკიმად	Jehoiakim	iehoiakimad
შეუცვალა	Changed	sheuc`vala
თერთმეტი	Eleven	t`ert`meti
მოუხდა	Had to	mouxda
ნაბუქოდონოსორი	Nebuchadnezzar	nabuk`odonosori
ბაბილონის	Babylonian	babilonis
წასაყვანად	To take away	casaqvanad
ნაბუქოდონოსორმა	Nebuchadnezzar	nabuk`odonosorma
ბაგინში	In Bagin	baginshi
იეჰოიაქინი	Jehoiachin	iehoiak`ini
გადაიყვანა	Transferred	gadaiqvana
ჭურჭელთან	With the dishes	churchelt`an
ოცდაერთი	Twenty-one	oc`daert`i
ნაბუქოდონოსორსაც	Nebuchadnezzar too	nabuk`odonosorsac`
გაიფიცხა	He went on strike.	gaip`ic`xa
მოილბო	Moilbo	moilbo
უფლისკენ	To the Lord	up`lisken
ღმერთისკენ	To God	g'mert`isken
მოსაქცევად	To convert	mosak`c`evad
სისაძაგლის	Disgusting	sisaz'aglis
ბილწავდნენ	They were defiling.	bilcavdnen
ადრიდანვე	From the very beginning	adridanve
ებრალებოდა	He felt sorry for her.	ebraleboda
სამყოფელი	Residence	samqop`eli
აგდებდნენ	They were throwing	agdebdnen
უსაშველო	Helpless	usashvelo
ქალდეველთა	Chaldeans	k`aldevelt`a
თმაჭაღარა	Gray-haired	t`machag'ara
განძეულობითურთ	By tradition	ganz'eulobit`urt`
გადაბუგეს	They were burned.	gadabuges
სასახლე	Palace	sasaxle
სპარსეთის	Persia	sparset`is
დამყარებამდე	Before establishment	damqarebamde
იერემიას	Jeremiah	ieremias
შაბათებით	On Saturdays	shabat`ebit`
გაიხარებდესო	May you be happy.	gaixarebdeso
უკაცრიელების	Of the uninhabited	ukac`rielebis
ხანაში	In the era	xanashi
შაბათობდა	It was Saturday.	shabat`obda
შესრულდა	Done.	shesrulda
კიროსის	Cyrus	kirosis
საქვეყნოდ	For the world	sak`veqnod
სიტყვიერად	Verbally	sitqvierad
წერილობით	In writing	cerilobit`
კიროსი	Cyrus	kirosi
მიბოძა	He gave it to me.	miboz'a
ერიდან	From the nation	eridan
ავიდეს	Go up.	avides
გაგრძელება	Continuation	gagrz'eleba
კიდით	With the edge	kidit`
ხარების	Annunciation	xarebis
შემორტყმული	Surrounded	shemortqmuli
ევლებოდა	It was going to happen.	evleboda
გავები	I am tired.	gavebi
სამია	There are three.	samia
თას	Cup	t`as
განბანილიყვნენ	They were washed.	ganbaniliqvnen
საკლავიც	The slaughterhouse	saklavic`
ამოევლოთ	Let's go out.	amoevlot`
გასაბანად	To wash	gasabanad
ცალი	Piece	c`ali
სასანთლე	Candlestick	sasant`le
ხუდთიც	Five	xudt`ic`
სასხურებელი	Sprayer	sasxurebeli
სპილენძით	With copper	spilenz'it`
სვეტისთავზე	On the pillar	svetist`avze
ბროწეულებისა	Pomegranates	broceulebisa
ცხაურისათვის	For the grill	c`xaurisat`vis
კვარცხლბეკები	Pedestals	kvarc`xlbekebi
საბანლები	Bathrobes	sabanlebi
ჩანგლები	Forks	ch`anglebi
მბზინვარე	Shiny	mbzinvare
მიდამოებში	In the vicinity	midamoebshi
ცერედას	Tsereda	c`eredas
გაურკვეველი	Unknown	gaurkveveli
სახლშია	He is at home.	saxlshia
ტაბლები	Tables	tablebi
რომლებზედაც	on which	romlebzedac`
ლამპრები	Lamps	lamprebi
აენთოთ	Light it up.	aent`ot`
მაშები	Tongs	mashebi
ოქროსაგან	Of gold	ok`rosagan
კოვზები	Spoons	kovzebi
კარებიც	Doors too	karebic`
ოქროსივე	Golden	ok`rosive
შეტანა	Enter	shetana
შემოწირულობანი	Donations	shemocirulobani
სადღესასწაულოდ	Festively	sadg'esascaulod
მოჩანდა	It seemed	moch`anda
ხორებზე	On the slopes	xorebze
წმიდადან	From the Holy	cmidadan
განურჩევლად	Regardless	ganurch`evlad
დასებისა	Sisters	dasebisa
სელით	With flax	selit`
ებნებით	With you	ebnebit`
მდგარნი	Standing	mdgarni
მათთანვე	With them	mat`t`anve
მესაყვირე	Trumpeter	mesaqvire
ხმაშეწყობილნი	Sound-equipped	xmashecqobilni
ეგალობათ	Egalobat	egalobat`
იქუხა	There is a place.	ik`uxa
დგომა	Standing	dgoma
დიდებამ	Glory	didebam
არცერთ	None	arc`ert`
კაციშვილი	Katsishvili	kac`ishvili
დასადგენად	To determine	dasadgenad
დავასვენე	I rested.	davasvene
კრებულისაკენ	To the collection	krebulisaken
სიგანითაც	In width too	siganit`ac`
მოიყარა	Gathered	moiqara
აღთქმასა	Promise	ag't`k`masa
ხელებმა	With your hands	xelebma
გამოგელევა	You're welcome.	gamogeleva
დადიოდი	You were walking.	dadiodi
იტევენ	They are hungry.	iteven
დაიტევს	Will fit	daitevs
დაიკეტება	Will be closed.	daiketeba
აწვიმე	Make it rain.	acvime
ერისათვის	For the nation	erisat`vis
ადამიანისაგან	From a person	adamianisagan
ერისაგან	From the nation	erisagan
გამოიწვდის	It will reach out.	gamoicvdis
უსმინე	Listen.	usmine
შორეული	Distant	shoreuli
შემართული	Directed	shemart`uli
ტაძართან	Near the temple	taz'art`an
სამყოფელიდან	From where you are	samqop`elidan
შეგთხოვს	I will ask you.	shegt`xovs
ხალხებმა	The peoples	xalxebma
გაიგონონ	To understand	gaigonon
მიეცეთ	Give it to me.	miec`et`
ქალაქისაკენ	Towards the city	k`alak`isaken
მოეგებიან	They will agree.	moegebian
პირმიქცეულნი	The first converts	pirmik`c`eulni
შეგცოდა	You have sinned.	shegc`oda
მიაპყარ	Draw me.	miapqar
დაიძარ	Get robbed.	daiz'ar
განსასვენებლისაკენ	To the resting place	gansasveneblisaken
კიდობანთან	At the ark	kidobant`an
შეიმოსონ	To dress	sheimoson
მადლიანებმა	The grateful	madlianebma
გაიხარონ	To rejoice	gaixaron
შეაქცევ	You will turn	sheak`c`ev
გაიხსენე	Remember	gaixsene
დღესასწაულები	Holidays	dg'esascaulebi
გადმოეშვა	To land	gadmoeshva
ავსებული	Filled	avsebuli
ისრალის	Israel	isralis
გადმომავალი	Downstream	gadmomavali
დაემხენ	They bowed down.	daemxen
ქვაფენილზე	On the pavement	k`vap`enilze
სამსახურებელ	At work	samsaxurebel
აქებდა	He praised	ak`ebda
აყვირებდნენ	They were shouting.	aqvirebdnen
ეზოც	The yard too	ezoc`
ლურთები	Lurths	lurt`ebi
გაკეთებულმა	Done	gaket`ebulma
სამსხვერპლომ	The altar	samsxverplom
დაიტია	Daitya	daitia
შვიდდღიანი	Seven-day	shviddg'iani
გადაიხადა	Paid	gadaixada
წვეულება	Party	cveuleba
სატფურებას	To be drunk	satp`urebas
გულუხვად	Generous	guluxvad
წარმატებით	Successfully	carmatebit`
შესაწირავ	To be offered	shesacirav
დავკეტავ	I will close.	davketav
კალიას	Calla lily	kalias
გადაჭმას	To cross	gadachmas
ვუბრძანებ	I order	vubrz'aneb
შავ	Black	shav
ჭირს	It's a problem.	chirs
მოვუვლენ	I will send them.	movuvlen
ქედს	Bow	k`eds
მოიდრეკს	It will be delayed.	moidreks
უკეთური	Evil	uket`uri
მოვუსმენ	I will listen.	movusmen
მივუტევებ	I forgive him.	mivuteveb
განვკურნავ	I will cure.	ganvkurnav
გახელილი	Opened	gaxelili
ყურთასმენა	Listening	qurt`asmena
ვედრებისათვის	For prayers	vedrebisat`vis
გაგიწყდება	You will be disappointed.	gagicqdeba
განვწმიდე	I purified myself.	ganvcmide
საარაკოდ	For a reason	saarakod
სათრეველად	For watering	sat`revelad
ერთდროს	At the same time	ert`dros
აღზევებულს	The one who has risen	ag'zevebuls
ხამათ	Khamat	xamat`
ცობაზე	On the Sabbath	c`obaze
დააფუძნა	Founded	daap`uz'na
გალავნებით	With walls	galavnebit`
კარიბჭეებით	With gates	karibcheebit`
ხანდაკებით	With steps	xandakebit`
საეტლო	Stroller	saetlo
ამორელთაგან	From the Amorites	amorelt`agan
ფერეზელთაგან	From the Perizzites	p`erezelt`agan
დაუყენებია	It is installed.	dauqenebia
სტოასთან	With Stoa	stoast`an
მცნებისამებრ	According to the commandment	mc`nebisamebr
შვიდეულთა	Sevens	shvideult`a
კარვობის	Tent camping	karvobis
ზეიმი	Celebration	zeimi
დაცვაში	In defense	dac`vashi
მღვდლებთან	With the priests	mg'vdlebt`an
მოვალეობის	Duty	movaleobis
კარს	Door	kars
უღალატიათ	They betrayed me.	ug'alatiat`
ბრძანებისათვის	For orders	brz'anebisat`vis
საქმეებსა	In business	sak`meebsa
აწყობილი	Assembled	acqobili
საძირკველის	Foundation	saz'irkvelis
ჩაყრიდან	From the dump	ch`aqridan
გასრულდა	Done.	gasrulda
ზღვისპირეთში	At the seaside	zg'vispiret`shi
გებერსა	Gebersa	gebersa
ელოთში	In Eloth	elot`shi
ზღვისმცოდნე	Marine scientist	zg'vismc`odne
სასმელ	Drink	sasmel
მსახურეულთა	Servants	msaxureult`a
მწდეები	The tips	mcdeebi
კიბეები	Stairs	kibeebi
გაოგნებული	Astonished	gaognebuli
უსაზღვრო	Boundless	usazg'vro
გადააჭარბე	Exceed	gadaacharbe
ბედნიერნი	Happy	bednierni
სოლომონისათვის	For Solomon	solomonisat`vis
ებოძებინა	Ebodzhabina	eboz'ebina
ხურამისა	Khurram's	xuramisa
ჩამოტანილ	Brought	ch`amotanil
ოქროსთან	With gold	ok`rost`an
სანდაზოლის	Sandazol	sandazolis
ქვებიც	Stones too	k`vebic`
ჩამოიტანეს	They brought it.	ch`amoitanes
სანდალოზისაგან	From sandalwood	sandalozisagan
საფეხურები	Steps	sap`exurebi
არასდროს	never	arasdros
უნახავთ	Have you seen it?	unaxavt`
ითხოვა	Asked	it`xova
მოართვა	To dress	moart`va
მსახურებიანად	Servantly	msaxurebianad
დელამფარი	Delamphar	delamp`ari
დელამფარზე	On the Delamphar	delamp`arze
სპილენძისაგან	Made of copper	spilenz'isagan
ფეხსადგამი	Footrest	p`exsadgami
მიდგმული	Approaching	midgmuli
ხურამის	Khurram	xuramis
თარშიშს	Tarshish	t`arshishs
მოესმინა	Listened	moesmina
ხელისუფლება	Government	xelisup`leba
ვრცელდებოდა	It was spreading	vrc`eldeboda
გარდაცვალება	Death	gardac`valeba
წინასწარმეტყველებაში	In prophecy	cinascarmetqvelebashi
იეყდო	Iedo	ieqdo
ამბოხება	Rebellion	amboxeba
გადმოვარდა	Fell out	gadmovarda
ზემოთვალის	Upward	zemot`valis
დაეკითხეთ	Ask.	daekit`xet`
ზებუბს	Zebub	zebubs
მოვრჩები	I will stay.	movrch`ebi
სნეულებისგან	From diseases	sneulebisgan
თიშბელს	To the teacher	t`ishbels
ეუბნე	Tell him/her	eubne
ზებუბთან	With Zebub	zebubt`an
მიდიხართ	Are you going?	midixart`
ადგები	You are standing.	adgebi
საწოლიდან	From bed	sacolidan
წევხარ	Are you lying?	cevxar
გვითხრა	He told us	gvit`xra
სამკითხაოდ	For questions	samkit`xaod
ეუბნა	He told him	eubna
შემოგხვდათ	You met us.	shemogxvdat`
ბალანი	Balan	balani
მოსავს	It is raining.	mosavs
ტყავის	Leather	tqavis
არტყია	Artia	artqia
თიშბელია	Tishbelia	t`ishbelia
მიუგზავნა	Sent to	miugzavna
ორმოცდაათისთავი	Fifty-first	ormoc`daat`ist`avi
ორმოცდაათეულითურთ	In the fifties	ormoc`daat`eulit`urt`
თხემზე	On the head	t`xemze
ჩამოხვიდე	Come down.	ch`amoxvide
ორმოცდაათისთავს	Fifty-five	ormoc`daat`ist`avs
ჩამოიჭრას	To cut down	ch`amoichras
გშთანთქას	You are welcome.	gsht`ant`k`as
ჩამოიჭრა	It fell down.	ch`amoichra
ბრძანებს	Orders	brz'anebs
ჩამოდი	Come down.	ch`amodi
დასდე	Put it down.	dasde
ჩაჰყევი	Follow me.	ch`ahqevi
ყოფილიყოს	It would have been	qop`iliqos
დაჰკითხებოდი	I would like to ask.	dahkit`xebodi
იუბნა	Yubna	iubna
გამზრდელებს	To the caregivers	gamzrdelebs
მოგივათ	Will you come?	mogivat`
ბატონიშვილები	Gentlemen	batonishvilebi
ჰოდა	So.	hoda
ბატონიშვილებიდან	From the Batonishvili	batonishvilebidan
მოგწონთ	Do you like it?	mogcont`
იბრძოლეთ	Fight.	ibrz'olet`
დაუდგა	He stood up.	daudga
დავუდგეთ	Let's stand up.	davudget`
მოურავმა	Mouravi	mouravma
განმგებელმა	The governor	ganmgebelma
გამზრდელებმა	Parents	gamzrdelebma
გვიბრძანებ	You command us.	gvibrz'aneb
მოვიქცევით	We will behave.	movik`c`evit`
გავამეფებთ	We will reign.	gavamep`ebt`
ჩემიანები	My people	ch`emianebi
ემორჩილებით	I obey.	emorch`ilebit`
წამოიღეთ	Take it.	camoig'et`
ბატონიშვილების	Batonishvili	batonishvilebis
დიდებულებთან	With the greats	didebulebt`an
ზრდიდნენ	They were raising	zrdidnen
მოუვადათ	They came.	mouvadat`
კალათებში	In baskets	kalat`ebshi
ჩააწყვეს	They set it up.	ch`aacqves
უფლისწულთა	Princes	up`liscult`a
დაყარეთ	Throw it away.	daqaret`
უბრალონი	Simple	ubraloni
ავუჯანყდი	I rebelled.	avujanqdi
მოვკალი	I killed.	movkali
უბრძანებია	Ordered	ubrz'anebia
ჩაივლის	It will pass.	ch`aivlis
მახლობლები	Neighbors	maxloblebi
მისიანი	Missionary	misiani
ყეკედთან	With a crow	qekedt`an
მწყემსთა	Shepherds	mcqemst`a
ბინებთან	Near the apartments	binebt`an
დედოფლის	Queen's	dedop`lis
გასაგებად	To understand	gasagebad
მივდივართ	We are going.	mivdivart`
ყეკედში	In the village	qekedshi
შეეყარა	Met	sheeqara
იონადაბ	Jonadab	ionadab
რეხაბის	Rechab	rexabis
მიესალმა	Welcomed	miesalma
წრფელია	It is straightforward.	crp`elia
იონადაბმა	Jonadab	ionadabma
ნახე	See	naxe
დარჩენოდა	To stay	darch`enoda
ელიასთვის	For Elijah	eliast`vis
ცუდად	Badly	c`udad
მოუმატებს	Will add	moumatebs
შემიყარეთ	Gather me.	shemiqaret`
ქადაგი	Preacher	k`adagi
აკლდეს	To be lacking	akldes
ბაყალისთვის	For the frog	baqalist`vis
დააკლდება	It will be reduced.	daakldeba
ხრიკი	Trick	xriki
მოიგონა	invented	moigona
ამოეწყვიტა	It was cut off.	amoecqvita
თაყვანისმცემლები	Fans	t`aqvanismc`emlebi
მოუსვლელი	Inaccessible	mousvleli
მცველს	The guard	mc`vels
გამოუტანე	Take it out.	gamoutane
გამოუტანა	He brought it out.	gamoutana
მსხვერპლისა	Victim	msxverplisa
შეწირვას	To sacrifice	shecirvas
იმათგან	From those	imat`gan
გაბარებთ	You will be admitted.	gabarebt`
მოგკითხავთ	I will ask you.	mogkit`xavt`
მალემსრბოლებსა	Soon the runners	malemsrbolebsa
დაყარეს	They threw	daqares
მალემსრბოლებმა	Soon the runners	malemsrbolebma
ქანდაკებები	Statues	k`andakebebi
დაამსხვრიეს	They crushed it.	daamsxvries
სანაგვე	Trash	sanagve
ადგილად	In place	adgilad
დაუნებებია	I have given up.	daunebebia
ხბორებისათვის	For calves	xborebisat`vis
ბეთელსა	Bethel	bet`elsa
თაობამდე	Until a generation	t`aobamde
ისხდებიან	They will sit down.	isxdebian
რჯულს	Law	rjuls
რომლებითაც	with which	romlebit`ac`
დასუსტება	Weakening	dasusteba
მიწების	Lands	micebis
ჩამოჭრა	Cut off	ch`amochra
ხაზაელმა	Hazael	xazaelma
იორდანედან	From Jordan	iordanedan
მიწები	Lands	micebi
ყაროყერიდან	From Karaoke	qaroqeridan
არნონის	Arnon	arnonis
გილყადი	Gilgal	gilqadi
ბაშანი	Bashan	bashani
იოახაზი	Jehoahaz	ioaxazi
იეჰოშებაყმა	Jehosheba	iehoshebaqma
მოიპარა	Stole	moipara
განწირულ	Doomed	gancirul
დამალეს	They hid it.	damales
ღოთოლიასგან	From Gotholia	g'ot`oliasgan
მალემსრბოლთა	Sooners	malemsrbolt`a
მოსთხოვა	He asked for it.	most`xova
აჩვენა	showed	ach`vena
მესამედმა	The third time	mesamedma
მომსვლელთაგან	From those who come	momsvlelt`agan
იყარაულოს	Ikaraulo	iqaraulos
სურის	Suri	suris
მესამედმაც	For the third time too	mesamedmac`
იყარაულეთ	Ikarauleti	iqaraulet`
გამომსვლელთაგან	From the speakers	gamomsvlelt`agan
შემოერტყით	Come in.	shemoertqit`
რიგებში	In the ranks	rigebshi
მომსვლელნი	Those who come	momsvlelni
შაბათის	Saturday	shabat`is
მალემსრბოლები	Sooners	malemsrbolebi
ტაშს	Applause	tashs
დასჯა	Punishment	dasja
მხიარულობს	Having fun	mxiarulobs
ახმიანებენ	They echo.	axmianeben
შესასვლელით	By the entrance	shesasvlelit`
სასახლისკენ	To the palace	sasaxlisken
ზედამხედველობა	Supervision	zedamxedveloba
სწორეს	Correct	scores
მოძღვრავდა	He was teaching.	moz'g'vravda
შემოწირული	Donated	shemociruli
შემოდის	Entering	shemodis
ბრუნვაში	In circulation	brunvashi
შემოაქვს	Brings in	shemoak`vs
შემოაქვთ	They bring in	shemoak`vt`
აიღონ	to take	aig'on
ნაცნობებისაგან	From acquaintances	nac`nobebisagan
შეაკეთონ	To repair	sheaket`on
შესაკეთებელს	To be repaired	shesaket`ebels
აღმოაჩენენ	They will discover	ag'moach`enen
შეკეთებული	Repaired	sheket`ebuli
შესაკეთებელი	To be repaired	shesaket`ebeli
შეგიკეთებიათ	Have you done it?	shegiket`ebiat`
აიღებთ	You will take it.	aig'ebt`
ნაცნობებისგან	From acquaintances	nac`nobebisgan
შეთანხმდნენ	Agreed	shet`anxmdnen
ნახვრეტი	Hole	naxvreti
შემომსვლელთა	Incoming	shemomsvlelt`a
შემოტანილ	Imported	shemotanil
დაგროვდა	Accumulated	dagrovda
ამოვიდოდნენ	They would come out.	amovidodnen
გადმოყრიდნენ	They threw it away.	gadmoqridnen
დაითვლიდნენ	They would count.	dait`vlidnen
შეგროვებულ	Collected	shegrovebul
დათვლილ	Counted	dat`vlil
მწარმოებლებს	Manufacturers	mcarmoeblebs
მომუშავეთ	Work for me.	momushavet`
ქვისმთლელებს	To the stonemasons	k`vismt`lelebs
ქვითხუროებს	Stonecutters	k`vit`xuroebs
ყიდულობდნენ	They were buying	qidulobdnen
თლილ	Thin	t`lil
შესაკათებლად	To summarize	shesakat`eblad
მზადდებოდა	was being prepared	mzaddeboda
შემოსული	Online	shemosuli
ეძლეოდათ	They were allowed	ez'leodat`
შეეკეთებინათ	To repair	sheeket`ebinat`
ანგარიშს	Report	angarishs
სთხოვდნენ	They asked	st`xovdnen
პირებს	Persons	pirebs
შემოდიოდა	was coming in	shemodioda
ხაზაელი	Hazael	xazaeli
შემოწირულობაც	Donation too	shemocirulobac`
ოქროულობა	Gilding	ok`rouloba
იპოებოდა	It was found	ipoeboda
სილას	Silas	silas
ჩასავალთან	At the arrival	ch`asavalt`an
იოზახარ	Jozachar	iozaxar
შიმყათის	Shimkat	shimqat`is
იჰოზაბად	Jehozadab	ihozabad
შომერის	Shomer's	shomeris
იეჰოახაზ	Jehoahaz	iehoaxaz
ჩვიდმეტი	Seventeen	ch`vidmeti
განრიდებია	There are diversions.	ganridebia
აღიგზნო	Get excited	ag'igzno
დააღწიეს	They reached	daag'cies
ბატონობას	Dominance	batonobas
იწყეს	They started	icqes
განრიდებიან	They will be turned away.	ganridebian
ხემხვივანებიც	Even the Khemkhivans	xemxvivanebic`
კვლავინდებურად	Still the same	kvlavindeburad
ქვეითიღა	Infantry	k`veit`ig'a
იეჰოახაზს	Jehoahaz	iehoaxazs
დასათრგუნი	To suppress	dasat`rguni
იეჰოახაზმა	Jehoahaz	iehoaxazma
ოცდამეჩვიდმეტე	Thirty-seventh	oc`damech`vidmete
მისდევდა	He was following.	misdevda
სენისგან	From Sen	senisgan
მამავ	Father	mamav
ეტლო	Etlo	etlo
მხედრობავ	Soldier	mxedrobav
მშვილდ	Bow	mshvild
ისარი	Arrow	isari
დააადე	Put it on.	daaade
მშვილდს	Bow	mshvilds
ხელზე	On hand	xelze
გააღე	Open it.	gaag'e
სარკმელი	Window	sarkmeli
სტყორცნე	Thrower	stqorc`ne
ძლევის	Overcoming	z'levis
არამისკენ	Towards Aram	aramisken
სძლევ	You are winning.	sz'lev
დაჰკარი	Knock	dahkari
გაუბრაზდა	He got angry.	gaubrazda
ხუთგზის	Five times	xut`gzis
ექვსგზის	Six times	ek`vsgzis
დაგეკრა	You were beaten.	dagekra
სძლევდი	You could overcome	sz'levdi
მოთარეშენი	Yours sincerely	mot`aresheni
დამდეგს	Finally	damdegs
მარხავდნენ	They were fasting.	marxavdnen
ჩააგდეს	They threw it in.	ch`aagdes
შეიბრალა	He took pity on me.	sheibrala
შეიწყალა	He had mercy.	sheicqala
აბრაამთან	With Abraham	abraamt`an
იაკობთან	With Jacob	iakobt`an
იეჰოახაზისთვის	For Jehoahaz	iehoaxazist`vis
გაუმტკიცდა	It has become stronger.	gaumtkic`da
მკვლელების	Murderers	mkvlelebis
დაისაჯონ	To be punished	daisajon
სიკვდილით	By death	sikvdilit`
სელაყი	Corn	selaqi
იოკთეელი	Joktheel	iokt`eeli
ამაციამ	Amaziah	amac`iam
შევხვდეთ	Let's meet.	shevxvdet`
ეკალმა	Thorn	ekalma
კედარს	Cedar	kedars
დაგიმარცხებია	You have been defeated.	dagimarc`xebia
გადიდგულებულხარ	You are arrogant.	gadidgulebulxar
შეხვდნენ	They met.	shexvdnen
ესხმოდა	Attacked	esxmoda
სიკვდ	Death	sikvd
იღებს	takes	ig'ebs
მემკვიდრეობას	Inheritance	memkvidreobas
ელათი	Elath	elat`i
ყელიდან	From the throat	qelidan
ყერაბას	To the grave	qerabas
ხეფერელი	Hepher	xep`ereli
იონა	Jonah	iona
ამითაის	This is it.	amit`ais
სახსენებლის	Reminder	saxseneblis
ამოძირკვა	Uprooting	amoz'irkva
ცისქვეშეთიდან	From the sky	c`isk`veshet`idan
კუთვნილი	Belonging	kut`vnili
დამასკო	Damascus	damasko
ხამათი	Hamathi	xamat`i
ყაზარიას	Khazaria	qazarias
იექალიაჰუ	Yekaliah	iek`aliahu
