鼓舞人心的	encouraging
鼻孔	nostrils
鼻子	noses
鼻子	nose
鼻吸	snuffing
鼠疫	plague
鼓起	Muster
鼓勵	encourages
鼓勵	encouragement
鼓勵	encouraged
鼓勵	encourage
黴菌	mildew
點頭	Nod
點燃	kindled
點燃	kindle
點燃	ignites
點燃	ignite
點火	igniting
點擊	hits
點亮	illuminates
黛娜	Dinah
默默	silently
黑馬	Hermas
黑豹	panthers
黑色	black
黑甲	Helkath
黑暗	darkness
黑暗	darkened
黑暗	dark
黑暗	blackest
黑幫	Gangs
黎明	dawns
黎明	dawn
黃蜂	hornets
黃色	yellow
黃瓜	cucumbers
黃玉	topaz
黃牛	cattle
黃昏	nightfall
黃昏	dusk
麻風	leprous
麻風	leprosy
麻雀	sparrows
麻雀	sparrow
麻袋	sacks
麻煩	troubles
麻煩	trouble
麻木	stupor
麻布	sackcloth
麻布	linen
麵糊	batter
麵粉	flour
麵團	dough
麵包	loaves
麵包	loaf
麵包	breads
麵包	bread
麥西	Mizraim
麥基	Melki
麥地	grainfields
鹼液	lye
鸕鶿	cormorant
鷹派	hawks
鷓鴣	partridge
鵪鶉	quail
鴿子	pigeons
鴿子	pigeon
鴿子	doves
鴿子	dove
鴕鳥	ostriches
鴕鳥	ostrich
鳴叫	chirping
鳳凰	Phoenix
鳥類	birds
鱷魚	crocodile
鰭片	fins
魯莽	reckless
魯本	Reuben
魚鷹	osprey
魚叉	harpoon
魔鬼	devil
魔法	magic
魅力	charms
魅力	charm
魄力	boldness
鬧鬼	haunted
鬧劇	farce
鬧事	troublemakers
鬥爭	struggle
鬥爭	fight
鬣狗	hyenas
鬍鬚	beards
鬍子	beard
鬆開	loosen
鬆口	relent
鬆動	loosed
鬃毛	mane
髮型	hairstyles
高音	blaring
高遠	lofty
高超	superb
高貴	noble
高舉	exalts
高興	thrilled
高興	glee
高興	glad
高聲	loudly
高聲	aloud
高級	high-ranking
高級	advanced
高潮	climax
高格	Gog
高強	excel
高度	highly
高度	heights
高度	height
高地	highlands
高呼	chanted
高原	plateaus
高原	plateau
骷髏	skeletons
骰子	dice
骯髒	unclean
骨頭	bones
骨架	framework
骨幹	backbone
骨刺	spur
驚駭	fright
驚醒	roused
驚醒	awakened
驚訝	astonished
驚慌	alarmed
驚愕	amazement
驚奇	amaze
驚嚇	terrify
驚嚇	startle
驚嘆	marveling
驚嘆	marveled
驚呼	exclaimed
驚叫	scream
驚人	astounding
驚人	amazing
驗證	verified
驗證	validated
驗收	accepting
驗收	acceptance
驕傲	proud
驅逐	expels
驅逐	expelling
驅逐	expel
驅蟲	wormed
驅動	driven
騾子	mules
騷擾	harassing
騷擾	harassed
騷擾	harass
騷動	uproar
騷動	tumult
騷動	commotion
騷亂	rioting
騙局	deception
騙子	swindlers
騙子	swindler
騙子	liars
騙子	impostors
騙子	deceivers
騙子	deceiver
騙子	cheaters
騙取	defraud
騎術	riding
騎士	rider
騎兵	cavalry
駱駝	camels
駱駝	camel
駭然	aghast
駝背	stooped
駕駛	drive
駕馭	harnessed
駐軍	garrisons
駐軍	garrison
駐留	dwells
駁斥	refuted
駁回	dismissed
馴服	tamed
馴服	tame
馳騁	gallop
馬騾	mule
馬賽	Maasai
馬薩	Massa
馬槽	manger
馬拉	Mara
馬岱	Madai
馬尾	Cauda
馬夫	groom
馬塔	Matthat
馬厩	stables
馬匹	horses
馬兵	horsemen
馬倫	Mahlon
馬俱	harness
馬修	Matthew
馬但	Matthan
香香	savory
香菜	coriander
香脂	balsam
香脂	balm
香甜	soundly
香爐	censers
香水	perfumes
香水	perfume
香水	fragrances
香氣	aroma
香料	spices
香料	spice
香味	scent
香味	fragrance
香包	sachet
首飾	ornaments
首飾	jewelry
首都	capitals
首都	capital
首腦	summit
首席	chief
首富	richest
饞嘴	glutton
饒恕	forgiveness
饋送	feeding
餘燼	embers
餓死	starve
餐飲	food
餐具	utensils
養護	curing
養肥	fattened
養殖	farmed
飾面	finishes
飾品	accessories
飼養	rearing
飼養	reared
飼料	fodder
飼料	feed
飲食	diet
飲酒	drinkers
飲料	drinks
飲料	beverage
飢餓	starved
飢餓	starvation
飢餓	hungry
飢餓	hunger
飢荒	famines
飢荒	famine
飢渴	hungrily
食草	grass-eating
食慾	appetite
食品	foods
食人	man-eater
飛鏢	darts
飛躍	leaps
飛躍	leaped
飛躍	leap
飛行	flying
飛行	flown
飛行	flight
飛蛾	moths
飛濺	splatters
飛濺	splatter
飛散	spattered
飛奔	darted
飄飄	fluttering
飄零	wandering
颶風	hurricane
颱風	typhoon
風靡	swept
風險	risks
風險	risk
風選	winnowing
風茄	mandrakes
風箱	bellows
風箏	kites
風暴	windstorm
風暴	storms
風暴	storm
風扇	fan
風化	weathered
顯示	shown
顯示	showed
顯示	show
顯示	displaying
顯示	displayed
顯示	display
顫抖	trembles
顫抖	trembled
顫抖	tremble
顫抖	thrill
顫抖	quivers
顫抖	quivered
顫動	quiver
顧客	customers
顧問	counselor
顧問	advisers
顧問	adviser
類型	types
類型	type
類似	similar
類似	resembling
類似	resemble
顛覆	overturn
願景	visions
願意	willing
顏色	color
顎骨	jawbone
額頭	foreheads
額外	extra
額外	additional
題詞	inscription
頻繁	frequent
頹唐	deserting
頸部	neck
頭髮	hair
頭骨	skulls
頭骨	skull
頭飾	headdresses
頭腦	minds
頭目	ringleaders
頭目	ringleader
頭盔	helmets
頭盔	helmet
頭帶	headbands
頭巾	turbans
頭巾	turban
領班	foreman
領帶	tie
領導	leading
領導	leadership
領導	leader
領域	realm
領域	fields
領域	field
領土	territory
領土	territories
領主	lords
頒布	enacted
頑固	obstinate
預賽	heats
預計	projected
預計	expects
預計	estimated
預計	anticipates
預言	prophesying
預言	prophesy
預言	prophesies
預言	prophesied
預言	prophecy
預言	prophecies
預言	foretold
預示	foretaste
預示	foreshadowed
預測	predicts
預測	predictions
預測	prediction
預測	predicting
預測	predict
預期	expected
預期	anticipation
預塗	prefinished
預先	beforehand
預兆	omens
順利	successfully
順利	smoothly
順便	Incidentally
項鍊	necklaces
項鍊	necklace
項目	projects
項目	project
項目	items
項目	item
頂替	displace
頂住	withstood
響板	castanets
響應	response
響應	responds
響應	responding
響應	respond
響徹	resounded
韻律	rhythm
音麥	Immer
音箱	speakers
音樂	musical
音樂	music
音拿	Imnah
韭菜	leeks
韓元	won
韋弗	weaver
鞭打	whipped
鞭打	flogged
鞭打	flog
鞭子	whips
鞭子	whip
鞠躬	bowing
鞠躬	bowed
革順	Gershonites
革順	Gershonite
革舜	Gershom
面紗	veils
面紗	veiling
面紗	veil
面皮	skinned
面板	panels
面料	fabrics
面對	facing
面對	faced
面對	face
面對	confronts
面對	confronted
面對	confront
面孔	faces
面前	front
面具	masks
非難	reproof
非難	condemnation
非禮	indecent
非神	non-gods
非法	illegal
非常	very
非常	strongly
非常	immensely
非常	greatly
非常	extremely
非常	exceedingly
靜音	mute
青銅	bronze
青蛙	frogs
青睞	favored
青年	youth
靈魂	souls
靈魂	soul
靈感	inspiration
靈性	spiritually
靈性	spirituality
霸道	overbearing
露營	camping
露台	terraces
露出	outcrop
霍隆	Holon
震驚	astounded
震撼	shook
震撼	rocked
需要	takes
需要	required
需要	needed
需要	need
需要	demands
需求	requirement
需求	needs
需求	demand
電路	circuit
電話	calls
電流	currents
電梯	lift
雹暴	hailstorm
雷雲	thundercloud
雷暴	thunderstorms
雷巴	Reba
雷卡	Racal
雲集	gathered
雲母	Mica
雪白	whitest
雪橇	sledges
雪橇	sledge
雪松	cedarwood
雪松	cedars
雪松	cedar
雪城	Syracuse
雨量	rainfall
難量	defies
難民	refugees
難民	refugee
難忘	unforgettable
離開	leaving
離開	leave
離開	departure
離開	depart
離棄	forsaken
離婚	divorces
離婚	divorced
離婚	divorce
雜質	impurities
雜草	weeds
雛鳥	nestlings
雙面	sided
雙方	sides
雙刃	double-edged
雖然	though
雖然	Nevertheless
雖然	although
雕刻	engraving
雕刻	engrave
雕刻	carvings
雕刻	carving
雕刻	carver
雕刻	carve
雕像	statues
雕像	statue
雇農	farmhands
雇主	employer
集群	clusters
集合	congregation
集合	assemble
集中	concentrate
雅雜	Jahaz
雅金	Jakim
雅述	Jashub
雅買	Jahmai
雅謝	Jazer
雅蘭	Jalam
雅薛	Jahzeel
雅立	Jarib
雅比	Jabesh
雅斤	Jakin
雅敬	Jehoiakim
雅拉	Jaalah
雅弗	Japheth
雅幹	Jorai
雅尼	Jannes
雅善	Jashen
雅哈	Jahath
雅各	Jacob
雅博	Jabbok
雅利	Jahleel
雅典	Athens
雅典	Athenians
雅億	Jael
雅代	Jahdai
雄辯	eloquent
雄偉	majestic
隸屬	subjection
隱藏	hide
隱藏	conceal
隱藏	buried
隱私	privacy
隱形	cloaked
隱士	recluse
隨機	randomly
隨地	anywhere
隨同	accompanying
隨你	whatever
隧道	tunnels
隧道	tunnel
障礙	obstacles
障礙	obstacle
障礙	impediment
隘路	defiles
隔離	seclusion
隔離	quarantined
隔離	quarantine
隔離	isolation
隔山	Geshan
階段	stages
隊長	captain
隊友	teammate
隊伍	contingent
隆隆	rumbling
隆隆	rumble
隆重	grandly
隆冬	midwinter
陽台	terrace
陽光	sunshine
陽光	sunlight
陽光	Rays
陽光	daylight
陷阱	traps
陷阱	trap
陷害	framed
陶醉	reveling
陶醉	revel
陶工	potters
陶器	pottery
陰謀	conspiracy
陰謀	conspiracies
陰莖	penis
陰沉	gloomy
陰影	shadows
陰影	shadow
陰影	shading
陰影	shaded
陰唇	Nympha
除非	unless
除了	besides
陣雨	showers
陣痛	pangs
限制	restrictions
限制	restriction
限制	limiting
限制	limitations
限制	limit
降雨	rains
降解	degrading
降落	landing
降落	descent
降落	descend
降臨	befalls
降脂	lowing
降級	relegated
降低	lowered
降低	lower
陌生	unfamiliar
附近	vicinity
附近	nearby
附庸	vassal
附件	enclosure
附上	attaching
陀臘	Tolad
陀弗	Tophel
阿鮮	Ozem
阿霍	Ahoah
阿隆	Allon
阿門	amen
阿迪	Addi
阿諛	flattery
阿蘭	Aran
阿蒙	Amon
阿蒙	Ammon
阿美	Ami
阿米	Ammi
阿科	Acco
阿斐	Ophir
阿拉	Ahira
阿扎	Arza
阿德	Ard
阿希	Ahi
阿巴	Abba
阿山	Ashan
阿尼	Arni
阿吉	Agee
阿南	Onam
阿南	Anan
阿伯	Oboth
阻礙	hinders
阻礙	hinder
阻撓	frustrate
阻力	hindrance
防腐	embalming
防禦	defenses
防禦	defense
防水	waterproofed
防止	prevents
防止	preventing
防止	prevented
防搶	snatches
闢罕	Bilhan
闢拉	Bilhah
闡述	elaborate
關閉	shutting
關閉	shut
關閉	closing
關閉	closes
關閉	closed
關聯	associating
關聯	associate
關節	joints
關注	concerns
關於	regarding
關於	concerning
關於	about
關心	concerned
關心	concern
關心	care
關係	relationships
關係	relationship
關係	relations
關係	relation
闊氣	lavish
閾值	thresholds
閹割	castrated
閨房	Harim
閨房	harem
閣樓	attic
閣下	Excellency
間隙	gap
間諜	spy
間諜	spies
間斷	interrupted
閒聊	gossiping
開陽	Mizar
開除	expelled
開關	switches
開釋	acquittal
開釋	acquit
開車	drove
開裂	cracking
開花	flowering
開花	blossoms
開花	blossomed
開花	blossom
開盤	opening
開明	enlightened
開支	spending
開採	quarried
開採	mined
開幕	inaugurate
開始	starting
開始	started
開始	start
開始	begun
開始	begins
開始	beginnings
開始	beginning
開始	begin
開始	began
閃電	lightning
閃著	glowed
閃耀	shined
閃耀	shine
閃耀	blazed
閃現	flashed
閃爍	twinkling
閃爍	glitters
閃爍	flickering
閃爍	flashing
閃爍	flashes
閃爍	blinking
閃光	gleam
閃光	flare
閃亮	shiny
門階	doorstep
門道	doorways
門納	Menna
門牌	unnumbered
門框	doorposts
門框	doorframes
門框	doorframe
門柱	gateposts
門柱	gatepost
門房	doorkeeper
門廳	foyers
門廳	foyer
門廊	porches
門廊	porch
門口	doorway
長袍	tunics
長袍	robes
長袍	robe
長舌	blabbermouth
長老	elders
長老	elder
長笛	flute
長椅	couch
長度	length
長官	officers
長女	firstborn
長嘯	shouts
鑿成	hewn
鑽進	sneaks
鑽石	diamond
鑲板	paneling
鑲板	paneled
鑲嵌	mosaic
鑲嵌	inlaid
鑑定	identify
鑑定	identification
鑄工	molder
鑄件	casts
鑄件	casting
鐵青	ashen
鐵桿	irons
鐵匠	smiths
鐵匠	blacksmiths
鐵匠	blacksmith
鐮刀	sickles
鐮刀	sickle
鐘聲	bells
鐐銬	shackles
鏡子	mirrors
鏡子	mirror
鏈接	chained
鎮定	calms
鎖定	locked
鍛造	forging
鍛造	forge
錯開	stagger
錯過	misses
錯過	missed
錯誤	wrong
錯誤	mistakes
錯誤	mistaken
錯誤	mistake
錯誤	errors
錯誤	error
錨定	anchored
錢包	wallet
錘子	hammer
錐子	awl
鋼筆	pen
鋼廠	mills
鋼包	ladles
鋪設	laying
鋪設	lay
鋪設	laid
銷毀	destroying
銷毀	destroyed
銷售	selling
銳化	sharpens
銳化	sharpening
銅蛇	Nehushtan
銅匠	coppersmith
銀行	banks
銀行	bank
銀匠	silversmiths
銀匠	silversmith
鉸鏈	hinges
鈴聲	ringing
釣魚	fishing
針織	knit
針對	directed
針對	aimed
釘死	crucifying
釘死	crucify
釘子	nails
金融	financial
金色	golden
金庫	treasury
金屬	metals
金屬	metal
金匠	goldsmiths
金匠	goldsmith
野蠻	uncivilized
野蠻	brutal
野蠻	barbaric
野花	wildflowers
野生	wild
野兔	hare
重量	weight
重要	vital
重要	important
重複	repeats
重複	repeating
重複	repeated
重複	repeat
重聚	reunited
重組	regrouped
重疊	overlapping
重申	reaffirm
重生	reborn
重新	anew
重新	afresh
重擊	pounding
重建	reestablished
重建	reestablish
重建	reconstruction
重建	reconstructed
重建	rebuilt
重建	rebuilding
重建	rebuild
重大	significant
里森	Resen
釋放	freed
釀造	brewed
醫生	doctors
醫生	doctor
醫治	healings
醫師	physicians
醫師	physician
醫學	medicine
醜陋	ugly
醜聞	scandal
醜惡	repulsive
醒來	woke
醒來	waking
醉鬼	drunks
醉人	intoxicating
醇香	sweet-smelling
酸奶	yogurt
酷熱	scorching
酵母	yeast
酣暢	snorts
酒鬼	drunkards
酒鬼	drunkard
酒館	taverns
酒醉	drunkenness
酒精	alcoholic
酒榨	winepresses
酒榨	winepress
酒徒	drinker
酒吧	bars
酒吧	bar
配額	quotas
配額	quota
配股	allotment
配給	ration
配料	ingredients
配售	placing
配合	mated
配偶	spouses
配件	fitting
酋長	chiefs
鄰里	neighborhood
鄰接	neighboring
鄰居	neighbors
鄰居	neighbor
鄙視	despises
鄙視	despised
鄙視	contempt
鄉村	rural
郵票	stamp
郵件	mail
部長	ministers
部長	minister
部落	tribes
部落	tribe
部落	horde
部署	deployed
部分	sections
部分	section
部分	parts
部分	part
部件	assembly
郊區	outskirts
邪惡	wickedness
邪惡	wicked
邪惡	unholy
邪惡	evil
那裡	there
那些	those
那些	ones
邏輯	logic
邊遠	outlying
邊緣	verge
邊緣	fringe
邊緣	edges
邊緣	edge
邊緣	brink
邊界	bounding
邊界	boundary
邊界	boundaries
邊境	frontier
邊境	border
還款	repayment
邁拉	Myra
邀請	invites
邀請	invited
邀請	invite
避免	prevent
避免	Avoiding
避免	avoided
避免	avoid
避免	avert
避免	abstain
遺跡	remains
遺產	inheritance
遺產	heritage
遺傳	inherited
選擇	selects
選擇	select
選擇	picking
選擇	chosen
選擇	chose
選擇	choosing
選擇	choose
選擇	choices
選擇	choice
遷移	migrated
遵守	obey
遵命	obeyed
遲疑	hesitate
遲早	Sooner
遭遇	suffered
遭報	avenged
遭受	suffer
適當	suitable
適當	appropriately
適當	appropriate
適用	applies
適合	suit
適合	fits
適合	fit
遠航	journeyed
遠程	remote
遠征	expedition
遙遠	far-off
遙遠	distant
違規	violations
違背	disobeyed
違抗	defy
違反	violation
違反	violating
違反	violates
違反	violated
違反	violate
達貢	Dagon
達昆	Darkon
達太	Thaddaeus
達到	reach
達到	attain
道路	roads
道歉	apologized
道德	moral
道口	crossings
過量	excess
過篩	sifted
過期	expired
過早	prematurely
過戶	deeded
過度	overdo
過度	over
過夜	overnight
過去	past
過冬	winterized
運送	ferrying
運輸	transportation
運輸	transport
運輸	haul
運輸	carriage
運行	runs
運用	using
運河	canals
運河	Canal
運動	sport
運動	movements
運動	movement
運動	motions
運動	campaign
遊覽	tour
遊行	procession
遊行	parading
遊行	parade
遊行	marches
遊行	marched
遊行	march
遊戲	game
遊客	visitors
遊客	traveler
遇難	perished
遇到	meet
遇到	encountered
進行	conduct
進攻	attacking
進展	progressing
進展	progress
進口	imported
進口	import
進入	enters
進入	entering
進入	entered
週年	anniversary
逮捕	arrest
連續	continuous
連發	bursts
連枷	flail
連敗	defeats
連接	connection
連接	attach
連天	groaning
造成	resulting
造成	inflicted
造成	inflict
造成	causing
造成	caused
造型	molding
速度	speed
逛到	wandered
通風	vented
通道	passages
通道	passage
通過	through
通過	passing
通過	passed
通過	pass
通過	by
通緝	wanted
通知	notify
通知	informing
通知	informed
通知	inform
通常	usual
通婚	intermarrying
通婚	intermarry
通婚	intermarried
通姦	adultery
通告	notices
通信	communicating
通信	communicate
這裡	here
這樣	such
這個	this
這些	these
途徑	pathways
途徑	approach
逐漸	gradually
透露	revealed
透視	perspective
逆風	headwinds
逆火	backfire
逆境	adversity
逃離	fleeing
逃離	fled
逃逸	escaping
逃逸	escapes
逃逸	escape
逃跑	flee
逃脫	outrun
逃脫	escaped
逃犯	fugitives
逃亡	fugitive
送葬	mourners
退讓	abandons
退縮	cower
退出	exits
退保	surrenders
退休	retirement
退休	retire
追逐	chases
追踪	tracked
追踪	traced
追求	pursuits
追求	pursuit
追求	pursuing
追求	pursues
追求	pursue
追捧	sought
追捕	hounded
追封	bestowed
追兵	pursuers
迷霧	mists
迷路	strayed
迷藥	drugged
迷戀	crushes
迷惑	deluded
迷惑	confuse
迷住	captivated
迴避	shied
迴避	dodged
迴聲	echoes
迴聲	echo
迴旋	whirls
迫害	persecutors
迫害	persecutions
迫害	persecution
迫害	persecuting
迫害	persecuted
迫害	persecute
迫切	urgently
迫使	forcing
迦特	Gittites
迦特	Gath
迦散	Gazzam
迦拉	Heresh
迦實	Gaash
迦哈	Gahar
迦南	Canaanites
迦南	Canaanite
迦南	Canaan
迦勒	Caleb
迦別	Geber
返回	return
近視	shortsighted
迎接	greet
迎來	ushered
迅速	swift
迅捷	swiftness
迂迴	roundabout
農田	farmland
農民	farmers
農民	farmer
農業	farming
農村	countryside
農場	farms
農場	farm
辱罵	taunting
辯護	defends
辯論	debated
辯論	debate
辯解	justify
辯手	debaters
辮子	braids
辨別	discern
辦法	way
辜負	disappoint
辛辣	acrid
辛苦	exhausting
辛勞	toil
辛勞	pains
轟然	crashing
轉身	turned
轉讓	transfer
轉變	transform
轉變	shifts
轉變	conversion
轉移	transferring
轉移	shift
轉換	converts
轉換	converting
轉換	converted
轉售	resold
轉入	transferred
輻條	spokes
輻射	radiates
輻射	radiance
輸送	conveyed
輸入	enter
輪輞	rims
輪胎	tires
輪緣	rim
輝耀	glistens
輝煌	glorious
輝煌	brilliant
輝光	glow
輕鬆	relaxed
輕輕	lightly
輕視	scornful
輕視	contemptuous
輕蔑	sneering
輕蔑	scorn
輕蔑	contemptuously
輕擦	graze
輔助	assisted
載人	manned
較量	bouts
較重	heavier
較弱	weaker
較小	lesser
軸承	bearing
軟膏	ointment
軟墊	upholstered
軟化	softening
軟化	soften
軍隊	troops
軍隊	forces
軍隊	army
軍隊	armies
軍艦	warships
軍營	barracks
軍團	Legion
軍事	military
軌道	orbits
軌枕	sleeper
車道	lanes
車輪	wheels
車軸	axles
車皮	wagon
車手	riders
車夫	charioteer
車削	turning
躲閃	dodge
身體	body
身體	bodily
身體	bodies
身材	stature
身分	identity
躍遷	hopping
蹺著	dangled
蹲伏	crouch
蹲下	crouches
蹣跚	staggers
蹂躪	ravages
蹂躪	ravaged
蹂躪	downtrodden
蹂躪	devastate
踴躍	enthusiastically
踩著	treading
踩出	trodden
踝骨	anklebones
踐踏	trampled
踐踏	trample
踉蹌	staggering
跳閘	strip
跳過	skips
跳過	skipped
跳躍	skip
跳躍	leaping
跳躍	jumps
跳躍	Jumping
跳蚤	fleas
跳蚤	flea
跳舞	dancing
跳舞	danced
跳水	plunge
跳動	beating
跳下	jumped
路面	pavement
路線	routes
路線	route
路由	routed
路標	signpost
路標	guideposts
路德	Lud
路徑	paths
路徑	path
路口	crossing
跨度	span
跡象	signs
跟隨	follow
跟踪	track
跟踪	trace
距離	distance
距離	apart
跛行	limping
跛行	limp
足夠	sufficient
足夠	enough
趨向	tends
趨向	tend
趕緊	hurries
趕快	haste
越過	crossed
越冬	wintered
超過	surpass
超過	overtake
超過	outweigh
超速	speeding
超車	overtaking
超越	surpassed
超越	overtook
超越	overtakes
超然	aloof
起訴	sues
起訴	prosecute
起草	drafted
起色	improvement
起義	uprising
起義	insurrection
起源	origins
起源	origin
起泡	blister
起司	cheese
起兵	revolted
起伏	heaving
走錯	astray
走道	walkway
走穩	steadied
走廊	walkways
走了	gone
赫然	awesomely
赫梯	Hittite
赦免	pardoned
赦免	pardon
赤腳	barefoot
赤紅	crimson
贖金	ransoms
贖金	ransom
贖罪	atonement
贖罪	atone
贖回	redemption
贖回	redeems
贖回	redeemed
贖回	redeem
贖回	ransomed
贏得	win
贊同	endorsed
贊同	approval
賽跑	running
賽跑	racing
賽跑	raced
賽諾	Sirion
賽斯	Seth
購買	purchased
購買	buys
購買	buying
購買	buy
賭注	stake
賭博	gambled
賬戶	accounts
質量	quality
質疑	questioned
賣淫	prostitution
賣淫	prostituting
賣淫	prostituted
賣家	sellers
賣家	seller
賠償	damages
賠償	amends
賞金	bounty
賓虛	Ben-hur
賓客	guests
賓內	Binnui
賈達	Jada
賈森	Jason
賈敏	Jamin
資金	funds
資源	source
資源	resources
資源	resource
資格	disqualify
賄賂	bribing
賄賂	bribed
賄賂	bribe
貿然	rashly
貿易	trading
貿易	trade
費用	fee
費用	expense
費城	Philadelphia
貸款	loans
貸款	loaned
貸款	loan
貸款	lending
買方	buyer
買家	buyers
貶低	belittle
貴族	nobles
貴族	noblemen
貴族	nobleman
責備	reprove
責備	reproach
責備	rebuking
責任	responsibility
責任	responsibilities
責任	obligated
貪戀	lusted
貪心	greed
貪婪	greedy
貪婪	greedily
貪圖	covet
貨車	wagons
貨物	cargoes
貨物	cargo
貧窮	poverty
貧窮	needy
貧困	impoverished
貧困	destitute
貢獻	dedication
貢獻	contribution
貢獻	contributing
貢獻	contributed
財產	possessions
財物	belongings
財富	wealth
負載	loads
負擔	burdens
負擔	burdening
負擔	burden
負傷	wounded
貝諾	Beno
貝爾	Bel
貝拉	Bera
貝拉	Bela
貝丹	Bedan
豹子	leopards
豬肉	pork
豪門	giants
豪豬	porcupines
豪華	luxury
豪華	luxurious
象牙	tusks
象牙	ivory
象徵	symbolizing
象徵	symbolize
豐產	fruitfulness
豐滿	plump
豐富	richness
豐富	rich
豐富	plenty
豐富	plentiful
豐富	enriched
豐富	enrich
豐富	bountiful
豐富	abundant
豐富	abundance
豎琴	harps
豎琴	harp
豁免	exempted
豁免	exempt
讚賞	appreciated
讚美	praising
讚美	praise
讚揚	commends
讚揚	commended
讓步	concession
變醜	disfigure
變窄	narrowing
變暗	darken
變暖	warming
變態	perverted
變態	perversion
變得	becoming
變形	deformed
變化	changes
變亮	brighten
讀者	reader
讀數	readings
護送	escorted
護送	escort
護航	escorting
護士	nurses
護士	nurse
譴責	denounced
譴責	condemns
譴責	condemning
譴責	condemned
譴責	condemn
議會	councils
警惕	wary
警察	police
警報	alert
警報	alarms
警告	warns
警告	warnings
警告	warning
警告	warned
警告	warn
譙呵	berate
識別	recognizes
證明	proving
證明	proves
證明	proven
證明	prove
證明	proof
證明	demonstrated
證據	evidence
證實	proved
謹防	beware
謹慎	prudent
謹慎	cautious
謬誤	falsehood
謠言	rumor
謝謝	thanks
謝謝	thank
謝斯	Sheth
謙遜	humility
謙虛	modesty
謙虛	modest
謙卑	humbles
謙卑	humble
謎語	riddles
謎語	riddle
謊言	lie
謊言	deceit
謀殺	murders
謀殺	murdering
謀殺	murdered
謀殺	murder
謀殺	killing
諾言	promise
諾布	Nob
諾亞	Noah
諺語	proverbs
諺語	proverbial
諺語	proverb
諳練	versed
諮詢	consulting
諮詢	consulted
論據	argument
論壇	Forum
請願	petition
請講	speaking
請求	requesting
請求	request
請教	consult
請帖	invitation
談論	talk
談判	negotiate
調養	nursed
調解	mediate
調用	invoked
調用	invoke
調用	calling
調焦	focusing
調查	surveyed
調查	survey
調查	investigation
調查	investigated
調查	investigate
調情	flirting
調和	reconciling
調和	reconcile
誹謗	slandering
誹謗	slandered
誹謗	slander
課程	course
誰的	whose
說過	said
說謊	lying
說謊	lied
說話	speaks
說話	speak
說服	persuading
說服	persuade
說服	convince
說明	instructions
說明	illustrates
說明	illustrate
說明	explanations
說明	explanation
說明	explains
說明	explaining
說明	explain
說明	describing
說教	preaching
說情	intercede
說出	utter
誤解	misunderstood
誤解	misunderstandings
誤解	misunderstand
誤殺	manslaughter
誤導	misled
誤導	misleading
誤導	mislead
誤導	misdirected
誡命	commandment
誠摯	sincerely
誠意	sincerity
誠實	honesty
誠實	honest
語音	voice
語錄	sayings
語言	languages
語言	language
誘殺	booby-trap
誘捕	trapping
誘捕	ensnaring
誘捕	ensnare
誘惑	temptations
誘惑	temptation
誘惑	seductively
誘惑	seducing
誘惑	seduced
誘惑	enticement
誘惑	enticed
誘惑	entice
誓言	vows
誓言	vowed
誓言	oath
誓要	vowing
認識	recognizing
認識	recognize
認罪	pleas
認真	earnest
認為	think
認為	regarded
認定	finds
認可	recognized
誇耀	boastfully
詳細	detailed
詳情	detail
該隱	Tubal-cain
該隱	Cain
該死	damned
話題	topic
詭計	trickery
詭計	intrigue
詫異	surprised
詩篇	psalms
詩篇	psalm
詩人	psalmist
詩人	poets
詩人	poet
試驗	trials
試著	tried
試探	Tempter
詢問	inquired
詛咒	damnation
詛咒	curses
詛咒	cursed
詛咒	curse
評論	review
評論	Commentary
評定	assessment
評估	evaluating
評估	evaluate
評估	assessments
評估	assessed
評估	assess
註釋	comments
註冊	registration
註冊	registered
訴訟	proceeding
訴訟	lawsuits
訴訟	lawsuit
訴狀	pleadings
許諾	promises
許諾	promised
許多	much
許多	many
設計	devised
設計	devise
設計	designs
設計	designing
設計	designed
設計	design
設置	settings
設置	setting
設想	conceived
設備	equipment
訪問	visits
訪問	visiting
訪問	visit
訪問	interview
訪問	access
記錄	records
記錄	recording
記錄	recorded
記錄	record
記憶	remembering
記憶	memory
記得	remembers
記得	remembered
記得	remember
訓練	training
訓斥	rebuke
討論	discussions
討論	discussion
討論	discussing
討論	discussed
討論	discuss
討好	fawn
討厭	hate
討厭	disgusting
討厭	detests
討厭	despise
計數	counts
計數	count
計劃	scheduled
計劃	plans
計劃	planned
計劃	plan
訂購	order
訂婚	engagement
訂婚	engaged
言語	speech
觸摸	touches
觸摸	touch
解開	untying
解開	untie
解鎖	unlatch
解釋	interprets
解釋	interpretation
解釋	explained
解讀	interpreting
解讀	interpreted
解讀	interpretations
解決	solve
解決	settling
解決	settle
解決	resolved
解決	resolve
解決	addressed
解析	resolving
解散	disbanded
解凍	thaws
解僱	sack
角落	nook
角落	corners
角色	role
角度	angle
觀點	viewpoint
觀看	watching
觀星	stargazers
觀察	observes
覬覦	coveting
親自	personally
親切	gracious
親切	cordially
視窗	windows
視圖	view
視力	vision
視力	sight
規模	scale
規格	specifications
規定	stipulations
規定	stipulation
規定	specified
規定	provisions
規定	provision
規定	prescribed
規劃	planning
規則	rules
規則	rule
見證	witness
見證	testimony
覆蓋	overlaying
覆蓋	overlay
覆蓋	overlaid
覆蓋	covering
覆蓋	covered
覆上	clothe
