一	one
基述	Geshur
基述	Geshurites
基遍	Gibeon
基遍	Gibeonite
基遍	Gibeonites
基達	Kedar
基金會	foundations
基順	Kishon
堀	Hori
堅不可摧	impregnable
堅定	steadfast
堅持	insisted
堅持	insistent
堅持	insisting
堅持	insists
堅持	persist
堅持	persisted
堅持	upheld
堅持	uphold
堅果	nut
堅果	nuts
堅決	resolutely
堅革哩	Cenchrea
堆	heap
堆	heaps
堆	piled
堡	fort
堡壘	citadel
堡壘	citadels
堡壘	fortress
堡壘	fortresses
堡壘	forts
報仇	avenge
報價	offers
報告	report
報告	reporting
報告	reports
報導	reported
報復	retaliate
報復	retaliated
報警	alarm
場合	occasion
場合	occasions
場面	spectacle
塊	block
塊	blocks
塊	chunk
塊	lump
塊	mass
塌陷	subside
塔	tower
塔	towers
塔比瑟	Tabitha
塔爾蒙	Talmon
塔特納伊	Tattenai
塔穆茲	Tammuz
塗	coated
塗	smeared
塗層	coat
塗抹	blotted
塗抹	smear
塗抹	smearing
塚	mound
塞勒姆	Salem
塞拉	Sela
塞拉斯	Silas
塞拉芬	seraphim
塞浦路斯	Cyprus
塞爾斯	sells
塞繆爾	Samuel
塞達斯	Theudas
填	fill
填充	filled
填充	filling
填充	fills
填充	populate
填充的	stuffed
塵土飛揚	dusty
境界	realms
墊	mat
墊	mats
墓	tomb
墓地	Golgotha
墓地	graveyard
墓旁	graveside
墓葬	tombs
墜毀	crashed
增加	adds
增加	increase
增加	increased
增加	increases
增加	increasing
增長	grow
墨水	ink
墮落	depraved
墮落	fallen
墳	grave
墳墓	graves
壁	wall
壁架	ledges
壁櫥	closet
壁爐	fireplace
壁爐	fireplaces
壁虎	gecko
壁龕	alcoves
壇	altar
壇子	jug
壓倒	overpower
壓倒	overpowers
壓倒	overwhelm
壓倒	overwhelming
壓制	pressed
壓力	pressure
壓力	pressures
壓延	rolling
壓扁	squashed
壓抑	depressing
壓抑	oppressive
壓抑	pent
壓痛	tenderness
壓迫	oppress
壓迫	oppressed
壓迫	oppresses
壓迫	oppressing
壓迫	oppression
壓迫者	oppressors
壞	bad
壞	spoiled
壞事	villainy
壞事	wrongdoing
壞人	wrongdoer
壞處	disadvantage
壞蛋	rascal
壞蛋	scoundrels
壞蛋	wretches
壞血病	scurvy
壞透地	wickedly
壟斷	monopoly
壩	dam
士兵	soldier
士兵	soldiers
士氣低落	demoralize
士氣低落	demoralized
士麥那	Smyrna
壯觀	spectacular
壯麗	magnificence
壺	jugs
夏季	summer
夏瑣	Hazor
夏瑣，hadattah	Hazor-hadattah
夏甲	Hagar
夏羅設-haggoyim	Harosheth-haggoyim
外	beyond
外	outer
外	outside
外人	outsiders
外國人	foreigner
外國人	foreigners
外國出生的	foreign-born
外星人	aliens
外甥	nephew
外行人	laypeople
外衣	garb
外邦人	Gentile
外邦人	Gentiles
外部	external
多刺的	thorny
多卡斯	Dorcas
多尼雅	Adonijah
多情	passionate
多數	majority
多數情況	inmost
多森	Dothan
多比雅	Tobiah
多比雅	Tobijah
多爾	Dor
多益	Doeg
多葉	leafy
多變	varied
多雨的	rainy
多雲的	cloudy
多霧路段	fog
多頭	longs
夜	nights
夜	nocturnal
夢	dreams
夢想	dream
夢想家	dreamer
夢想家	dreamers
夢想家	visionaries
夢見	dreamed
夥伴	partner
夥伴	partners
大	big
大	bigger
大	great
大	large
大	larger
大使	ambassador
大使	ambassadors
大利	Gedaliah
大利拉	Delilah
大力	vigorously
大口大口	gulps
大叫	yelled
大呼小叫	yelling
大喜	exultation
大嘴巴	loudmouth
大坍	Dathan
大家	everyone
大幅	sharply
大廳	hall
大廳	halls
大拇指	thumbs
大搖大擺	strutted
大桶	vats
大概	probably
大步	stalked
大比拉	Daberath
大比雅	Nedabiah
大流士	Darius
大漢	Tahan
大火	blazes
大熱天	scorcher
大片	expanses
大理石	marble
大盤子	platter
大碗	bowlful
大篷車	caravan
大篷車	caravans
大綱	outline
大能	almighty
大腦	brains
大腿	thigh
大腿	thighs
大膽	boldly
大膽	daring
大致	roughly
大蒜	garlic
大衛	David
大衣	coats
大規模的	massive
大車	cart
大量	considerable
大錘	sledgehammers
大陸	mainland
大雅	Jedaiah
大雅	Pedaiah
大風	gale
大風力量	gale-force
大馬士革	Damascus
大麥	barley
大鼠	rats
天	day
天	days
天	heavens
天上	heavenly
天使	angel
天使	angelic
天使	angels
天使	archangel
天使	archangels
天堂	heaven
天堂	paradise
天才	gifted
天才	talented
天氣	weather
天生	born
天空	skies
天空	sky
天花板	ceiling
天花板	ceilings
天賦	endowed
天賦	talent
太	too
太古	immemorial
太巴列	Tiberias
太監	eunuchs
太陽	sun
失事	wrecked
失利	loss
失去	lose
失去	loses
失去	losing
失控	uncontrollably
失敗	fail
失敗	failed
失敗	failing
失敗	fails
失敗	failure
失明	blinded
失明	blindness
失望	disappointed
失望	disappointment
失業的	unemployed
失而復得	regained
失語	muteness
失踪	missing
夷為平地	leveled
夸脫	quart
夸脫	quarts
夾	clip
夾	lined
夾克	jacket
夾子	clamps
夾板	splint
夾緊	clamped
奇妙	marvelous
奇妙	wonderfully
奇妙	wondrous
奇怪	strange
奇怪	strangely
奇蹟	miracle
奇蹟	miracles
奇蹟	wonder
奇蹟	wonders
奈恩	Nain
奉承	flatter
奉獻	dedicate
奉獻	devote
契據	deed
契約	covenants
奔AMMI	Ben-ammi
奔deker	Ben-deker
奔hesed	Ben-hesed
奔亞比拿達	Ben-abinadab
奔佐斯	Ben-zoheth
奔欣嫩	Ben-hinnom
套	sets
套索	noose
奢侈品	luxuries
奧倫	Oren
奧克斯	oaks
奧利布	Oholiab
奧古斯	Augustus
奧思尼爾	Othniel
奧秘	mysteries
奧貝德	Obed
奧馬爾	Omar
奧馬爾	omer
奧馬里	Omri
奮鬥的	struggling
女	female
女人	woman
女人的	Woman’s
女傭	maid
女傭	maids
女兒	daughter
女兒	daughters
女兒女婿	daughters-in-law
女婿	son-in-law
女孩	girl
女孩	girls
女巫	witches
女性	females
女王	queen
女王的	queenly
女神	goddess
奴役	enslave
奴役	enslaved
奴役	enslaves
奴隸	slave
奴隸	slaves
奴隸制度	slavery
奴隸妻子	slave-wife
奶	milks
奶昔	shakes
奶油	cream
奶牛	cows
奸商	shortchange
奸詐	treacherous
她	she
她的	her
她的	hers
她自己	herself
好	good
好	we'll
好	well
好奇	curious
好看	good-looking
好處	benefits
好處	favors
如	as
如下	follows
如假包換	disguising
如實	truthfully
如果	if
如飛	swiftly
妄想	delusion
妄言	raved
妒	jealous
妒忌	jealousy
妓女	prostitute
妓女	prostitutes
妓女	whore
妓女	whores
妓院	brothels
妖媚	seductive
妖嬈	enchanting
妥協	compromise
妹妹	sister
妻子	wife
妻子	wives
妾	concubine
妾	concubines
姆納森	Mnason
始終	throughout
始終如一	consistently
姐妹	sisters
姑媽	aunt
委	appoint
委屈	wronged
委曲	perverting
委託	commissioned
委託	entrust
委託	entrusted
委託	entrusting
委託	entrusts
姦夫	adulterer
姦污	ravished
姦淫	adulterers
威力	might
威嚇	intimidate
威嚴	awe
威嚴	majesty
威武	mighty
威瑟斯	withers
威脅	threat
威脅	threaten
威脅	threatens
威脅	threats
威風	imposing
娛樂	amusement
娛樂	entertaining
娛樂	entertainment
娜奧米	Naomi
婆媽	foolishly
婚姻	marriage
婚姻	marriages
婚禮	wedding
婚禮	weddings
婢女	handmaid
婦女	women
媒介	mediums
媒體	Media
媳婦	daughter-in-law
媽媽	Mama
嫁妝	dowry
嫁接	grafted
嫂子	sister-in-law
嫉妒	envying
嫉妒	jealously
嫌疑	suspected
嫩	Arnon
嫩	Hanun
嫪	lustful
嬌	pampered
嬰兒	babies
嬰兒	infant
嬰兒	infants
子孫	offspring
子宮	womb
子宮	wombs
孔	bore
孔	hole
孔	holes
孔雀	peacocks
孕	pregnant
孕育	bred
字	word
字符	character
存	Cun
存儲	storage
存儲	stored
存儲	storing
存在	being
存在	exist
存在	existed
存在	existence
存在	exists
存在	presence
存款	deposit
孚尼	Jephunneh
孟菲斯	Memphis
季拉	gerahs
季節	season
季節	seasons
孤	orphaned
孤	solitary
孤兒	fatherless
孤兒	orphan
孤兒	orphans
孤單	lone
孤獨	lonely
孤立	isolated
孩	Abihail
孩子	children
孩子	kids
孩子似的	childlike
孫女	granddaughter
孫女	granddaughters
孫女	Mehetabel
孫子	grandchildren
孫子	grandson
孫子	grandsons
孫申利	Shimri
孵化	hatch
孵化	hatching
學到了	learned
學生	student
學生們	students
學科	discipline
學科	disciplines
學科	subject
學習	learn
學習	learning
學者	scholars
學費	tuition
它	it
它的	its
宇宙	universe
守	observe
守望者	watcher
守望者	watchmen
守著	guarding
守衛	guard
守衛	guarded
守門	gatekeepers
安全	safe
安全	safety
安全	secure
安全	secured
安全	securely
安全	security
安卡	Anak
安娜	Anna
安娜特	Anath
安定	settled
安德魯	Andrew
安心	relieved
安息	rip
安息日	Sabbath
安息日	Sabbaths
安慰	comfort
安慰	console
安慰	consoled
安慰	consoling
安慰	soothed
安排	arrange
安排	arranged
安排	arrangement
安排	arrangements
安提帕	Antipas
安提帕	Antipatris
安提阿	Antioch
安撫	appease
安普亞特斯	Ampliatus
安然	peacefully
安然	safely
安然無恙	unharmed
安營	Jeshimon
安爾	Aner
安納斯	Annas
安置	resettle
安置	resettled
安置	resettling
安菲波利	Amphipolis
安裝	install
安裝	installed
安裝	installing
安裝	mount
安裝	mounted
安裝	mounting
安靜	quiet
安靜	quieter
安靜	silence
完	finish
完	finished
完全	entirely
完全	totally
完全	utterly
完善	perfect
完善	perfected
完善	perfecting
完成	accomplish
完成	accomplished
完成	accomplishes
完成	complete
完成	completed
完成	completing
完成	completion
完成	fulfilled
完整	intact
完整無缺	uncut
完美	faultless
完美	perfection
完美	perfectly
宗教	religion
宗教	religions
宗教	religious
官	officer
官僚	bureaucracy
官員	officials
官方	official
定	definite
定位的	positioned
定居者	settlers
定居點	settlements
定期	regular
定罪	convict
定罪	conviction
定義	defined
定義	defines
客人	guest
客戶	client
客房	rooms
客西馬尼	Gethsemane
宣傳	propaganda
宣判	pronounced
宣判	sentencing
宣告	pronounces
宣布	announce
宣布	announces
宣布	announcing
宣布	declare
宣布	proclaim
宣揚	preaches
宣稱	profess
宣稱的	proclaimed
宣言	pronouncement
宣誓	oaths
宣誓就職	swearing
宣誓就職	sworn
宣講	preached
宣講	proclaiming
室	chamber
室內	interior
宦官	eunuch
宮	palace
宮殿	palaces
害怕	afraid
害怕	feared
宴會	banquet
宴會	banquets
宴請	feasted
家	domesticated
家	home
家具	furnishings
家具	furniture
家園	homeland
家園	homes
家屬	dependents
家庭	families
家庭	family
家庭	household
家畜	livestock
家譜	genealogies
家譜	genealogy
家鄉	hometown
家長	patriarch
容器	container
容忍	tolerate
容易	easily
容易	liable
容易	likely
容易	readily
容貌	looks
寂靜	hushed
寂靜	quietness
寂靜	stillness
寄存器	register
寄存器	registers
密切	closely
密列	Melea
密奪	Migdol
密封	seal
密封	sealed
密封	sealing
密封件	seals
密謀	conspired
密迦	Milcah
富於同情心的	compassionate
富有	riches
富裕	wealthy
富裕的	opulent
寓言	parable
寡	widowed
寡婦	widow
寡婦	widows
寡婦身份	widowhood
寢具	bedding
實例	instances
實各	Eshcol
實抹	Basemath
實提莫	Eshtemoa
實現	achieved
實現	realization
實現	realize
實現	realized
實現	realizing
實瑪利人	Ishmaelite
實踐	practice
寧	rather
寧拉	Nimrah
寧願	preferring
審問	interrogate
審問	interrogated
審查	scrutinized
審訊	trial
寫	write
寫	writes
寫	wrote
寫作	writing
寬	wide
寬容	forgiving
寬容	tolerant
寬度	width
寬恕	forgave
寬敞	spacious
寵兒	darling
寵物	pet
寶	jewel
寶	treasured
寶寶	baby
寶屋	treasure-houses
寶座	thrones
寶庫	treasure-house
寶石	gem
寶石	gems
寶石	gemstones
寶藏	treasure
寺廟	temple
寺廟	temples
封盤	entertained
封閉	enclosed
射手	archer
射手	marksmen
射擊	shoot
射擊	shooting
射擊	shot
射線	ray
將	will
將	would
將軍	generals
將軍朔法	Shobach
專	dedicating
專一	single-minded
專家	expert
專家	experts
專業的	professional
專用	dedicated
尊嚴	dignity
尊敬	esteemed
尊敬	respected
尊敬	respectfully
尊敬	revere
尊敬	revered
尊敬	reverence
尊敬的	admired
尊敬的	respectful
尊重	deference
尊重	esteem
尊重	respect
尊重	respects
尋歡作樂	merrymakers
尋求	seek
尋求	seeks
對	pair
對	pairs
對	right
對待	treat
對待	treats
對手	adversaries
對手	adversary
對手	opponent
對手	opponents
對手	rival
對手	rivals
對抗	rivalry
對抗地	defiantly
對接	butted
對於	for
對比	contrast
對沖	hedges
對照	comparison
對話	conversations
對象	objects
對面	opposite
導向器	director
導演	directing
導致	resulted
導致尖	lead-tipped
導遊	guides
小	little
小	small
小	smaller
小	tiny
小人物	nobodies
小姐	miss
小巷	alleys
小心	careful
小心	carefully
小心	lookout
小怪	mobs
小憩	nap
小時	hour
小時	hours
小氣	mean-spirited
小氣	stingy
小牛	calf
小牛	calves
小牝牛	heifer
小狗	dogs
小瓶	vial
小米	millet
小茴香	cumin
小號	s
小號	trumpets
小說	fictions
小販	hucksters
小費	tip
小費	tipping
小野	Ono
小雞	chicks
小雨	sprinkles
小馬	colt
小鹿	fawns
小麥	wheat
小齒輪	pinions
少	fewer
少女	maiden
少女	maidens
少年時代	boyhood
少數	few
少數	handful
少走彎路	detours
尖	pointed
尖	tipped
尖刻	biting
尖叫	screamed
尖叫	screaming
尖叫	screech
尖叫	shrieking
尖叫聲	screams
尖細	shrieked
尖酸刻薄	vinegar
尖銳	sharp
尚未收割	unharvested
尚美學園	Shobi
尤其	particularly
尤利爾	Uriel
尤尼斯	Eunice
就听	hears
就業	employed
就讀	enrolled
尷尬	embarrassed
尺寸	dimensions
尺寸	size
尼	Calneh
尼	Guni
尼	Hermogenes
尼	Shuni
尼亞	Ananias
尼亞	Neah
尼亞波利	Neapolis
尼八	Nebat
尼利亞	Nereus
尼利亞	Neriah
尼利雅	Neariah
尼卡諾爾	Nicanor
尼哈	Phinehas
尼哥	Neco
尼哥大	Nekoda
尼哥拉	Nicolaitans
尼姆羅德	Nimrod
尼姆肖	Nimshi
尼姑	Nun
尼尼微	Nineveh
尼布甲尼撒	Nebuchadnezzar
尼希米記	Nehemiah
尼拜約	Nebaioth
尼探	Nethaniah
尼斐	Nepheg
尼普心	Nephusim
尼格爾	Nergal
尼格爾 - 沙利色	Nergal-sharezer
尼母	Nemuel
尼波	Nebo
尼波-sarsekim	Nebo-sarsekim
尼科迪默斯	Nicodemus
尼細亞	Neziah
尼羅河	Nile
尼陀法人	Netophah
尼陀法人	Netophathites
尾巴	tail
尾巴	tails
尿	urine
局部	partial
屁股	butt
居住	inhabited
居民	dwellers
居民	inhabitant
居民	inhabitants
居民	resident
居民	residents
居里扭	Quirinius
屈尊	condescension
屈辱	humiliation
屋	estates
屋	house
屋頂	housetop
屋頂	roof
屋頂	roofs
屋頂	rooftop
屋頂	rooftops
屍體	carcasses
屍體	corpse
屍體	corpses
屏蔽	shield
屏障	barrier
屑	crumb
屑	crumbs
展示	exhibit
展示	showing
展覽	exhibition
展開	unrolled
屠夫	butcher
屠宰	butchering
屠宰	slaughter
屠宰	slaughtered
屠宰	slaughtering
屠殺	butchered
屠殺	massacre
層	layer
層	layers
履行	fulfill
履行	fulfilling
履行	fulfillment
屬伯	Ibleam
屬性	property
屬於	belong
屬於	belonged
屬於	belonging
屬於	belongs
山	mountain
山	mountains
山坡	hillside
山坡	hillsides
山洪	torrents
山溝	ravine
山羊	goat
山羊	goats
山羊	ibex
山羊皮	goatskin
山腰	mountainside
山腰	mountainsides
山谷	valleys
山頂	hilltop
山頂	mountaintop
山頂	mountaintops
山麓	foothills
岌	peril
岩	crag
岩	rock
岩石	rocks
岩石	rocky
岬	cape
岳母	mother-in-law
岳父	father-in-law
岸	Kishi
岸上	ashore
峨山	Eshan
峭壁	crags
峰	peak
峰	peaks
峰巔	hilltops
島	island
島嶼	islands
峽谷	gorge
崇拜	adoration
崇拜	adore
崇拜	worship
崇拜	worshiped
崇拜	worshiping
崇拜	worships
崇拜者	worshiper
崇拜者	worshipers
崇高	loftiness
崇高的	exalted
崎嶇	rugged
崗位	post
崗樓	watchtower
崙	Shimron
崙 - 梅龍	Shimron-meron
崩潰	collapses
崩潰	crumble
嵌入式	embedded
嵌套	nested
嵌縫	caulking
川	plain
州	state
州長	governor
州長	governors
巡遊	prowls
巡邏	patrol
巡邏	patrolled
巢	nest
巢	nests
巢穴	den
巢穴	hideout
工人	worker
工人	workers
工人	workman
工人	workmen
工作	job
工作	jobs
工作	work
工作	worked
工作日	workdays
工具	tool
工具	tools
工匠	craftsmen
工藝	crafts
工資	pay
工資	wage
工資	wages
工頭	foremen
左撇子	left-handed
巧	artful
巧	skillfully
巧合	coincidence
巧妙	cleverly
巨人	giant
巨人	Goliath
巨大	enormous
巨大	enormously
巨大	huge
巨大	immense
巨大	tremendous
巨浪	billow
巨石	boulders
巫婆	sorceress
巫師	sorcerer
巫師	sorcerers
巫術	sorceries
巫術	sorcery
巫術	witchcraft
已備份	backed
已婚	married
已知	known
已經	already
已經	ve
巴	Sheba
巴別塔	Babel
巴利亞	Bariah
巴力	Baal
巴力berith	Baal-berith
巴力shalishah	Baal-shalishah
巴力zebub	Baal-zebub
巴力哈南	Baal-hanan
巴力哈蒙	Baal-hamon
巴力夏瑣	Baal-hazor
巴力毗拉心	Baal-perazim
巴力毗珥	Baal-peor
巴力洗分	Baal-zephon
巴力瑪	Baal-tamar
巴力米恩	Baal-meon
巴力赫爾蒙	Baal-hermon
巴力迦	Baal-gad
巴勒	Balak
巴塞洛繆	Bartholomew
巴尼	Bani
巴尼	Shebaniah
巴山	Bashan
巴底買	Bartimaeus
巴弗提	Epaphroditus
巴忒羅	Pathros
巴戶琳	Bahurim
巴拉	Baalah
巴拉	Baalath
巴拉	Parah
巴拉但	Baladan
巴拉克	Barak
巴拉啤酒	Baalath-beer
巴拉巴	Barabbas
巴拿	Baana
巴拿	Baanah
巴拿巴	Barnabas
巴施戶珥	Pashhur
巴旦	Paddan
巴旦亞蘭	Paddan-aram
巴末	Bamoth
巴末巴力	Bamoth-baal
巴柯	Barkos
巴比倫	Babylon
巴比倫	Babylonia
巴比倫	Babylonian
巴比倫人	Babylonians
巴沙	Baasha
巴爾 - 耶穌	Bar-Jesus
巴瑪	Oholibamah
巴米	Parmenas
巴結	fawned
巴蘭	Balaam
巴蘭	Paran
巴西亞	Paseah
巴西橡膠芽接樹	budded
巴西萊	Barzillai
巴錄	Parosh
巴魯克	Baruch
巴魯米人	Arbathite
巷道	roadway
市	city
市井	marketplace
市場	market
市場	markets
市場	mart
市長	mayor
布	cloth
布	cloths
布	fabric
布基	Bukki
布基雅	Bukkiah
布尼	Bunni
布巴斯提斯	Bubastis
布斯	Buz
布濟	Buzi
布紋	wove
布萊特	bleat
布蘭妮	spears
布魯克斯	brooks
帆	foresail
帆	sail
帆	sails
帆船	sailboats
帆船	sailing
希	Maki
希伯	Eber
希伯	Heber
希伯來書	Hebrews
希伯來語	Hebrew
希伯倫	Hebron
希伯倫	Hebronites
希利斯	Helez
希勒	Helek
希勒	Hilkiah
希勒爾	Hillel
希實本	Heshbon
希弗	Hepher
希弗	Hepherites
希律	Herod
希悉	Hezir
希拉	Helah
希拉波利斯	Hierapolis
希斯倫	Hezronites
希斯崙	Hezron
希望	desiring
希望	hope
希望	hoped
希望	hopes
希望	hoping
希望	wanting
希望	wants
希望	wish
希望	wished
希望	wishing
希未	Hivite
希未	Hivites
希洛	Shiloh
希羅天安	Herodion
希羅底	Herodias
希臘	Greece
希臘人	Greeks
希臘語	Greek
希臘講	Greek-speaking
希蘭	Helam
希蘭	Huram
希蘭-ABI	Huram-abi
希西家	Hezekiah
希連	Helem
帕	Paltiel
帕加馬	Pergamum
帕塔拉	Patara
帕提	Palti
帕提亞	Parthians
帕特莫斯	Patmos
帕福斯	Paphos
帖人	Ithrites
帖土羅	Tertullus
帖子	posts
帖撒羅尼迦	Thessalonica
帝國	empire
帝國	empires
帝國	Imperial
師	division
師	divisions
師妹	Shimei
席	seats
帳戶	account
帳篷	tent
帳篷	tents
帶	band
帶	bands
帶	belt
帶	brought
帶來	bring
帶來	brings
帶刺	barbed
帶子	strips
帶狀	banded
帶電	charged
常設	standing
常駐	permanent
幀	frame
幀	frames
幔利	Mamre
幫助	assistance
幫助	helped
幫助	helping
幫助	helps
幫幫我	help
幫手	helper
幫腔	chimed
干擾	interfere
干擾	interfered
干擾	interfering
干預	intervened
平	draws
平原	plains
平反	vindicated
平台	platform
平息	stilled
平時	Usually
平板電腦	tablets
平淡	dull
平滑	smoothed
平滑	smoother
平等	equality
平緩	gently
平衡	balance
平衡	poise
平靜	calmed
平靜的	peaceful
平面	flat
平面	plane
年	year
年份	years
年輕	young
年齡	age
年齡	ages
幸災樂禍	gloat
幸災樂禍	gloated
幸福	blessed
幸福	happier
幸福	happiness
幸運	fortunate
幸運	fortune
幹	doing
幹	dried
幹	dry
幹	stem
幻想	fancy
幻滅	disillusionment
幻覺	hallucinations
幼崽	cubs
幼獸	cub
幼發拉底河	Euphrates
幼稚	childish
幼稚	naive
幼苗	seedling
幽思	meditate
幾乎	almost
幾乎	nearly
幾乎	practically
幾乎不	hardly
幾乎沒有	scarcely
庇護	shelter
床	bed
床	beds
床單	linens
床單	sheets
床罩	bedspreads
床罩	comforters
床頭	bedside
序列	sequence
底層	underlying
底本	Dibon
底本迦	Dibon-gad
底格里斯河	Tigris
底比斯	Thebes
底璧	Debir
底部	bottom
店	shop
店主	innkeeper
度外	givers
度瑪	Dumah
座	pedestal
座位	seat
座右銘	motto
庫	storehouse
庫存	inventory
庫存	stocked
庭院	courtyard
庭院	courtyards
庸俗	Philistine
庸俗	vulgar
廁所	toilet
廉正	integrity
廚師	cook
廚房	kitchens
廠	plant
廢墟	debris
廢墟	ruin
廢墟	ruins
廢墟	shambles
廢棄的	deserted
廢止	nullify
廢物	wastes
廢話	nonsense
廢除	abolish
廢黜	deposed
廣告	commercial
廣場	plazas
廣場	square
廣場	squares
廣大	vast
廣廈	mansions
廣播	broadcast
廣泛	extensive
廣泛	extensively
廣泛	widely
廣闊	broad
延伸	extend
延期的	deferred
延遲	delay
延遲	delayed
延遲	delays
延長	lengthens
延長	prolong
建	constructed
建立	build
建立	builds
建立	establish
建立	establishes
建立	establishing
建築師	architect
建設	constructing
建設性	constructive
建設者	builder
建設者	builders
建議	advised
建議	proposed
建議	recommendation
建議	suggest
建議	suggested
建議	suggestion
建議	suggestions
建造	building
弄平	flatten
弄皺	crumple
弄直	straighten
弄髒	muddying
弄髒	stain
弓	bow
弓	bows
弓弦	bowstrings
弓步	lunge
弓箭手	archers
引	quoted
引人注目	striking
引導	guided
引用	quote
引用	quoting
引用	recited
引發	sparked
引線	leads
引誘	lured
引起	arouse
引起	aroused
引起	arousing
弗-dammim	Ephes-dammim
弗得	ephod
弗里伯恩	freeborn
弗里吉亞	Phrygia
弟子	disciple
弟子	disciples
弦	stringed
弱	weak
弱勢	vulnerable
弱小	puny
弱者	weaklings
弱點	weakness
弱點	weaknesses
張大	wide-open
張奕	Heman
張明	Jadon
張開	gaping
強	stronger
強制執行	enforced
強制實施	enforces
強加	impose
強化	fortified
強化	fortify
強化	strengthening
強化劑	strengthens
強大	powerful
強大	strong
強奪	ravish
強姦	rape
強姦	raped
強姦	rapes
強姦	raping
強度	strength
強烈地	mightily
強盜	plunderers
強盜	robber
強硬	tough
強調	highlights
強調	stress
彈幕	barrage
彈弓	slingshot
彈簧	spring
彈簧	springs
彌敦道	Nathan
彌賽亞	Messiah
彌賽亞	messiahs
彎曲	bend
彎曲	bends
彎曲	bent
彎曲	curved
彎腰	Stooping
彎身	stoops
形式	forms
形成	form
形成	formed
形狀	shape
形狀	shapes
彩南	Cainan
彩虹	rainbow
影響	affect
影響	affects
影響	effect
影響	influence
影響	influenced
彼得	Peter
彼拉多	Pilate
往	toward
往往	tended
征服	conquer
征服	conquered
征服	conquering
征服	conquest
征服	conquests
征服	subdue
征服	vanquished
征服者	conqueror
待客	hospitality
待用	inactive
很好	nicely
很少	rarely
很少	seldom
很快	quickly
律師	attorney
律師	lawyer
後	after
後	hind
後	rear
後人	descendants
後來	later
後天	acquired
後悔	regret
後悔	repented
後果	consequences
後盾	backing
後者	latter
後裔	descendant
徒刑	imprisonment
徒然	vain
得來	Edrei
得出結論	conclude
得到	get
得到	gets
得到	getting
得到	got
得到	gotten
得撒	Tirzah
得緊	borne
得罪	displease
得罪	offend
徘徊	hover
徘徊	hovered
徘徊	hovering
從	from
從事	engage
從人的角度	humanly
從而	thereby
從而	thus
復仇	avenges
復仇	revenge
復仇	vengeance
復仇	vengeful
復仇的	avenging
復仇者	avenger
復原	healing
復活	resurrected
復活	resurrection
復活	revive
復活	revived
復甦	recovers
復甦	recovery
復興	renewal
復興	revives
復興	reviving
循環	circulating
循環	loops
微不足道	insignificant
微弱	feeble
微笑	smile
微薄	pittance
微風	breeze
徵募	conscript
徵召	conscripted
徵收	imposed
徵收	levied
徵用	confiscation
徵用	requisition
徵稅	tax-collecting
德丹	Dedan
德埃爾	Deuel
德摩	Tadmor
德米特里	Demetrius
德馬斯	Demas
德魯	drew
德魯塞拉	Drusilla
徹底	thorough
徽	emblem
心	heart
心中	hearts
心地善良	good-hearted
心愛	beloved
心理學	psychics
心理諮詢師	counselors
心硬	hard-hearted
心碎了	brokenhearted
心神	mind
心計	scheming
心軟	relented
心軟	tenderhearted
必將	inevitably
必然	inevitable
必要	necessary
必要性	necessity
必須	must
忍受	endure
忍受	endured
忍耐	patience
志向	ambition
志願者	volunteer
忘恩負義	ungrateful
忘恩負義	unthankful
忘記	forget
忘記	forgets
忘記	Forgetting
忘記	forgot
忘記了	forgotten
忙	busy
忙著	busily
忠信	unfaithfully
忠告	advice
忠實	faithfully
忠實的	dutiful
忠誠	allegiance
忠誠	devoted
忠誠	devotion
忠誠	faithfulness
忠誠	loyal
忠誠	loyalties
忠誠	loyalty
忤	disobedient
快	quick
快捷鍵	shortcuts
快樂	cheerful
快樂	happy
快樂	joyful
快樂瘋狂	pleasure-crazy
快活	merry
快速	fast
忽略	ignores
忽略	neglect
忽視	disregarded
忽視	Disregarding
忽視	ignore
忽視	ignored
忽視	overlooked
怎麼樣	how
怒吼	roar
怒吼	roared
怒吼	roars
怔	startled
怔	terrified
思念	thoughts
思想	thought
思想生活	thought-life
思想開明的	open-minded
思維	thinking
思考	ponder
思路	ideas
怠惰	laziness
急	anxious
急	urgency
急於	eager
急躁	irritable
急轉	swerved
急速	rapidly
性	sexually
性別	sex
性急	hotheads
性急的	brash
性急的	hot-tempered
性急的	quick-tempered
性急的人	hothead
性質	nature
怨恨	grudge
怨恨	resentment
怪	blame
怪念頭	whim
怪物	monster
恌	empty-headed
恐嚇	terrorized
恐怖	horror
恐怖	horrors
恐怖	terror
恐怖	terrors
恐慌	panic
恐懼	dread
恐懼	fear
恐懼	fears
恢復	recover
恢復	recovered
恢復	regain
恢復	reinstate
恢復	restoration
恢復	restore
恢復	restored
恢復	restores
恢復	restoring
恣	pleases
恥	dishonors
恥辱	disgrace
恥辱	shame
恨	hated
恨	hates
恨	hating
恩eglaim	En-eglaim
恩gannim	En-gannim
恩haddah	En-haddah
恩mishpat	En-mishpat
恩rogel	En-rogel
恩典	grace
恩夏瑣	En-hazor
恩多	Endor
恩安	Enan
恩示麥	En-shemesh
恩膏	anointing
恩臨門	En-rimmon
息怒	pacified
悄悄	quietly
悔恨	remorse
悔改	repent
悔改	repentance
悔改	repents
悖	perverse
悖	rebellious
悖離	disobeys
悠揚	melodious
患有	suffers
患者	patient
患者	sufferers
您	you
悲	sadness
悲傷	grieving
悲傷	sorrows
