the	ðiː 
suppose	səˈpəʊz 
demonstrations	ˌdɛmənsˈtreɪʃənz 
flies	flaɪz 
obvious	ˈɒbvɪəs 
picture	ˈpɪkʧə 
posters	ˈpəʊstəz 
inside	ɪnˈsaɪd 
audience	ˈɔːdjəns 
wonderful	ˈwʌndəfʊl 
gentlemen	ˈʤɛnt(ə)lmən 
freedoooom	freedoooom 
bunch	bʌnʧ 
lead	liːd 
million	ˈmɪljən 
chances	ˈʧɑːnsɪz 
facts	fækts 
tripe	traɪp 
load	ləʊd 
heard	hɜːd 
keys	kiːz 
dogs	dɒgz 
anywhere	ˈɛnɪweə 
live	lɪv 
feeds	fiːdz 
green	griːn 
cool	kuːl 
trees	triːz 
lots	lɒts 
spaces	ˈspeɪsɪz 
wide	waɪd 
beyond	bɪˈjɒnd 
somewhere	ˈsʌmweə 
living	ˈlɪvɪŋ 
enough	ɪˈnʌf 
roasted	ˈrəʊstɪd 
stuffed	stʌft 
plucked	plʌkt 
spent	spɛnt 
she'd	ʃiːd 
nests	nɛsts 
many	ˈmɛni 
hmm	hmm 
cover-up	ˈkʌvərˈʌp 
operation	ˌɒpəˈreɪʃən 
turnip's	ˈtɜːnɪps 
grief	griːf 
wire	ˈwaɪə 
brand-new	ˈbrændˈnjuː 
fiasco	fɪˈæskəʊ 
attempt	əˈtɛmpt 
last	lɑːst 
carry	ˈkæri 
chit-chat	ˈʧɪtʧæt 
unnecessary	ʌnˈnɛsɪsəri 
waste	weɪst 
allowed	əˈlaʊd 
scheme	skiːm 
plot	plɒt 
planet	ˈplænɪt 
apart	əˈpɑːt 
dolt	dəʊlt 
another	əˈnʌðə 
telling	ˈtɛlɪŋ 
notions	ˈnəʊʃənz 
money	ˈmʌni 
leader	ˈliːdə 
reckon	ˈrɛkən 
onto	ˈɒntʊ 
tired	ˈtaɪəd 
sick	sɪk 
ha'penny	ha'penny 
fourpence	fourpence 
sixpence	ˈsɪkspəns 
seven	ˈsɛvn 
threepence	ˈθrɛpəns 
shillings	ˈʃɪlɪŋz 
fourteen	ˈfɔːˈtiːn 
twenty-two	ˈtwɛnti-tuː 
move	muːv 
else	ɛls 
seed	siːd 
bag	bæg 
cost	kɒst 
bigger	ˈbɪgə 
duck	dʌk 
dream	driːm 
vision	ˈvɪʒən 
madame	ˈmædəm 
weddings	ˈwɛdɪŋz 
parties	ˈpɑːtiz 
hats	hæts 
hens	hɛnz 
pop	pɒp 
simply	ˈsɪmpli 
paree	paree 
fashionable	ˈfæʃnəbl 
rage	reɪʤ 
number	ˈnʌmbə 
pendant	ˈpɛndənt 
necklace	ˈnɛklɪs 
tea	tiː 
handcrafted	handcrafted 
quality	ˈkwɒlɪti 
service	ˈsɜːvɪs 
nick	nɪk 
meeting	ˈmiːtɪŋ 
spread	sprɛd 
anyone	ˈɛnɪwʌn 
well-chuffed	wɛl-ʧʌft 
grounded	ˈgraʊndɪd 
lad	læd 
reprimand	ˈrɛprɪmɑːnd 
stern	stɜːn 
ranking	ˈræŋkɪŋ 
talk	tɔːk 
tally-ho	ˈtælɪˈhəʊ 
smarten	ˈsmɑːtn 
march	mɑːʧ 
parade	pəˈreɪd 
confinement	kənˈfaɪnmənt 
solitary	ˈsɒlɪtəri 
wasn't	wɒznt 
escapes	ɪsˈkeɪps 
lot	lɒt 
lesson	ˈlɛsn 
outside	ˌaʊtˈsaɪd
