the	ðiː 	thē 
grocers'	ˈgrəʊsəz 	grəoosəz 
fortnight	ˈfɔːtnaɪt 	fôtnīt 
lummox	ˈlʌməks 	luməks 
champion	ˈʧæmpjən 	champyən 
soft	sɒft 	soft 
turning	ˈtɜːnɪŋ 	tûning 
cared	keəd 	kãd 
apology	əˈpɒləʤi 	əpoləyē 
owe	əʊ 	əoo 
looks	lʊks 	looks 
babsy	babsy 	babsy 
worthwhile	ˈwɜːθˈwaɪl 	wûthwīl 
moments	ˈməʊmənts 	məoomənts 
nancy	ˈnænsi 	nansē 
sobbing	ˈsɒbɪŋ 	sobing 
authorizing	ˈɔːθəraɪzɪŋ 	ôthərīzing 
recall	rɪˈkɔːl 	rikôl 
gal	gæl 	gal 
flow	fləʊ 	fləoo 
body	ˈbɒdi 	bodē 
through	θruː 	thrū 
beat	biːt 	bēt 
nellypodging	nellypodging 	nellypodgēng 
feathers	ˈfɛðəz 	féthəz 
tail	teɪl 	tāl 
shake	ʃeɪk 	shāk 
kick	kɪk 	kik 
yolker	ˈjəʊkə 	yəookə 
solid	ˈsɒlɪd 	solid 
craftsmanship	ˈkrɑːftsmənʃɪp 	kräftsmənship 
biblical	ˈbɪblɪkəl 	biblikəl 
receive	rɪˈsiːv 	risēv 
assure	əˈʃʊə 	əshüə 
hope	həʊp 	həoop 
anything	ˈɛnɪθɪŋ 	énithing 
happens	ˈhæpənz 	hapənz 
honest	ˈɒnɪst 	onist 
difficult	ˈdɪfɪkəlt 	difikəlt 
perform	pəˈfɔːm 	pəfôm 
advice	ədˈvaɪs 	ədvīs 
hasn't	ˈhæznt 	haznt 
charm	ʧɑːm 	chäm 
death	dɛθ 	déth 
mention	ˈmɛnʃən 	ménshən 
someone	ˈsʌmwʌn 	sumwun 
motivate	ˈməʊtɪveɪt 	məootivāt 
lighten	ˈlaɪtn 	lītn 
minutes	ˈmɪnɪts 	minits 
alert	əˈlɜːt 	əlût 
heavy	ˈhɛvi 	hévē 
fattening	ˈfætnɪŋ 	fatning 
extra	ˈɛkstrə 	ékstrə 
chop	ʧɒp 	chop 
stops	stɒps 	stops 
barn	bɑːn 	bän 
arrive	əˈraɪv 	ərīv 
strange	streɪnʤ 	strāny 
boring	ˈbɔːrɪŋ 	bôring 
flashed	flæʃt 	flasht 
fat	fæt 	fat 
rations	ˈræʃənz 	rashənz 
busy	ˈbɪzi 	bizē 
offense	əˈfɛns 	əféns 
release	rɪˈliːs 	rilēs 
killing	ˈkɪlɪŋ 	kiling 
tension's	ˈtɛnʃənz 	ténshənz 
exercise	ˈɛksəsaɪz 	éksəsīz 
helper	ˈhɛlpə 	hélpə 
sweetheart	ˈswiːthɑːt 	swēthät 
thrrrust	thrrrust 	thrrrūst 
truths	truːðz 	trūthz 
omitted	əˈmɪtɪd 	əmitid 
lied	laɪd 	līd 
sucker	ˈsʌkə 	sukə 
business	ˈbɪznɪs 	biznis 
pleasure	ˈplɛʒə 	plézhə 
posted	ˈpəʊstɪd 	pəoostid 
speak	spiːk 	spēk 
brewing	ˈbruːɪŋ 	brūing 
installment	ɪnˈstɔːlmənt 	instôlmənt 
month	mʌnθ 	munth 
bright	braɪt 	brīt 
gone	gɒn 	gon 
parasites	ˈpærəsaɪts 	parəsīts 
light-fingered	ˈlaɪtˌfɪŋgəd 	lītfinggəd 
sneakiest	ˈsniːkɪɪst 	snēkiist 
doubt	daʊt 	dowt 
each	iːʧ 	ēch 
crooks	krʊks 	krooks 
spanish	ˈspænɪʃ 	spanish 
merchandiso	merchandiso 	merchandēso 
el	ɛl 	él 
norbert	norbert 	norbert 
slipped	slɪpt 	slipt 
wish	wɪʃ 	wish 
piece	piːs 	pēs 
guv'nor	guv'nor 	gūv'nor 
beaut	beaut 	beaūt 
cock-a-doodle-doo	kɒk-ə-ˈduːdl-doo 	kok-ə-dūdl-doo 
case	keɪs 	kās 
rock's	rɒks 	roks 
angel	ˈeɪnʤəl 	ānyəl 
tight	taɪt 	tīt 
shell	ʃɛl 	shél 
flyboy	flyboy 	flyboy 
find	faɪnd 	fīnd 
hiding	ˈhaɪdɪŋ 	hīding 
results	rɪˈzʌlts 	rizults 
excuse	ɪksˈkjuːs 	ikskyüs 
words	wɜːdz 	wûdz 
using	ˈjuːzɪŋ 	yüzing 
swear	sweə 	swã 
geese	giːs 	gēs 
key	kiː 	kē 
figured	ˈfɪgəd 	figəd 
lifted	ˈlɪftɪd 	liftid 
running	ˈrʌnɪŋ 	runing 
rapidly	ˈræpɪdli 	rapidlē 
compare	kəmˈpeə 	kəmpã 
gifted	ˈgɪftɪd 	giftid 
oranges	ˈɒrɪnʤɪz 	orinyiz 
apples	ˈæplz 	aplz 
learn	lɜːn 	lûn 
flown	fləʊn 	fləoon 
punch	pʌnʧ 	punch 
packs	pæks 	paks 
cutest	ˈkjuːtɪst 	kyütist 
warmer	ˈwɔːmə 	wômə 
beak	biːk 	bēk 
swell	swɛl 	swél 
thoughts	θɔːts 	thôts 
flighty	ˈflaɪti 	flītē 
thinking	ˈθɪŋkɪŋ 	thingking 
tips	tɪps 	tips 
remember	rɪˈmɛmbə 	rimémbə 
cocktail	ˈkɒkteɪl 	koktāl 
fella	ˈfɛlə 	félə 
horse	hɔːs 	hôs 
says	sɛz 	séz 
pig	pɪg 	pig 
ticket	ˈtɪkɪt 	tikit 
trusted	ˈtrʌstɪd 	trustid 
young	jʌŋ 	yung 
beware	bɪˈweə 	biwã 
suffice	səˈfaɪs 	səfīs 
simple	ˈsɪmpl 	simpl 
nanny	ˈnæni 	nanē 
being	ˈbiːɪŋ 	bēing 
nowhere	ˈnəʊweə 	nəoowã 
questions	ˈkwɛsʧənz 	kwéschənz 
believe	bɪˈliːv 	bilēv 
saw	sɔː 	sô 
calculating	ˈkælkjʊleɪtɪŋ 	kalkyoolāting 
doom	duːm 	dūm 
voice	vɔɪs 	voēs 
hate	heɪt 	hāt 
hay	heɪ 	hā 
softer	ˈsɒftə 	softə 
whatever's	wɒtˈɛvəz 	wotévəz 
longer	ˈlɒŋgə 	longgə 
melisha	melisha 	melēsha 
production	prəˈdʌkʃən 	prədukshən 
automated	ˈɔːtəmeɪtɪd 	ôtəmātid 
full-scale	ˈfʊlˈskeɪl 	foolskāl 
ages	ˈeɪʤɪz 	āyiz 
change	ʧeɪnʤ 	chāny 
nothings	ˈnʌθɪŋz 	nuthingz 
fathers	ˈfɑːðəz 	fäthəz 
collection	kəˈlɛkʃən 	kəlékshən 
petty	ˈpɛti 	pétē 
wasting	ˈweɪstɪŋ 	wāsting 
future	ˈfjuːʧə 	fyüchə 
cheers	ʧɪəz 	chēəz 
within	wɪˈðɪn 	within 
charge	ʧɑːʤ 	chäy 
rest	rɛst 	rést 
immediately	ɪˈmiːdjətli 	imēdyətlē 
officer's	ˈɒfɪsəz 	ofisəz 
lunatic	ˈluːnətɪk 	lūnətik 
awarded	əˈwɔːdɪd 	əwôdid 
shaking	ˈʃeɪkɪŋ 	shāking 
ground's	graʊndz 	growndz 
cheese-eating	ʧiːz-ˈiːtɪŋ 	chēz-ēting 
process	ˈprəʊsɛs 	prəoosés 
roof	ruːf 	rūf 
ducky	ˈdʌki 	dukē 
faith	feɪθ 	fāth 
positive	ˈpɒzətɪv 	pozətiv 
friend	frɛnd 	frénd 
feather	ˈfɛðə 	féthə 
motion	ˈməʊʃən 	məooshən 
scrambled	ˈskræmbld 	skrambld 
definitely	ˈdɛfɪnɪtli 	définitlē 
sunny-side	ˈsʌni-saɪd 	sunē-sīd 
themselves	ðəmˈsɛlvz 	thəmsélvz 
fetch	fɛʧ 	féch 
hell	hɛl 	hél 
caper	ˈkeɪpə 	kāpə 
raining	ˈreɪnɪŋ 	rāning 
senses	ˈsɛnsɪz 	sénsiz 
attila	attila 	attēla 
anymore	ˌɛniˈmɔː 	énēmô 
walk	wɔːk 	wôk 
certainly	ˈsɜːtnli 	sûtnlē 
dizzy	ˈdɪzi 	dizē 
cut	kʌt 	kut 
progress	ˈprəʊgrəs 	prəoogrəs 
relax	rɪˈlæks 	rilaks 
involved	ɪnˈvɒlvd 	involvd 
usually	ˈjuːʒʊəli 	yüzhüəlē 
spot	spɒt 	spot 
pecking	ˈpɛkɪŋ 	péking 
team	tiːm 	tēm 
codswallop	codswallop 	codswallop 
overnight	ˌəʊvəˈnaɪt 	əoovənīt 
huh	hʌ 	hu 
breath	brɛθ 	bréth 
smell	smɛl 	smél 
wing's	wɪŋz 	wingz 
scoot	skuːt 	skūt 
choice	ʧɔɪs 	choēs 
weren't	wɜːnt 	wûnt 
noncommissioned	noncommissioned 	noncommēssēoned 
share	ʃeə 	shã 
asking	ˈɑːskɪŋ 	äsking 
end	ɛnd 	énd 
held	hɛld 	héld 
hideout	ˈhaɪdˈaʊt 	hīdowt 
maybe	ˈmeɪbiː 	mābē 
vulture	ˈvʌlʧə 	vulchə 
freedom	ˈfriːdəm 	frēdəm 
emphasis	ˈɛmfəsɪs 	émfəsis 
torch	tɔːʧ 	tôch 
sure	ʃʊə 	shüə 
finds	faɪndz 	fīndz 
what'll	ˈwɒt(ə)l 	wotəl 
crazy	ˈkreɪzi 	krāzē 
cute	kjuːt 	kyüt 
shouldn't	ʃʊdnt 	shoodnt 
reason	ˈriːzn 	rēzn 
should	ʃʊd 	shood 
low	ləʊ 	ləoo 
suicide	ˈsjʊɪsaɪd 	syooisīd 
stunt	stʌnt 	stunt 
certifiable	ˈsɜːtɪfaɪəbl 	sûtifīəbl 
straight	streɪt 	strāt 
minute	ˈmɪnɪt 	minit 
bust	bʌst 	bust 
birdcage	ˈbɜːdkeɪʤ 	bûdkāy 
besides	bɪˈsaɪdz 	bisīdz 
problems	ˈprɒbləmz 	probləmz 
understand	ˌʌndəˈstænd 	undəstand 
used	juːzd 	yüzd 
properly	ˈprɒpəli 	propəlē 
situation	ˌsɪtjʊˈeɪʃən 	sityooāshən 
explain	ɪksˈpleɪn 	iksplān 
exit	ˈɛksɪt 	éksit 
hearing	ˈhɪərɪŋ 	hēəring 
born	bɔːn 	bôn 
calling	ˈkɔːlɪŋ 	kôling 
shh	shh 	shh 
amen	ˈɑːˈmɛn 	ämén 
blows	bləʊz 	bləooz 
pack	pæk 	pak 
style	staɪl 	stīl 
nope	nəʊp 	nəoop 
hi	haɪ 	hī 
barnyard	ˈbɑːnˌjɑːd 	bänyäd 
nature	ˈneɪʧə 	nāchə 
traveler	ˈtrævlə 	travlə 
england	ˈɪŋglənd 	ingglənd 
brings	brɪŋz 	bringz 
miracle	ˈmɪrəkl 	mirəkl 
prayers	preəz 	prãz 
desperate	ˈdɛspərɪt 	déspərit 
group	gruːp 	grūp 
wants	wɒnts 	wonts 
catchy	ˈkæʧi 	kachē 
short	ʃɔːt 	shôt 
island	ˈaɪlənd 	īlənd 
rhode	ˈrəʊd 	rəood 
name's	neɪmz 	nāmz 
grandpa	ˈgrænpɑː 	granpä 
oversexed	ˌəʊvəˈsɛkst 	əoovəsékst 
overpaid	ˌəʊvəˈpeɪd 	əoovəpād 
war	wɔː 	wô 
showing	ˈʃəʊɪŋ 	shəooing 
americans	əˈmɛrɪkənz 	əmérikənz 
pushy	ˈpʊʃi 	pooshē 
poppycock	ˈpɒpɪkɒk 	popikok 
scotland	ˈskɒtlənd 	skotlənd 
land	lænd 	land 
illegal	ɪˈliːgəl 	ilēgəl 
cockfighting's	ˈkɒkˌfaɪtɪŋz 	kokfītingz 
far	fɑː 	fä 
excit	excit 	excēt 
rude	ruːd 	rūd 
top	tɒp 	top 
carried	ˈkærid 	karēd 
bandage	ˈbændɪʤ 	bandiy 
tweak	twiːk 	twēk 
wee	wiː 	wē 
gave	geɪv 	gāv 
tendon	ˈtɛndən 	téndən 
anterior	ænˈtɪərɪə 	antēərēə 
fall	fɔːl 	fôl 
nasty	ˈnɑːsti 	nästē 
took	tʊk 	took 
happened	ˈhæpənd 	hapənd 
suppose	səˈpəʊz 	səpəooz 
demonstrations	ˌdɛmənsˈtreɪʃənz 	démənstrāshənz 
flies	flaɪz 	flīz 
obvious	ˈɒbvɪəs 	obvēəs 
picture	ˈpɪkʧə 	pikchə 
posters	ˈpəʊstəz 	pəoostəz 
inside	ɪnˈsaɪd 	insīd 
audience	ˈɔːdjəns 	ôdyəns 
wonderful	ˈwʌndəfʊl 	wundəfool 
gentlemen	ˈʤɛnt(ə)lmən 	yéntəlmən 
freedoooom	freedoooom 	freedoooom 
bunch	bʌnʧ 	bunch 
lead	liːd 	lēd 
million	ˈmɪljən 	milyən 
chances	ˈʧɑːnsɪz 	chänsiz 
facts	fækts 	fakts 
tripe	traɪp 	trīp 
load	ləʊd 	ləood 
heard	hɜːd 	hûd 
keys	kiːz 	kēz 
dogs	dɒgz 	dogz 
anywhere	ˈɛnɪweə 	éniwã 
live	lɪv 	liv 
feeds	fiːdz 	fēdz 
green	griːn 	grēn 
cool	kuːl 	kūl 
trees	triːz 	trēz 
lots	lɒts 	lots 
spaces	ˈspeɪsɪz 	spāsiz 
wide	waɪd 	wīd 
beyond	bɪˈjɒnd 	biyond 
somewhere	ˈsʌmweə 	sumwã 
living	ˈlɪvɪŋ 	living 
enough	ɪˈnʌf 	inuf 
roasted	ˈrəʊstɪd 	rəoostid 
stuffed	stʌft 	stuft 
plucked	plʌkt 	plukt 
spent	spɛnt 	spént 
she'd	ʃiːd 	shēd 
nests	nɛsts 	nésts 
many	ˈmɛni 	ménē 
hmm	hmm 	hmm 
cover-up	ˈkʌvərˈʌp 	kuvərup 
operation	ˌɒpəˈreɪʃən 	opərāshən 
turnip's	ˈtɜːnɪps 	tûnips 
grief	griːf 	grēf 
wire	ˈwaɪə 	wīə 
brand-new	ˈbrændˈnjuː 	brandnyü 
fiasco	fɪˈæskəʊ 	fiaskəoo 
attempt	əˈtɛmpt 	ətémpt 
last	lɑːst 	läst 
carry	ˈkæri 	karē 
chit-chat	ˈʧɪtʧæt 	chitchat 
unnecessary	ʌnˈnɛsɪsəri 	unnésisərē 
waste	weɪst 	wāst 
allowed	əˈlaʊd 	əlowd 
scheme	skiːm 	skēm 
plot	plɒt 	plot 
planet	ˈplænɪt 	planit 
apart	əˈpɑːt 	əpät 
dolt	dəʊlt 	dəoolt 
another	əˈnʌðə 	ənuthə 
telling	ˈtɛlɪŋ 	téling 
notions	ˈnəʊʃənz 	nəooshənz 
money	ˈmʌni 	munē 
leader	ˈliːdə 	lēdə 
reckon	ˈrɛkən 	rékən 
onto	ˈɒntʊ 	ontoo 
tired	ˈtaɪəd 	tīəd 
sick	sɪk 	sik 
ha'penny	ha'penny 	ha'penny 
fourpence	fourpence 	foūrpence 
sixpence	ˈsɪkspəns 	sikspəns 
seven	ˈsɛvn 	sévn 
threepence	ˈθrɛpəns 	thrépəns 
shillings	ˈʃɪlɪŋz 	shilingz 
fourteen	ˈfɔːˈtiːn 	fôtēn 
twenty-two	ˈtwɛnti-tuː 	twéntē-tū 
move	muːv 	mūv 
else	ɛls 	éls 
seed	siːd 	sēd 
bag	bæg 	bag 
cost	kɒst 	kost 
bigger	ˈbɪgə 	bigə 
duck	dʌk 	duk 
dream	driːm 	drēm 
vision	ˈvɪʒən 	vizhən 
madame	ˈmædəm 	madəm 
weddings	ˈwɛdɪŋz 	wédingz 
parties	ˈpɑːtiz 	pätēz 
hats	hæts 	hats 
hens	hɛnz 	hénz 
pop	pɒp 	pop 
simply	ˈsɪmpli 	simplē 
paree	paree 	paree 
fashionable	ˈfæʃnəbl 	fashnəbl 
rage	reɪʤ 	rāy 
number	ˈnʌmbə 	numbə 
pendant	ˈpɛndənt 	péndənt 
necklace	ˈnɛklɪs 	néklis 
tea	tiː 	tē 
handcrafted	handcrafted 	handcrafted 
quality	ˈkwɒlɪti 	kwolitē 
service	ˈsɜːvɪs 	sûvis 
nick	nɪk 	nik 
meeting	ˈmiːtɪŋ 	mēting 
spread	sprɛd 	spréd 
anyone	ˈɛnɪwʌn 	éniwun 
well-chuffed	wɛl-ʧʌft 	wél-chuft 
grounded	ˈgraʊndɪd 	growndid 
lad	læd 	lad 
reprimand	ˈrɛprɪmɑːnd 	réprimänd 
stern	stɜːn 	stûn 
ranking	ˈræŋkɪŋ 	rangking 
talk	tɔːk 	tôk 
tally-ho	ˈtælɪˈhəʊ 	talihəoo 
smarten	ˈsmɑːtn 	smätn 
march	mɑːʧ 	mäch 
parade	pəˈreɪd 	pərād 
confinement	kənˈfaɪnmənt 	kənfīnmənt 
solitary	ˈsɒlɪtəri 	solitərē 
wasn't	wɒznt 	woznt 
escapes	ɪsˈkeɪps 	iskāps 
lot	lɒt 	lot 
lesson	ˈlɛsn 	lésn 
outside	ˌaʊtˈsaɪd	owtsīd
