aa	胺基酸
finalises	最終確定
finalising	最終確定
finalism	目的論
finalisms	目的論
finalist	入圍者
finalists	入圍者
finalities	最終性
finality	最終性
finalize	完成
finalized	已完成
finalizer	終結器
finalizers	終結器
finalizes	最終確定
finalizing	最終確定
finally	最後
finals	決賽
finance	金融
financed	資助
finances	財政
financial	金融的
financier	金融家
financiers	金融家
financing	融資
financings	融資
finback	鰤魚
finbacks	長鬚鯨
finca	財產
fincas	農場
finch	雀科
finches	雀科
find	尋找
findable	可尋找
finder	發現
finders	發現者
finding	發現
findings	發現
finds	發現
fine	美好的
fineable	可罰款
fined	罰款
finely	精細地
fineness	細度
finenesses	細度
finer	更精細
fineries	服飾
finery	服飾
fines	罰款
finespun	細紡
finesse	技巧
finessed	巧妙的
finesses	微妙之處
finessing	精雕細琢
finest	最好的
finfish	鱒魚
finfishes	鱒魚
finfoot	鰭足
finfoots	鰭足類
finger	手指
fingered	手指
fingerer	手指
fingerers	指法
fingerhold	手指握持
fingering	指法
fingerings	指法
fingerlike	指狀
fingerling	魚種
fingernail	指甲
fingerpick	指彈
fingerpost	指路牌
fingers	手指
fingertip	指尖
fingertips	指尖
finial	頂飾
finialed	已完成
finials	頂飾
finical	金融
finically	財務上
finickier	更挑剔
finickiest	最挑剔
finickin	挑剔
finicking	挑剔
finicky	挑剔
finikin	挑剔
finiking	菲尼克
fining	澄清
finings	罰款
finis	完成的
finises	完成
finish	結束
finished	完成的
finisher	整理者
finishers	終結者
finishes	完成
finishing	精加工
finite	有限
finitely	有限地
finiteness	有限性
finites	有限
finito	完成的
finitude	有限性
finitudes	有限性
fink	芬克
finked	發現
finking	告密
finks	芬克斯
finless	無鰭的
finlike	鰭狀的
finmark	芬蘭
finmarks	芬馬克
finned	有鰭的
finnickier	芬尼基爾
finnicky	芬尼基
finnier	更精細
finniest	芬蘭
finning	芬寧
finnmark	芬蘭
finnmarks	芬馬克
finny	芬妮
fino	直到
finocchio	茴香
finocchios	菲諾基奧斯
finochio	茴香
finochios	菲諾奇奧斯
finos	美好的
fins	直到
fioratura	浮選
fioraturae	花朵
fiord	峽灣
fiords	峽灣
fioritura	開花
fioriture	綻放
fipple	菲普爾
fipples	菲普爾斯
fique	停留
fiques	你是
fir	為了
fire	火
fireable	可燃
firearm	火器
firearmed	持槍
firearms	槍枝
fireback	反擊
firebacks	反擊
fireball	火球
fireballer	火球手
fireballs	火球
firebase	火力基地
firebases	火力基地
firebird	火鳥
firebirds	火鳥
fireboard	防火板
fireboards	防火板
fireboat	消防艇
fireboats	消防船
firebomb	燃燒彈
firebombed	燃燒彈
firebombs	燃燒彈
firebox	火爐
fireboxes	火爐
firebrand	火炬
firebrands	煽動者
firebrat	火子
firebrats	火雞
firebreak	防火帶
firebreaks	防火線
firebrick	耐火磚
firebricks	耐火磚
firebug	螢火蟲
firebugs	螢火蟲
fireclay	耐火粘土
fireclays	耐火粘土
fired	被解僱
firedamp	沼氣
firedamps	沼氣
firedog	火狗
firedogs	火狗
firedrake	火龍
firedrakes	火龍
firefang	火牙
firefanged	火牙
firefangs	火牙
firefight	交火
firefights	交火
fireflies	螢火蟲
fireflood	火洪
firefloods	火災洪水
firefly	螢火蟲
fireguard	防火衛士
fireguards	防火衛士
firehall	消防局
firehalls	消防局
firehouse	消防局
firehouses	消防局
fireless	無火
firelight	火光
firelights	火光
firelit	火光
firelock	火槍
firelocks	火槍
fireman	消防隊員
firemanic	消防員
firemen	消防員
firepan	火盤
firepans	火盆
firepink	火粉紅
firepinks	火粉紅
fireplace	壁爐
fireplaced	壁爐
fireplaces	壁爐
fireplug	消防栓
fireplugs	消防栓
firepot	火盆
firepots	火盆
firepower	火力
firepowers	火力
fireproof	防火
fireproofs	防火材料
firer	四
fireroom	壁爐
firerooms	火爐
firers	射擊者
fires	火災
fireship	火船
fireships	火船
fireside	爐邊
firesides	爐邊
firestone	火石
firestones	火石
firestorm	烈火風暴
firestorms	火災風暴
firethorn	火棘
firethorns	火棘
firetrap	火災陷阱
firetraps	火災隱患
firetruck	消防車
firetrucks	消防車
firewall	防火牆
firewalls	防火牆
firewater	烈酒
firewaters	烈酒
fireweed	柳蘭
fireweeds	火草
firewood	柴
firewoods	柴火
firework	焰火
fireworks	煙火
fireworm	火蟲
fireworms	火蟲
firing	射擊
firings	解僱
firkin	小菲爾金
firkins	小木桶
firm	公司
firmament	蒼穹
firmaments	蒼穹
firman	單字
firmans	該公司的
firmed	堅定
firmer	更堅固
firmers	堅定者
firmest	最堅定的
firming	緊緻
firmly	牢牢
firmness	堅固性
firmnesses	堅固性
firms	公司
firmware	韌體
firmwares	韌體
firn	菲恩
firns	菲恩
firrier	菲里耶
firriest	最先
firry	菲里
firs	冷杉
first	第一的
firstborn	長子
firstborns	長子
firsthand	第一手
firstling	首先
firstlings	初生的
firstly	首先
firstness	首位
firsts	第一
firth	峽灣
firths	峽灣
fisc	稅
fiscal	財
fiscalist	稅務專家
fiscalists	財政主義者
fiscally	財政上
fiscals	檢察官
fiscs	財政
fish	魚
fishable	可釣魚
fishbolt	魚栓
fishbolts	魚形螺栓
fishbone	魚骨
fishbones	魚骨
fishbowl	魚缸
fishbowls	魚缸
fished	釣魚
fisher	費雪
fisherfolk	漁夫
fisheries	漁業
fisherman	漁夫
fishermen	漁民
fishers	漁民
fishery	漁業
fishes	魚類
fisheye	魚眼
fisheyes	魚眼
fishgig	魚叉
fishgigs	魚叉
fishhook	釣鉤
fishhooks	魚鉤
fishier	菲希爾
fishiest	最有魚味的
fishily	魚腥地
fishiness	腥味
fishing	釣魚
fishings	釣魚
fishkill	菲什基爾
fishkills	菲什基爾
fishless	無魚
fishlike	像魚一樣
fishline	釣線
fishlines	魚線
fishmeal	魚粉
fishmeals	魚粉
fishmonger	魚販
fishnet	魚網
fishnets	漁網
fishplate	魚尾板
fishplates	魚尾板
fishpole	釣竿
fishpoles	釣竿
fishpond	魚池
fishponds	魚池
fishtail	魚尾
fishtailed	魚尾狀
fishtails	魚尾
fishway	魚道
fishways	魚道
fishwife	魚婦
fishwives	魚販
fishworm	魚蟲
fishworms	魚蟲
fishy	腥
fissate	固定的
fissile	裂變
fissility	裂變
fission	裂變
fissional	裂變
fissioned	裂變
fissioning	裂變
fissions	裂變
fissiped	裂變
fissipeds	裂片
fissural	裂隙的
fissure	裂縫
fissured	有裂縫的
fissures	裂縫
fissuring	裂縫
fist	拳頭
fisted	拳頭
fistfight	格鬥
fistfights	拳擊
fistful	一把
fistfuls	一把把
fistic	開心果
fisticuff	格鬥
fisticuffs	拳擊
fisting	拳擊交
fistnote	第一注
fistnotes	首語
fists	拳頭
fistula	瘻管
fistulae	瘻管
fistular	瘻管
fistulas	瘻管
fistulate	瘻管
fistulous	瘻管
fit	合身
fitch	惠譽
fitchee	菲奇
fitches	菲奇斯
fitchet	菲切特
fitchets	菲切茨
fitchew	菲丘
fitchews	菲奇斯
fitchy	菲奇
fitful	斷斷續續
fitfully	斷斷續續地
fitfulness	健壯
fitly	適合地
fitment	配件
fitments	配件
fitness	健康
fitnesses	健身
fits	適合
fittable	可適配
fitted	合身
fitter	鉗工
fitters	裝配工
fittest	最適者
fitting	配件
fittingly	恰當地
fittings	配件
five	五
fivefold	五倍
fivepins	五針
fiver	五英鎊
fivers	池塘
fives	五
fix	使固定
fixable	可修復
fixate	固定
fixated	固著
fixates	凝視
fixatif	固定的
fixatifs	固定劑
fixating	固定
fixation	固定
fixations	凝視
fixative	固定劑
fixatives	固定劑
fixed	固定的
fixedly	固定地
fixedness	固著性
fixer	修復者
fixers	修復者
fixes	修復
fixing	定影
fixings	固定裝置
fixit	固定的
fixities	固定性
fixity	固定性
fixt	使固定
fixture	固定裝置
fixtures	固定裝置
fixure	固定裝置
fixures	固定裝置
fiz	我做到了
fizgig	坐立不安
fizgigs	起泡的
fizz	嘶嘶
fizzed	嘶嘶作響
fizzer	嘶嘶聲
fizzers	嘶嘶聲
fizzes	嘶嘶聲
fizzier	更起泡
fizziest	最起泡的
fizzing	嘶
fizzle	失敗
fizzled	失敗了
fizzles	嘶嘶聲
fizzling	嘶嘶作響
fizzy	起泡的
fjeld	山
fjelds	山
fjord	峽灣
fjordic	峽灣
fjords	峽灣
flab	鬆弛
flabbier	更加鬆弛
flabbiest	最鬆弛
flabbily	軟弱地
flabbiness	鬆弛
flabby	鬆弛
flabella	扇子
flabellate	用風扇
flabellum	扇子
flabs	鬆弛部分
flaccid	鬆弛
flaccidity	鬆弛
flaccidly	軟弱地
flack	高射砲
flacked	被彈射的
flackeries	吹牛
flackery	吹牛
flacking	剝落
flacks	宣傳標語
flacon	瓶子
flacons	瓶
flag	旗幟
flagella	鞭毛
flagellant	鞭笞者
flagellar	鞭毛
flagellate	鞭毛蟲
flagellin	鞭毛蛋白
flagellins	鞭毛蛋白
flagellum	鞭毛
flagellums	鞭毛
flageolet	六孔豎笛
flageolets	六弦琴
flagged	已標記
flagger	旗幟
flaggers	檢舉人
flaggier	弗拉吉耶
flaggiest	最旗幟
flagging	標記
flaggingly	萎靡不振地
flaggings	標記
flaggy	弗拉吉
flagitious	醜惡
flagless	無旗
flagman	旗艦
flagmen	旗手
flagon	旗幟
flagons	酒壺
flagpole	旗桿
flagpoles	旗桿
flagrance	臭名昭著
flagrances	標誌
flagrancy	公然犯罪
flagrant	明目張膽
flagrantly	公然地
flags	旗幟
flagship	旗艦
flagships	旗艦
flagstaff	弗拉格斯塔夫
flagstaffs	弗拉格斯塔夫
flagstaves	旗桿
flagstick	旗桿
flagsticks	旗桿
flagstone	石板
flagstones	石板
flail	連枷
flailed	被鞭打
flailing	揮舞
flails	連枷
flair	天賦
flairs	天賦
flak	高射砲
flake	薄片
flaked	片狀
flaker	壓片機
flakers	壓片機
flakes	薄片
flakey	古怪的
flakier	更加脆弱
flakiest	最不穩定
flakily	片狀地
flakiness	片狀
flaking	剝落
flaky	片狀
flam	弗拉姆
flambe	火焰
flambeau	火炬
flambeaus	火炬
flambeaux	火把
flambee	火焰
flambeed	火焰
flambeing	火焰
flambes	火焰
flamboyant	龍飛鳳舞
flame	火焰
flamed	燃燒
flameless	無焰
flamelike	火焰狀
flamen	火焰
flamenco	弗拉明戈
flamencos	火烈鳥
flamens	佛朗明斯
flameout	熄火
flameouts	熄火
flameproof	防火
flamer	噴火器
flamers	噴火者
flames	火焰
flamier	火焰
flamiest	最火辣的
flamines	烈酒
flaming	熾盛
flamingly	熾熱地
flamingo	火烈鳥
flamingoes	火烈鳥
flamingos	火烈鳥
flammable	易燃
flammables	易燃商品
flammed	燃燒
flamming	燃燒
flams	奶凍
flamy	火辣的
flan	水果餡餅
flancard	側翼
flancards	側翼進攻
flanerie	弗蘭內裡
flaneries	弗蘭內裡
flanes	水果餡餅
flaneur	遊手好閒者
flaneurs	遊手好閒者
flange	法蘭
flanged	法蘭
flanger	法蘭
flangers	鑲邊器
flanges	法蘭
flanging	翻邊
flank	側翼
flanked	側翼
flanken	一邊
flanker	側翼
flankers	側翼進攻
flanking	側翼
flanks	側翼
flannel	絨布
flanneled	法蘭絨
flannelet	絨布
flannelets	法蘭絨
flanneling	絨布
flannelled	法蘭絨的
flannelly	法蘭絨
flannels	法蘭絨
flans	法蘭
flap	襟翼
flapdoodle	夢囈
flaperon	襟副翼
flaperons	襟副翼
flapjack	薄餅
flapjacks	薄餅
flapless	無瓣
flappable	忑
flapped	拍打
flapper	擋板
flappers	飛來波女郎
flappier	飛來飛去
flappiest	最浮躁
flapping	撲
flappy	飛揚的
flaps	襟翼
flare	耀斑
flareback	回火
flarebacks	火光回擊
flared	喇叭狀
flares	火光
flareup	爆發
flareups	爆發
flaring	燃燒
flaringly	耀眼地
flash	閃光
flashback	倒敘
flashbacks	閃回
flashboard	插板
flashbulb	鎂光燈
flashbulbs	閃光燈
flashcard	抽認卡
flashcards	抽認卡
flashcube	快閃記憶體立方體
flashcubes	閃現立方體
flashed	閃現
flasher	閃光器
flashers	閃光器
flashes	閃爍
flashgun	閃光燈
flashguns	閃光燈
flashier	更加耀眼
flashiest	最耀眼的
flashily	閃閃地
flashiness	浮華
flashing	閃爍
flashings	閃光
flashlamp	閃光燈
flashlamps	閃光燈
flashlight	手電筒
flashover	閃絡
flashovers	閃絡
flashtube	閃光管
flashtubes	閃光燈管
flashy	浮華的
flask	燒瓶
flasket	瓶裝
flaskets	瓶子
flasks	燒瓶
flat	平坦的
flatbed	平板
flatbeds	平板車
flatboat	平底船
flatboats	平底船
flatbread	扁麵包
flatbreads	扁麵包
flatcap	平頂帽
flatcaps	平頂帽
flatcar	平板車
flatcars	平板車
flatfeet	扁平足
flatfish	比目魚
flatfishes	比目魚
flatfoot	扁平足
flatfooted	扁平足
flatfoots	扁平足
flathead	平頭
flatheads	平頭
flatiron	烙鐵
flatirons	熨斗
flatland	平原
flatlander	平原人
flatlands	平原
flatlet	平房
flatlets	單位
flatline	平線
flatlined	平線狀
flatliner	平線器
flatliners	平線
flatlines	平線
flatling	扁平化
flatlings	平面
flatlining	平坦化
flatlong	扁長
flatly	斷然
flatmate	室友
flatmates	室友
flatness	平整度
flatnesses	平坦度
flats	公寓
flatted	平面
flatten	壓平
flattened	扁平化
flattener	壓平器
flatteners	壓平器
flattening	壓扁
flattens	變平
flatter	奉承
flattered	受寵若驚
flatterer	諂媚者
flatterers	奉承者
flatteries	奉承
flattering	討人喜歡
flatters	奉承
flattery	奉承
flattest	最平坦
flatting	奉承
flattish	略平
flattop	平頂
flattops	平頂
flatulence	脹氣
flatulency	空虛
flatulent	他們脹氣
flatus	氣息
flatuses	排氣
flatware	餐具
flatwares	餐具
flatwash	平洗
flatwashes	平洗
flatways	平坦道路
flatwise	平面
flatwork	平整
flatworks	平板作品
flatworm	扁蟲
flatworms	扁蟲
flaunt	標榜
flaunted	炫耀
flaunter	炫耀
flaunters	炫耀者
flauntier	華麗的
flauntiest	最炫耀的
flauntily	炫耀地
flaunting	炫耀
flaunts	炫耀
flaunty	炫耀
flauta	長笛
flautas	長笛
flautist	長笛演奏家
flautists	長笛演奏家
flavanol	黃烷醇
flavanols	黃烷醇
flavanone	黃烷酮
flavanones	黃烷酮
flavin	黃素
flavine	黃素
flavines	黃素類物質
flavins	黃素類物質
flavone	黃酮
flavones	黃酮
flavonoid	黃酮類化合物
flavonoids	黃酮類物質
flavonol	黃酮醇
flavonols	黃酮醇
flavor	味道
flavored	調味的
flavorer	調味劑
flavorers	調味劑
flavorful	味道鮮美
flavoring	調味品
flavorings	調味料
flavorist	調味師
flavorists	調味師
flavorless	無味
flavorous	味道鮮美
flavors	口味
flavorsome	味道鮮美
flavory	味道鮮美
flavour	味道
flavoured	調味的
flavouring	調味品
flavours	口味
flavoury	味道鮮美
flaw	缺陷
flawed	有缺陷的
flawier	更有缺陷
flawiest	最有缺陷的
flawing	有缺陷
flawless	完美無瑕
flawlessly	完美無瑕
flaws	缺陷
flawy	有缺陷的
flax	亞麻
flaxen	亞麻
flaxes	亞麻
flaxier	弗拉克西爾
flaxiest	最柔順的
flaxseed	亞麻籽
flaxseeds	亞麻籽
flaxy	弗拉克西
flay	剝皮
flayed	剝皮
flayer	剝皮者
flayers	剝皮者
flaying	剝皮
flays	剝皮
flea	跳蚤
fleabag	跳蚤市場
fleabags	跳蚤市場
fleabane	飛蓬
fleabanes	飛蓬
fleabite	跳蚤叮咬
fleabites	跳蚤叮咬
fleahopper	跳蚤
fleam	我哭了。
fleams	跳蚤
fleapit	跳蚤市場
fleapits	跳蚤市場
fleas	跳蚤
fleawort	浮萍
fleaworts	跳蚤草
fleche	說謊
fleches	弗萊切斯
flechette	鏢
flechettes	飛鏢
fleck	斑點
flecked	有斑點的
flecking	斑駁
fleckless	無斑點
flecks	斑點
flecky	斑駁的
flection	屈折
flections	屈折
fled	逃走
fledge	羽翼豐滿
fledged	羽翼豐滿
fledges	羽翼未豐
fledgier	羽翼未豐
fledgiest	羽翼未豐
fledging	羽翼未豐
fledgling	雛鳥
fledglings	雛鳥
fledgy	羽翼未豐
flee	逃跑
fleece	羊毛
fleeced	羊毛
fleecer	羊毛
fleecers	掠奪者
fleeces	羊毛
fleech	逃跑
fleeched	被竊取
fleeches	毛絨絨
fleeching	羊毛
fleecier	羊毛狀
fleeciest	最柔軟的
fleecily	蓬鬆地
fleecing	羊毛
fleecy	羊毛狀
fleeing	逃亡
fleer	逃跑
fleered	賴瑞德
fleering	飛行
fleeringly	嘲諷地
fleers	菲爾斯
flees	逃走
fleet	艦隊
fleeted	艦隊
fleeter	艦隊
fleetest	艦隊測試
fleeting	轉瞬即逝
fleetingly	轉瞬即逝
fleetly	迅速地
fleetness	敏捷
fleets	艦隊
flehmen	弗萊門
flehmened	弗萊默內德
flehmening	弗萊默寧
flehmens	裂唇
fleishig	肉
flemish	佛蘭德語
flemished	佛蘭德語
flemishes	佛蘭德斯人
flemishing	佛蘭德語
flench	法蘭奇
flenched	收縮
flenches	法蘭切斯
flenching	顫抖
flense	法蘭
flensed	剝皮的
flenser	法蘭
flensers	剝皮者
flenses	法蘭
flensing	剝皮
flesh	肉
fleshed	肉質的
flesher	肉食者
fleshers	肉食者
fleshes	肉
fleshier	弗萊舍爾
fleshiest	最肉慾的
fleshily	肉體地
fleshiness	腴
fleshing	去肉
fleshings	肉質
fleshless	無肉的
fleshlier	弗萊什利爾
fleshliest	最肉慾的
fleshly	肉體的
fleshment	去肉
fleshments	肉體
fleshpot	肉鍋
fleshpots	肉鍋
fleshy	肉質的
fletch	箭羽
fletched	有羽毛的
fletcher	弗萊契
fletchers	弗萊契
fletches	箭羽
fletching	箭羽
fletchings	箭羽
fleuron	旗艦
fleurons	小花
fleury	弗勒里
flew	飛
flews	弗萊斯
flex	彈性
flexagon	屈曲角
flexagons	屈曲角
flexed	彎曲
flexes	彎曲
flexible	靈活的
flexibly	靈活
flexile	靈活的
flexing	彎曲
flexion	屈曲
flexional	屈曲
flexions	屈曲
flexitime	彈性工作時間
flexitimes	彈性工作時間
flexor	屈肌
flexors	屈肌
flextime	彈性工作時間
flextimer	彈性工作時間
flextimers	彈性工作時間
flextimes	彈性工作時間
flexuose	彈性
flexuous	彎曲的
flexural	彎曲的
flexure	撓曲
flexures	彎曲
fley	剝皮
fleyed	飛離
fleying	飛翔
fleys	蒼蠅
flic	弗利克
flichter	航班
flichtered	已飛行
flichters	強制
flick	輕彈
flickable	適合女孩
flicked	輕彈
flicker	閃爍
flickered	閃爍
flickering	閃爍
flickers	閃爍
flickery	閃爍
flicking	輕彈
flicks	輕彈
flics	警察
flied	逃走
flier	傳單
fliers	傳單
flies	蒼蠅
fliest	飛得快
flight	航班
flighted	已飛行
flightier	輕浮
flightiest	最輕浮的
flightily	輕浮地
flighting	飛行
flightless	不會飛
flights	航班
flighty	輕浮
flimflam	火焰
flimflams	騙局
flimsier	更脆弱
flimsies	閃光
flimsiest	最脆弱
flimsily	脆弱地
flimsiness	脆弱
flimsy	脆弱的
flinch	退縮
flinched	退縮
flincher	畏縮
flinchers	退縮者
flinches	退縮
flinching	退縮
flinder	疲倦
flinders	弗林德斯
fling	一丟
flinger	投擲者
flingers	投擲者
flinging	甩
flings	放縱
flinkite	退縮
flinkites	弗林克石
flint	燧石
flinted	燧石
flinthead	弗林特黑德
flintheads	燧發者
flintier	弗林蒂爾
flintiest	最堅硬
flintily	堅硬地
flintiness	堅硬
flinting	燧石
flintlike	燧石狀
flintlock	燧發槍
flintlocks	燧發槍
flints	燧石
flinty	堅硬的
flip	翻動
flipbook	活頁簿
flipbooks	翻頁書
flipflop	拖鞋
flipflops	夾腳拖
flippancy	輕率
flippant	輕率
flippantly	輕率地
flipped	翻轉
flipper	鰭狀肢
flippers	鰭狀肢
flippest	輕浮
flipping	翻軟
flippy	翻翻
flips	翻轉
flir	飛利浦
flirs	調情者
flirt	調情
flirtation	調情
flirted	調情
flirter	調情
flirters	調情者
flirtier	調情者
flirtiest	最調情的
flirting	調情
flirts	調情
flirty	輕浮的
flit	掠過
flitch	薄片
flitched	飛散的
flitches	板材
flitching	飛舞
flite	噴
flited	飛過
flites	飛行
fliting	飛翔
flits	飛過
flitted	飛過
flitter	閃光
flittered	被過濾
flittering	閃爍
flitters	飛沫
flitting	飄忽不定
flivver	飛
flivvers	飛行
float	漂浮
floatable	可漂浮
floatage	浮力
floatages	浮力
floatation	浮選
floated	漂浮
floatel	浮筒
floatels	浮標
floater	漂浮物
floaters	漂浮物
floatier	漂浮物
floatiest	最浮動的
floating	漂浮的
floatplane	水上飛機
floats	浮點數
floaty	飄浮的
floc	絮狀物
flocced	絮狀的
flocci	薄片
floccing	絮狀的
floccose	絮狀物
flocculant	絮凝劑
flocculate	絮凝
floccule	絮狀物
flocculent	絮狀的
floccules	絮狀物
flocculi	薄片
flocculus	絨毛
floccus	絮狀物
flock	群
flocked	蜂擁而至
flockier	弗洛克爾
flockiest	群居
flocking	植絨
flockings	成群結隊
flockless	無群
flocks	羊群
flocky	弗洛基
flocs	薄片
floe	浮冰
floes	浮渣
flog	鞭打
floggable	可鞭笞的
flogged	鞭笞
flogger	鞭笞者
floggers	鞭笞者
flogging	鞭笞
floggings	鞭刑
flogs	鞭打
flokati	蜂擁而至
flokatis	弗洛卡蒂
flong	福隆
flongs	弗隆
flood	洪水
floodable	可淹沒
flooded	淹沒
flooder	洪水
flooders	洪水災害
floodgate	閘
floodgates	閘門
flooding	洪水
floodlight	泛光燈
floodlit	泛光燈
floodplain	洪氾區
floods	洪水
floodtide	漲潮
floodtides	漲潮
floodwall	防洪牆
floodwalls	防洪牆
floodwater	洪水
floodway	分洪道
floodways	分洪道
flooey	弗洛伊
flooie	弗洛伊
floor	地面
floorage	樓面面積
floorages	樓面面積
floorboard	地板
floorcloth	地毯
floored	地板
floorer	地板工
floorers	地板工
flooring	地板
floorings	地板
floorless	無地板
floors	地板
floorshow	地板秀
floorshows	表演
floosie	蕩婦
floosies	蕩婦
floosy	弗洛西
floozie	蕩婦
floozies	蕩婦
floozy	蕩婦
flop	失敗
flophouse	廉價旅館
flophouses	廉價旅館
flopover	失敗者
flopovers	失敗者
flopped	失敗了
flopper	失敗者
floppers	失敗者
floppier	軟碟
floppies	軟碟
floppiest	最軟的
floppily	軟碟地
floppiness	鬆軟
flopping	失敗
floppy	軟碟
flops	失敗
flora	弗洛拉
florae	花朵
floral	花的
florally	花香地
florals	花香
floras	植物群
floreated	有花的
florence	佛羅倫斯
florences	佛羅倫斯
florescent	螢光的
floret	綻放
florets	小花
floriated	花飾
floriation	花飾
floribunda	豐花月季
floricane	花藤
floricanes	花枝
florid	華麗的
floridity	華麗
floridly	華麗地
floridness	華麗
florigen	成花素
florigenic	成花
florigens	成花素
florilegia	弗洛勒利吉亞
florin	佛羅林
florins	佛羅林
florist	花店
floristic	植物區系
floristry	花藝
florists	花店
floruit	興旺發達
floruits	佛洛瑞特
floss	牙線
flossed	用牙線
flosser	磨損
flossers	牙線器
flosses	牙線
flossie	牙線
flossier	弗洛西耶
flossies	弗洛西斯
flossiest	最華麗的
flossily	華麗地
flossing	使用牙線
flossy	弗洛西
flota	艦隊
flotage	漂浮的
flotages	浮選
flotas	艦隊
flotation	浮選
flotations	浮選
flotilla	船隊
flotillas	船隊
flotsam	廢棄物
flotsams	漂浮物
flounce	猛衝
flounced	荷葉邊
flounces	荷葉邊
flouncier	蓬鬆
flounciest	最華麗的
flouncing	飄揚
flouncings	荷葉邊
flouncy	蓬鬆的
flounder	比目魚
floundered	掙扎
flounders	比目魚
flour	麵粉
floured	麵粉
flouring	麵粉
flourish	繁榮
flourished	興旺發達
flourisher	繁榮者
flourishes	興旺
flourless	無麵粉
flours	麵粉
floury	弗魯裡
flout	藐視
flouted	藐視
flouter	模糊
flouters	藐視者
flouting	藐視
flouts	藐視
flow	流動
flowage	流量
flowages	流量
flowchart	流程圖
flowcharts	流程圖
flowed	流動
flower	花
flowerage	花序
flowerages	花類
flowered	開花的
flowerer	花匠
flowerers	花匠
floweret	小花
flowerets	小花
flowerette	小花
flowerful	繁花似錦
flowerier	弗勞里耶
floweriest	最花俏的
flowerily	花俏地
flowering	開花
flowerless	無花
flowerlike	花狀
flowerpot	花盆
flowerpots	花盆
flowers	花朵
flowery	如花
flowing	流動
flowingly	流暢地
flowmeter	流量計
flowmeters	流量計
flown	飛過
flows	流量
flowstone	流石
flowstones	流石
flu	流感
flub	失誤
flubbed	搞砸了
flubber	飛天彈
flubbers	飛天小女警
flubbing	失誤
flubdub	譁眾取寵
flubdubs	翻唱
flubs	失誤
fluctuant	波動
fluctuate	波動
fluctuated	波動
fluctuates	波動
flue	煙道
flued	煙道
fluencies	流利程度
fluency	流利度
fluent	流暢
fluently	流利地
flueric	氟酸
fluerics	氟利昂
flues	煙道
fluff	起毛
fluffed	蓬鬆的
fluffer	蓬鬆器
fluffers	蓬鬆機
fluffier	蓬鬆
fluffiest	最蓬鬆的
fluffily	蓬鬆地
fluffiness	蓬鬆感
fluffing	蓬鬆
fluffs	絨毛
fluffy	蓬鬆的
flugelhorn	柔音號
fluid	液體
fluidal	弗魯達爾
fluidally	流暢地
fluidic	流體的
fluidics	流體學
fluidise	流化
fluidised	流化
fluidises	流體化
fluidising	流化
fluidities	流動性
fluidity	流動性
fluidize	流化
fluidized	流化
fluidizer	串流化器
fluidizers	串流化器
fluidizes	流化
fluidizing	流化
fluidlike	流體狀
fluidly	流暢地
fluidness	流動性
fluidram	流體力學
fluidrams	流體力學
fluids	流體
fluish	流暢
fluke	吸蟲
fluked	僥倖
flukes	吸蟲
flukey	福祿克
flukier	福基爾
flukiest	最幸運的
flukily	偶然地
flukiness	偶然性
fluking	僥倖
fluky	福祿克
flume	水槽
flumed	水槽
flumes	水槽
fluming	弗魯明
flummeries	軟糖
flummery	瑣事
flummox	驚訝
flummoxed	困惑
flummoxes	氟莫克斯
flummoxing	令人困惑
flump	弗盧普
flumped	蓬鬆的
flumping	撲通撲通
flumps	弗盧普斯
flung	甩出
flunk	不及格
flunked	不及格
flunker	失敗者
flunkers	失敗者
flunkey	奴才
flunkeys	奴才
flunkie	奴才
flunkies	奴才
flunking	不及格
flunks	不及格者
flunky	奴才
flunkyism	奴才主義
flunkyisms	奴才主義
fluor	氟
fluorene	芴
fluorenes	芴
fluoresce	發出螢光
fluoresced	螢光
fluorescer	螢光劑
fluoresces	發出螢光
fluoric	氟化物
fluorid	氟化物
fluoridate	氟化物
fluoride	氟化物
fluorides	氟化物
fluorids	氟化物
fluorin	氟
fluorinate	氟化物
fluorine	氟
fluorines	氟
fluorins	氟化物
fluorite	螢石
fluorites	螢石
fluoroses	氟化物
fluorosis	氟中毒
fluorotic	氟中毒
fluors	氟
fluorspar	螢石
fluorspars	螢石
fluoxetine	氟西汀
flurried	恍
flurries	陣雪
flurry	陣風
flurrying	狂風大作
flus	錢
flush	沖洗
flushable	可沖洗
flushed	酡
flusher	沖洗器
flushers	沖洗器
flushes	沖洗
flushest	最齊平
flushing	沖洗
flushness	齊平
fluster	慌亂
flustered	心慌意亂
flustering	心慌意亂
flusters	慌亂
flute	長笛
fluted	凹槽
flutelike	像長笛一樣
fluter	弗拉特
fluters	長笛演奏家
flutes	長笛
flutey	弗魯特
flutier	弗呂捷
flutiest	長笛手
fluting	凹槽
flutings	凹槽
flutist	長笛演奏家
flutists	長笛演奏家
flutter	撲
fluttered	飄動
flutterer	撲騰者
flutterers	飄動者
fluttering	飄動
flutters	飄動
fluttery	飄逸的
fluty	弗魯蒂
fluvial	河
fluviatile	河
flux	通量
fluxed	融化
fluxes	通量
fluxgate	磁通門
fluxgates	磁通門
fluxing	助熔
fluxion	流動
fluxional	流形的
fluxions	流數
fluyt	長笛
fluyts	弗呂茨
fly	飛
flyable	可飛行
flyaway	飛走
flyaways	飛行
flybelt	飛行腰帶
flybelts	飛行安全帶
