de	of
derrotados	defeated
cerrojos	locks
sombras	shades
sembrado	sown
saliendo	leaving
relieve	relief
recogió	picked up
leer	read
hileras	rows
habrán	there will be
estábamos	we were
vana	vain
reciba	receive
quieran	want
quemaron	burned
pedí	I asked
novillos	steers
heridos	wounded
colocaron	placed
agrado	pleasure
reconocieron	They recognized
pozos	wells
cubrir	cover
cuartos	rooms
bebieron	they drank
anduvo	walked
tocaban	They played
representan	represent
integridad	integrity
bendeciré	I will bless
presentan	present
pongas	you put
podéis	you can
necesitados	needy
flecha	arrow
capaces	capable
bóset	bosheth
verse	to see
preciosa	lovely
juzgue	judge
hagamos	let's do
ganancias	earnings
esclavas	slaves
cuerda	rope
correcto	correct
Jedutún	Jedutun
Jeconías	Jeconiah
lagar	winery
intérpretes	interpreters
golpes	blows
compró	bought
cojos	lame
buscado	sought
traen	bring
profética	prophetic
paralelos	parallels
levante	Levant
ilusión	delusion
escudero	squire
camilla	stretcher
andado	walked
quieras	you want
oirán	will hear
impuesto	tax
habitada	inhabited
cortar	cut
cisterna	tank
bajaba	went down
Finees	Phinehas
Elcaná	Elkanah
sacaré	I will take out
repartió	distributed
productos	products
pasen	come in
expresa	expresses
chacales	jackals
celoso	jealous
vasijas	vessels
responderé	I will answer
prepararon	prepared
prepara	prepare
oren	pray
maridos	husbands
libraré	I will deliver
impiedad	impiety
ferezeos	Perizzites
estuvieran	were
contraste	contrast
súplicas	pleading
rumbo	course
ofreciendo	offering
famoso	famous
especiales	specials
cumpliré	I will fulfill
convierta	convert
tranquila	peaceful
saduceos	Sadducees
reprensión	rebuke
nace	is born
formar	form
dieran	gave
veintisiete	twenty seven
salvos	saved
recoge	collect
plantó	planted
magistrados	magistrates
llevaran	will take
hoyo	hole
ciertos	some
asombrados	amazed
traducirse	translate
reconstruir	rebuild
linaje	lineage
jubileo	jubilee
escapó	escaped
describe	describes
descender	descend
Félix	Felix
vejez	old age
reúne	gathers
permiso	permission
necesita	needs
emplea	employs
busquen	search
bondadoso	kind
asesinato	murder
adoración	worship
abrieron	They opened
Tomás	Thomas
vuelvas	you come back
umbral	threshold
prisionero	prisoner
mercaderes	merchants
martillo	hammer
lazos	ties
justas	fair
cristiano	Christian
burlan	they mock
azotes	spanking
aborrecen	abhor
trueno	thunder
salvaré	I will save
notas	grades
molino	windmill
estabas	you were
destruirlos	destroy them
darme	give me
Sihón	Sihon
Cornelio	Cornelius
pasajes	passages
militares	military
marfil	ivory
expulsar	expel
cabritos	kids
túnicas	tunics
teman	fear
sientan	feel
público	public
pronunció	pronounced
pidan	ask for
necesitan	need
Andrés	Andrew
Abrán	Abram
 Ts	 Ts
vecino	neighbor
participar	participate
camina	walk
beberán	will drink
aromático	aromatic
alegran	cheer up
vine	I came
tronos	thrones
torno	lathe
pudieran	could
podréis	you will be able to
obstante	However
conquistar	conquer
comía	ate
aplica	apply
sálvame	save me
procedía	came from
pierda	lose
dichos	sayings
cuesta	costs
besó	kiss
Elá	Ela
semejanza	likeness
rebelado	rebelled
presentarán	will present
habías	you had
gigantes	giants
fuese	was
entraba	I entered
buscaron	They searched
bolsa	bag
tranquilos	calm down
temer	fear
sacerdotal	priestly
reconoció	recognized
humillados	humiliated
hacha	axe
dirigieron	directed
concibió	conceived
cerro	hill
centurión	centurion
celebración	celebration
amonita	ammonite
soborno	bribery
sabrá	will know
madrugada	early morning
lamentos	laments
guardó	saved
echarán	will throw
Asera	Asherah
perdone	Excuse me
necesidades	needs
matando	killing
matan	kill
llenarán	will fill
instrumento	instrument
escribir	write
corresponden	correspond
buscaban	were looking for
ſino	but
pesado	heavy
oficio	job
marineros	Sailors
idioma	language
habitarán	will inhabit
gradas	stands
eternamente	eternally
dormido	asleep
disfrutar	enjoy
destruidas	destroyed
decimos	we say
cumpliendo	fulfilling
aquél	that
Meguido	Megiddo
pasaban	They were passing by
misericordioso	merciful
líbrame	deliver me
duró	hard
cierra	closes
angustiado	anguished
éramos	we were
recorrer	travel
quedarás	you will remain
permanecer	stay
juyzio	trial
humillación	humiliation
cruzaron	crossed
benjaminitas	benjaminites
afligidos	afflicted
Hor	Hour
tocaba	played
presentado	presented
lazo	ribbon
inmoralidad	immorality
existir	exist
desiertos	deserts
derrama	spills
consideración	consideration
cerró	hill
castigó	punishment
aptos	suitable
ambas	both
Tesalónica	Thessaloniki
Cus	Cush
ruegos	prayers
ritos	rites
retiró	withdrawal
quédate	stay
habitaba	lived
formado	formed
echaré	I will throw
dignos	worthy
consumió	consumed
clama	cry out
Omrí	Omri
Netanías	Netaniah
vives	you live
sabido	known
peligros	dangers
montones	lots
funcionario	official
exterminio	extermination
exercitos	armies
dijeran	they said
buscó	look for
proféticos	prophetic
preparados	prepared
desprecian	despise
despojos	remains
dedicación	dedication
debaxo	below
callado	reserved
beba	drink
Zebedeo	Zebedee
trabajando	working
presenten	present
formaban	formed
escapado	escaped
engañe	deceive
derramada	spilled
dejaba	left
cerrado	closed
rebeldía	rebellion
compromiso	commitment
antemano	beforehand
ocurrió	occurred
llevada	carried
inmunda	unclean
fiebre	fever
déjame	let me
ásperas	rough
ternero	calf
servidumbre	servitude
sera	will be
santificado	sanctified
rebeliones	rebellions
protector	protective
lamento	lament
haría	would do
Simei	Shimei
Jesúa	Jeshua
tentación	temptation
soberbios	proud
rogaron	they begged
reprendió	reprimanded
recogido	collected
públicamente	publicly
boda	wedding
bajado	lowered
trate	try
roto	broken
romanos	Romans
pestilencia	pestilence
cubrían	covered
comandantes	commanders
ayude	help
asnas	donkeys
tropiezo	stumbling block
sabrás	you will know
rodea	surrounds
ofrezcan	offer
llamo	called
invocan	invoke
hígado	liver
escribe	writes
enviaste	you sent
enferma	sick
contexto	context
bautizado	baptized
acabarán	will end
Gedalías	Gedaliah
volverse	become
trayendo	bringing
reconozcan	recognize
perecerán	will perish
levantan	they raise
honradez	honesty
dejarás	you will leave
combatir	combat
artesanos	artisans
amargamente	bitterly
alejado	remote
himno	hymn
foso	pit
compra	buys
ardor	burning
Jafet	Japheth
Dedán	Dedan
torbellino	whirlwind
querer	want
malvada	evil
llover	rain
islas	islands
embajadores	ambassadors
dispuso	arranged
castigarlos	punish them
astros	stars
andando	walking
advirtió	warned
Acaya	Achaea
honran	honor
conseguir	get
alegró	rejoiced
afirmó	He stated
acompañaba	accompanied
seguirán	will continue
rechaza	rejects
pascua	Passover
llamando	calling
expertos	experts
creo	believe
agradar	please
vió	saw
querubín	cherub
golpeó	hit
declaración	statement
deber	duty
Sebá	Seba
Berseba	Beersheba
perdonó	forgave
pagano	pagan
manifiesto	manifest
habido	there was
cubrirá	will cover
conozcan	get to know
atiende	attend
atacan	attack
tribulación	tribulation
tiemblan	tremble
rogamos	We beg
propuso	proposed
extenderá	will extend
entregue	deliver
doncellas	maidens
busco	look for
aueys	oueys
Jedaías	Jedaiah
tuvieran	had
termina	ends
reprende	reprimands
plenamente	fully
pedradas	stones
miseria	misery
hembra	female
costados	sides
cargas	loads
Sedecías	Zedekiah
Balán	Balan
rama	branch
propiedades	properties
moradas	abodes
llamará	will call
indignación	indignation
emboscada	ambush
desnuda	naked
dejé	I left
damos	we give
conoció	met
salve	Hail
oprimido	oppressed
deportados	deported
apartarse	to move away
separado	separate
recordar	remember
llenan	fill
habitará	will inhabit
estatura	stature
deuda	debt
desobediencia	disobedience
borrachos	drunks
anuncian	announce
Chipre	Cyprus
rociará	will spray
postraron	prostrated
patriarcales	patriarchal
obligado	obliged
culpas	blame
alegrará	will cheer up
vistió	dressed
triunfo	triumph
traiga	bring
rubenitas	Reubenites
predicar	preach
medianoche	midnight
embió	sent
desechado	Discarded
cautivo	captive
carreta	cart
aparecen	appear
alcanzará	will reach
vírgenes	virgins
travesaños	crossbars
norma	rule
faltas	faults
eternidad	eternity
estés	you are
determinado	certain
comunicó	communicated
buscarán	will search
ayudado	helped
amenaza	threat
actividad	activity
Gersón	Gershon
trabajan	They work
lloran	They cry
hacienda	tax authorities
gritaba	He was screaming
examinará	will examine
convirtieron	became
cinto	belt
asirio	Assyrian
alcanzado	reached
Remalías	Remalia
violento	violent
tramo	stretch
perfectos	perfect
pagado	paid
opinión	opinion
llegaban	They arrived
esperaban	They were waiting
desaparecer	disappear
conocieron	they met
conduce	drive
celebraron	celebrated
recibirlo	receive it
pedazo	piece
mugeres	women
incluyendo	including
habite	inhabit
equivale	is equivalent
doscientas	two hundred
conocían	they knew
proclama	proclamation
permanezca	stay
parar	stall
lloraba	I was crying
intestinos	bowels
diecisiete	seventeen
calidad	quality
alaba	praise
ala	to the
veynte	twenty
sufren	suffer
siervas	servants
reservado	reserved
parecían	They seemed
elegidos	chosen
conocida	known
caras	faces
ataca	attacks
Sijón	Sijon
yendo	going
sacerdotales	priestly
regresa	returns
queman	burn
miren	look
finas	fine
esperamos	We hope
durmiendo	sleeping
diario	diary
contiene	contains
Sofonías	Zephaniah
tenia	had
referencias	References
profundas	deep
moriremos	we will die
esfuerzo	effort
auxilio	help
asiento	seat
anduvieron	they walked
tonto	silly
resultó	It turned out
quedara	will remain
profético	prophetic
preciso	accurate
gravemente	seriously
generosidad	generosity
eſpiritu	spirit
disciplina	discipline
cerros	hills
actuado	acted
sirviente	servant
quejas	Complaints
queja	complaint
perdición	perdition
kilómetros	kilometers
guardas	guards
funciones	functions
corre	runs
convierte	converts
condujo	led
calma	calm
mio	mine
entres	between
derramará	will pour out
breve	brief
Dibón	Dibon
sentarse	feel
reinará	will reign
pecando	sinning
partida	departure
mataran	They will kill
manifestado	manifested
escritura	writing
durará	will last
atentos	attentive
rodeaban	surrounded
religiosa	religious
pescado	fish
paladar	palate
oprimidos	oppressed
cariño	dear
alabo	I praise
Iscariote	Iscariot
prometí	I promised
practica	practice
mantenerse	keep
injusto	unfair
escape	exhaust
elque	the fact that
consejero	counselor
consagró	consecrated
consagrar	consecrate
conjunto	set
brota	sprouts
banquetes	banquets
Selá	Sela
veas	you see
temáis	you fear
registro	record
pájaros	birds
lejanos	distant
lejano	far
intereses	interests
enterarse	find out
digna	worthy
burros	donkeys
brillante	bright
Otoniel	Othniel
trataron	They tried
reconstruyó	rebuilt
pusiera	put
plazo	term
maravillosas	wonderful
insensato	senseless
herirá	will hurt
engaña	cheats
crece	grows
azotea	rooftop
tomes	take
restos	remains
quemarán	will burn
provoca	causes
primavera	spring
preocupa	worries
obreros	workers
fina	fine
encendidas	lit
causado	caused
Sefatías	Shephatiah
zarza	bramble
usado	used
temblor	shaking
silla	chair
pecó	sinned
inútiles	useless
higueras	fig trees
demostrar	demonstrate
cabecera	head
abandonar	abandon
vivirás	you will live
secos	dried
regocijo	joy
rayos	good heavens
posiblemente	likely
ouejas	sheep
logró	achievement
levantándose	getting up
levantaba	I was raising
hallaba	found
díjole	He told him
conceda	grant
beban	drink
alcanzó	reached
adivinación	guessing
Benaía	Benaiah
volvían	They returned
textos	texts
peque	small
negado	denied
levanten	lift up
hablas	speak
gabaonitas	Gibeonites
convocó	summoned
consecuencia	consequence
cojo	lame
basta	Enough
asna	donkey
Balaán	Balaam
veneno	poison
profetizan	prophesy
predicación	preaching
perecerá	will perish
mantos	cloaks
llagas	sores
lavado	washing
fuisteis	you were
falte	missing
engendrado	engendered
encargó	charge
descendía	descended
casada	married
bebiendo	drinking
abandonada	abandoned
recta	straight
recipiente	bowl
profundidades	depths
pila	stack
permita	allow
numerosas	numerous
mencionado	mentioned
jura	swears
huyan	run away
hisopo	hyssop
haberlo	to have it
gobernó	ruled
frondoso	leafy
devorará	will devour
corrientes	currents
arrastran	drag
Tirsá	Tirzah
Berequías	Berechiah
voluntariamente	voluntarily
soberano	sovereign
regresado	returned
opresores	oppressors
hables	you speak
desnudos	nudes
debéis	you must
blancos	whites
Pharaon	Pharaoh
Hilcías	Hilcias
éstas	are
vendió	sold
rapiña	rapine
producto	product
ocupar	occupy
hubiéramos	we would have
hiciere	I did
estómago	stomach
diente	tooth
cargados	loaded
Éber	Eber
vemos	we see
profecías	prophecies
pones	you put
patria	homeland
mezclado	mixed
manifiesta	manifests
desean	wish
camello	camel
Sadrac	Shadrach
Queilá	Queila
Mesac	Meshach
traigo	I bring
promete	promises
mención	mention
juzgados	courts
detuvieron	they stopped
cerrada	closed
caminando	walking
Goliat	Goliath
Astarté	Astarte
sobra	surplus
inmundicia	filth
cachorros	puppies
Amasá	Knead
robar	steal
refieren	refer
practican	they practice
pensaban	They thought
irás	you will go
firmeza	firmness
diversos	various
distintas	different
anunciando	announcing
aflicciones	afflictions
acusación	accusation
Caifás	Caiaphas
subirá	will rise
pelearon	they fought
ofrezca	offer
hoz	sickle
duramente	harshly
despierta	wake up
depósitos	deposits
delantera	lead
adorando	worshiping
acabaron	They finished
traducida	translated
sincero	sincere
satisfecho	satisfied
prometiste	you promised
odres	wineskins
estima	esteem
divisiones	divisions
dejas	you leave
comas	commas
cercana	close
ayer	yesterday
abierta	open
poderío	power
esquina	corner
dividido	divided
canten	sing
blancas	white
bebió	drank
asedio	siege
Ioseph	Joseph
Efrón	Efron
Baasa	Baasha
sembrados	sown
reparar	fix
produjo	produced
palmas	palms
lloraron	they cried
levanté	Levant
juzgaré	I will judge
deberás	you must
comparar	compare
afilada	sharp
veré	I will see
tiembla	trembles
resucitar	resurrect
poseer	possess
olvidaron	They forgot
niegan	deny
hallar	find
fundido	molten
enciende	turn on
dueños	owners
contentos	happy
constante	constant
cambiado	changed
Libná	Libnah
tranquilidad	tranquillity
quite	Quit
prudencia	prudence
ofende	offends
maneras	ways
llegarán	They will arrive
gusanos	worms
guarden	keep
fundición	foundry
estacas	stakes
cría	breeding
consideran	consider
beben	they drink
apartará	will set aside
apartan	set aside
versículo	verse
tradiciones	traditions
quinientas	five hundred
proceder	proceed
pierden	lose
músico	musician
deudas	debts
declaro	I declare
conocemos	we know
Vulgata	Vulgate
Grecia	Greece
verdaderos	true
traía	brought
repugnantes	disgusting
reine	reign
puros	cigars
problema	problem
platillos	dishes
invitado	guest
entradas	entries
depende	depends
delos	of them
corrige	correct
cilicio	cilice
ô	either
transportar	transport
sintieron	they felt
sidonios	Sidonians
quebrantamiento	breaking down
matadero	slaughterhouse
marcharon	They marched
gobierne	govern
existencia	existence
candelero	candlestick
Aná	Ann
Acán	Achan
veréis	you will see
ritualmente	ritually
proclamado	proclaimed
persiguió	chased
mantuvo	kept
inmenso	immense
hablamos	talk later
granos	grain
entregados	delivered
cañas	white hair
asesinado	murdered
acampó	camped
visitarlos	visit them
romana	Roman
quemarse	burn
pureza	purity
llanuras	plains
consumidos	consumed
voluntarias	volunteers
tratando	treating
traerán	will bring
pedimos	We ask
fijado	fixed
enterrar	bury
designio	plan
darnos	give us
amenazas	threats
Hageo	Haggai
saberlo	know it
religiosos	religious
prostitutas	prostitutes
pertenecían	belonged
milagrosa	miraculous
enseñarles	teach them
dignidad	dignity
corría	I was running
cerco	siege
cargar	carry
atento	attentive
Josadac	Jozadak
undécimo	eleventh
soledad	loneliness
simplemente	simply
sebo	tallow
rescató	rescued
pediré	I will ask
malicia	malice
hambriento	hungry
esparcidos	scattered
cardos	thistles
asesinos	murderers
acusan	accuse
Maasías	Maaseiah
sostiene	holds
saco	sack
recibí	I received
ponerlo	put it
metieron	they put
madero	log
hilo	thread
hayáis	you have
escuadrones	squadrons
edificios	buildings
copia	copy
contacto	contact
arrodilló	knelt down
acordaré	I will remember
Aserá	Asherah
yerno	son-in-law
tumbas	graves
terminaron	They finished
quise	I wanted
prosperar	thrive
privado	private
pasiones	passions
mates	math
llorarán	They will cry
lectura	reading
habitas	you live
gobernaba	ruled
entregada	delivered
entenderse	be understood
compararse	compare
adoren	adore
abandona	abandon
Jotán	Jotan
proviene	comes from
ordene	order
modelo	model
mamá	mother
escondidos	hidden
entiendan	understand
encontré	I found
dirigía	directed
conveniente	convenient
usaban	They used
traje	suit
sacrificaron	they sacrificed
prestar	lend
ocasiones	occasions
exactamente	exactly
enfureció	enraged
delitos	crimes
degollará	will cut the throat
cubrirán	will cover
brecha	gap
alegrarán	will cheer up
Salún	Salun
torta	cake
tendremos	We will have
sucesor	successor
senderos	trails
puño	fist
mataré	I will kill
matarte	kill you
mande	send
llamarás	you will call
hermosos	beautiful
escuche	listen
encuentren	find
dixeron	They said
divorcio	divorce
despreciado	despised
ayudarlos	help them
alba	dawn
Sehón	Sihon
viniere	came
vender	sell
seguiré	I will continue
salvaje	wild
religiosas	religious
cumbres	summits
castigados	punished
Iudios	Jews
rincón	corner
repite	repeat
quatro	four
plantado	planted
pensaron	They thought
parió	gave birth
mandaré	I will send
hazia	did
directa	direct
despreciable	negligible
acuérdate	remember
violenta	violent
momentos	moments
hazañas	exploits
establecer	establish
echando	throwing
designado	appointed
cubiertos	covered
cronista	chronicler
creyendo	believing
colores	colors
chivos	goats
brillo	glow
abandonó	abandonment
Micaía	Micah
ſaber	to know
tendidos	lying down
sugiere	suggests
solos	alone
mora	blackberry
judías	beans
honrados	honest
honda	sling
engrandecido	enlarged
asignado	assigned
Hilquías	Hilkiah
Abdón	Abdon
tercos	Stubborn
mías	mine
habíamos	we had
garganta	throat
ganancia	revenue
forastero	stranger
exercito	army
estatuas	statues
argumentos	arguments
suele	usually
relatos	stories
redención	redemption
quedamos	we stayed
oraba	prayed
olivos	olive trees
motivos	reasons
medían	measured
marchita	withered
há	ha
expiatorio	expiatory
duodécimo	twelfth
considerados	considered
collados	hills
ciudadanos	citizens
cantaban	They sang
Selemías	Shelemiah
Ahimaas	Ahimaaz
volví	I returned
voluntaria	voluntary
unidad	unit
mirad	Behold
mencionados	mentioned
invasión	invasion
incluyen	include
hablarán	They will speak
generoso	generous
expulsó	expelled
arrancar	start up
venid	come
trajeran	they brought
permitir	allow
pasas	raisins
listo	ready
informaron	reported
hallará	will find
encomendado	entrusted
comunicar	communicate
claridad	clarity
atacará	will attack
telas	fabrics
sufrió	suffered
perdones	pardons
montado	mounted
menstruación	menstruation
insolente	insolent
huyen	They flee
exaltado	exalted
enseñas	you teach
cáliz	chalice
canastillo	basket
ſegun	according to
vinagre	vinegar
veintiocho	twenty eight
tiña	tub
sacrificar	sacrifice
sabréis	you will know
quemados	burned
pilares	pillars
persigue	pursues
maravilloso	marvelous
incensario	censer
gemidos	wailing
filistea	Philistine
esconderse	hide
distinguir	distinguish
cuadrado	square
cerrar	close
alza	rise
adornos	ornaments
Secanías	Drylands
Basá	Basa
quedé	I stayed
puestas	put on
piezas	parts
paganas	pagans
ollas	pans
oculta	hidden
muchísimo	lot
miraba	I looked
madres	mothers
guardaron	They kept
fortificada	fortified
desierta	deserted
defiende	defends
defender	defend
conspiración	conspiracy
confías	you trust
cansados	tired
aprendan	learn
Miqueas	Micah
Diſcipulos	Disciples
Baasá	Baasha
viniera	came
sellado	sealed
salvarse	save oneself
saetas	arrows
revista	magazine
respectivamente	respectively
ofreceréis	you will offer
muchedumbre	crowd
llora	cry
hueso	bone
hablarles	talk to them
entrego	I deliver
consumido	consumed
busque	search
beneficios	benefits
alegraron	they cheered up
abominables	abominable
sustento	livelihood
refrán	saying
malignos	malignant
llegué	I arrived
inocencia	innocence
hiere	hurts
estilo	style
escombros	debris
clamo	I cry out
borracho	drunk
Philistheos	Philistines
violentos	violent
tratarse	be treated
sentirse	feel
sanos	healthy
respóndeme	answer me
pensé	I thought
mencionan	mention
humilló	humiliated
hacerlos	make them
haberme	have me
faltan	missing
decirme	tell me
concede	grants
comí	I ate
causó	caused
cambia	change
adúltera	adulteress
acontecido	happened
Jabes	Jabez
salvarlos	save them
purificar	purify
propiciatorio	propitiatory
lanzaron	They launched
lamentación	lamentation
informó	reported
gratitud	gratitude
fundamento	basis
daréis	you will give
convertida	converted
condiciones	conditions
ató	tied
almacenes	warehouses
transgresiones	transgressions
tocando	playing
samaritanos	Samaritans
ribera	bank
queriendo	wanting
protegerá	will protect
miran	look
libertador	liberator
despojo	dispossession
crecido	grown
convertirse	become
consideraba	considered
conocimientos	knowledge
armadura	armor
antaño	yesteryear
adorado	adored
Hasabías	Hasabiah
Eliaquim	Eliakim
ſabiduria	wisdom
turbante	turban
suelta	release
repartieron	They distributed
plomo	lead
milagrosas	miraculous
juego	game
explicar	explain
existía	existed
entendieron	They understood
condenar	condemn
balanza	balance
administrador	administrator
IIII	III
vengador	avenger
sogas	ropes
sembró	sowed
respectivas	respective
reconocen	recognize
polilla	moth
peñas	rocks
pescadores	fishermen
horrible	awful
hazlo	do it
eſtan	are
cruzó	crossed
celebra	celebrate
castigos	punishments
arrogantes	arrogant
aromáticas	aromatic
tórtolas	turtle doves
romper	break
rescatado	rescued
puntos	points
ofrecían	They offered
numerosa	numerous
mortandad	mortality
misericordias	mercies
manifestó	stated
intachable	impeccable
hazme	make me
guardianes	Guardians
derribar	bring down
debilidad	weakness
verla	see her
unirse	join
sequía	drought
respetan	respect
redentor	redeemer
placer	pleasure
heredarán	will inherit
directamente	directly
devora	devours
designios	designs
dejara	I would leave
confirmado	confirmed
cante	sing
bebido	drunk
avaricia	avarice
arrancaré	I will start
abandonan	abandon
unió	joined
significar	mean
profetisa	prophetess
orejas	ears
olvido	forgot
olvida	forget
mosto	must
mies	harvest
marchar	march
habrás	you will have
flauta	flute
edifica	builds
derramaré	I will pour out
criatura	creature
aparezca	appear
Ahicam	Ahikam
trilla	threshing
subiendo	going up
rechazaron	rejected
prendieron	they lit up
enfrentarse	face
egipcia	Egyptian
destruirla	destroy it
creciendo	growing
clases	classes
Enoc	Enoch
Abisay	Abishai
servicios	services
ofensa	offense
filas	rows
extranjera	foreigner
ej	eg
dividió	divided
diligencia	diligence
cuestión	question
burlaban	they mocked
Elón	Elon
Afec	Affect
vosotras	you
toquen	touch
tembló	trembled
profetizar	prophesy
portado	ported
perseguidores	persecutors
perdidos	lost
musicales	musicals
jebuseo	Jebusite
hacernos	make us
gobernará	will govern
gesto	gesture
escondidas	hidden
demostrado	proven
cõtra	against
construyeron	They built
beneficio	benefit
basura	trash
acompañaron	accompanied
acercan	approach
Aquis	Here
toman	take
termino	term
salmista	psalmist
rectamente	uprightly
inmundos	unclean
furioso	furious
escuché	listen
devolvió	returned
denuncia	complaint
deella	of her
criada	maid
cargos	charges
Vasti	Vashti
venció	expired
temible	fearsome
sufriendo	suffering
sopla	blow
posterior	later
persa	Persian
peccados	sins
partido	game
nazareo	Nazarite
medos	Medes
gritan	they shout
escogí	I chose
decidieron	They decided
citado	aforementioned
rodeaba	surrounded
reparó	repair
quedaré	I will stay
pulgar	thumb
pesa	weight
lloro	cry
faltó	short
extendidas	extended
explorar	explore
edicto	edict
desolado	bleak
declarar	declare
cortada	cut
bendigan	bless
antigüedad	antique
acusaciones	accusations
Ornán	Ornan
sujeto	subject
señora	lady
sepas	you know
proverbio	proverb
olviden	forget
metido	put in
maldice	curses
guarida	den
eunuco	eunuch
enseñe	teach
enojar	anger
desterrado	exiled
descendido	descended
convencido	convinced
concilio	council
ajena	alien
Filipos	Philippi
persas	Persians
matarlos	kill them
locos	crazy
lloren	cry
llevo	he took
constructores	builders
carrera	career
arrojados	thrown
apoderaron	seized
alimenta	feeds
Timná	Timna
Guézer	Gezer
Abiam	Abijam
rompe	breaks
peores	worst
ofensas	Offenses
letras	letters
justificado	justified
hà	ha
hallaban	they found
creemos	We believe
colgado	hanging
basa	base
astucia	cunning
aparecer	appear
acudieron	They came
vendían	They were selling
tribunales	courts
simples	simple
sexta	sixth
revela	reveals
regresen	come back
líder	leader
convertirán	will become
cima	top
alabarán	will praise
agarró	grab
Sobá	Soba
Sarón	Sharon
Onán	Onan
Arfaxad	Arphaxad
vencer	beat
veis	you see
trescientas	three hundred
tengamos	let's have
labor	work
escoja	choose
copero	cupbearer
conviertan	convert
Necao	Neco
Meribá	Meribah
Maaseías	Maaseiah
vayamos	let's go
sentada	sitting
roció	dew
reinaba	reigned
quedes	you stay
postreros	last
observa	observe
mezcla	mix
llanos	plains
incluía	included
forman	form
endemoniado	demoniac
ejercer	exercise
cánticos	chants
asolada	devastated
arqueros	archers
ardiendo	ablaze
Zebadías	Zebadiah
Datán	Dathan
solemnemente	solemnly
sentía	I felt
sentará	will sit
provocando	causing
peleó	fought
noroeste	northwest
inmensa	immense
hizieron	they did
duerme	sleep
confirma	confirms
abandones	abandon
Betsaida	Bethsaida
Aquís	Aquiz
vendré	I will come
vencedor	victor
sirviendo	serving
rescatar	rescue
probar	prove
mandará	will command
llene	fill
llegues	you arrive
huirán	They will flee
exhortación	exhortation
esposos	husbands
elegí	I chose
dignatarios	dignitaries
dale	come on
conel	withel
adoraban	They worshipped
Igleſia	Church
vigilancia	surveillance
tendió	he laid out
rueda	wheel
quãdo	what
pronunciar	pronounce
herederos	heirs
gacela	gazelle
extrañas	strange
escribí	I wrote
derramaron	they spilled
delãte	give away
alegren	cheer up
tareas	tasks
suplicó	begged
superiores	superiors
saluda	say hello
racimos	bunches
perversidad	perversity
maldecir	curse
interpretar	interpret
informe	report
flautas	flutes
dadas	given
bebidas	drinks
banda	band
arde	burns
anunciamos	We announce
acusador	accuser
Jazael	Hazael
Jabín	Jabin
traducen	translate
socorro	relief
simbólico	symbolic
simbólica	symbolic
puñado	handful
pueſto	position
preocupado	concerned
llevarás	you will take
insensatos	foolish
inscritos	registered
habiten	inhabit
firmemente	firmly
cuidando	caring
comenzar	begin
arder	burn
apoderado	proxy
aparten	set aside
alcanza	reaches
Mesulán	Mesulan
Mefi	Mephi
Baní	Bani
vuo	See you
vendieron	They sold
ved	see
recogen	collect
pides	you ask
perlas	pearls
ordenanza	ordinance
mercancías	goods
llevarse	take away
jinete	rider
falsa	false
destinados	destined
desgracias	misfortunes
desconocido	a stranger
demuestra	demonstrates
circunstancias	circumstances
cerviz	cervix
celebrarán	will celebrate
arrojaron	they threw
alabado	praised
Zérah	Zerah
vieja	old
vengas	you come
supuesto	supposed
respondido	answered
reservada	reserved
manifieste	manifest
eliminado	deleted
distrito	district
destruí	I destroyed
continuar	continue
considerada	considered
comenzaba	began
cambie	change
aprendido	learned
acusado	accused
Etán	Ethan
zafiro	sapphire
vendimia	vintage
usaba	used
suave	gentle
salí	I left
responda	respond
religioso	religious
reconocido	recognized
quitarán	will remove
lobos	wolves
limosna	alms
jardines	grounds
huertos	orchards
distinción	distinction
desobedientes	disobedient
demanda	demand
construye	build
canastas	baskets
alejó	moved away
adad	dad
acercándose	approaching
Belsasar	Belshazzar
usan	They use
sigo	I continue
saludó	greeting
resucitará	will resurrect
pelea	fight
llevarlo	take it
escribieron	They wrote
elegir	choose
veloces	fast
ridículo	ridiculous
reyno	kingdom
pusieran	put
perdió	lost
ofrecidos	offered
mirará	will look
heredar	inherit
decisiones	decisions
consuela	consoles
conquistado	conquered
comenzando	starting
capataces	foremen
acerquen	come closer
Gueba	Geba
vuélvete	turn around
tomarla	take it
talento	talent
sellos	stamps
respondía	I responded
pesada	heavy
pertenencias	belongings
manchas	stains
hubieras	you would have
gozar	enjoy
dixole	said
desaparecerán	will disappear
contenido	content
consideraban	They considered
calendario	calendar
bocado	bite
acordaron	They agreed
acompañe	accompany
Padán	Padan
Menfis	Memphis
valentía	courage
traducido	translated
súbditos	subjects
sujetos	subjects
sordo	deaf
permanecen	remain
obedecerme	obey me
nordeste	northeast
incensarios	incense burners
horón	horon
ganó	won
explica	explains
estaca	stake
envolvió	wrapped
edificación	edification
densa	dense
curso	course
conocéis	you know
atentamente	sincerely
aprender	learn
traten	try
tocará	will touch
secado	drying
miraban	They looked
lanzan	they throw
escuchad	listen
echados	thrown out
centinelas	sentinels
brilla	shines
Timnat	Timnath
Astarot	Ashtaroth
ése	that
victorioso	victorious
subían	were going up
servirle	serve you
sembrador	sower
reúnan	gather
porciones	portions
poderosas	powerful
oían	they heard
oydo	heard
mantienen	maintain
ignorancia	ignorance
enojaron	they got angry
cuestiones	issues
Nerías	Nerias
