্নানি	Grandma	naani
সাহেবার	Sahibar	saahebaar
সাহেবাকে	To the lady	saahebaake
সাহেবা	Madam	saahebaa
সাহিত্যে	In literature	saahitye
সাহিত্য	Literature	saahity
সাহার	Sahara	saahaar
সাহায্য্য	Helpful	saahaayyy
সাহায্যের	Help	saahaayyer
সাহায্যেই	With the help of	saahaayyei
সাহায্যে।	With help.	saahaayye / 
সাহায্যে	With the help	saahaayye
সাহায্যার্থে	For help	saahaayyaarthe
সাহায্যর	Help	saahaayyr
সাহায্যপ্রাপ্ত	Helped	saahaayypraapt
সাহায্যদানে	In giving help	saahaayydaane
সাহায্যতে	To help	saahaayyte
সাহায্যকারীরাও	Helpers too	saahaayykaariiraao
সাহায্যকারীরা	Helpers	saahaayykaariiraa
সাহায্যকারীর	Helper	saahaayykaariir
সাহায্যকারীদের	Helpers	saahaayykaariider
সাহায্যকারীকে	To the helper	saahaayykaariike
সাহায্যকারীও	Helper too	saahaayykaariio
সাহায্যকারীই	The helper	saahaayykaariii
সাহায্যকারী।	Helper.	saahaayykaarii / 
সাহায্যকারী	Helper	saahaayykaarii
সাহায্যও	Help too	saahaayyo
সাহায্যই	Help.	saahaayyi
সাহায্য।	Help.	saahaayy / 
সাহায্য	Help	saahaayy
সাহাবীরাও	The companions also	saahaabiiraao
সাহাবীরাই	The companions	saahaabiiraai
সাহাবীরা	Companions	saahaabiiraa
সাহাবীর	Companions	saahaabiir
সাহাবীদেরকেও	The companions too	saahaabiiderkeo
সাহাবীদেরকে	To the companions	saahaabiiderke
সাহাবীদের	Companions	saahaabiider
সাহাবীটি	The companion	saahaabiitti
সাহাবীকে	To the companion	saahaabiike
সাহাবীই	The Companions	saahaabiii
সাহাবী।	Companions.	saahaabii / 
সাহাবী	Companion	saahaabii
সাহান।	Sahan.	saahaan / 
সাহা	Saha	saahaa
সাহসের	Of courage	saahser
সাহসে	With courage	saahse
সাহসী।	Brave.	saahsii / 
সাহসী	Brave	saahsii
সাহসিকের	Adventure	saahsiker
সাহসিকতার	Bravery	saahsiktaar
সাহসিকচিত্ত	Brave	saahsikcitt
সাহসিক।	Brave.	saahsik / 
সাহসিক	Adventure	saahsik
সাহসযুক্ত	Courageous	saahsyukt
সাহসভরে	Bravely	saahsbhre
সাহসপূর্ব্বক	Bravely	saahspuurbbk
সাহসপূর্বক	Bravely	saahspuurbk
সাহসকে	Courage	saahske
সাহসও	Courage too	saahso
সাহস।	Courage.	saahs / 
সাহস	Courage	saahs
সাহয্যে	With help	saahyye
সাহয্য	Help	saahyy
সাহদূথা	Sahdutha	saahduuthaa
সাহদূখা	Sadness	saahduukhaa
সাহদুথা	Sahaduta	saahduthaa
সাহচর্যে	In company	saahcrye
সাহচর্য	Companionship	saahcry
সাহঙ্কার	Pride	saahngkaar
সাহংকার	Pride	saahNkaar
সাস্ত্রের	Weapon	saastrer
সাংসারিক	Family	saaNsaarik
সাসা।	Sasa.	saasaa / 
সাসনাধীন।	Under the government.	saasnaadhiin / 
সাসকদের	Rulers	saaskder
সাষ্টাঙ্গে	Prostrate	saassttaangge
সাশ্বত	Eternal	saashbt
সাশুড়ী	Mother-in-law	saashurrii
সাল্‌মোনের	Salmon	saalmeaaner
সাল্‌মোন।	Salmon.	saalmeaan / 
সাল্‌মোন	Salmon	saalmeaan
সাল্‌মু্ন্না	Salmon	saalmunnaa
সাল্‌মুন্নাকে	To Zalmunna	saalmunnaake
সাল্‌মুন্না	Salmona	saalmunnaa
সালোমীতে	In Salome	saalomiite
সালোফের	Salofer	saalopher
সালে	In	saale
সালূর	Salur	saaluur
সালুর	Salur	saalur
সালীনতা	Salinity	saaliintaa
সালিশীর	Arbitrator	saalishiir
সালিশীয়া	Arbitration	saalishiiyyaa
সালিশী	Arbitration	saalishii
সালিশ	Arbitration	saalish
সালার	Salar	saalaar
সালামের	Salam	saalaamer
সালামীতে	In salami	saalaamiite
সালামতে	Hello.	saalaamte
সালামও	Salam too	saalaamo
সালাম	Salam	saalaam
সালা	Sala	saalaa
সালরের	Saler's	saalrer
সালমোনী	Salmon	saalmeaanii
সালমোনাহ্	Salmona	saalmeaanaah
সালমোনাহতে	In Salmoneth	saalmeaanaahte
সালমোন	Salmon	saalmeaan
সালমুন্নার	Salmonella	saalmunnaar
সালমুন্নাকে	To Salmona	saalmunnaake
সালমুন্না	Salmona	saalmunnaa
সালফের	Sulfur	saalpher
সালকে	Salke	saalke
সাল।	Year.	saal / 
সার্বিকভাবে	Overall	saarbikbhaabe
সার্বিক	Overall	saarbik
সার্বভৌমত্ব	Sovereignty	saarbbhaumtb
সার্বভৌম	Sovereign	saarbbhaum
সার্বজনীনভাবে	Universally	saarbjniinbhaabe
সার্বজনীন	Universal	saarbjniin
সার্দ্দীয়	Sardis	saarddiiy'
সার্দ্দিীয়	Sardis	saarddiiiy'
সার্দ্দিস্থ	Sardistha	saarddisth
সার্দ্দিতে	In Sardis	saarddite
সার্দ্দি	Sardis	saarddi
সার্দীয়মণির	Sardonyx	saardiiyymnnir
সার্দীয়মণি	Sardonyx	saardiiyymnni
সার্দীয়	Sardinian	saardiiyy
সার্দিস্থ	In Sardis	saardisth
সার্দিসের	Sardis	saardiser
সার্দিসে	In Sardis	saardise
সার্দিস	Sardis	saardis
সার্দিশ	Sardis	saardish
সার্দির	Sardis	saardir
সার্দিতে	In Sardis	saardite
সার্দি	Sardi	saardi
সার্থকভাবে	Effectively	saarthkbhaabe
সার্থকতা	Meaningfulness	saarthktaa
সার্থক।	Successful.	saarthk / 
সার্থক	Successful	saarthk
সার্জিয়াস	Sergius	saarjiyyaas
সার্গোন	Sargon	saargon
সার্ক্স	Circus	saarks
সারের	Fertilizer	saarer
সারেন	Saren	saaren
সারেথানের	Sarethon	saarethaaner
সারেৎসার	Saretsar	saaresaar
সারেং	Sarong	saareN
সারে	Surrey	saare
সারূজের	Saruj's	saaruujer
সারূজ	Saruj	saaruuj
সারুক।	Saruk.	saaruk / 
সারীর	Saree	saariir
সারীদ	Sarid	saariid
সারীকে	To Saree	saariike
সারী	Saree	saarii
সারিলেন।	Sarilen.	saarilen / 
সারির	Row	saarir
সারিয়ে	Correctly	saariyye
সারিয়া	Saria	saariyyaa
সারিবেন	Sariben	saariben
সারিবার	Several times	saaribaar
সারিবদ্ধভাবে	In a row	saaribddhbhaabe
সারিবদ্ধ	Lined up	saaribddh
সারিফৎ	Sarifat	saariph
সারিফতের	Zarephath	saariphter
সারিফতে	In Sarifate	saariphte
সারিফত	Sarifat	saaripht
সারিতেছেন	In line	saaritechen
সারিতেছিলেন।	He was in line.	saaritechilen / 
সারিতেছ	In a row	saaritech
সারিতে	In line	saarite
সারি।	Row.	saari / 
সারি	Row	saari
সারাংশ।	Summary.	saaraaNsh / 
সারাংশ	Summary	saaraaNsh
সারালেন।	He healed.	saaraalen / 
সারালেন	Saralen	saaraalen
সারাল	Saral	saaraal
সারারাত্রি	All night long	saaraaraatri
সারারাত	All night	saaraaraat
সারারও	Sarah too	saaraaro
সারার	Sarah	saaraar
সারায়িম	Saraiim	saaraayyim
সারায়	Sarai	saaraayy
সারাবেন	Saraben	saaraaben
সারাবে	Will fix	saaraabe
সারাবার	Sarabar	saaraabaar
সারানো	Repair	saaraaneaa
সারাদেশে	Across the country	saaraadeshe
সারাদিনে	All day long	saaraadine
সারাদিনই	All day long	saaraadini
সারাদিন	All day	saaraadin
সারাতে	To heal	saaraate
সারাটি	Sarati	saaraatti
সারাটা	All of it	saaraattaa
সারাজীবনের	Lifelong	saaraajiibner
সারাজীবনে	Throughout life	saaraajiibne
সারাজীবন	All life	saaraajiibn
সারাজিবনের	Lifelong	saaraajibner
সারাজিবন	Sarajevo	saaraajibn
সারাচ্ছিলেন।	He was fixing it.	saaraacchilen / 
সারাক্ষণ	All the time	saaraakssnn
সারাকেও	Sarah too	saaraakeo
সারাকে	To Sarah	saaraake
সারাও।	Sara.	saaraao / 
সারাও	Sarao	saaraao
সারাইলেন।	He fixed it.	saaraailen / 
সারাইয়ের	Repair	saaraaiy'er
সারাইয়া	Saraiya	saaraaiyyaa
সারাইবে	Will fix it.	saaraaibe
সারাইবার	Repair	saaraaibaar
সারাইতে	To repair	saaraaite
সারাই	Repair	saaraai
সারা।	Sarah.	saaraa / 
সারা	Sarah	saaraa
সারহ।	Sarah.	saarh / 
সারস্বরূপ	In essence	saarsbruup
সারসের	Crane	saarser
সারসংক্ষেপ	Summary	saarsNkssep
সারসও	Stork too	saarso
সারস	Stork	saars
সারল্যের	Simplicity	saarlyer
সারলেন।	Done.	saarlen / 
সাররের	Sarr's	saarrer
সারযুক্ত	Fertilized	saaryukt
সারমেয়কুল	Sarmeykul	saarmeyykul
সারমর্ম্ম।	The essence.	saarmrmm / 
সারমর্মের	Of essence	saarmrmer
সারমর্ম।	Summary.	saarmrm / 
সারমর্ম	Summary	saarmrm
সারবে	Will do.	saarbe
সারবার	Server	saarbaar
সারবত্তা	Essence	saarbttaa
সারফ	Surf	saarph
সারদ্বারের	Sardar's	saardbaarer
সারদ্বার	Sardwara	saardbaar
সারথী	Chariot	saarthii
সারথিবৃন্দকে	To the charioteers	saarthibRndke
সারথিবৃন্দ	Charioteers	saarthibRnd
সারথিকে	To the charioteer	saarthike
সারতনের	Summer	saartner
সারঢিবির	Sardhibir	saarddhibir
সারছিলেন।	He was healing.	saarchilen / 
সারগর্ভ	Substantive	saargrbh
সারগন	Sargon	saargn
সারকুড়ের	Sarkur	saarkurrer
সারকথা	Summary	saarkthaa
সার।	Fertilizer.	saar / 
সার	Fertilizer	saar
সায়ীরের	Sayir's	saayyiirer
সায়ীরে	In Saire	saay'iire
সায়াহ্নবেলায়	In the evening	saayyaahnbelaayy
সায়রে।	Sayre.	saayyre / 
সায়ংকালের	Evening	saayyNkaaler
সায়ংকালেও	Even in the evening	saayyNkaaleo
সায়ংকালে	In the evening	saayyNkaale
সায়ংকালীন	Evening	saayyNkaaliin
সায়ংকাল	Evening	saayyNkaal
সায়ও	Sayo	saayyo
সায়	Sai	saay'
সাম্রাজ্যের	Empire	saamraajyer
সাম্রাজ্যে	In the empire	saamraajye
সাম্রাজ্যটির	The empire	saamraajyttir
সাম্রাজ্যগুলির	Empires	saamraajygulir
সাম্রাজ্যকে	To the empire	saamraajyke
সাম্রাজ্যও	Empire too	saamraajyo
সাম্রাজ্য।	Empire.	saamraajy / 
সাম্রাজ্য	Empire	saamraajy
সাম্যভাবের	Equality	saamybhaaber
সাম্যভাব	Equality	saamybhaab
সাম্যতার	Equality	saamytaar
সাম্য	Equality	saamy
সাম্মুখে	In front of	saammukhe
সাম্প্রতিক	Recent	saamprtik
সামোথ্রাসে।	On Samothrace.	saameaathraase / 
সামেরের	Sameer's	saamerer
সামেরীয়েরা	Samaritans	saameriiyyeraa
সামেরীয়ের	Samaritan	saameriiyyer
সামেরীয়রা	Samaritans	saameriiyyraa
সামেরীয়দের	Samaritans	saameriiyyder
সামেরীয়।	Samaritan.	saameriiyy / 
সামেরীয়	Samaritan	saameriiyy
সামেরিয়েরা	Samaritans	saameriyyeraa
সামেরিয়ার	Samaria	saameriyyaar
সামেরিয়ায়	In Samaria	saameriyyaayy
সামেরিয়াতে	In Samaria	saameriyyaate
সামেরিয়াকে	To Samaria	saameriyyaake
সামেরিয়াই	Samaria	saameriyyaai
সামেরিয়া।	Samaria.	saameriyyaa / 
সামেরিয়া	Samaria	saameriyyaa
সামেরিয়দের	Samaritans	saameriyyder
সামেরিয়	Samaria	saameriyy
সামেরও	Sam's too	saamero
সামের	Samar	saamer
সামুদ্রিক	Marine	saamudrik
সামিল।	Included.	saamil / 
সামিল	Samil	saamil
সামিয়ানার	Samiana	saamiyyaanaar
সামিয়ানা	Samiana	saamiy'aanaa
সামান্যের	A little bit	saamaanyer
সামান্যা	Little	saamaanyaa
সামান্যতম	The slightest	saamaanytm
সামান্যই	Just a little	saamaanyi
সামান্য।	A little.	saamaany / 
সামান্য	A little	saamaany
সামাজিক	Social	saamaajik
সামস	Psalms	saams
সামলে	Handled	saamle
সামলার	To manage	saamlaar
সামলায়।	Handles.	saamlaayy / 
সামলায়	Handles	saamlaayy
সামলাতে	To cope	saamlaate
সামলাক।	Handle.	saamlaak / 
সামলা	Handling	saamlaa
সামর্থ্যের	Ability	saamrthyer
সামর্থ্যহীন।	Incapable.	saamrthyhiin / 
সামর্থ্যহীন	Incapable	saamrthyhiin
সামর্থ্যও	Ability too	saamrthyo
সামর্থ্য।	Ability.	saamrthy / 
সামর্থ্য	Ability	saamrthy
সামর্থের	Ability	saamrther
সামর্থ।	Ability.	saamrth / 
সামর্থ	Ability	saamrth
সামরিকপদ	Military rank	saamrikpd
সামরিক	Military	saamrik
সাময়িকভাবে	Temporarily	saamyyikbhaabe
সামন্তেরাও	Feudals too	saamnteraao
সামন্তেরা	Feudals	saamnteraa
সামন্তের	Feudal	saamnter
সামন্তরাজেরা	Feudal kings	saamntraajeraa
সামন্তরাজকে	To the feudal lord	saamntraajke
সামন্তরাজ	Feudal king	saamntraaj
সামন্তরা	Feudals	saamntraa
সামন্তবৃন্দ	Feudals	saamntbRnd
সামন্তদের	Feudals	saamntder
সামন্তকে	To the feudal lord	saamntke
সামন্ত	Feudal	saamnt
সামনের	Front	saamner
সামনেটা	The front	saamnettaa
সামনেও	Also ahead	saamneo
সামনেই	Right in front	saamnei
সামনে।	In front.	saamne / 
সামনে	Front	saamne
সামনি	Front	saamni
সামনাসামনি	Face to face	saamnaasaamni
সামনা	Samana	saamnaa
সামথ্রীতে	In Samatri	saamthriite
সামথ্রাকীতে	In Samothrace	saamthraakiite
সামথ্রাকী	Samothrace	saamthraakii
সামথ্রাকিতে	In Samothrace	saamthraakite
সামঞ্জস্যপূর্ণ	Compatible	saamnyjsypuurnn
সামঞ্জস্য	Compatibility	saamnyjsy
সামগ্রীর	Content	saamgriir
সামগ্রীতেও	Also in the content	saamgriiteo
সামগ্রীগুলোর	The materials	saamgriigulor
সামগ্রীগুলি	Contents	saamgriiguli
সামগ্রীকে	Content	saamgriike
সামগ্রী	Contents	saamgrii
সামক।	Samak.	saamk / 
সামক	Shamak	saamk
সামঃ	Psalm:	saamH
সাম	Psalm	saam
সাব্যস্ত	Convicted	saabyst
সাব্বাথের	Sabbath	saabbaather
সাব্বাথে	On the Sabbath	saabbaathe
সাব্বাথদিনের	Sabbath	saabbaathdiner
সাব্বাথদিনে	On the Sabbath	saabbaathdine
সাব্বাথদিন	Sabbath	saabbaathdin
সাব্বাথ	Sabbath	saabbaath
সাব্‌দির	Sabdir	saabdir
সাব্‌দি	Sabdi	saabdi
সাবেন	Saben	saaben
সাবেক	Former	saabek
সাবূদ	Sabud	saabuud
সাবুদ	Sabud	saabud
সাবালক	Adult	saabaalk
সাবার	Saber	saabaar
সাবায়ীয়রা	Sabaeans	saabaayyiiyyraa
সাবায়ীয়	Sabaean	saabaayyiiyy
সাবানের	Soap	saabaaner
সাবানই	Soap itself	saabaani
সাবান	Soap	saabaan
সাবা	Saba	saabaa
সাবস্ত	Sabbat	saabst
সাবলীলতা	Fluency	saabliiltaa
সাবলীল	Fluent	saabliil
সাববাথ	Sabbath	saabbaath
সাবন	Soap	saabn
সাবধানের	Be careful.	saabdhaaner
সাবধানে	Carefully	saabdhaane
সাবধানী।	Be careful.	saabdhaanii / 
সাবধানবাণীরূপে	As a warning	saabdhaanbaanniiruupe
সাবধানবাণীর	Warning	saabdhaanbaanniir
সাবধানবাণী	Warning	saabdhaanbaannii
সাবধানতা।	Caution.	saabdhaantaa / 
সাবধান।	Be careful.	saabdhaan / 
সাবধান	Be careful.	saabdhaan
সাবদ্‌	Word	saabd
সাবদের	Sabdar	saabder
সাবদি	Sabdi	saabdi
সাবদ।	Good morning.	saabd / 
সাবদ	Word	saabd
সাবতা	Saturday	saabtaa
সাবতকা।	Sabbath.	saabtkaa / 
সাবটা	Saturday	saabttaa
সাফোনে	On the phone	saapheaane
সাফোন	Saphone	saapheaan
সাফেরা।	Safera.	saapheraa / 
সাফেরা	Safira	saapheraa
সাফের	Safer	saapher
সাফে	Safe	saaphe
সাফীরা	Safira	saaphiiraa
সাফিরা।	Saphira.	saaphiraa / 
সাফিরা	Saphira	saaphiraa
সাফল্যের	Success	saaphlyer
সাফল্যে	In success	saaphlye
সাফল্যলাভ	Success	saaphlylaabh
সাফল্যমণ্ডিত	successful	saaphlymnnddit
সাফল্য।	Success.	saaphly / 
সাফল্য	Success	saaphly
সাফনৎ	Clear	saaphn
সাফকারী	Cleaner	saaphkaarii
সাফকরণের	Cleaning	saaphkrnner
সাফ।	Clear.	saaph / 
সাফ	Clear	saaph
সাপেরা	Snakes	saaperaa
সাপের	Snake	saaper
সাপেদের	Snakes	saapeder
সাপেক্ষ।	Subject.	saapekss / 
সাপে।	In the snake.	saape / 
সাপে	In the snake	saape
সাপুড়ের	Snake	saapurrer
সাপুড়েদের	Snakes	saapurreder
সাপুড়েই	Snakehead	saapurrei
সাপদের	Snakes	saapder
সাপটির	The snake	saapttir
সাপটিকে	The snake	saapttike
সাপটি	The snake	saaptti
সাপটার	Saptar	saapttaar
সাপটাকে	The snake	saapttaake
সাপটা	The snake	saapttaa
সাপকে	To the snake	saapke
সাপ।	Snake.	saap / 
সাপ	Snake	saap
সান্নিধ্যেই	Nearby	saannidhyei
সান্নিধ্যে।	In the vicinity.	saannidhye / 
সান্নিধ্যে	In the vicinity	saannidhye
সান্নিধ্য	Proximity	saannidhy
সান্ধ্যকালীন	Evening	saandhykaaliin
সান্ধ্য	Evening	saandhy
সান্ত্রীদের	Santri	saantriider
সান্ত্রী	Santri	saantrii
সান্ত্বনাসূচক	Comforting	saantbnaasuuck
সান্ত্বনারূপ	Comforting	saantbnaaruup
সান্ত্বনারও	Also of comfort	saantbnaaro
সান্ত্বনার	Of comfort	saantbnaar
সান্ত্বনাযুক্ত	Comforting	saantbnaayukt
সান্ত্বনায়	In comfort	saantbnaay'
সান্ত্বনাবিহীনে	Inconsolable	saantbnaabihiine
সান্ত্বনাবাক্য।	Words of comfort.	saantbnaabaaky / 
সান্ত্বনাবাক্য	Words of comfort	saantbnaabaaky
সান্ত্বনাপ্রাপ্ত	Comforted	saantbnaapraapt
সান্ত্বনাদায়ক	Comforting	saantbnaadaayyk
সান্ত্বনাদাতার	Comforter	saantbnaadaataar
সান্ত্বনাদাতা	Comforter	saantbnaadaataa
সান্ত্বনাতে	In comfort	saantbnaate
সান্ত্বনাজনক	Comforting	saantbnaajnk
সান্ত্বনাকারীর	Comforter	saantbnaakaariir
সান্ত্বনাকারীদেরকে	To the comforters	saantbnaakaariiderke
সান্ত্বনাকারীদের	Comforters	saantbnaakaariider
সান্ত্বনাকারীগণকে	To the comforters	saantbnaakaariignnke
সান্ত্বনাকারী।	Comforter.	saantbnaakaarii / 
সান্ত্বনাকারী	Comforter	saantbnaakaarii
সান্ত্বনাকারিগণকে	To the comforters	saantbnaakaarignnke
সান্ত্বনাকর্তা।	Comforter.	saantbnaakrtaa / 
সান্ত্বনাও	Comfort too	saantbnaao
সান্ত্বনাই	Comfort	saantbnaai
সান্ত্বনা।	Comfort.	saantbnaa / 
সান্ত্বনা	Comfort	saantbnaa
সান্তি।	Peace.	saanti / 
সানোহ্	Sanoh	saaneaah
সানোহের	Sanoher	saaneaaher
সানোহে	Sanohe	saaneaahe
সানোহতে	In Sanohate	saanohte
সানোহ	Sanoh	saaneaah
সানোয়াহ্	Sanoah	saaneaayyaah
সানে	Sane	saane
সানুদেশে	According to	saanudeshe
সানুদেশ	Advice	saanudesh
সানায়া	Sanaya	saanaayyaa
সানান্নীমের	Sanannim	saanaanniimer
সানাইয়ের	Sanai's	saanaaiy'er
সানন্নীমের	Sanannimer	saannniimer
সানন্নীমস্থ	In the name of God	saannniimsth
সানন্নিমের	Sanannim's	saannnimer
সানন্দে	With pleasure	saannde
সানন্দ	Sanand	saannd
সাননের	Sanon's	saanner
সাননে	In the sun	saanne
সানন	Sanon	saann
সাধ্যের	Affordable	saadhyer
সাধ্যানুসারে	As much as possible	saadhyaanusaare
সাধ্যসাধনা।	Effort.	saadhysaadhnaa / 
সাধ্যসাধনা	Effort	saadhysaadhnaa
সাধ্যমত	As much as possible	saadhymt
সাধ্য।	Possible.	saadhy / 
সাধ্য	Ability	saadhy
সাধ্বী	Sadhvi	saadhbii
সাধুরা	Saints	saadhuraa
সাধুর	Saint	saadhur
সাধুভাব	Holiness	saadhubhaab
সাধুবাদের	Applause	saadhubaader
সাধুবাদ	Applause	saadhubaad
সাধুবর্গের	Of the saints	saadhubrger
সাধুদের	Saints	saadhuder
সাধুদিগের	Of the saints	saadhudiger
সাধুদিগকে	To the saints	saadhudigke
সাধুতার	Sainthood	saadhutaar
সাধুতায়	In holiness	saadhutaayy
সাধুতা	Holiness	saadhutaa
সাধুজী	Sadhuji	saadhujii
সাধুগনের	Of the saints	saadhugner
সাধুগণের	Of the saints	saadhugnner
সাধুগণকে	To the saints	saadhugnnke
সাধুগণ	Saints	saadhugnn
সাধুকে	To the saint	saadhuke
সাধুকার্য্যের	Of good deeds	saadhukaaryyer
সাধুকার্য্য	Good deeds	saadhukaaryy
সাধুকার্যের	Of good deeds	saadhukaaryer
সাধুকার্য	Good deeds	saadhukaary
সাধু	Saint	saadhu
সাধিত	Achieved	saadhit
সাধাসাধি	Sadhasadhi	saadhaasaadhi
সাধারনের	Ordinary	saadhaarner
সাধারনত	Generally	saadhaarnt
সাধারন	Normal	saadhaarn
সাধারণ্যে	In general	saadhaarnnye
সাধারণের।	Ordinary.	saadhaarnner / 
সাধারণের	Ordinary	saadhaarnner
সাধারণে	In general	saadhaarnne
সাধারণতঃ	Usually:	saadhaarnntH
সাধারণত	Usually	saadhaarnnt
সাধারণকে	To the general public	saadhaarnnke
সাধারণ	General	saadhaarnn
সাধান	Sadhan	saadhaan
সাধনের	Sadhana	saadhner
সাধনে	In pursuit	saadhne
সাধনার্থে	For the sake of achieving	saadhnaarthe
সাধনা	Sadhana	saadhnaa
সাধনকারী।	The doer.	saadhnkaarii / 
সাধনকর্ত্তা।	The doer.	saadhnkrttaa / 
সাধনকর্তা।	The doer.	saadhnkrtaa / 
সাধনও	Sadhana	saadhno
সাধন।	Achievement.	saadhn / 
সাধন	Sadhana	saadhn
সাধকদের	Saints	saadhkder
সাধক।	Saint.	saadhk / 
সাধক	Saint	saadhk
সাধ	Sadh	saadh
সাদোকের	Zadok	saadeaaker
সাদোকে	Zadok	saadoke
সাদোককে।	To Zadok.	saadokke / 
সাদোককে	To Zadok	saadeaakke
সাদোকও	Zadok also	saadeaako
সাদোক	Zadok	saadeaak
সাদে।	Sad.	saade / 
সাদে	Sade	saade
সাদৃশ্যেও	Similarly	saadRshyeo
সাদৃশ্যেই	By analogy	saadRshyei
সাদৃশ্যে	In analogy	saadRshye
সাদৃশ্য	Similarity	saadRshy
সাদুমের	Sodom	saadumer
সাদুমে	In Sodom	saadume
সাদুমকে	To Sodom	saadumke
সাদুম	Sodom	saadum
সাদালেজ	Whitetail	saadaalej
সাদাবর্ণ	White	saadaabrnn
সাদাটে	White	saadaatte
সাদা।	White.	saadaa / 
সাদা	White	saadaa
সাদরে	Sincerely	saadre
সাদর	Greetings	saadr
সাথেও	Also with	saatheo
সাথেই	Along with	saathei
সাথে।	With.	saathe / 
সাথে	With	saathe
সাথীরাও	Friends too	saathiiraao
সাথীরা	Friends	saathiiraa
সাথীদের	Companions	saathiider
সাথী।	Mate.	saathii / 
সাথী	Companion	saathii
সাত্ত্বিক	Sattvic	saattbik
সাত্ত্বনাকারীদের	Comforters	saattbnaakaariider
সাত্ত্বনাকর্ত্তা।	The Comforter.	saattbnaakrttaa / 
সাত্ত্বনা	Consolation	saattbnaa
সাতিশয়	Seventy	saatishyy
সাতাশী	Eighty-seven	saataashii
সাতাশি	Eighty-seven	saataashi
সাতাশটি	Twenty-seven	saataashtti
সাতাশটা	Twenty-seven	saataashttaa
সাতাশ	Twenty-seven	saataash
সাঁতারের	Swimming	saaNtaarer
সাঁতারু	Swimmer	saaNtaaru
সাঁতারকারী	Swimmer	saaNtaarkaarii
সাঁতার	Swimming	saaNtaar
সাতান্ন	Fifty-seven	saataann
সাতাত্তরটী	Seventy-seven	saataattrttii
সাতাত্তরটি	Seventy-seven	saataattrtti
সাতাত্তরটা	Seventy-seven	saataattrttaa
সাতাত্তরজন	Seventy-seven people	saataattrjn
সাতাত্তর	Seventy-seven	saataattr
সাতাইশ	Twenty-seven	saataaish
সাতহাজার	Seven thousand	saathaajaar
সাতষট্টিটী	Sixty-seven	saatssttttittii
সাতষট্টিটি	Sixty-seven	saatssttttitti
সাতষট্টিটা	Sixty-seven	saatssttttittaa
সাতষট্টি	Sixty-seven	saatsstttti
সাতশো।	Seven hundred.	saatsheaa / 
সাতশো	Seven hundred	saatsheaa
সাতশত	Seven hundred	saatsht
সাতরাত	Seven nights	saatraat
সাতমন্ত্রী	Seven Ministers	saatmntrii
সাতবারই	Seven times	saatbaari
সাতবার।	Seven times.	saatbaar / 
সাতবার	Seven times	saatbaar
সাতবছর	Seven years	saatbchr
সাতদির	Satdir	saatdir
সাতদিনের	Seven days	saatdiner
সাতদিনব্যাপী	Seven-day	saatdinbyaapii
সাতদিন	Seven days	saatdin
সাতটীর	Seventy	saatttiir
সাতটী	Seventy	saatttii
সাতটির	Seven	saatttir
সাতটি।	Seven.	saattti / 
সাতটি	Seven	saattti
সাতটা।	Seven o'clock.	saatttaa / 
সাতটা	Seven o'clock	saatttaa
সাতজোড়া	Seven pairs	saatjeaarraa
সাতজনেরই	All seven	saatjneri
সাতজনের	Seven people	saatjner
সাতজনকে	Seven people	saatjnke
সাতজনই	All seven	saatjni
সাতজন।	Seven people.	saatjn / 
সাতজন	Seven people	saatjn
সাতচল্লিশ	Forty-seven	saatcllish
সাতগুন	Sevenfold	saatgun
সাতগুণ।	Sevenfold.	saatgunn / 
সাতগুণ	Sevenfold	saatgunn
সাতখানি	Seven	saatkhaani
সাতখানা।	Seven.	saatkhaanaa / 
সাতখানা	Seven	saatkhaanaa
সাত।	Seven.	saat / 
সাত	Seven	saat
সাড়ে	Half past one	saadd'e
সাড়াশব্দও	Response	saarraashbdo
সাড়াও	Reply	saadd'aao
সাড়া।	Response.	saarraa / 
সাড়া	Response	saadd'aa
সাড়ম্বরে	Proudly	saarrmbre
সাঁঝের	Evening	saaNjher
সাঁজোয়া	Armored	saaNjeaayyaa
সাজের	Dressing	saajer
সাজেন	Sazen	saajen
সাজে।	Dressed up.	saaje / 
সাজে	Dressed up	saaje
সাজিয়েছেন।	Decorated.	saajiyyechen / 
সাজিয়েছেন	Arranged	saajiy'echen
সাজিয়েছে।	Decorated.	saajiy'eche / 
সাজিয়েছে	Arranged	saajiyyeche
সাজিয়েছি।	I have arranged it.	saajiyyechi / 
সাজিয়েছ।	You have decorated.	saajiy'ech / 
সাজিয়েছ	You have arranged.	saajiy'ech
সাজিয়ে	Decorated	saajiy'e
সাজিবে	Sajibe	saajibe
সাজালো।	Decorated.	saajaalo / 
সাজালেন৷	Decorated.	saajaalen4/
সাজালেন।	Decorated.	saajaalen / 
সাজালেন	Decorated	saajaalen
সাজালে	Decorated	saajaale
সাজালাম	I decorated.	saajaalaam
সাজাল।	Decorated.	saajaal / 
সাজাল	Decorated	saajaal
সাজায়।	Decorate.	saajaay' / 
সাজায়	Decorates	saajaay'
সাজাবেন	Decorate	saajaaben
সাজাবে।	Will decorate.	saajaabe / 
সাজাবে	Will decorate	saajaabe
সাজাবার	To decorate	saajaabaar
সাজাব।	I will decorate.	saajaab / 
সাজাব	I will decorate.	saajaab
সাজানোর	Sort	saajaaneaar
সাজানো।	Sorted.	saajaaneaa / 
সাজানো	Sorted	saajaaneaa
সাজান।	Sort.	saajaan / 
